State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity
Andaman and Nicobar Islands,North and middle andaman,2015,Banana,Whole Year,1178.0,,,11180.0,,,9.49,28.121972602739728,2293.62,77.3412602739726
Andaman and Nicobar Islands,North and middle andaman,2015,Coconut,Whole Year,3675.0,,19500000.0,,,5306.12,,28.121972602739728,2293.62,77.3412602739726
Andaman and Nicobar Islands,North and middle andaman,2015,Tapioca,Whole Year,26.5,,,600.0,,,22.64,28.121972602739728,2293.62,77.3412602739726
Andaman and Nicobar Islands,North and middle andaman,2016,Banana,Whole Year,1012.0,,,5226.0,,,5.16,28.325191256830603,2580.01,76.63890710382513
Andaman and Nicobar Islands,North and middle andaman,2016,Coconut,Whole Year,3675.0,,20000000.0,,,5442.18,,28.325191256830603,2580.01,76.63890710382513
Andaman and Nicobar Islands,North and middle andaman,2016,Tapioca,Whole Year,41.0,,,1010.0,,,24.63,28.325191256830603,2580.01,76.63890710382513
Andaman and Nicobar Islands,North and middle andaman,2017,Banana,Whole Year,584.85,,,4944.09,,,8.45,28.009506849315073,2481.35,78.61693150684931
Andaman and Nicobar Islands,North and middle andaman,2017,Coconut,Whole Year,1347.3,,10090000.0,,,7489.05,,28.009506849315073,2481.35,78.61693150684931
Andaman and Nicobar Islands,North and middle andaman,2017,Tapioca,Whole Year,40.9,,,694.04,,,16.97,28.009506849315073,2481.35,78.61693150684931
Andaman and Nicobar Islands,North and middle andaman,2018,Banana,Whole Year,650.54,,,6999.44,,,10.76,27.968164383561646,2503.4500000000003,78.52065753424658
Andaman and Nicobar Islands,North and middle andaman,2018,Coconut,Whole Year,1525.63,,9490000.0,,,6220.38,,27.968164383561646,2503.4500000000003,78.52065753424658
Andaman and Nicobar Islands,North and middle andaman,2018,Tapioca,Whole Year,32.58,,,383.85,,,11.78,27.968164383561646,2503.4500000000003,78.52065753424658
Andaman and Nicobar Islands,North and middle andaman,2019,Banana,Whole Year,665.12,,,5904.3,,,8.88,28.207671232876717,2325.8100000000004,77.12750684931507
Andaman and Nicobar Islands,North and middle andaman,2019,Coconut,Whole Year,1532.48,,7610000.0,,,4965.81,,28.207671232876717,2325.8100000000004,77.12750684931507
Andaman and Nicobar Islands,North and middle andaman,2019,Tapioca,Whole Year,29.13,,,213.58,,,7.33,28.207671232876717,2325.8100000000004,77.12750684931507
Andaman and Nicobar Islands,North and middle andaman,2020,Banana,Whole Year,935.98,,,7310.0,,,7.81,28.103251366120215,2143.1899999999996,76.94150273224044
Andaman and Nicobar Islands,North and middle andaman,2020,Coconut,Whole Year,1537.38,,6560000.0,,,4267.0,,28.103251366120215,2143.1899999999996,76.94150273224044
Andaman and Nicobar Islands,North and middle andaman,2021,Banana,Whole Year,924.58,,,5818.57,,,6.29,28.03827397260274,2761.45,77.9047397260274
Andaman and Nicobar Islands,North and middle andaman,2021,Coconut,Whole Year,1336.55,,5680000.0,,,4249.75,,28.03827397260274,2761.45,77.9047397260274
Andaman and Nicobar Islands,North and middle andaman,2022,Banana,Whole Year,880.0,,,5663.03,,,6.44,27.998876712328766,2698.59,78.21465753424657
Andaman and Nicobar Islands,North and middle andaman,2022,Coconut,Whole Year,1335.55,,5400000.0,,,4043.28,,27.998876712328766,2698.59,78.21465753424657
Andaman and Nicobar Islands,North and middle andaman,2022,Tapioca,Whole Year,16.5,,,138.16,,,8.37,27.998876712328766,2698.59,78.21465753424657
Andhra Pradesh,Alluri sitharama raju,2022,Black pepper,Whole Year,382.0,,,235.0,,,0.62,23.518,1520.9299999999998,75.74550684931506
