State,District,Year,Crop,Season,Area (Hectare),Production (Bales),Production (Nuts),Production (Tonnes),Yield (Bales/Hectare),Yield (Nuts/Hectare),Yield (Tonne/Hectare),Avg_Temp,Total_Rainfall,Avg_Humidity,Temp_Stress,Rain_Deviation,Yield_Class
Andhra Pradesh,Anantapur,2015,Sugarcane,Whole Year,77.0,,,6359.0,,,82.58,26.44227397260274,633.12,61.86161643835616,1.4422739726027416,36.40666666666675,1
Andhra Pradesh,Anantapur,2016,Sugarcane,Whole Year,95.0,,,9500.0,,,100.0,27.248251366120225,431.89,55.63620218579234,2.2482513661202255,-164.82333333333327,1
Andhra Pradesh,Anantapur,2017,Sugarcane,Whole Year,86.0,,,8981.0,,,104.43,26.673205479452054,725.13,60.15772602739726,1.6732054794520543,128.41666666666674,1
Andhra Pradesh,Chittoor,2015,Sugarcane,Whole Year,20831.0,,,1682300.0,,,80.76,25.29632876712329,1123.56,69.83410958904109,0.2963287671232884,187.75,1
Andhra Pradesh,Chittoor,2016,Sugarcane,Whole Year,18214.0,,,1599699.0,,,87.83,25.63188524590164,618.36,66.22040983606557,0.6318852459016391,-317.44999999999993,1
Andhra Pradesh,Chittoor,2017,Sugarcane,Whole Year,18177.0,,,1737420.0,,,95.58,25.483835616438363,1065.51,68.81465753424658,0.4838356164383626,129.70000000000005,1
Andhra Pradesh,East godavari,2015,Sugarcane,Whole Year,11647.0,,,1037710.0,,,89.1,27.376027397260277,1137.81,73.49950684931507,2.376027397260277,17.526666666666642,1
Andhra Pradesh,East godavari,2016,Sugarcane,Whole Year,10515.0,,,943395.0,,,89.72,27.45953551912568,1146.21,73.23275956284152,2.45953551912568,25.926666666666733,1
Andhra Pradesh,East godavari,2017,Sugarcane,Whole Year,10320.0,,,912540.0,,,88.42,27.5668493150685,1076.83,73.60304109589042,2.566849315068499,-43.453333333333376,1
Andhra Pradesh,Guntur,2015,Sugarcane,Whole Year,332.0,,,34260.0,,,103.19,28.212931506849312,824.0,67.95756164383562,3.212931506849312,-93.02333333333343,1
Andhra Pradesh,Guntur,2016,Sugarcane,Whole Year,267.0,,,28341.0,,,106.15,28.039972677595625,935.87,68.69133879781421,3.0399726775956246,18.84666666666658,1
Andhra Pradesh,Guntur,2017,Sugarcane,Whole Year,226.0,,,24090.0,,,106.59,28.14216438356164,991.2000000000002,69.85731506849315,3.1421643835616386,74.17666666666673,1
Andhra Pradesh,Kadapa,2015,Sugarcane,Whole Year,261.0,,,19485.0,,,74.66,27.23358904109589,1038.63,65.45279452054795,2.2335890410958896,234.75666666666677,1
Andhra Pradesh,Kadapa,2016,Sugarcane,Whole Year,245.0,,,19005.0,,,77.57,27.80784153005464,500.17,60.873087431694,2.8078415300546418,-303.7033333333333,1
Andhra Pradesh,Kadapa,2017,Sugarcane,Whole Year,276.0,,,26851.0,,,97.29,27.674027397260275,872.8199999999999,63.20882191780822,2.674027397260275,68.9466666666666,1
Andhra Pradesh,Krishna,2015,Sugarcane,Whole Year,14555.0,,,1491656.0,,,102.48,28.04994520547945,1009.85,75.49057534246575,3.0499452054794496,-49.94333333333327,1
Andhra Pradesh,Krishna,2016,Sugarcane,Whole Year,10983.0,,,993610.0,,,90.47,28.13868852459016,1214.0,75.06530054644809,3.1386885245901617,154.2066666666667,1
Andhra Pradesh,Krishna,2017,Sugarcane,Whole Year,10258.0,,,945664.0,,,92.19,28.09504109589041,955.53,76.44865753424658,3.0950410958904087,-104.26333333333332,1
Andhra Pradesh,Kurnool,2015,Sugarcane,Whole Year,960.0,,,95616.0,,,99.6,27.629726027397265,541.6,57.952767123287664,2.6297260273972647,-81.90333333333342,1
Andhra Pradesh,Kurnool,2016,Sugarcane,Whole Year,406.0,,,42708.0,,,105.19,27.524781420765027,627.53,57.78928961748634,2.524781420765027,4.026666666666529,1
