,T2M,Rain,Humidity
20150101,19.27,0.4,82.49
20150102,21.22,0.0,77.46
20150103,21.85,0.09,76.14
20150104,20.98,1.1,83.96
20150105,18.58,0.19,79.6
20150106,16.29,0.0,73.49
20150107,15.91,0.0,68.49
20150108,15.69,0.09,65.29
20150109,15.25,0.11,68.11
20150110,15.31,0.03,69.88
20150111,16.5,0.0,65.24
20150112,16.89,0.0,62.11
20150113,17.36,0.0,60.49
20150114,18.52,0.0,64.65
20150115,18.56,0.03,68.04
20150116,18.98,0.36,65.87
20150117,18.92,1.98,66.89
20150118,17.52,0.14,68.7
20150119,15.96,0.02,68.15
20150120,16.44,0.0,68.38
20150121,17.79,0.0,66.72
20150122,18.02,0.0,68.63
20150123,17.57,0.0,68.7
20150124,17.34,0.0,62.97
20150125,17.79,0.0,56.17
20150126,17.36,0.0,49.86
20150127,18.05,0.0,48.08
20150128,18.88,0.0,58.86
20150129,19.26,0.0,63.86
20150130,18.17,0.0,68.66
20150131,16.65,0.0,60.63
20150201,15.67,0.0,44.71
20150202,17.07,0.0,43.27
20150203,18.56,0.0,43.17
20150204,19.36,0.0,46.96
20150205,19.61,0.0,48.29
20150206,19.32,0.0,48.0
20150207,17.9,0.0,44.49
20150208,17.08,0.0,42.48
20150209,18.56,0.0,45.0
20150210,19.3,0.0,53.99
20150211,19.04,0.0,50.02
20150212,18.21,0.0,44.31
20150213,17.43,0.0,51.12
20150214,18.1,0.0,57.66
20150215,18.83,0.23,55.14
20150216,19.62,0.0,53.27
20150217,19.93,0.0,50.05
20150218,20.12,0.21,52.32
20150219,19.38,6.94,68.11
20150220,20.72,0.13,62.01
20150221,21.2,5.45,60.03
20150222,21.4,7.13,62.78
20150223,21.65,0.0,61.11
20150224,22.67,0.0,57.27
20150225,22.3,0.0,59.79
20150226,22.03,0.0,63.22
20150227,21.98,0.06,68.61
20150228,23.35,0.0,65.38
20150301,24.77,0.0,56.85
20150302,24.22,0.0,54.05
20150303,23.25,0.0,54.48
20150304,19.68,9.42,76.85
20150305,20.91,0.41,67.05
20150306,20.91,0.0,41.27
20150307,20.62,0.0,37.8
20150308,21.97,0.0,36.89
20150309,23.77,0.0,36.06
20150310,24.94,0.0,31.7
20150311,24.27,0.0,27.9
20150312,23.85,0.0,23.83
20150313,24.06,0.0,24.8
20150314,23.78,0.0,39.51
20150315,25.3,0.0,46.37
20150316,25.87,0.0,43.79
20150317,25.25,0.0,47.48
20150318,25.86,0.0,46.16
20150319,25.04,0.0,46.6
20150320,23.73,0.0,38.23
20150321,25.12,0.0,29.42
