,T2M,Rain,Humidity
20150101,20.16,0.19,82.11
20150102,20.98,0.0,75.16
20150103,21.18,1.62,81.33
20150104,21.51,0.48,76.42
20150105,19.86,0.0,69.8
20150106,18.77,0.0,53.43
20150107,18.88,0.0,56.96
20150108,18.2,0.0,64.9
20150109,16.77,0.0,51.56
20150110,16.3,0.0,47.45
20150111,16.2,0.0,47.98
20150112,16.66,0.0,63.31
20150113,17.77,0.0,70.26
20150114,17.73,0.0,72.28
20150115,17.7,0.0,63.93
20150116,18.13,0.0,55.63
20150117,18.17,0.0,44.52
20150118,18.04,0.0,48.83
20150119,17.46,0.0,55.0
20150120,17.04,0.0,68.81
20150121,16.59,0.0,69.08
20150122,16.77,0.0,62.31
20150123,18.72,0.0,57.01
20150124,18.92,0.0,59.09
20150125,18.97,0.0,63.64
20150126,19.37,0.0,69.14
20150127,19.76,0.0,70.27
20150128,20.36,0.0,70.7
20150129,20.86,0.0,70.4
20150130,21.06,0.0,68.33
20150131,20.85,0.59,67.91
20150201,20.43,3.1,70.09
20150202,19.08,0.0,67.93
20150203,19.11,0.0,61.94
20150204,19.58,0.0,53.02
20150205,20.65,0.0,46.2
20150206,19.78,0.0,51.23
20150207,19.64,0.0,66.58
20150208,19.06,0.0,71.68
20150209,20.77,0.0,68.03
20150210,20.58,0.0,69.28
20150211,21.37,0.0,66.79
20150212,21.96,0.0,61.8
20150213,22.47,0.0,57.21
20150214,22.16,0.0,49.72
20150215,23.34,0.0,47.91
20150216,23.37,0.0,47.17
20150217,23.45,0.0,50.28
20150218,23.12,0.0,56.15
20150219,23.57,0.0,58.03
20150220,23.66,1.51,50.49
20150221,23.37,0.04,47.2
20150222,23.91,0.0,41.31
20150223,23.71,0.0,39.85
20150224,23.76,0.0,45.75
20150225,24.01,0.0,50.61
20150226,23.82,0.0,48.82
20150227,23.07,0.0,53.12
20150228,22.52,0.0,61.66
20150301,22.21,0.0,68.52
20150302,24.1,0.9,64.87
20150303,24.95,0.66,64.92
20150304,24.78,0.24,58.83
20150305,24.24,0.0,43.01
20150306,24.41,0.0,56.06
20150307,24.94,0.02,61.19
20150308,25.14,0.09,63.54
20150309,25.75,0.06,59.62
20150310,25.76,0.0,49.67
20150311,25.26,0.0,41.5
20150312,25.6,0.0,48.56
20150313,26.71,0.0,44.22
20150314,25.96,0.0,48.57
20150315,25.68,0.0,49.17
20150316,25.04,0.0,46.94
20150317,26.46,0.0,41.66
20150318,27.6,0.0,37.18
20150319,27.63,0.0,43.07
20150320,26.93,0.0,51.25
20150321,27.94,0.0,45.89
20150322,28.26,0.0,41.89
20150323,28.79,0.0,36.06
20150324,28.28,0.0,45.86
20150325,27.35,0.0,56.26
20150326,26.44,2.75,59.72
20150327,25.76,6.87,63.34
20150328,25.94,3.52,61.76
20150329,26.97,0.0,59.29
20150330,26.18,0.01,61.01
20150331,25.25,0.02,63.44
20150401,27.15,0.0,57.91
20150402,27.39,0.0,57.07
20150403,28.51,0.0,53.05
20150404,29.53,0.0,48.18
20150405,28.97,0.0,52.47
20150406,28.57,0.0,54.59
20150407,27.88,0.0,57.83
20150408,27.94,0.0,55.3
20150409,27.76,0.0,54.29
20150410,28.34,0.19,51.29
20150411,28.3,0.48,49.28
20150412,26.6,3.83,56.21
20150413,23.95,2.42,59.82
20150414,23.89,3.02,62.19
20150415,24.59,0.43,62.82
20150416,25.38,0.55,61.26
20150417,25.94,1.0,60.97
20150418,27.54,0.12,58.72
20150419,28.92,0.0,55.99
20150420,29.37,0.0,55.36
20150421,29.84,0.49,53.48
20150422,30.07,1.42,53.91
20150423,29.35,2.31,56.31
20150424,25.05,12.79,76.64
20150425,26.09,0.41,65.13
20150426,26.21,7.0,66.5
20150427,27.12,3.41,64.77
20150428,27.77,3.11,64.64
20150429,27.1,3.96,69.86
20150430,26.72,3.27,70.66
20150501,27.8,2.84,64.33
20150502,27.13,8.0,68.09
20150503,27.62,2.65,65.53
20150504,26.34,7.7,72.55
20150505,26.79,0.0,65.74
20150506,27.44,1.07,58.84
20150507,28.92,0.34,54.6
20150508,30.05,0.0,51.45
20150509,29.26,0.06,55.23
20150510,28.59,0.11,56.44
20150511,27.33,6.37,60.06
20150512,28.83,0.11,48.69
20150513,28.37,0.28,60.08
20150514,27.96,0.47,62.86
20150515,28.02,0.09,65.41
20150516,26.67,4.48,68.69
20150517,26.33,1.06,69.69
20150518,29.35,0.01,59.77
20150519,30.77,0.0,54.47
20150520,32.64,0.0,50.21
20150521,32.46,0.0,47.98
20150522,32.75,0.0,49.17
20150523,32.59,0.01,46.43
20150524,31.68,0.1,45.9
20150525,30.68,0.0,49.83
20150526,31.99,0.0,43.83
20150527,29.0,0.0,58.02
20150528,30.56,0.0,53.94
20150529,29.57,0.0,62.92
20150530,28.85,0.0,66.32
20150531,27.12,0.01,73.93
20150601,27.57,1.23,65.42
20150602,27.63,4.7,66.24
20150603,27.56,0.35,64.93
20150604,27.0,2.0,71.67
20150605,24.91,25.64,86.27
20150606,25.13,15.25,83.73
20150607,25.18,27.7,83.06
20150608,25.3,24.58,85.83
20150609,24.93,1.89,83.53
20150610,26.2,0.03,73.34
20150611,26.53,6.13,78.04
20150612,25.84,22.41,82.21
20150613,24.29,44.58,90.12
20150614,24.14,24.34,90.74
20150615,24.44,19.38,87.6
20150616,24.48,12.9,90.01
20150617,25.34,17.66,87.08
20150618,24.5,28.62,90.35
20150619,25.12,61.72,86.62
20150620,23.05,100.32,93.03
20150621,22.58,30.73,94.31
20150622,22.67,14.93,89.58
20150623,23.9,5.34,88.86
20150624,24.86,1.71,89.07
20150625,24.43,0.82,90.03
20150626,24.03,1.85,90.32
20150627,24.55,0.05,88.38
20150628,24.59,0.09,89.55
20150629,24.45,1.01,88.07
20150630,24.16,2.62,89.12
20150701,24.04,1.17,90.45
20150702,24.18,1.3,88.46
20150703,23.55,1.21,90.82
20150704,24.05,0.32,89.46
20150705,24.76,0.02,86.41
20150706,24.31,0.0,86.18
20150707,24.78,0.0,83.79
20150708,24.04,0.06,88.37
20150709,24.26,0.28,88.67
20150710,23.88,5.98,87.73
20150711,23.86,8.0,90.12
20150712,24.63,4.97,87.91
20150713,24.96,20.63,88.89
20150714,25.08,14.11,89.84
20150715,24.51,4.74,90.97
20150716,24.15,5.16,90.24
20150717,24.58,0.19,88.57
20150718,24.28,2.81,89.09
20150719,24.06,10.1,89.53
20150720,24.18,3.5,89.51
20150721,23.93,14.1,89.18
20150722,24.35,27.16,91.71
20150723,24.11,13.6,92.17
20150724,23.91,5.39,92.19
20150725,23.8,2.94,91.47
20150726,23.29,1.0,91.56
20150727,24.18,0.06,88.63
20150728,23.97,0.0,87.13
20150729,23.46,0.01,86.32
20150730,23.74,0.28,88.42
20150731,23.74,0.19,89.9
20150801,23.82,1.59,88.71
20150802,23.88,1.8,88.47
20150803,23.63,12.07,88.44
20150804,23.44,9.05,90.41
20150805,22.92,1.98,87.91
20150806,23.14,6.65,86.46
20150807,24.04,6.85,88.49
20150808,24.72,2.58,88.93
20150809,24.88,3.67,91.55
20150810,25.36,12.59,90.82
20150811,24.4,10.82,92.46
20150812,23.85,53.45,91.5
20150813,24.04,18.43,91.54
20150814,24.54,0.7,88.11
20150815,24.55,1.11,88.75
20150816,24.31,39.83,92.26
20150817,24.31,14.62,89.89
20150818,24.38,0.1,90.94
20150819,24.31,15.46,91.37
20150820,23.1,6.76,90.94
20150821,23.98,7.99,90.04
20150822,23.52,2.7,91.25
20150823,23.98,6.93,89.42
20150824,23.95,9.54,89.03
20150825,24.16,6.9,89.28
20150826,24.05,14.09,90.63
20150827,24.1,20.57,91.83
20150828,24.26,12.26,91.9
20150829,24.6,10.92,89.58
20150830,24.47,10.21,91.58
20150831,24.16,10.0,92.15
20150901,24.33,26.04,90.59
20150902,24.35,17.84,88.94
20150903,24.23,7.78,89.86
20150904,24.31,0.22,88.67
20150905,24.25,0.01,89.72
20150906,22.8,10.11,94.81
20150907,23.13,9.99,92.95
20150908,23.37,0.36,89.08
20150909,23.87,10.28,86.76
20150910,24.32,2.87,85.35
20150911,23.57,18.47,88.46
20150912,23.95,21.85,90.15
20150913,24.14,7.67,90.01
20150914,24.07,25.09,92.76
20150915,23.45,40.64,93.1
20150916,23.98,15.82,93.47
20150917,24.15,7.19,94.02
20150918,24.23,1.89,93.53
20150919,23.81,19.14,93.44
20150920,23.01,24.33,94.07
20150921,23.67,1.13,90.06
20150922,24.01,0.24,90.42
20150923,24.26,0.0,88.6
20150924,23.8,3.95,91.39
20150925,23.88,2.68,92.05
20150926,24.55,0.9,87.99
20150927,23.8,1.37,89.33
20150928,23.31,1.09,90.02
20150929,23.56,4.65,88.96
20150930,23.19,10.63,90.32
20151001,22.39,6.27,90.86
20151002,23.41,5.89,83.71
20151003,24.1,1.71,84.2
20151004,24.42,1.62,86.08
20151005,24.14,0.08,85.57
20151006,23.85,0.08,78.91
20151007,24.02,0.05,84.16
20151008,24.19,0.09,86.3
20151009,23.25,0.0,86.7
20151010,23.25,0.0,79.7
20151011,24.1,0.0,68.52
20151012,23.97,0.0,69.01
20151013,23.94,0.0,71.29
20151014,24.16,0.0,76.77
20151015,23.26,4.89,87.58
20151016,23.48,2.61,88.94
20151017,23.35,0.0,87.31
20151018,23.57,0.0,84.07
20151019,22.94,0.0,81.84
20151020,23.01,0.0,76.17
20151021,22.69,0.0,76.56
20151022,22.51,0.0,79.36
20151023,23.12,2.52,77.99
20151024,22.2,0.11,82.63
20151025,21.16,3.27,86.81
20151026,20.04,0.6,84.72
20151027,19.42,0.01,79.88
20151028,20.61,9.84,82.8
20151029,21.39,4.88,88.73
20151030,22.26,2.12,91.19
20151031,21.76,33.43,94.94
20151101,21.8,26.75,91.73
20151102,22.0,0.42,94.52
20151103,21.95,0.09,89.73
20151104,21.89,0.01,85.99
20151105,21.65,0.0,83.83
20151106,20.33,0.0,80.27
20151107,19.73,0.0,84.13
20151108,19.57,0.01,87.31
20151109,19.53,0.55,91.4
20151110,19.75,3.08,91.44
20151111,20.15,0.09,85.42
20151112,19.06,0.0,83.54
20151113,18.31,0.0,83.21
20151114,19.03,0.0,85.51
20151115,19.2,0.0,84.23
20151116,18.86,3.98,85.73
20151117,17.87,19.08,92.92
20151118,20.49,6.18,90.97
20151119,19.34,7.4,90.25
20151120,19.5,2.36,86.93
20151121,19.11,0.0,82.4
20151122,19.58,0.0,81.55
20151123,19.83,0.0,79.14
20151124,19.71,0.0,85.4
20151125,18.95,0.0,87.43
20151126,19.53,0.0,84.1
20151127,20.47,0.0,88.0
20151128,19.83,0.0,88.87
20151129,19.11,1.62,88.5
20151130,20.17,0.21,86.44
20151201,20.49,0.03,86.46
20151202,19.64,1.62,87.5
20151203,20.31,0.29,84.34
20151204,19.92,0.0,85.5
20151205,19.37,0.0,84.39
20151206,18.82,0.0,85.46
20151207,18.14,0.0,83.7
20151208,17.99,0.0,82.68
20151209,18.15,0.0,71.68
20151210,18.83,0.0,66.51
20151211,19.86,0.0,74.54
20151212,20.76,0.0,83.88
20151213,21.43,0.0,87.61
20151214,21.51,0.01,85.77
20151215,21.49,0.11,83.85
20151216,21.27,1.64,84.73
20151217,20.92,0.25,87.29
20151218,20.84,0.01,77.97
20151219,19.61,1.05,81.16
20151220,19.91,0.86,84.3
20151221,20.18,0.0,85.77
20151222,20.56,0.08,84.4
20151223,20.58,0.03,84.4
20151224,21.03,0.01,81.67
20151225,19.16,0.78,80.21
20151226,16.88,0.12,68.03
20151227,16.9,0.0,56.43
20151228,18.76,0.0,50.93
20151229,20.02,0.0,49.72
20151230,19.3,0.0,52.36
20151231,18.84,0.0,61.19
20160101,19.19,0.0,64.81
20160102,19.78,0.0,61.85
20160103,19.95,0.0,66.19
20160104,18.84,0.0,66.86
20160105,18.96,0.0,64.79
20160106,19.21,0.0,63.15
20160107,18.64,0.0,64.04
20160108,19.94,0.0,51.09
20160109,20.43,0.0,46.31
20160110,20.07,0.0,51.77
20160111,19.79,0.0,60.12
20160112,19.47,0.0,56.5
20160113,19.01,0.0,65.51
20160114,19.11,0.0,66.98
20160115,19.26,0.0,65.3
20160116,19.9,0.0,57.22
20160117,18.98,0.0,63.79
20160118,18.77,0.0,72.44
20160119,19.82,0.01,72.8
20160120,20.74,0.13,77.87
20160121,19.75,0.1,71.16
20160122,18.27,0.0,52.49
20160123,18.27,0.0,48.98
20160124,18.35,0.0,53.77
20160125,18.71,0.0,66.54
20160126,19.52,0.0,73.55
20160127,20.7,0.0,74.65
20160128,21.69,0.0,63.99
20160129,21.78,0.0,54.24
20160130,22.01,0.0,48.31
20160131,23.33,0.0,41.68
20160201,23.28,0.0,41.17
20160202,23.5,0.0,49.44
20160203,23.13,0.0,49.75
20160204,22.44,0.0,62.63
20160205,22.06,0.0,68.89
20160206,22.26,0.0,70.82
20160207,22.89,0.0,70.55
20160208,23.22,0.0,67.54
20160209,23.4,0.0,65.42
20160210,23.15,0.0,68.9
20160211,23.56,0.0,67.35
20160212,23.58,0.0,67.39
20160213,23.51,0.0,62.13
20160214,23.08,0.0,66.04
20160215,22.88,0.0,63.81
20160216,21.93,0.0,59.12
20160217,22.39,0.0,48.93
20160218,22.81,0.0,45.95
20160219,24.85,0.0,36.79
20160220,25.44,0.0,40.49
20160221,25.44,0.0,46.33
20160222,27.01,0.0,47.33
20160223,26.45,0.0,54.63
20160224,25.39,0.0,60.51
20160225,24.49,0.0,67.06
20160226,24.34,0.0,67.19
20160227,24.93,0.08,62.65
20160228,25.21,0.77,65.58
20160229,24.82,1.12,66.64
20160301,25.15,0.04,61.44
20160302,25.03,0.04,64.68
20160303,25.14,0.0,59.07
20160304,25.16,0.46,52.2
20160305,25.35,0.11,49.4
20160306,25.71,0.0,47.86
20160307,24.94,0.0,41.7
20160308,25.31,0.0,41.57
20160309,24.84,0.0,44.34
20160310,26.73,0.0,42.88
20160311,27.23,0.0,41.01
20160312,26.13,0.0,44.42
20160313,25.95,0.0,48.08
20160314,24.95,0.86,63.05
20160315,25.65,2.59,64.15
20160316,25.97,4.57,62.59
20160317,26.57,0.0,59.4
20160318,27.31,0.0,56.83
20160319,28.0,0.0,47.47
20160320,28.5,0.0,38.94
20160321,28.85,0.0,31.89
20160322,28.42,0.0,28.11
20160323,28.14,0.0,34.78
20160324,28.09,0.0,57.97
20160325,27.39,0.0,56.36
20160326,28.04,0.0,54.58
20160327,27.51,1.89,59.1
20160328,26.77,2.98,62.88
20160329,27.36,0.01,57.08
20160330,27.65,1.23,59.88
20160331,27.32,3.46,60.97
20160401,27.96,1.29,56.36
20160402,28.55,0.0,54.08
20160403,29.22,0.0,52.13
20160404,29.77,0.0,46.83
20160405,29.53,0.0,44.86
