,T2M,Rain,Humidity
20150101,14.43,0.28,47.72
20150102,14.06,4.04,68.73
20150103,14.33,3.76,79.5
20150104,13.62,0.0,65.16
20150105,13.61,0.0,45.81
20150106,14.22,0.0,51.22
20150107,13.82,0.0,51.41
20150108,13.98,0.0,40.2
20150109,13.98,0.0,33.45
20150110,14.03,0.0,33.89
20150111,14.5,0.0,32.11
20150112,13.9,0.0,35.82
20150113,13.26,0.0,41.27
20150114,12.47,1.27,49.31
20150115,11.82,0.0,53.76
20150116,13.08,0.0,49.59
20150117,13.81,0.0,44.64
20150118,13.79,0.0,38.53
20150119,13.14,0.0,39.85
20150120,12.33,0.0,38.72
20150121,13.28,4.44,45.92
20150122,13.01,2.48,73.18
20150123,12.06,8.92,83.64
20150124,13.42,0.0,63.96
20150125,13.88,0.01,54.99
20150126,12.32,3.11,73.63
20150127,11.76,0.01,67.58
20150128,10.6,0.0,45.72
20150129,10.76,0.0,42.27
20150130,11.33,0.0,36.97
20150131,14.92,0.0,32.69
20150201,14.31,0.0,40.31
20150202,15.37,0.0,45.68
20150203,15.39,0.11,57.94
20150204,14.04,0.0,59.83
20150205,14.51,0.0,40.19
20150206,15.33,0.03,39.44
20150207,16.85,0.2,46.55
20150208,17.5,0.23,48.57
20150209,16.3,0.13,48.38
20150210,16.65,0.0,39.61
20150211,16.18,0.0,39.79
20150212,15.96,0.0,34.06
20150213,18.35,0.0,30.01
20150214,20.62,0.0,33.7
20150215,20.69,0.0,32.61
20150216,19.98,0.0,35.19
20150217,19.55,0.0,40.72
20150218,20.97,0.0,37.56
20150219,21.45,0.01,39.13
20150220,22.6,0.42,37.5
20150221,22.05,0.0,32.45
20150222,22.47,0.0,37.72
20150223,22.87,0.0,34.65
20150224,21.94,0.0,35.08
20150225,23.14,0.08,30.25
20150226,17.8,0.14,15.92
20150227,17.46,0.0,17.32
20150228,18.32,0.05,25.32
20150301,17.2,19.09,72.7
20150302,16.99,8.52,78.24
20150303,16.69,0.16,62.12
20150304,16.71,0.0,44.26
20150305,18.95,0.0,34.11
20150306,19.7,0.0,39.9
20150307,21.1,1.07,45.8
20150308,20.96,2.14,48.78
20150309,16.47,0.19,30.6
20150310,16.94,0.0,38.29
20150311,19.63,0.0,33.58
20150312,22.36,0.03,37.58
20150313,22.48,1.44,61.48
20150314,22.25,14.09,59.23
20150315,18.27,12.43,82.02
20150316,19.53,5.07,69.57
20150317,20.11,0.0,55.9
20150318,19.71,0.0,49.27
20150319,21.44,0.0,39.41
20150320,24.02,0.0,31.87
20150321,25.0,0.0,33.14
20150322,24.76,0.0,42.45
20150323,25.38,0.0,41.44
20150324,27.15,0.0,33.15
20150325,27.46,0.0,31.82
20150326,28.02,0.0,33.69
20150327,28.85,0.0,34.68
20150328,28.53,0.0,30.35
20150329,24.85,5.43,45.12
20150330,23.7,2.24,60.31
20150331,24.59,0.0,57.0
20150401,26.15,0.0,46.73
20150402,27.63,0.0,39.53
20150403,26.01,7.23,52.54
20150404,22.97,14.25,65.59
20150405,23.19,0.0,54.84
20150406,24.69,0.08,38.84
20150407,25.0,1.05,41.37
20150408,25.41,0.07,40.65
20150409,24.96,0.0,39.54
20150410,26.49,0.0,34.93
20150411,27.54,0.0,34.22
20150412,25.3,11.2,51.57
20150413,23.43,2.94,65.67
20150414,24.79,0.01,58.67
20150415,26.05,1.35,53.59
20150416,27.43,0.04,48.52
20150417,28.49,0.09,43.93
