,T2M,Rain,Humidity
20150101,15.37,0.0,39.39
20150102,15.56,4.35,52.59
20150103,14.05,6.82,67.64
20150104,12.6,0.09,57.85
20150105,12.8,0.0,39.43
20150106,13.94,0.0,40.25
20150107,12.57,0.0,44.91
20150108,12.75,0.0,41.41
20150109,11.96,0.0,38.91
20150110,11.88,0.0,34.76
20150111,12.49,0.0,31.44
20150112,13.81,0.0,30.92
20150113,13.64,0.0,35.22
20150114,10.75,6.64,65.38
20150115,12.35,0.0,61.66
20150116,13.37,0.0,56.69
20150117,12.59,0.0,46.26
20150118,12.56,0.0,40.48
20150119,13.55,0.0,37.5
20150120,12.39,0.0,43.22
20150121,12.19,1.41,51.78
20150122,11.9,5.31,79.3
20150123,12.53,0.27,73.75
20150124,13.23,0.0,61.58
20150125,12.67,0.0,50.14
20150126,12.41,1.77,49.7
20150127,11.28,0.83,60.68
20150128,11.0,0.0,52.89
20150129,10.81,0.0,43.61
20150130,11.37,0.0,43.26
20150131,12.57,0.0,37.69
20150201,14.79,0.0,37.19
20150202,15.5,2.92,47.33
20150203,14.36,11.4,65.35
20150204,14.59,0.02,57.15
20150205,14.17,0.0,47.14
20150206,14.17,0.0,41.78
20150207,15.66,0.0,38.25
20150208,16.43,0.0,42.41
20150209,15.77,0.0,48.46
20150210,15.29,0.0,43.68
20150211,15.19,0.0,41.33
20150212,14.82,0.0,38.75
20150213,15.59,0.0,37.73
20150214,19.55,0.0,38.11
20150215,19.49,0.0,41.31
20150216,18.41,0.61,45.42
20150217,19.94,0.31,46.14
20150218,19.71,0.04,45.17
20150219,20.06,0.15,44.55
20150220,20.46,8.35,53.01
20150221,20.19,0.0,50.3
20150222,20.92,0.0,46.65
20150223,21.32,0.0,45.67
20150224,21.5,0.0,43.78
20150225,18.94,5.9,55.21
20150226,15.19,0.72,37.57
20150227,15.59,0.22,31.05
20150228,16.75,0.35,34.62
20150301,14.83,51.86,79.29
20150302,14.09,44.4,88.7
20150303,14.19,5.49,75.79
20150304,14.1,0.19,69.37
20150305,15.89,0.43,64.71
20150306,16.92,0.7,59.74
20150307,17.62,1.44,61.03
20150308,17.32,3.74,69.24
20150309,14.57,3.46,62.62
20150310,16.85,0.0,53.71
20150311,18.27,0.0,48.5
20150312,18.6,0.0,48.44
20150313,21.41,0.0,37.45
20150314,20.1,4.41,56.34
20150315,18.17,2.62,71.22
20150316,17.32,7.9,77.74
20150317,18.18,0.23,68.42
20150318,18.11,0.0,66.48
20150319,19.61,0.0,58.0
20150320,20.85,0.0,51.01
20150321,22.08,0.0,50.54
20150322,23.06,0.0,52.23
20150323,23.7,0.0,54.11
20150324,25.1,0.0,50.09
20150325,26.01,0.0,45.73
20150326,25.6,0.0,42.1
20150327,25.57,0.0,39.95
20150328,26.41,0.0,33.52
20150329,21.49,7.38,51.24
20150330,20.71,3.93,65.6
20150331,22.82,0.0,54.39
20150401,23.51,2.11,56.07
20150402,24.84,0.21,49.66
20150403,22.2,15.7,60.66
