,T2M,Rain,Humidity
20150101,20.06,0.05,46.09
20150102,19.33,0.0,62.01
20150103,20.76,0.0,53.52
20150104,21.05,0.0,43.45
20150105,20.95,0.0,36.74
20150106,21.2,0.0,25.49
20150107,20.71,0.0,50.83
20150108,21.25,0.0,45.61
20150109,21.1,0.0,32.21
20150110,21.05,0.0,27.65
20150111,21.33,0.0,27.01
20150112,22.09,0.0,25.06
20150113,21.64,0.0,43.64
20150114,22.32,0.0,53.88
20150115,21.03,0.0,28.41
20150116,19.99,0.0,27.48
20150117,20.2,0.0,23.86
20150118,20.2,0.0,20.65
20150119,20.59,0.0,28.17
20150120,21.53,0.11,50.44
20150121,21.73,2.79,73.38
20150122,21.31,0.34,60.28
20150123,20.17,0.0,54.42
20150124,20.58,0.0,42.27
20150125,20.79,0.0,38.27
20150126,19.16,0.0,26.11
20150127,17.73,0.0,25.6
20150128,18.16,0.0,29.77
20150129,18.91,0.0,22.35
20150130,20.37,0.0,24.03
20150131,22.2,0.0,25.46
20150201,21.73,0.0,32.71
20150202,22.96,0.0,56.03
20150203,23.47,0.0,51.15
20150204,23.43,0.0,32.69
20150205,23.6,0.0,26.71
20150206,23.16,0.0,21.92
20150207,22.92,0.0,21.01
20150208,21.89,0.0,41.18
20150209,22.19,0.0,23.87
20150210,23.52,0.0,36.8
20150211,23.9,0.0,28.66
20150212,23.96,0.0,20.4
20150213,24.35,0.0,22.53
20150214,24.89,0.0,46.96
20150215,25.69,0.0,49.73
20150216,25.95,0.0,44.41
20150217,25.81,0.0,40.03
20150218,25.98,0.0,47.08
20150219,25.97,0.0,52.51
20150220,26.13,0.0,49.69
20150221,27.48,0.0,33.3
20150222,28.29,0.0,23.56
20150223,27.61,0.0,35.45
20150224,27.02,0.0,50.44
20150225,24.71,0.0,46.5
20150226,23.01,0.0,33.08
20150227,22.77,0.0,33.06
20150228,23.34,0.17,41.25
20150301,22.61,8.24,59.14
20150302,21.04,0.08,51.16
20150303,21.16,0.0,53.02
20150304,22.43,0.0,48.55
20150305,24.27,0.0,45.59
20150306,25.43,0.0,47.12
20150307,26.66,0.0,36.45
20150308,25.54,0.0,46.08
20150309,24.6,0.0,22.24
20150310,25.68,0.0,18.01
20150311,26.6,0.0,21.81
20150312,28.47,0.4,26.18
20150313,27.43,0.9,37.63
20150314,27.04,0.59,47.85
20150315,25.02,0.01,53.28
20150316,23.85,0.0,47.84
20150317,25.56,0.0,35.58
20150318,26.6,0.0,24.41
20150319,27.97,0.0,23.24
20150320,29.52,0.0,22.87
20150321,30.76,0.0,27.64
20150322,32.3,0.0,27.7
20150323,32.95,0.0,23.52
20150324,32.34,0.0,28.07
20150325,32.4,0.0,27.0
20150326,32.92,0.0,21.46
20150327,33.47,0.0,28.1
20150328,32.93,0.0,31.84
20150329,30.52,0.02,34.13
20150330,30.01,0.0,36.97
20150331,28.42,0.0,41.7
20150401,29.6,0.0,45.51
20150402,29.01,0.0,52.96
20150403,28.47,0.0,55.01
20150404,28.47,0.0,59.23
20150405,28.76,0.0,50.59
20150406,27.78,0.0,53.45
20150407,29.32,0.0,53.13
20150408,31.58,0.0,43.56
20150409,32.79,0.0,34.18
20150410,31.32,0.0,49.71
20150411,29.85,0.01,51.14
20150412,29.63,0.32,51.49
20150413,30.17,2.11,50.81
20150414,30.69,1.49,48.4
20150415,31.2,0.63,50.88
20150416,32.66,0.0,44.58
20150417,34.23,0.0,37.46
20150418,34.23,0.0,30.7
20150419,33.78,0.0,38.09
20150420,34.84,0.0,24.12
20150421,34.99,0.0,18.58
20150422,34.65,0.0,21.71
20150423,32.6,0.0,35.56
20150424,31.95,0.0,42.22
20150425,31.83,0.0,48.7
20150426,32.16,0.0,49.56
20150427,32.87,0.0,49.02
20150428,32.92,0.0,44.12
20150429,33.19,0.0,44.45
20150430,32.92,0.0,47.89
20150501,33.3,0.0,45.93
20150502,34.01,0.0,36.96
20150503,33.2,0.0,36.78
20150504,33.93,0.0,36.91
20150505,34.18,0.0,31.95
20150506,32.85,0.0,39.09
20150507,33.49,0.0,39.66
20150508,33.97,0.0,39.11
20150509,34.13,0.0,35.94
20150510,33.29,0.0,42.35
20150511,32.6,0.05,49.59
20150512,32.98,2.29,52.44
20150513,33.78,0.11,46.33
20150514,34.11,0.23,43.61
20150515,35.48,0.0,36.27
20150516,36.2,0.0,31.78
20150517,35.39,0.0,33.74
20150518,34.52,0.0,40.88
20150519,33.8,0.0,47.15
20150520,34.01,0.0,49.52
20150521,34.25,0.0,49.21
20150522,33.89,0.0,50.86
20150523,33.49,0.0,55.24
20150524,32.41,0.0,59.28
20150525,32.8,0.0,56.96
20150526,32.9,0.0,54.99
20150527,32.56,0.0,56.6
20150528,32.91,0.0,56.41
20150529,33.97,0.0,50.68
20150530,34.33,0.0,45.89
20150531,34.14,0.0,47.97
20150601,32.69,0.03,56.67
20150602,31.81,0.06,58.18
20150603,32.27,1.87,54.85
20150604,33.67,0.29,48.78
20150605,34.92,0.01,42.03
