,T2M,Rain,Humidity
20150101,12.28,0.0,40.24
20150102,14.16,0.01,39.02
20150103,13.38,0.62,48.9
20150104,11.85,0.13,44.68
20150105,10.97,0.0,43.49
20150106,12.33,0.0,45.05
20150107,12.1,0.0,46.69
20150108,12.46,0.0,40.46
20150109,12.21,0.0,36.26
20150110,10.41,0.0,35.8
20150111,11.58,0.0,32.55
20150112,14.18,0.0,29.02
20150113,12.31,1.25,44.26
20150114,12.13,8.08,73.8
20150115,12.21,0.0,73.97
20150116,12.14,0.0,55.76
20150117,11.83,0.0,46.44
20150118,12.2,0.0,41.8
20150119,13.65,0.0,37.29
20150120,12.94,0.0,42.01
20150121,10.23,15.23,67.74
20150122,11.22,1.52,87.6
20150123,12.11,0.11,75.29
20150124,12.05,0.0,63.84
20150125,11.62,0.0,54.44
20150126,11.34,0.0,49.33
20150127,10.08,0.0,53.32
20150128,10.34,0.0,48.9
20150129,11.08,0.0,45.99
20150130,10.89,0.0,44.42
20150131,12.39,0.0,41.9
20150201,13.65,0.0,43.97
20150202,14.85,1.08,55.78
20150203,13.41,17.07,82.48
20150204,13.18,0.0,65.57
20150205,12.99,0.0,51.89
20150206,14.04,0.0,41.47
20150207,14.12,0.0,46.82
20150208,15.22,0.0,57.06
20150209,14.55,0.0,52.18
20150210,14.96,0.0,42.77
20150211,15.96,0.0,41.22
20150212,14.96,0.0,37.29
20150213,16.42,0.0,40.74
20150214,19.26,0.0,42.53
20150215,18.43,0.0,45.55
20150216,17.95,2.33,50.77
20150217,18.37,9.48,56.02
20150218,18.61,0.19,50.25
20150219,17.85,9.56,64.8
20150220,16.53,10.02,77.87
20150221,18.89,0.0,57.9
20150222,19.25,0.0,59.88
20150223,20.04,0.0,55.13
20150224,19.75,1.89,58.27
20150225,16.71,11.23,60.8
20150226,14.15,0.0,43.6
20150227,13.76,0.0,50.95
20150228,14.75,0.05,46.61
20150301,14.27,39.16,84.32
20150302,15.76,22.45,83.28
20150303,14.37,1.01,73.2
20150304,15.15,1.29,63.41
20150305,13.88,2.59,76.24
20150306,15.71,0.0,64.77
20150307,14.07,3.56,72.12
20150308,15.04,2.19,76.62
20150309,13.12,0.02,69.82
20150310,15.01,0.0,56.75
20150311,16.47,0.0,52.66
20150312,18.02,0.0,45.75
20150313,19.03,0.0,41.41
20150314,20.2,0.29,55.75
20150315,18.12,16.65,78.94
20150316,17.25,8.09,80.49
20150317,17.36,0.04,74.86
20150318,17.81,0.0,67.41
20150319,19.57,0.0,56.24
20150320,20.52,0.0,55.89
20150321,22.0,0.0,58.92
20150322,22.72,0.0,59.45
20150323,23.76,0.0,58.54
20150324,25.87,0.02,47.41
20150325,24.91,0.08,56.04
20150326,24.82,0.0,50.15
20150327,24.52,0.0,42.25
20150328,26.5,0.14,41.38
20150329,21.92,2.6,63.73
20150330,22.18,25.17,70.71
20150331,22.04,1.04,72.17
20150401,22.33,0.65,69.84
20150402,23.48,0.87,61.81
20150403,21.88,3.5,68.42
20150404,22.75,1.07,60.94
20150405,22.61,0.17,57.96
20150406,22.86,0.36,58.91
20150407,19.59,5.94,81.16
20150408,22.33,0.05,64.35
20150409,23.59,0.0,55.45
20150410,25.21,0.0,51.07
20150411,26.23,0.03,52.52
20150412,24.42,0.56,59.8
20150413,26.26,0.0,52.04
20150414,26.04,0.0,54.86
20150415,26.79,17.22,56.6
20150416,25.78,2.38,61.2
20150417,26.06,0.0,58.18
20150418,28.38,0.0,49.47
20150419,29.35,0.0,46.19
20150420,29.23,0.82,45.43
20150421,27.71,0.0,45.32
20150422,28.19,0.0,41.08
20150423,29.92,0.0,33.23
20150424,30.83,0.0,31.04
20150425,31.45,0.0,30.95
20150426,29.93,0.0,35.82
20150427,29.97,0.0,41.89
20150428,30.51,0.54,39.46
20150429,30.72,0.15,35.13
20150430,29.66,1.64,37.42
20150501,28.44,2.38,39.52
20150502,29.59,0.0,30.35
20150503,30.44,0.0,27.19
20150504,30.46,0.0,27.9
20150505,31.97,0.0,29.77
20150506,32.97,0.0,32.57
20150507,34.37,0.0,29.8
20150508,33.43,0.0,29.3
20150509,33.68,0.0,30.4
20150510,34.3,0.0,34.1
20150511,34.11,0.81,32.65
20150512,31.46,2.75,42.31
20150513,29.84,8.5,46.12
20150514,30.22,8.13,45.88
20150515,31.46,0.0,40.02
20150516,32.94,0.23,32.93
20150517,33.87,0.0,28.94
20150518,35.01,0.11,33.86
20150519,34.22,0.0,27.87
20150520,33.73,0.03,27.11
20150521,34.49,0.0,25.65
20150522,34.96,0.0,24.21
20150523,36.06,0.0,22.89
20150524,36.63,0.0,22.14
20150525,37.01,0.0,20.97
20150526,33.35,0.0,15.5
20150527,32.7,0.0,16.68
20150528,34.91,0.0,14.98
20150529,34.9,0.01,19.3
20150530,35.5,0.0,21.09
20150531,35.91,0.24,20.89
20150601,35.26,1.45,20.73
20150602,32.88,0.03,27.86
20150603,33.47,0.51,28.43
20150604,29.61,3.23,42.11
20150605,33.16,0.0,33.58
20150606,34.64,0.0,26.05
20150607,36.33,0.0,21.11
20150608,37.84,0.0,17.78
20150609,38.1,0.33,17.78
20150610,37.73,0.01,27.32
20150611,35.76,4.73,29.71
20150612,35.98,0.0,28.63
20150613,36.44,1.44,29.03
20150614,36.21,0.75,29.02
20150615,32.9,21.33,50.8
20150616,34.39,0.0,39.34
20150617,35.49,0.03,35.86
20150618,36.81,0.0,32.4
20150619,37.84,0.0,31.79
20150620,35.68,0.0,37.1
20150621,36.39,3.39,35.54
20150622,36.02,0.71,33.71
20150623,36.55,3.88,34.67
20150624,33.9,9.15,47.05
20150625,33.71,2.42,38.41
20150626,34.2,0.0,32.63
20150627,34.8,0.0,32.33
20150628,36.22,0.0,28.98
20150629,36.92,0.0,28.18
20150630,33.49,14.86,47.05
20150701,34.63,0.0,37.89
20150702,34.93,0.18,39.62
20150703,36.06,0.38,37.36
20150704,36.72,0.9,40.12
20150705,38.26,1.13,35.5
20150706,33.46,6.54,52.85
20150707,32.56,18.13,60.39
20150708,33.66,1.86,49.9
20150709,34.47,5.75,47.39
20150710,34.57,4.57,46.24
20150711,30.69,23.61,64.57
20150712,30.7,20.17,65.02
20150713,32.41,0.43,53.97
20150714,34.12,0.0,48.62
20150715,35.7,0.0,44.47
20150716,36.04,0.25,43.37
