,T2M,Rain,Humidity
20150101,23.61,1.05,76.9
20150102,23.44,0.02,76.45
20150103,23.8,0.76,80.04
20150104,24.77,0.2,72.25
20150105,23.55,0.0,68.0
20150106,22.43,0.0,57.73
20150107,22.34,0.0,62.12
20150108,22.1,0.0,69.99
20150109,21.36,0.0,51.98
20150110,20.3,0.0,47.7
20150111,19.65,0.0,54.77
20150112,20.06,0.0,67.92
20150113,20.91,0.0,72.72
20150114,20.86,0.0,72.69
20150115,20.99,0.0,66.24
20150116,21.55,0.0,59.84
20150117,21.78,0.0,49.9
20150118,21.12,0.0,52.56
20150119,20.3,0.0,61.56
20150120,20.24,0.0,68.79
20150121,19.89,0.0,68.21
20150122,19.68,0.0,64.72
20150123,20.69,0.0,66.53
20150124,21.33,0.0,63.62
20150125,21.6,0.0,69.17
20150126,21.81,0.0,73.43
20150127,22.1,0.0,73.04
20150128,22.72,0.0,73.72
20150129,23.06,0.02,72.67
20150130,23.23,0.0,71.94
20150131,23.26,0.36,72.35
20150201,22.97,2.63,74.51
20150202,21.71,0.0,69.5
20150203,21.54,0.0,66.79
20150204,21.74,0.0,61.82
20150205,22.62,0.0,56.02
20150206,22.14,0.0,59.12
20150207,22.65,0.0,68.31
20150208,22.09,0.0,69.18
20150209,22.97,0.0,68.65
20150210,22.62,0.01,74.19
20150211,23.43,0.0,69.95
20150212,23.69,0.0,67.56
20150213,24.76,0.0,63.83
20150214,24.88,0.01,60.68
20150215,25.28,0.0,63.65
20150216,25.08,0.0,66.47
20150217,25.32,0.0,64.95
20150218,25.08,0.0,65.93
20150219,25.51,0.0,64.72
20150220,25.25,0.75,62.95
20150221,25.64,0.03,55.73
20150222,26.01,0.0,50.31
20150223,25.65,0.0,47.79
20150224,25.52,0.0,53.18
20150225,25.76,0.0,57.86
20150226,25.15,0.0,57.87
20150227,24.8,0.0,57.18
20150228,24.36,0.0,63.73
20150301,24.49,0.19,69.38
20150302,25.8,0.34,66.88
20150303,26.42,0.37,68.2
20150304,27.05,0.2,65.14
20150305,26.41,0.04,53.6
20150306,26.46,0.02,64.29
20150307,26.97,0.12,64.44
20150308,26.69,0.35,67.33
20150309,27.26,0.03,62.67
