,T2M,Rain,Humidity
20150101,20.03,1.06,65.33
20150102,18.71,0.01,66.36
20150103,20.09,0.0,57.77
20150104,19.84,0.0,43.49
20150105,18.76,0.0,44.15
20150106,19.7,0.0,33.93
20150107,20.49,0.0,34.33
20150108,19.7,0.0,37.07
20150109,19.14,0.0,36.54
20150110,19.9,0.0,32.54
20150111,20.72,0.0,32.04
20150112,21.87,0.0,31.57
20150113,21.53,0.0,30.4
20150114,21.39,0.0,37.65
20150115,19.33,0.0,36.7
20150116,18.89,0.0,40.99
20150117,18.51,0.0,35.11
20150118,19.1,0.0,32.18
20150119,20.63,0.0,35.67
20150120,20.78,0.0,45.24
20150121,21.58,4.62,71.63
20150122,21.07,0.04,68.3
20150123,20.32,0.0,55.78
20150124,20.49,0.01,52.4
20150125,20.32,0.72,64.71
20150126,19.52,0.0,55.31
20150127,17.46,0.0,42.32
20150128,18.76,0.0,52.8
20150129,19.07,0.0,41.26
20150130,19.0,0.0,31.84
20150131,20.7,0.0,28.65
20150201,21.11,0.0,28.88
20150202,22.66,0.0,36.3
20150203,23.3,0.0,41.34
20150204,22.96,0.0,36.4
20150205,23.21,0.0,38.88
20150206,23.96,0.0,33.03
20150207,23.05,0.0,22.43
20150208,22.06,0.0,25.59
20150209,22.42,0.0,32.49
20150210,24.01,0.04,40.96
20150211,24.72,0.0,41.18
20150212,23.63,0.0,26.72
20150213,24.36,0.0,21.05
20150214,25.64,0.0,20.61
20150215,25.79,0.0,29.86
20150216,25.66,0.0,37.58
20150217,25.02,0.0,35.21
20150218,26.12,0.0,29.81
20150219,25.92,0.0,42.15
20150220,26.65,0.0,30.84
20150221,28.33,0.0,19.65
20150222,29.4,0.0,19.99
20150223,28.7,0.0,21.17
20150224,28.09,0.0,29.21
20150225,25.33,0.0,38.61
20150226,22.81,0.0,18.13
20150227,22.6,0.0,15.38
20150228,24.02,0.14,38.66
20150301,22.33,12.94,68.18
20150302,21.88,0.15,53.64
20150303,20.86,0.0,46.85
20150304,22.76,0.0,42.18
