,T2M,Rain,Humidity
20150101,25.55,0.4,62.39
20150102,25.59,0.07,63.28
20150103,25.86,0.0,58.3
20150104,25.39,0.0,62.46
20150105,24.16,0.0,64.22
20150106,23.23,0.0,58.05
20150107,23.34,0.0,51.56
20150108,23.19,0.0,55.2
20150109,22.18,0.0,56.79
20150110,20.42,0.0,37.14
20150111,19.91,0.0,45.18
20150112,20.02,0.0,52.73
20150113,20.59,0.0,49.04
20150114,20.98,0.0,48.58
20150115,21.22,0.0,56.87
20150116,22.33,0.0,58.82
20150117,22.59,0.0,53.8
20150118,22.94,0.0,51.41
20150119,22.68,0.0,53.85
20150120,22.85,0.0,58.91
20150121,22.24,0.0,59.62
20150122,22.08,0.0,51.68
20150123,23.12,0.0,57.8
20150124,23.41,0.0,56.35
20150125,22.6,0.0,54.39
20150126,22.28,0.0,55.43
20150127,22.62,0.0,57.52
20150128,23.07,0.0,55.73
20150129,23.97,0.0,57.13
20150130,24.3,0.0,56.18
20150131,23.92,0.0,53.99
20150201,23.47,0.0,53.54
20150202,23.51,0.0,56.65
20150203,23.26,0.0,53.62
20150204,22.27,0.0,55.08
20150205,22.8,0.0,45.17
20150206,23.02,0.0,47.95
20150207,22.32,0.0,48.84
20150208,22.92,0.0,45.48
20150209,23.82,0.0,52.76
20150210,22.49,0.0,55.04
20150211,22.86,0.0,55.3
20150212,23.66,0.0,47.66
20150213,24.73,0.0,38.74
20150214,25.68,0.0,29.68
20150215,26.06,0.0,34.39
20150216,25.77,0.0,39.35
20150217,25.56,0.0,37.58
20150218,26.2,0.0,34.53
20150219,26.26,0.0,34.88
20150220,26.4,0.0,37.6
20150221,25.99,0.0,37.78
20150222,25.93,0.0,34.71
20150223,26.02,0.0,31.32
20150224,25.71,0.0,28.18
20150225,25.24,0.0,23.56
20150226,25.87,0.0,32.09
20150227,27.38,0.0,35.57
20150228,27.44,1.54,52.36
20150301,27.76,1.23,56.38
20150302,29.16,1.81,47.8
20150303,27.54,6.51,53.47
20150304,26.09,6.27,59.49
20150305,27.96,0.0,55.53
20150306,27.36,0.25,59.51
20150307,27.8,0.01,55.91
20150308,27.97,1.57,52.2
20150309,27.92,0.37,50.44
20150310,27.16,0.0,47.74
20150311,26.05,0.0,40.95
20150312,26.45,0.0,53.15
20150313,27.42,0.0,47.87
20150314,27.54,0.0,40.19
20150315,29.09,0.0,41.15
20150316,29.42,0.0,33.91
20150317,28.47,0.0,32.57
20150318,29.06,0.0,29.75
20150319,29.13,0.0,25.7
20150320,29.23,0.0,32.15
20150321,29.21,0.0,27.26
20150322,29.49,0.0,29.67
20150323,30.18,0.0,31.94
20150324,30.89,0.0,30.95
20150325,31.34,0.0,33.14
20150326,30.71,0.0,36.26
20150327,29.89,0.0,33.31
20150328,29.2,0.0,31.38
20150329,29.65,0.0,38.42
20150330,30.22,0.0,36.13
20150331,30.66,0.03,40.98
20150401,31.54,0.36,40.55
20150402,32.77,0.0,34.63
20150403,32.37,0.0,29.95
20150404,31.99,0.0,30.29
20150405,32.0,0.0,23.14
20150406,33.08,0.0,29.24
20150407,32.92,0.0,37.97
20150408,33.09,0.0,35.47
20150409,32.51,0.0,38.15
20150410,32.73,0.82,40.11
20150411,29.92,0.39,47.63
20150412,27.0,33.5,63.01
20150413,23.29,1.82,74.89
20150414,24.42,6.78,68.22
20150415,25.32,1.08,68.47
20150416,26.93,0.22,64.97
20150417,27.72,0.27,61.95
20150418,28.96,0.0,55.57
20150419,29.48,0.0,53.22
20150420,29.38,0.0,52.73
20150421,29.9,0.0,54.68
20150422,30.72,0.0,51.72
20150423,29.71,4.69,57.24
20150424,28.2,7.68,66.48
20150425,28.66,0.84,62.73
20150426,28.71,1.48,61.26
20150427,29.37,0.0,53.51
20150428,30.56,0.0,51.02
20150429,32.2,0.02,45.35
20150430,31.77,0.66,46.78
20150501,32.07,0.13,45.04
20150502,32.74,0.05,43.93
20150503,32.54,0.61,41.97
20150504,32.33,0.63,42.3
20150505,31.28,0.01,43.75
20150506,31.9,0.0,42.58
20150507,31.21,1.27,46.92
20150508,30.34,1.91,53.38
20150509,29.95,0.0,55.09
20150510,28.86,0.0,59.82
20150511,29.96,0.0,49.1
20150512,31.06,0.04,39.63
20150513,30.43,0.0,45.4
20150514,31.33,0.0,38.53
20150515,29.22,11.55,57.21
20150516,29.5,3.65,61.93
20150517,29.37,4.66,64.7
20150518,28.64,3.55,68.54
20150519,29.69,3.24,63.55
20150520,30.61,0.01,57.38
20150521,30.9,0.0,58.09
20150522,29.69,0.0,56.82
20150523,28.59,0.0,57.43
20150524,30.27,0.0,55.84
20150525,31.66,0.0,51.14
20150526,31.88,0.0,51.01
20150527,32.04,4.04,52.97
20150528,28.64,10.74,65.11
20150529,29.38,14.76,64.22
20150530,28.83,7.1,68.82
20150531,27.09,15.45,73.95
20150601,28.11,11.38,71.5
20150602,28.29,3.0,68.15
20150603,29.2,0.02,63.2
20150604,29.22,0.51,63.25
20150605,28.51,3.36,68.07
20150606,26.52,0.0,73.5
20150607,29.83,0.01,59.36
20150608,28.36,14.02,65.7
20150609,25.8,16.85,79.24
20150610,27.61,0.13,68.84
20150611,27.98,0.03,68.68
20150612,26.71,0.01,71.9
20150613,27.2,0.52,67.88
20150614,25.84,1.24,69.3
20150615,26.26,1.38,63.16
20150616,24.49,10.09,73.99
20150617,25.91,0.47,66.97
20150618,25.22,2.36,71.35
20150619,25.29,0.62,72.22
20150620,26.97,0.32,66.65
20150621,26.72,1.04,69.03
20150622,27.35,1.72,68.08
20150623,28.08,0.25,66.63
20150624,28.15,0.03,65.43
20150625,28.2,0.0,65.48
20150626,28.1,0.02,65.3
20150627,28.21,0.0,65.25
