,T2M,Rain,Humidity
20150101,5.99,0.0,60.0
20150102,5.71,0.0,67.91
20150103,6.34,0.1,72.96
20150104,6.01,1.7,85.1
20150105,2.99,1.14,76.94
20150106,3.24,0.01,65.35
20150107,2.54,0.02,77.85
20150108,1.96,0.83,82.01
20150109,2.69,0.8,70.49
20150110,1.3,0.92,84.09
20150111,1.9,0.07,66.13
20150112,1.57,0.0,71.37
20150113,1.81,0.0,71.55
20150114,1.66,0.0,63.34
20150115,2.42,0.0,72.55
20150116,2.15,0.0,72.79
20150117,1.79,0.82,57.48
20150118,2.61,3.65,65.04
20150119,1.33,1.44,79.3
20150120,1.53,0.01,75.9
20150121,2.77,0.0,63.64
20150122,2.83,0.0,65.92
20150123,3.29,0.02,80.78
20150124,2.67,0.11,88.06
20150125,3.83,0.0,82.33
20150126,4.46,0.0,77.0
20150127,4.19,0.0,77.91
20150128,3.63,0.0,88.02
20150129,3.85,0.12,79.35
20150130,2.67,2.16,86.97
20150131,1.99,0.86,68.68
20150201,1.2,0.07,58.71
20150202,2.15,0.0,50.09
20150203,3.02,0.0,58.68
20150204,3.5,0.0,75.84
20150205,3.46,0.0,86.63
20150206,3.08,0.0,79.24
20150207,3.54,0.0,79.08
20150208,3.26,0.0,76.85
20150209,3.39,0.0,80.29
20150210,3.26,0.0,86.09
20150211,4.7,0.06,73.64
20150212,4.46,0.82,73.87
20150213,1.6,8.24,80.93
20150214,2.14,0.01,71.23
20150215,2.92,0.0,77.22
20150216,3.66,0.0,75.42
20150217,4.37,0.0,68.8
20150218,3.85,0.03,72.27
20150219,2.51,0.53,84.18
20150220,4.06,0.79,80.78
20150221,4.85,0.29,80.31
20150222,4.11,0.34,79.79
20150223,6.05,0.0,78.69
20150224,6.42,0.01,83.7
20150225,7.33,0.99,85.67
20150226,6.37,10.17,89.11
20150227,6.27,11.7,89.57
20150228,7.32,1.91,83.54
20150301,7.43,0.01,82.62
20150302,7.64,0.51,82.37
20150303,6.93,3.74,87.82
20150304,5.75,5.48,85.11
20150305,4.11,2.12,80.81
20150306,4.4,0.37,75.35
20150307,4.73,0.15,68.94
20150308,5.59,0.0,60.08
20150309,7.6,0.0,62.42
20150310,8.23,0.95,69.85
20150311,7.5,0.37,65.25
20150312,7.6,0.0,65.28
20150313,8.07,0.0,70.65
20150314,7.96,0.0,73.0
20150315,7.41,0.0,83.62
20150316,7.97,0.02,76.16
20150317,8.26,0.25,76.37
20150318,7.7,2.22,72.42
20150319,6.4,6.87,68.47
20150320,7.27,0.23,55.09
20150321,8.76,0.0,54.32
20150322,9.59,0.0,60.74
20150323,9.76,0.0,63.43
20150324,5.52,0.68,85.27
20150325,7.72,0.21,76.17
20150326,8.9,0.26,80.04
20150327,8.79,4.13,79.3
