,T2M,Rain,Humidity
20150101,17.56,14.07,87.07
20150102,18.38,3.82,84.37
20150103,17.81,1.72,85.61
20150104,16.29,1.49,81.17
20150105,12.63,0.0,63.29
20150106,13.65,0.0,49.84
20150107,14.65,0.0,52.19
20150108,13.43,0.0,59.11
20150109,11.95,0.0,56.45
20150110,12.53,0.0,46.08
20150111,12.7,0.0,43.4
20150112,12.68,0.0,45.1
20150113,13.07,0.0,45.34
20150114,14.68,0.0,45.52
20150115,14.94,0.0,48.77
20150116,13.14,0.0,56.78
20150117,12.2,0.0,54.74
20150118,11.75,0.0,50.04
20150119,12.51,0.0,49.23
20150120,13.14,0.0,46.4
20150121,16.04,0.0,47.87
20150122,16.87,0.08,50.28
20150123,16.48,0.32,68.7
20150124,16.83,0.0,70.77
20150125,18.09,0.0,63.45
20150126,18.41,0.17,64.07
20150127,19.03,0.62,65.38
20150128,18.14,1.55,70.06
20150129,16.95,6.08,74.78
20150130,13.92,0.01,47.35
20150131,13.06,0.0,37.68
20150201,15.75,0.0,36.37
20150202,16.36,0.0,41.96
20150203,18.36,0.0,41.76
20150204,18.33,0.09,50.95
20150205,17.29,0.0,50.19
20150206,17.17,0.0,45.59
20150207,19.44,0.0,44.84
20150208,19.58,1.2,50.63
20150209,17.7,1.11,66.35
20150210,18.25,0.0,56.57
20150211,17.9,4.32,59.41
20150212,17.65,1.56,68.52
20150213,17.64,0.0,51.89
20150214,18.75,0.0,39.64
20150215,20.28,0.0,41.18
20150216,19.56,0.0,43.57
20150217,20.69,0.0,41.61
20150218,22.04,0.0,35.73
20150219,20.19,0.0,39.38
20150220,21.7,0.0,36.3
20150221,21.8,0.0,36.33
20150222,21.45,0.0,40.14
20150223,21.49,0.0,37.81
20150224,22.11,0.0,35.62
20150225,23.69,0.0,32.06
20150226,23.68,0.0,34.29
20150227,23.15,0.03,42.11
20150228,23.85,0.9,40.78
20150301,23.08,11.26,55.05
20150302,19.03,12.32,76.99
20150303,19.61,4.56,66.62
20150304,17.53,0.02,51.69
20150305,18.36,0.0,44.2
20150306,19.48,0.0,42.32
20150307,20.6,0.0,43.04
20150308,22.61,0.0,42.41
20150309,24.43,0.25,44.27
20150310,23.06,0.02,47.89
20150311,22.44,0.0,35.41
20150312,23.47,0.0,38.62
20150313,24.3,0.0,41.32
20150314,24.16,0.22,48.59
20150315,24.04,1.96,53.15
20150316,23.28,1.48,53.66
20150317,23.02,8.35,60.85
20150318,22.9,0.0,48.44
20150319,21.94,0.0,39.2
20150320,22.52,0.0,34.78
20150321,23.14,0.0,32.87
20150322,25.39,0.0,36.36
20150323,26.18,0.0,39.34
20150324,25.79,0.0,38.03
20150325,26.3,0.0,31.94
20150326,27.3,0.0,31.44
20150327,27.78,0.0,30.78
20150328,28.2,0.01,30.08
20150329,28.35,1.81,33.82
20150330,22.96,4.79,62.41
20150331,25.53,0.41,44.32
20150401,26.46,0.0,32.01
20150402,27.99,0.0,25.09
20150403,28.26,0.0,28.88
20150404,28.47,0.0,28.0
20150405,27.61,0.0,31.18
20150406,28.29,0.02,36.08
20150407,29.15,0.01,29.89
20150408,28.55,2.64,33.65
20150409,27.38,13.79,44.47
20150410,29.21,0.0,42.15
20150411,28.45,0.76,45.38
20150412,24.04,0.62,58.5
20150413,22.36,1.72,66.46
20150414,24.66,2.78,57.84
20150415,23.35,3.66,58.94
20150416,26.08,0.11,49.86
20150417,27.07,0.48,45.38
20150418,29.57,0.0,38.08
20150419,30.93,0.0,34.74
20150420,31.75,0.0,32.46
20150421,32.08,0.0,29.87
20150422,31.72,0.0,25.46
20150423,32.16,0.0,21.28
20150424,32.0,0.04,18.25
20150425,29.26,3.16,33.73
20150426,27.34,4.37,53.56
20150427,29.62,1.81,43.55
20150428,31.89,0.0,33.03
20150429,30.91,1.19,36.13
20150430,30.79,0.42,31.48
20150501,31.61,0.0,24.11
20150502,31.26,0.0,16.76
20150503,32.24,0.09,25.42
20150504,32.88,0.13,27.37
20150505,32.95,0.29,27.31
20150506,33.16,0.0,18.92
20150507,33.6,0.0,14.25
20150508,33.89,0.0,14.5
20150509,33.94,0.0,17.18
20150510,32.76,0.11,20.63
20150511,33.33,2.18,27.61
20150512,33.45,0.45,32.29
20150513,33.94,0.78,28.57
20150514,31.66,0.06,34.32
