,T2M,Rain,Humidity
20150101,18.65,0.96,66.99
20150102,17.77,0.05,65.54
20150103,19.38,0.0,58.85
20150104,18.55,0.0,48.0
20150105,18.48,0.0,38.96
20150106,18.7,0.0,28.92
20150107,19.06,0.0,33.95
20150108,18.76,0.0,28.03
20150109,19.16,0.0,31.24
20150110,19.49,0.0,28.26
20150111,20.3,0.0,28.49
20150112,20.71,0.0,29.51
20150113,20.52,0.0,28.23
20150114,20.74,0.0,37.48
20150115,18.1,0.0,30.9
20150116,17.72,0.0,29.59
20150117,17.46,0.0,26.26
20150118,17.55,0.0,25.59
20150119,18.6,0.0,30.68
20150120,19.25,0.0,38.03
20150121,18.79,5.93,67.25
20150122,19.7,0.05,67.53
20150123,18.63,0.0,51.36
20150124,18.25,0.0,51.73
20150125,18.78,0.45,65.43
20150126,17.77,0.0,54.27
20150127,16.5,0.0,49.49
20150128,17.02,0.0,42.88
20150129,17.08,0.0,35.26
20150130,17.72,0.0,30.72
20150131,19.51,0.0,26.4
20150201,19.46,0.0,27.75
20150202,21.52,0.0,33.75
20150203,22.33,0.0,36.06
20150204,20.76,0.0,30.52
20150205,20.78,0.0,28.16
20150206,21.69,0.0,26.06
20150207,21.46,0.0,22.29
20150208,21.32,0.0,24.42
20150209,21.14,0.0,44.02
20150210,22.21,0.01,40.4
20150211,22.71,0.02,35.63
20150212,22.25,0.0,23.45
20150213,22.95,0.0,18.71
20150214,24.66,0.0,21.55
20150215,25.72,0.0,25.67
20150216,25.15,0.0,29.22
20150217,24.61,0.0,32.6
20150218,25.19,0.0,25.34
20150219,25.63,0.0,28.14
20150220,25.7,0.0,32.72
20150221,26.9,0.0,22.95
20150222,28.41,0.0,20.22
20150223,27.73,0.0,20.41
20150224,27.24,0.0,26.52
20150225,23.67,0.0,32.45
20150226,21.51,0.0,13.05
20150227,21.61,0.0,13.75
20150228,23.08,0.01,21.42
20150301,20.47,13.77,67.71
20150302,20.08,0.3,58.73
20150303,19.9,0.0,50.15
20150304,21.21,0.0,45.92
20150305,22.79,0.0,41.41
20150306,23.72,0.0,40.44
20150307,24.59,0.0,39.57
20150308,24.61,0.0,39.38
20150309,22.52,0.0,15.15
20150310,22.9,0.0,21.23
20150311,25.91,0.0,27.02
20150312,27.69,0.19,26.3
20150313,27.56,1.22,30.17
20150314,25.02,4.15,55.89
20150315,24.32,0.24,53.27
20150316,23.04,0.0,36.7
20150317,23.93,0.0,32.67
20150318,24.83,0.0,29.84
20150319,26.05,0.0,28.86
20150320,27.65,0.0,28.17
20150321,30.04,0.0,24.89
20150322,31.54,0.0,24.65
20150323,31.62,0.0,24.25
20150324,31.79,0.0,22.96
20150325,32.81,0.0,20.94
20150326,33.06,0.0,21.19
20150327,33.41,0.0,22.24
20150328,33.63,0.0,22.33
20150329,31.86,0.0,23.49
20150330,29.82,0.0,23.74
20150331,28.56,0.0,24.6
20150401,29.79,0.0,22.5
20150402,29.73,0.0,42.88
20150403,29.34,0.0,43.82
20150404,28.16,0.17,48.24
20150405,28.84,0.0,44.53
20150406,30.0,0.12,32.98
20150407,30.41,0.48,36.5
20150408,32.29,0.0,30.82
20150409,32.23,0.01,24.54
20150410,32.82,0.0,22.63
20150411,31.74,0.14,32.15
20150412,27.41,18.06,50.43
20150413,27.24,0.69,55.72
20150414,27.77,0.03,51.58
20150415,28.91,0.08,52.04
20150416,31.52,0.0,42.25
20150417,32.04,0.0,36.0
20150418,33.19,0.0,30.3
20150419,33.02,0.0,26.96
