,T2M,Rain,Humidity
20150101,12.14,5.14,83.06
20150102,12.51,2.29,90.53
20150103,16.03,0.38,77.63
20150104,13.96,0.01,73.38
20150105,13.17,0.0,59.29
20150106,14.52,0.0,49.93
20150107,14.59,0.0,55.39
20150108,13.5,0.0,55.73
20150109,13.98,0.0,45.23
20150110,15.85,0.0,38.04
20150111,15.97,0.0,43.19
20150112,14.66,0.0,46.7
20150113,13.87,0.0,46.61
20150114,14.91,0.02,54.0
20150115,13.39,0.06,63.66
20150116,12.9,0.0,59.55
20150117,11.9,0.0,53.66
20150118,12.17,0.0,50.9
20150119,12.25,0.0,52.36
20150120,13.37,0.0,49.85
20150121,15.86,0.22,57.05
20150122,15.72,5.21,78.58
20150123,15.03,0.64,83.0
20150124,15.28,0.1,76.15
20150125,12.18,6.83,80.08
20150126,14.0,2.71,88.64
20150127,14.77,0.12,83.82
20150128,14.11,0.01,66.44
20150129,13.16,0.36,54.85
20150130,11.95,0.09,48.06
20150131,14.93,0.0,38.43
20150201,15.84,0.0,44.57
20150202,17.43,0.0,50.94
20150203,18.1,0.0,57.39
20150204,16.58,0.01,57.29
20150205,16.0,0.0,48.36
20150206,17.07,0.01,50.54
20150207,18.84,2.86,58.96
20150208,18.26,12.41,71.61
20150209,17.45,0.03,69.98
20150210,17.42,0.0,54.63
20150211,17.31,0.18,63.67
20150212,17.79,0.0,65.09
20150213,18.1,0.0,43.08
20150214,20.03,0.0,43.61
20150215,19.97,0.0,48.07
20150216,20.24,0.0,44.75
20150217,20.78,0.0,47.38
20150218,20.84,0.0,45.86
20150219,22.06,0.0,42.94
20150220,23.13,0.0,38.22
20150221,23.42,0.0,36.71
20150222,22.92,0.0,36.19
20150223,24.48,0.0,30.14
20150224,24.71,0.0,31.15
20150225,24.79,0.0,31.8
20150226,21.74,0.0,28.26
20150227,21.17,0.0,23.05
20150228,20.16,1.09,40.29
20150301,18.09,8.45,75.89
20150302,18.68,4.43,70.73
20150303,18.09,0.01,57.05
20150304,17.91,0.0,53.83
20150305,19.41,0.0,46.09
20150306,20.55,0.0,46.81
20150307,21.99,0.0,44.05
20150308,23.88,0.08,40.67
20150309,21.27,0.0,42.2
20150310,19.99,0.0,28.79
20150311,22.53,0.82,32.94
20150312,22.18,2.45,49.2
20150313,23.42,0.35,53.1
20150314,20.99,13.13,71.18
20150315,21.39,21.01,74.85
20150316,22.34,0.13,68.09
20150317,21.76,0.0,62.26
20150318,20.65,0.0,51.96
20150319,20.92,0.0,45.48
20150320,22.75,0.0,44.15
20150321,24.73,0.0,45.02
20150322,25.98,0.0,48.34
20150323,26.22,0.0,47.72
20150324,26.41,0.0,43.25
20150325,26.61,0.0,38.34
20150326,26.97,0.0,36.77
20150327,27.72,0.0,39.52
20150328,28.88,0.0,36.25
20150329,27.35,0.01,42.62
20150330,27.23,2.62,42.3
20150331,26.06,0.0,35.16
20150401,27.68,0.0,34.56
20150402,28.69,0.0,31.39
20150403,29.13,0.0,32.99
20150404,27.54,0.01,34.96
20150405,26.79,0.03,41.62
20150406,27.08,5.95,44.81
20150407,26.02,0.04,43.21
20150408,26.84,0.02,39.22
20150409,28.25,0.0,33.86
20150410,29.5,0.0,29.47
20150411,30.03,2.62,32.45
20150412,27.17,1.74,44.7
20150413,23.84,0.85,58.28
20150414,24.39,0.99,56.29
20150415,25.88,0.01,51.02
20150416,27.91,0.0,44.7
20150417,30.33,0.0,36.19
20150418,32.41,0.0,29.42
20150419,33.45,0.0,26.35
20150420,33.85,0.0,23.43
20150421,33.09,0.0,19.23
20150422,32.2,0.0,21.65
20150423,31.59,0.0,16.26
20150424,32.41,0.0,16.84
20150425,32.98,0.0,17.56
20150426,32.32,0.0,21.21
20150427,33.1,0.0,25.33
20150428,33.84,0.0,21.27
20150429,32.94,0.0,27.39
20150430,34.16,0.0,22.86
20150501,32.8,0.0,12.76
20150502,32.36,0.0,16.82
20150503,33.22,0.0,19.65
20150504,34.56,0.0,16.33
20150505,34.41,0.0,14.34
20150506,35.35,0.0,11.22
20150507,35.7,0.0,11.9
20150508,35.68,0.0,13.86
20150509,35.98,0.0,17.33
20150510,36.33,0.15,17.42
20150511,36.19,0.0,17.95
20150512,36.52,0.15,18.84
20150513,35.7,1.0,27.33
20150514,34.56,0.25,28.88
20150515,34.21,1.25,25.68
20150516,34.6,0.0,29.33
20150517,34.73,0.25,25.47
20150518,36.21,0.0,21.7
20150519,37.47,0.0,19.74
20150520,36.32,0.12,22.25
20150521,36.32,0.0,17.28
20150522,37.73,0.0,19.07
20150523,37.04,0.0,15.79
20150524,37.58,0.0,23.15
20150525,37.69,0.0,24.46
20150526,37.88,0.0,23.37
20150527,37.14,0.02,16.73
20150528,36.2,0.0,11.91
20150529,37.85,0.9,17.66
20150530,37.4,0.0,18.06
20150531,37.64,0.0,17.66
20150601,36.64,0.0,17.44
20150602,35.75,0.03,23.07
20150603,35.69,0.06,22.84
20150604,35.78,0.0,26.63
20150605,36.71,0.0,20.8
20150606,36.51,0.0,19.78
