,T2M,Rain,Humidity
20150101,5.49,0.02,48.27
20150102,4.52,5.63,75.89
20150103,2.42,35.8,94.47
20150104,1.61,5.35,83.12
20150105,2.22,0.0,51.63
20150106,4.8,0.0,52.65
20150107,1.8,0.0,55.51
20150108,1.38,0.0,41.42
20150109,2.58,0.0,37.74
20150110,5.07,0.0,38.35
20150111,7.59,0.0,34.87
20150112,7.58,0.0,35.63
20150113,6.77,0.0,38.97
20150114,3.53,1.02,59.77
20150115,2.94,0.01,60.88
20150116,2.36,0.0,67.28
20150117,3.11,0.0,56.13
20150118,2.64,0.0,50.64
20150119,3.28,0.0,48.59
20150120,4.07,0.0,45.26
20150121,4.45,0.06,43.1
20150122,1.02,7.08,84.85
20150123,2.94,3.79,78.37
20150124,2.68,0.04,57.76
20150125,3.69,0.3,45.61
20150126,1.78,1.13,75.2
20150127,1.75,0.07,80.7
20150128,1.95,0.0,66.98
20150129,0.84,0.0,74.29
20150130,1.0,0.0,52.49
20150131,4.01,0.0,41.77
20150201,3.5,0.0,54.06
20150202,3.39,0.29,73.17
20150203,2.16,5.55,89.95
20150204,3.56,0.07,68.98
20150205,4.51,0.04,52.83
20150206,4.77,0.0,47.78
20150207,4.56,0.0,45.37
20150208,5.05,0.0,55.44
20150209,4.81,0.0,58.25
20150210,5.16,0.0,51.83
20150211,5.87,0.0,54.21
20150212,5.16,0.0,56.38
20150213,6.02,0.0,42.87
20150214,6.43,0.07,54.7
20150215,7.5,0.55,60.3
20150216,7.48,0.52,62.63
20150217,7.58,0.0,66.24
20150218,5.94,0.08,80.87
20150219,6.69,1.18,70.77
20150220,6.28,2.66,74.4
20150221,8.11,0.0,57.19
20150222,10.77,0.0,43.49
20150223,11.65,0.0,51.71
20150224,11.97,0.0,54.94
20150225,9.0,1.17,74.84
20150226,7.05,1.51,85.25
20150227,6.04,12.96,70.98
20150228,5.66,0.77,66.64
20150301,2.95,16.97,90.48
20150302,4.22,47.85,80.42
20150303,2.86,27.85,88.37
20150304,2.6,3.67,86.36
20150305,3.22,0.05,73.9
20150306,4.73,0.0,67.87
20150307,5.76,0.35,65.73
20150308,4.46,2.72,77.69
20150309,4.84,0.95,76.28
20150310,6.04,0.0,61.38
20150311,7.7,0.0,53.08
20150312,8.8,0.0,51.64
20150313,8.34,0.0,55.0
20150314,7.47,1.62,77.12
20150315,6.37,5.26,80.25
20150316,5.93,6.57,76.27
20150317,6.86,0.08,70.74
20150318,6.44,0.0,71.66
20150319,7.63,0.0,64.71
20150320,10.41,0.0,60.48
20150321,10.31,0.0,62.25
20150322,12.14,0.0,63.62
20150323,12.9,0.0,62.82
20150324,13.31,0.0,63.15
20150325,13.06,0.02,70.03
20150326,13.16,1.09,61.34
20150327,13.63,0.01,59.81
20150328,13.8,0.2,54.99
20150329,12.22,1.39,58.53
20150330,7.11,39.05,88.58
20150331,7.85,0.63,68.88
20150401,9.49,0.5,76.39
20150402,10.95,0.85,67.79
20150403,8.41,6.92,79.7
20150404,7.33,18.02,81.57
20150405,8.36,0.94,81.21
20150406,9.67,2.69,73.25
20150407,9.39,0.84,73.02
20150408,9.39,0.45,72.31
20150409,10.99,0.0,67.79
20150410,12.03,0.0,60.66
20150411,12.06,0.02,58.57
20150412,11.26,0.46,62.8
20150413,10.33,2.08,79.77
20150414,11.86,1.15,79.95
20150415,11.16,1.82,84.53
20150416,11.4,8.99,83.86
20150417,12.74,0.23,71.94
20150418,14.45,0.19,54.45
20150419,15.39,0.03,55.4
20150420,15.81,0.15,60.03
20150421,15.1,0.3,59.59
20150422,15.14,0.01,49.35
20150423,14.48,0.0,45.44
20150424,15.18,0.3,47.65
20150425,14.42,0.27,57.51
20150426,12.3,0.01,75.14
20150427,13.75,2.0,75.94
20150428,13.8,2.79,72.06
20150429,14.14,0.2,61.07
20150430,15.03,0.58,56.25
20150501,15.13,5.26,57.19
20150502,13.92,0.42,53.62
20150503,13.94,0.2,44.81
20150504,15.4,0.0,43.0
20150505,17.1,0.0,43.41
20150506,17.33,0.05,47.64
20150507,18.03,0.89,52.46
20150508,18.65,0.16,49.24
20150509,18.03,0.0,45.77
20150510,18.25,0.0,46.51
20150511,18.58,1.1,49.05
20150512,17.79,0.19,51.39
20150513,17.4,0.01,52.1
20150514,17.05,0.0,52.64
20150515,16.64,0.21,56.71
20150516,16.51,0.24,55.5
20150517,17.67,0.0,55.0
20150518,19.33,0.0,49.35
20150519,19.94,0.0,43.5
20150520,19.26,0.0,36.47
20150521,19.4,0.0,31.43
20150522,20.0,0.0,28.2
20150523,20.06,0.0,28.09
20150524,19.85,0.05,29.93
20150525,20.76,0.03,27.91
20150526,20.71,0.53,26.15
20150527,19.85,0.44,23.89
20150528,19.17,3.86,24.33
20150529,20.12,0.74,29.28
20150530,20.23,0.02,33.68
20150531,18.91,0.94,39.44
20150601,17.54,0.14,40.58
20150602,17.7,0.1,44.04
20150603,19.3,0.0,38.33
20150604,19.51,0.16,41.02
20150605,20.24,0.02,39.27
20150606,20.13,0.01,33.34
20150607,20.95,0.09,35.24
20150608,21.49,0.36,31.28
20150609,21.97,0.09,33.04
20150610,21.67,0.0,40.29
20150611,21.4,0.0,43.12
20150612,21.29,0.0,36.7
20150613,18.98,0.87,51.72
20150614,17.53,0.16,63.56
20150615,18.33,0.0,57.23
20150616,18.94,0.02,56.57
20150617,19.46,1.01,58.7
20150618,20.01,11.13,60.14
20150619,19.26,6.67,69.08
20150620,19.38,5.18,68.17
20150621,19.85,2.65,69.4
20150622,19.68,2.36,69.48
20150623,19.8,2.42,71.21
20150624,20.16,1.32,65.57
20150625,17.11,26.85,80.89
20150626,17.58,52.48,76.04
20150627,17.86,2.33,60.22
20150628,18.91,7.09,66.18
20150629,17.86,19.4,79.21
20150630,17.05,15.3,83.79
20150701,17.55,4.23,78.87
20150702,17.78,2.61,81.45
20150703,18.9,0.15,78.17
20150704,19.54,3.25,79.96
20150705,20.06,6.2,82.9
20150706,18.39,20.99,85.65
20150707,18.15,12.68,86.08
20150708,18.31,7.75,88.3
20150709,18.4,7.08,88.57
20150710,17.22,18.87,90.38
20150711,17.59,27.99,86.45
20150712,17.57,9.1,83.0
20150713,19.05,5.1,79.66
20150714,19.92,0.51,83.86
20150715,19.92,1.04,89.25
20150716,19.8,5.86,86.52
20150717,18.13,3.95,92.24
20150718,17.06,0.48,91.78
20150719,17.59,0.97,87.49
20150720,17.89,2.56,82.05
20150721,17.96,2.02,90.22
20150722,17.65,2.96,92.45
20150723,18.35,4.9,88.12
20150724,18.19,18.63,88.9
20150725,17.86,13.26,90.52
20150726,18.53,4.14,84.49
20150727,17.86,1.53,85.48
20150728,18.3,1.2,85.15
20150729,18.38,0.0,85.16
20150730,18.64,0.24,86.7
20150731,17.47,6.53,90.73
20150801,16.76,11.55,91.23
20150802,16.92,3.16,86.89
20150803,18.08,2.26,80.09
20150804,18.75,0.09,80.91
20150805,17.88,0.12,91.13
20150806,17.26,6.04,94.59
20150807,17.71,6.93,90.23
20150808,17.91,11.05,93.34
20150809,18.19,3.9,93.39
20150810,18.1,1.8,92.83
20150811,17.86,7.24,90.91
20150812,17.33,2.0,88.76
20150813,18.19,2.38,88.64
20150814,18.57,2.8,90.6
20150815,18.16,5.95,91.82
20150816,17.96,5.14,87.31
20150817,17.13,14.98,92.62
20150818,17.9,7.58,89.45
20150819,18.2,2.16,85.11
20150820,18.41,12.23,86.92
20150821,17.86,10.86,87.17
20150822,17.02,6.4,87.9
20150823,17.01,4.7,88.87
20150824,17.83,0.52,86.41
20150825,18.69,0.73,83.27
20150826,18.55,4.03,80.85
20150827,18.39,2.28,85.3
20150828,18.41,0.35,83.35
20150829,18.17,0.26,73.25
20150830,18.07,1.48,78.33
20150831,17.88,0.78,80.08
20150901,17.24,0.11,77.99
20150902,16.8,1.69,80.8
20150903,16.54,0.5,83.58
20150904,16.72,0.07,81.43
20150905,16.89,0.0,77.78
20150906,16.65,0.02,76.2
20150907,16.24,0.61,72.95
20150908,17.14,0.07,68.96
20150909,18.14,0.0,65.62
20150910,18.2,0.0,65.28
20150911,18.3,0.0,67.66
20150912,17.89,2.83,70.2
20150913,17.11,0.09,70.01
20150914,17.7,0.0,72.24
20150915,17.06,0.73,67.82
20150916,16.8,0.11,68.59
20150917,17.41,0.0,59.04
20150918,17.85,1.47,68.46
20150919,18.31,2.54,74.82
20150920,18.13,11.05,75.5
20150921,17.56,1.33,76.78
20150922,17.17,3.48,86.41
20150923,16.91,4.98,79.69
20150924,16.12,0.13,74.72
20150925,15.58,0.0,71.2
20150926,15.07,0.0,76.91
20150927,14.79,0.0,74.79
20150928,14.68,0.0,71.29
20150929,15.9,0.0,65.07
20150930,16.72,0.0,59.29
20151001,17.02,0.0,58.85
20151002,16.37,0.0,60.55
20151003,15.98,0.0,59.13
20151004,15.01,0.0,59.08
20151005,14.87,0.0,55.28
20151006,15.36,0.0,60.71
20151007,15.71,0.0,59.9
20151008,15.26,0.0,61.59
20151009,15.54,0.0,65.45
20151010,15.51,0.15,63.79
20151011,15.07,0.0,62.0
20151012,13.65,1.23,72.74
20151013,13.59,2.78,84.58
20151014,13.11,4.33,85.28
20151015,12.62,0.91,75.51
20151016,12.6,4.24,80.91
20151017,13.36,0.0,71.78
20151018,13.73,0.0,62.75
20151019,13.86,0.0,62.38
20151020,12.95,0.0,63.16
20151021,12.04,0.0,53.41
20151022,11.92,0.0,42.08
20151023,12.05,0.0,47.64
20151024,12.33,0.0,48.8
20151025,11.89,0.0,50.25
20151026,11.02,0.5,47.68
20151027,10.48,0.06,46.24
20151028,10.35,0.11,47.51
20151029,9.89,1.57,55.26
20151030,10.37,0.1,58.88
20151031,12.16,0.02,52.03
20151101,11.68,0.0,58.46
20151102,11.64,0.0,53.09
20151103,10.93,0.0,52.01
20151104,10.11,0.03,51.02
20151105,8.3,1.14,64.62
20151106,8.32,0.02,64.78
20151107,9.5,0.0,50.59
20151108,9.47,0.0,49.85
20151109,9.09,0.0,54.86
20151110,9.82,0.0,53.21
20151111,9.89,0.0,52.22
20151112,12.19,0.0,42.61
20151113,12.89,0.0,42.99
20151114,11.36,0.0,53.76
20151115,10.91,0.0,48.19
20151116,9.47,0.0,49.31
20151117,9.55,0.0,51.93
20151118,10.57,0.0,36.89
20151119,11.62,0.0,36.44
20151120,12.22,0.0,38.56
20151121,12.29,0.0,35.89
20151122,12.18,0.0,31.67
20151123,11.77,0.0,33.8
20151124,11.78,0.0,31.38
20151125,12.39,0.0,21.67
20151126,10.15,0.05,33.89
20151127,6.48,0.57,74.23
20151128,7.54,0.11,67.68
20151129,9.05,0.0,42.33
20151130,9.91,0.0,37.36
20151201,10.15,0.0,29.05
20151202,8.55,0.0,40.57
20151203,8.53,0.0,43.14
20151204,10.75,0.0,31.6
20151205,9.87,0.0,35.03
20151206,9.34,0.0,37.13
20151207,8.98,0.0,34.16
20151208,8.97,0.0,35.02
20151209,8.57,0.31,35.23
20151210,7.22,0.19,48.46
20151211,4.14,3.8,77.58
20151212,4.23,0.35,66.98
20151213,4.47,0.0,50.87
20151214,3.84,0.0,47.81
20151215,4.31,0.0,41.41
20151216,4.92,0.0,40.96
20151217,2.02,0.0,46.09
20151218,2.35,0.0,40.97
20151219,3.43,0.0,33.62
20151220,1.75,0.0,34.99
20151221,1.7,0.0,37.11
20151222,1.6,0.0,32.93
20151223,1.06,0.0,35.36
20151224,0.55,0.0,49.1
20151225,3.3,0.0,26.59
20151226,6.92,0.0,28.26
20151227,8.81,0.0,33.15
20151228,9.73,0.0,30.79
20151229,8.85,0.0,21.84
20151230,7.01,0.0,23.72
20151231,5.37,0.0,19.4
20160101,6.94,0.0,17.48
20160102,6.32,0.0,21.97
20160103,6.82,0.0,22.46
20160104,7.4,0.0,25.76
20160105,6.24,0.0,43.9
20160106,5.65,0.0,51.86
20160107,5.25,0.0,53.04
20160108,3.82,0.03,60.39
20160109,5.53,0.0,38.2
20160110,6.77,0.0,33.17
20160111,6.1,0.0,38.66
20160112,6.06,0.0,38.07
20160113,3.74,0.0,39.94
20160114,3.91,0.0,40.19
20160115,4.16,0.0,43.84
20160116,5.07,0.0,30.46
20160117,4.94,0.0,32.53
20160118,4.01,0.0,30.3
20160119,2.62,0.25,39.69
20160120,0.06,1.64,68.02
20160121,2.59,0.0,30.87
20160122,3.6,0.0,21.35
20160123,3.77,0.0,22.77
20160124,3.57,0.0,26.39
20160125,2.95,0.0,27.71
20160126,3.36,0.0,34.94
20160127,3.97,0.0,42.56
20160128,5.49,0.0,41.8
20160129,6.12,0.38,50.14
20160130,6.51,0.03,55.83
20160131,5.47,0.0,43.12
20160201,5.07,0.0,44.35
20160202,5.06,0.0,20.55
20160203,6.26,0.0,17.19
20160204,8.78,0.0,16.59
20160205,10.49,0.0,14.95
20160206,9.82,0.0,16.74
20160207,4.91,9.62,50.97
20160208,4.15,5.24,65.81
20160209,4.88,0.16,56.06
20160210,4.83,0.0,55.79
20160211,3.05,0.0,64.0
20160212,3.85,0.0,45.12
20160213,3.82,2.63,44.42
20160214,3.78,0.01,48.54
20160215,4.57,0.0,43.21
20160216,5.7,0.0,43.84
20160217,7.66,0.0,37.42
20160218,10.27,0.0,40.73
20160219,11.54,0.26,47.54
20160220,9.43,6.5,66.09
20160221,8.62,0.04,52.57
20160222,9.71,0.02,38.45
20160223,8.44,0.0,38.43
20160224,8.57,0.0,27.64
20160225,8.35,0.0,28.57
20160226,8.7,0.0,34.92
20160227,8.58,0.0,37.07
20160228,8.88,0.0,37.01
20160229,8.96,0.03,39.39
20160301,9.28,0.0,38.99
20160302,9.58,0.0,44.8
20160303,10.71,0.0,44.56
20160304,11.52,0.0,40.78
20160305,10.76,0.01,42.02
