,T2M,Rain,Humidity
20150101,18.73,0.0,79.42
20150102,20.87,0.04,72.71
20150103,21.34,0.72,79.02
20150104,19.39,5.65,89.85
20150105,17.69,0.14,86.6
20150106,16.64,0.0,82.32
20150107,16.99,0.0,81.8
20150108,17.76,0.0,78.3
20150109,18.07,0.0,77.3
20150110,16.48,0.0,75.82
20150111,16.45,0.0,71.77
20150112,16.79,0.0,81.29
20150113,18.27,0.0,75.79
20150114,18.43,0.0,76.82
20150115,18.55,0.0,76.29
20150116,18.74,0.0,75.1
20150117,19.18,0.34,74.03
20150118,17.3,0.0,75.8
20150119,16.91,0.0,71.77
20150120,16.72,0.0,72.93
20150121,17.13,0.0,73.4
20150122,18.54,0.0,78.62
20150123,18.28,0.0,79.73
20150124,18.02,0.0,72.56
20150125,17.32,0.0,80.79
20150126,17.28,0.0,77.76
20150127,17.91,0.0,69.59
20150128,18.62,0.0,79.23
20150129,18.16,0.0,78.35
20150130,16.98,0.86,78.51
20150131,15.11,0.0,67.72
20150201,16.27,0.0,62.82
20150202,17.53,0.0,66.87
20150203,19.2,0.0,68.66
20150204,18.74,0.0,72.09
20150205,19.0,0.0,64.12
20150206,17.44,0.0,66.6
20150207,17.6,0.0,68.96
20150208,17.65,0.0,73.44
20150209,18.14,0.0,72.51
20150210,18.81,0.0,72.07
20150211,18.54,0.0,67.44
20150212,18.5,0.0,62.66
20150213,18.87,0.16,62.23
20150214,18.13,0.02,66.85
20150215,18.52,0.27,70.94
20150216,19.39,0.0,71.77
20150217,20.4,0.02,71.41
20150218,22.09,2.08,66.53
20150219,20.96,1.51,75.88
20150220,20.04,0.02,81.03
20150221,21.16,1.67,76.17
20150222,21.69,0.0,71.96
20150223,21.98,0.0,72.21
20150224,22.96,0.09,69.86
20150225,23.63,0.0,70.64
20150226,23.46,0.42,75.05
20150227,23.29,10.48,74.62
20150228,23.55,0.0,67.85
20150301,24.86,0.12,68.58
20150302,24.79,0.01,72.89
20150303,22.77,0.22,69.88
20150304,21.27,2.3,68.35
20150305,19.85,0.0,62.94
20150306,19.92,0.02,56.82
20150307,20.91,0.01,61.7
20150308,21.05,0.0,66.93
20150309,21.89,0.0,67.81
20150310,22.64,0.0,59.3
20150311,22.16,0.0,54.09
20150312,22.96,0.0,56.49
20150313,23.03,0.0,55.57
20150314,23.37,0.0,55.89
20150315,24.12,0.0,59.08
20150316,24.42,0.0,58.21
20150317,24.0,0.0,62.35
20150318,23.73,0.03,63.0
20150319,23.16,0.48,52.75
20150320,23.55,0.0,49.42
20150321,24.28,0.0,57.52
20150322,25.08,0.0,55.7
20150323,26.44,0.0,57.01
20150324,24.61,0.03,65.51
20150325,26.0,0.0,62.15
20150326,26.24,0.0,67.43
20150327,23.1,18.89,83.45
20150328,23.69,1.83,81.99
20150329,25.25,0.0,76.49
20150330,25.97,2.17,75.31
20150331,24.36,0.07,77.0
20150401,25.69,0.72,69.63
20150402,25.59,13.61,76.19
20150403,26.07,0.33,69.28
20150404,25.85,9.68,72.54
20150405,25.32,9.59,78.74
20150406,24.91,2.6,73.2
20150407,25.54,0.14,68.88
20150408,25.72,0.48,75.43
20150409,26.46,0.35,67.92
20150410,26.46,0.0,55.96
20150411,27.16,0.09,56.21
20150412,26.93,0.31,64.14
20150413,25.07,0.98,74.99
20150414,27.41,0.25,62.59
20150415,27.76,1.36,59.88
20150416,28.3,0.0,61.7
20150417,27.78,2.86,62.38
20150418,26.03,51.49,77.22
20150419,27.13,4.72,74.43
20150420,27.56,2.02,72.72
20150421,26.92,52.11,85.07
20150422,26.45,4.18,81.97
20150423,27.79,10.65,80.68
20150424,26.25,16.24,81.9
20150425,25.6,12.68,73.65
20150426,24.14,0.11,79.2
20150427,25.26,0.13,77.09
20150428,26.52,10.16,73.17
20150429,26.08,12.81,79.56
20150430,27.5,0.41,66.68
20150501,27.92,6.33,71.55
20150502,27.33,18.38,81.77
20150503,27.54,3.79,81.44
20150504,28.15,10.06,77.11
20150505,28.24,1.41,74.75
20150506,28.35,10.76,77.09
20150507,28.14,6.17,77.96
20150508,24.52,3.47,81.02
20150509,26.88,0.03,75.29
20150510,28.69,1.96,76.39
20150511,28.5,4.14,77.56
20150512,27.87,4.35,77.27
20150513,28.12,5.39,80.99
20150514,28.65,39.66,83.72
20150515,29.36,19.63,81.45
20150516,27.49,7.29,85.75
20150517,27.5,4.09,83.06
20150518,28.04,9.46,77.72
20150519,28.88,0.05,76.98
20150520,29.58,0.56,76.45
20150521,29.92,4.51,77.3
20150522,29.93,7.48,77.05
20150523,30.01,11.26,78.2
20150524,30.0,19.29,79.25
20150525,29.2,28.12,82.46
20150526,29.01,16.25,81.22
20150527,28.69,18.0,83.19
20150528,28.68,31.9,85.16
20150529,29.5,17.49,80.09
20150530,28.89,10.72,83.76
20150531,29.09,14.24,85.2
20150601,29.15,8.08,85.3
20150602,29.07,7.22,85.02
20150603,29.13,20.47,84.84
20150604,29.7,12.8,83.77
20150605,29.78,1.58,81.81
20150606,29.05,3.29,84.75
20150607,29.41,7.44,84.02
20150608,29.71,18.99,85.03
20150609,29.88,17.02,83.87
20150610,29.17,27.98,85.47
20150611,27.16,37.03,83.13
20150612,28.75,26.57,85.14
20150613,28.71,4.0,85.18
20150614,27.94,2.8,87.14
20150615,28.94,17.6,83.9
20150616,28.98,24.81,84.34
20150617,29.1,13.97,84.85
20150618,29.45,2.88,82.19
20150619,30.11,0.97,79.19
20150620,29.98,2.92,83.99
20150621,30.27,5.23,81.27
20150622,30.39,8.16,79.66
20150623,29.44,15.89,86.85
20150624,28.78,3.95,91.68
20150625,29.83,9.07,88.21
20150626,29.29,17.73,89.83
20150627,30.31,11.47,84.73
20150628,29.19,4.89,84.26
20150629,29.28,0.97,83.57
20150630,29.53,2.44,84.41
20150701,29.75,2.65,83.94
20150702,30.1,10.03,83.62
20150703,30.02,6.2,83.69
20150704,29.64,13.24,87.44
20150705,28.98,13.76,90.92
20150706,28.66,4.9,89.71
20150707,30.25,8.05,81.83
20150708,28.67,1.49,89.71
20150709,29.08,1.14,87.86
20150710,29.29,18.05,83.19
20150711,29.1,12.59,85.84
20150712,29.87,1.9,83.61
20150713,30.3,1.54,84.9
20150714,30.01,22.86,89.53
20150715,29.13,40.63,92.7
20150716,28.88,9.3,84.86
20150717,29.72,0.11,79.43
20150718,29.96,0.19,80.09
20150719,28.55,24.87,87.73
20150720,27.66,20.87,88.7
20150721,27.66,6.67,86.68
20150722,27.89,12.3,89.25
20150723,28.82,2.39,86.33
20150724,28.29,30.59,89.21
20150725,29.86,9.46,80.03
20150726,31.0,0.02,76.26
20150727,29.26,0.45,81.9
20150728,30.38,0.16,76.17
20150729,30.84,0.02,79.46
20150730,30.29,1.39,82.89
20150731,27.4,2.33,83.98
20150801,27.85,5.17,86.77
20150802,28.43,1.45,85.23
20150803,28.26,0.26,84.51
20150804,28.49,3.48,86.97
20150805,29.15,1.05,84.92
20150806,29.33,2.0,84.29
20150807,29.24,15.72,84.1
20150808,28.82,11.18,86.86
20150809,29.89,4.99,81.65
20150810,28.78,3.94,89.11
20150811,30.78,1.3,80.72
20150812,29.64,15.54,87.38
20150813,29.88,5.19,84.41
20150814,29.77,1.04,86.3
20150815,28.35,2.91,91.51
20150816,29.49,3.98,86.39
20150817,29.33,23.3,87.37
20150818,28.49,28.47,89.77
20150819,28.59,24.01,91.05
20150820,29.23,69.41,85.69
20150821,27.24,8.28,89.31
20150822,26.82,3.9,90.74
20150823,27.92,7.07,88.98
20150824,29.14,6.58,84.83
20150825,28.69,2.38,91.36
20150826,28.99,0.63,88.56
20150827,28.75,25.5,90.58
20150828,28.73,27.93,86.92
20150829,28.56,19.87,90.39
20150830,28.14,32.48,92.7
20150831,27.59,32.04,93.77
20150901,28.39,11.66,83.41
20150902,27.78,8.59,88.56
20150903,28.61,21.64,84.72
20150904,27.08,38.64,92.66
20150905,27.76,2.14,89.3
20150906,28.32,1.67,88.47
20150907,28.48,0.18,88.13
20150908,28.5,1.17,88.13
20150909,29.34,0.82,83.98
20150910,30.01,0.64,82.29
20150911,28.81,13.74,86.92
20150912,28.47,17.33,87.66
20150913,29.05,0.21,85.59
20150914,29.05,10.42,84.92
20150915,27.63,18.59,91.02
20150916,29.08,0.3,83.67
20150917,29.16,0.0,86.73
20150918,29.72,0.01,82.37
20150919,29.95,1.05,82.29
20150920,27.8,11.3,88.1
20150921,28.14,26.85,87.78
20150922,27.05,15.26,92.17
20150923,27.58,67.61,88.97
20150924,27.34,11.7,93.4
20150925,27.67,0.32,88.83
20150926,27.13,0.0,85.77
20150927,27.43,0.0,81.12
20150928,27.91,0.0,82.25
20150929,28.32,0.0,82.62
20150930,28.92,0.0,78.84
20151001,28.94,0.09,81.94
20151002,28.58,0.74,85.57
20151003,27.89,0.83,86.54
20151004,27.26,0.01,80.98
20151005,27.42,1.04,74.56
20151006,27.87,12.51,81.7
20151007,28.5,0.55,82.78
20151008,27.9,3.17,86.45
20151009,27.28,0.3,89.7
20151010,26.98,11.47,84.79
20151011,26.44,13.64,84.22
20151012,25.11,0.65,85.19
20151013,24.39,2.74,88.38
20151014,24.27,3.2,89.46
20151015,25.14,0.17,83.69
20151016,25.16,1.89,84.88
20151017,26.09,1.15,79.1
20151018,26.4,0.05,81.64
20151019,26.53,0.0,81.64
20151020,26.74,0.0,80.4
20151021,25.72,0.0,85.9
20151022,25.77,3.55,88.59
20151023,25.42,4.06,85.87
20151024,24.45,0.0,81.94
20151025,24.46,0.0,82.38
20151026,24.36,0.0,85.27
20151027,24.3,0.0,84.65
20151028,24.35,0.0,83.43
20151029,24.62,0.0,82.93
20151030,24.91,0.0,83.32
20151031,23.97,3.2,86.66
20151101,23.84,0.1,81.64
20151102,24.27,0.0,82.26
20151103,24.1,3.29,85.29
20151104,23.36,5.29,87.99
20151105,23.33,2.49,83.47
20151106,23.71,0.01,80.75
20151107,22.81,0.0,83.68
20151108,22.32,0.0,83.34
20151109,22.36,0.0,81.89
20151110,23.17,0.0,78.43
20151111,23.6,0.0,78.43
20151112,22.68,0.0,81.38
20151113,22.75,0.0,82.95
20151114,23.02,0.0,84.73
20151115,22.36,0.0,85.37
20151116,21.99,0.0,87.31
20151117,22.12,0.0,84.59
20151118,23.33,0.0,75.25
20151119,21.86,0.0,85.37
20151120,21.34,0.0,84.76
20151121,21.44,0.0,83.36
20151122,21.49,0.0,83.55
