,T2M,Rain,Humidity
20150101,17.91,1.37,90.68
20150102,19.6,0.74,81.28
20150103,19.99,6.92,86.06
20150104,19.31,3.5,86.91
20150105,16.78,0.0,67.1
20150106,15.1,0.0,58.52
20150107,17.81,0.0,47.79
20150108,16.81,0.0,55.47
20150109,14.49,0.0,62.67
20150110,15.25,0.0,56.95
20150111,14.23,0.0,57.55
20150112,14.8,0.0,53.45
20150113,14.85,0.0,57.65
20150114,15.77,0.0,58.49
20150115,15.87,0.0,62.5
20150116,15.77,0.0,57.57
20150117,15.47,0.0,60.45
20150118,14.75,0.0,59.93
20150119,14.66,0.0,57.9
20150120,15.15,0.0,56.86
20150121,16.24,0.0,60.97
20150122,17.53,0.0,56.93
20150123,18.48,0.01,57.83
20150124,18.78,0.01,63.76
20150125,19.93,0.0,64.57
20150126,20.68,0.0,61.74
20150127,20.4,0.0,59.39
20150128,20.09,0.0,61.5
20150129,20.37,0.02,61.61
20150130,18.66,0.0,67.19
20150131,16.54,0.0,49.94
20150201,17.09,0.01,44.2
20150202,18.35,0.0,45.46
20150203,19.61,0.0,51.02
20150204,20.47,0.0,46.88
20150205,20.3,0.0,51.4
20150206,20.32,0.0,55.31
20150207,20.5,0.0,53.07
20150208,21.38,0.0,50.32
20150209,20.18,0.06,56.11
20150210,20.66,0.09,60.6
20150211,21.37,1.01,61.13
20150212,22.02,0.16,57.68
20150213,22.06,0.01,51.54
20150214,21.0,0.0,39.48
20150215,23.51,0.0,34.38
20150216,22.2,0.0,39.81
20150217,24.18,0.0,34.04
20150218,24.24,0.0,36.24
20150219,23.08,0.0,39.4
20150220,23.59,0.07,41.05
20150221,25.03,1.65,37.46
20150222,25.04,0.0,35.68
20150223,24.81,0.0,34.6
20150224,25.56,0.0,31.56
20150225,25.88,0.0,31.24
20150226,25.98,0.0,33.34
20150227,25.52,0.0,34.25
20150228,26.01,0.0,35.66
20150301,25.13,1.37,45.71
20150302,22.37,14.54,72.43
20150303,23.28,1.91,65.08
20150304,21.66,0.0,47.54
20150305,21.86,0.0,44.65
20150306,23.2,0.0,45.35
20150307,23.99,0.0,42.14
20150308,25.04,0.17,41.63
20150309,25.53,1.54,48.25
20150310,26.08,0.0,43.74
20150311,25.79,0.0,44.12
20150312,26.53,0.19,42.28
20150313,27.19,0.0,38.41
20150314,27.94,0.01,39.44
20150315,27.88,0.01,38.2
20150316,26.61,0.62,41.79
20150317,27.04,0.29,48.16
20150318,27.57,0.0,45.73
20150319,26.84,0.0,40.22
20150320,26.82,0.0,35.42
20150321,27.64,0.0,30.34
