,T2M,Rain,Humidity
20150101,15.58,5.26,85.74
20150102,18.46,7.63,87.72
20150103,18.48,1.99,83.09
20150104,16.12,2.0,85.37
20150105,12.3,0.0,65.72
20150106,12.89,0.0,48.63
20150107,14.18,0.0,50.53
20150108,13.65,0.0,57.28
20150109,11.43,0.0,60.06
20150110,11.56,0.0,46.78
20150111,11.97,0.0,40.67
20150112,12.4,0.0,41.53
20150113,12.42,0.0,46.33
20150114,14.16,0.0,51.17
20150115,14.52,0.0,53.18
20150116,13.02,0.0,54.66
20150117,11.55,0.0,55.85
20150118,11.22,0.0,56.49
20150119,11.63,0.0,51.4
20150120,12.92,0.0,42.55
20150121,14.86,0.0,40.62
20150122,17.11,0.0,41.39
20150123,15.82,0.02,58.43
20150124,15.8,0.0,73.67
20150125,16.72,0.0,63.71
20150126,17.95,0.32,60.54
20150127,18.07,0.59,66.53
20150128,16.47,13.12,79.41
20150129,16.2,10.34,79.85
20150130,13.06,0.84,59.46
20150131,12.06,0.0,40.18
20150201,14.69,0.0,37.62
20150202,16.27,0.0,40.69
20150203,18.73,0.0,40.09
20150204,18.3,0.01,47.7
20150205,16.12,0.0,52.09
20150206,16.28,0.0,42.45
20150207,17.71,0.0,46.83
20150208,18.59,0.43,52.51
20150209,16.63,0.35,68.91
20150210,17.79,0.0,55.72
20150211,17.71,1.63,47.3
20150212,17.58,1.8,56.18
20150213,17.33,0.0,55.41
20150214,18.21,0.0,39.18
20150215,19.61,0.0,42.88
20150216,19.38,0.0,47.53
20150217,20.23,0.0,46.28
20150218,20.65,0.0,43.19
20150219,19.44,0.0,42.62
20150220,20.66,0.0,35.5
20150221,21.29,0.0,36.94
20150222,20.7,0.0,42.73
20150223,20.96,0.0,40.8
20150224,21.88,0.0,39.0
20150225,22.94,0.0,35.63
20150226,23.59,0.01,36.44
20150227,22.28,0.06,47.34
20150228,23.76,0.43,42.22
20150301,22.74,4.57,47.32
20150302,19.44,4.84,72.04
20150303,19.58,3.27,68.07
20150304,18.16,1.59,56.41
20150305,17.47,0.0,44.98
20150306,18.26,0.0,41.84
20150307,19.65,0.0,41.23
20150308,22.05,0.0,39.82
20150309,23.17,0.01,42.66
20150310,22.78,0.01,45.89
20150311,21.01,0.0,35.16
20150312,22.62,0.0,31.09
20150313,23.56,0.0,37.69
20150314,24.83,0.0,42.31
20150315,23.66,1.74,53.67
20150316,23.18,1.78,54.05
20150317,23.11,8.77,56.36
20150318,22.25,0.0,50.79
20150319,21.07,0.0,41.97
20150320,21.87,0.0,33.1
20150321,22.52,0.0,29.43
20150322,24.12,0.0,35.75
20150323,25.62,0.0,38.34
20150324,25.35,0.0,38.19
20150325,26.06,0.0,33.4
20150326,27.0,0.0,33.1
20150327,27.19,0.68,34.88
20150328,27.06,0.4,34.73
20150329,27.73,0.0,30.87
20150330,23.32,1.18,56.66
20150331,24.43,2.58,54.25
20150401,25.95,0.0,35.32
20150402,27.79,0.0,28.15
20150403,27.52,0.0,32.06
20150404,28.48,0.04,32.57
20150405,27.61,0.06,36.48
20150406,27.68,0.27,38.8
20150407,28.33,0.79,35.55
20150408,27.1,2.02,38.35
20150409,26.85,3.07,37.41
20150410,27.6,0.0,37.31
20150411,29.24,0.12,33.19
20150412,25.14,0.23,51.31
20150413,23.39,3.5,59.07
20150414,24.15,3.26,58.25
20150415,24.46,12.33,58.82
20150416,25.79,0.16,53.48
20150417,26.72,1.07,46.73
20150418,28.13,0.0,41.29
20150419,29.94,0.0,36.17
20150420,30.11,0.0,34.07
20150421,31.79,0.0,28.56
20150422,30.36,0.0,31.26
20150423,31.66,0.01,26.1
20150424,30.95,0.12,23.85
20150425,28.35,1.86,44.29
20150426,27.56,0.94,47.7
20150427,28.62,0.43,42.06
20150428,29.95,1.07,37.99
20150429,30.02,2.38,45.15
20150430,30.04,0.04,36.87
20150501,30.81,0.0,28.84
20150502,30.41,0.02,23.44
20150503,31.21,0.52,26.55
20150504,32.19,0.09,26.35
20150505,32.6,0.07,25.79
20150506,32.13,0.05,20.58
20150507,33.73,0.0,13.24
20150508,32.91,0.0,17.22
20150509,32.51,0.0,20.71
20150510,32.15,0.43,22.21
20150511,32.3,0.4,25.05
20150512,32.05,3.5,34.87
20150513,32.36,1.73,34.59
20150514,31.44,0.36,37.08
20150515,30.96,1.44,40.67
20150516,29.64,2.83,46.54
20150517,30.79,1.08,44.95
20150518,31.83,0.0,36.77
20150519,32.73,0.63,33.7
20150520,33.02,0.01,29.42
20150521,32.82,0.0,23.04
20150522,33.67,0.0,17.77
20150523,35.12,0.0,19.86
20150524,35.54,0.0,17.02
20150525,35.45,0.02,20.11
20150526,35.5,0.0,18.33
20150527,35.1,0.01,22.58
20150528,33.29,0.32,12.91
20150529,34.65,0.0,17.89
20150530,35.92,0.0,16.18
20150531,34.99,0.59,32.63
20150601,32.89,2.94,42.32
20150602,33.16,0.09,33.44
20150603,32.83,2.23,36.19
20150604,31.43,1.66,46.84
20150605,31.43,1.91,46.63
20150606,32.04,0.9,45.32
20150607,33.62,0.35,40.49
20150608,35.03,0.0,30.98
20150609,35.66,0.0,28.84
20150610,35.77,0.0,22.47
20150611,35.17,1.54,28.7
20150612,30.26,5.05,53.9
20150613,26.23,6.77,75.86
20150614,26.94,36.85,72.02
20150615,28.54,2.16,61.8
20150616,29.69,0.11,57.56
20150617,30.15,2.22,56.58
20150618,29.32,7.38,64.45
20150619,29.75,3.69,62.44
20150620,29.74,0.43,61.2
20150621,28.81,4.66,68.85
20150622,27.68,13.35,75.45
20150623,27.96,9.06,77.49
20150624,26.86,9.61,77.54
20150625,27.15,11.53,73.56
20150626,27.33,8.37,67.38
20150627,28.17,1.11,59.41
20150628,27.69,31.24,71.3
20150629,26.82,4.68,76.59
20150630,26.76,38.64,75.77
20150701,25.96,38.13,81.73
20150702,25.94,4.47,82.73
20150703,26.29,16.73,80.87
20150704,27.07,17.67,79.53
20150705,27.27,15.32,79.43
20150706,26.58,21.98,82.7
20150707,25.7,46.51,88.19
20150708,24.41,29.45,90.39
20150709,24.85,33.03,90.97
20150710,25.39,47.68,89.46
20150711,25.17,21.06,86.97
20150712,25.22,1.16,86.4
20150713,25.99,2.31,85.3
20150714,26.62,1.05,84.57
20150715,26.08,105.87,90.5
20150716,25.01,102.51,92.74
20150717,24.57,76.46,90.32
20150718,25.36,24.26,89.19
20150719,24.81,4.04,88.46
20150720,25.46,1.77,87.44
20150721,25.47,0.93,88.81
20150722,25.78,9.58,89.76
20150723,25.05,25.46,93.63
20150724,24.87,3.88,91.32
20150725,24.44,10.8,90.91
20150726,24.6,3.81,89.16
20150727,23.9,0.58,89.36
20150728,24.17,2.96,89.75
20150729,24.62,0.0,87.58
20150730,24.77,0.79,88.88
20150731,24.12,34.76,92.11
20150801,23.67,22.93,92.45
20150802,23.16,111.48,95.86
20150803,24.72,65.23,93.79
20150804,24.52,0.72,89.93
20150805,24.57,0.11,88.24
20150806,24.74,0.03,87.78
20150807,26.0,0.0,85.05
20150808,26.55,0.06,82.82
20150809,26.75,0.71,84.03
20150810,25.75,1.39,90.63
20150811,25.43,17.24,89.36
20150812,25.52,2.65,85.96
20150813,25.61,4.02,87.57
20150814,26.18,1.29,88.29
20150815,25.92,1.82,89.73
20150816,26.03,36.02,89.47
20150817,25.84,36.43,89.94
20150818,25.04,19.26,91.39
20150819,24.53,21.69,90.86
20150820,24.88,0.18,90.2
20150821,24.86,0.21,88.74
20150822,24.45,4.4,90.68
20150823,24.54,8.72,91.21
20150824,24.78,24.26,90.11
20150825,24.81,3.26,90.49
20150826,25.14,3.98,91.7
20150827,25.5,5.25,92.31
20150828,26.1,3.38,89.73
20150829,26.03,11.6,88.53
20150830,24.8,7.31,95.48
20150831,24.86,7.09,91.28
20150901,25.11,2.5,87.04
20150902,24.89,6.02,86.89
20150903,25.39,1.76,80.54
20150904,25.47,1.15,81.78
20150905,24.88,0.02,85.1
20150906,24.86,0.0,82.6
20150907,24.48,0.07,83.19
20150908,23.97,0.03,86.08
20150909,24.33,0.0,84.31
20150910,24.86,0.01,81.73
20150911,25.89,12.48,79.26
20150912,25.24,8.87,87.23
20150913,25.44,0.22,82.71
20150914,25.52,0.01,85.65
20150915,24.91,0.59,87.38
20150916,24.51,11.45,92.41
20150917,25.16,2.51,89.37
20150918,25.5,0.17,85.99
20150919,25.07,4.0,87.77
20150920,25.25,21.35,89.83
20150921,24.21,25.81,91.98
20150922,24.4,2.93,89.74
20150923,24.11,0.28,88.93
20150924,23.52,0.0,86.79
20150925,22.86,0.0,85.25
20150926,22.87,0.0,76.28
20150927,23.54,0.0,74.06
20150928,23.52,0.0,75.91
20150929,23.83,0.0,76.4
20150930,24.51,0.0,75.03
20151001,25.26,0.0,78.37
20151002,25.3,0.0,81.3
20151003,24.35,0.0,77.22
20151004,23.61,0.0,66.35
20151005,23.53,0.0,62.05
20151006,23.47,0.0,61.35
20151007,23.94,0.0,64.09
20151008,23.33,0.0,66.4
20151009,21.73,0.0,73.75
20151010,22.09,0.0,71.52
20151011,22.85,0.0,71.75
20151012,22.39,0.0,73.02
20151013,23.03,1.42,74.45
20151014,22.25,2.17,83.2
20151015,21.94,0.04,85.4
20151016,22.35,0.0,81.99
20151017,22.82,0.0,70.69
20151018,22.78,0.0,68.8
20151019,22.71,0.0,72.74
20151020,22.36,0.0,72.04
20151021,23.37,0.0,63.99
20151022,23.12,1.5,67.86
20151023,21.59,1.77,72.88
20151024,21.41,0.0,59.12
20151025,21.48,0.0,61.16
20151026,21.5,0.0,62.34
20151027,21.05,0.07,68.58
20151028,21.31,1.25,73.68
20151029,20.11,11.3,82.62
20151030,18.51,11.29,88.83
20151031,19.24,0.24,81.9
20151101,19.48,0.0,85.85
20151102,20.4,0.0,84.76
20151103,20.89,0.0,76.86
20151104,21.46,0.0,65.44
20151105,20.94,0.0,65.33
20151106,21.07,0.01,68.31
20151107,21.05,0.0,70.39
20151108,20.15,0.0,68.8
20151109,21.1,0.01,61.56
20151110,20.77,0.01,64.24
20151111,20.74,0.05,63.19
20151112,19.77,0.0,68.36
20151113,18.65,0.0,64.27
20151114,19.1,0.0,64.75
20151115,20.2,0.0,60.04
20151116,19.83,0.0,60.07
20151117,20.68,0.0,57.07
20151118,18.73,0.0,72.26
20151119,18.16,0.0,72.15
20151120,18.88,0.0,70.93
20151121,19.35,0.0,63.36
20151122,19.18,0.0,66.14
20151123,19.47,0.0,66.2
20151124,19.07,0.0,70.47
20151125,18.68,0.0,62.72
20151126,18.51,0.0,52.64
20151127,19.19,0.0,51.82
20151128,19.79,0.0,66.11
20151129,20.24,0.0,69.03
20151130,20.96,0.0,69.83
20151201,20.91,0.0,71.26
20151202,20.58,6.74,69.46
20151203,19.05,2.79,76.18
20151204,18.64,0.0,74.41
20151205,17.7,0.0,71.63
20151206,16.35,0.0,60.22
20151207,16.56,0.0,59.02
20151208,17.1,0.0,55.87
20151209,16.84,0.0,50.58
20151210,17.77,0.0,52.02
20151211,18.01,0.0,62.84
20151212,18.25,0.0,67.46
20151213,17.63,0.18,66.83
20151214,16.63,0.06,73.5
20151215,13.92,0.0,47.29
20151216,15.03,0.0,41.79
20151217,15.63,0.43,76.16
20151218,13.91,0.05,63.21
20151219,13.64,0.01,38.83
20151220,14.02,0.0,52.56
20151221,15.03,0.19,72.57
20151222,16.18,0.12,80.56
20151223,16.64,0.79,83.99
20151224,14.13,0.09,69.12
20151225,11.86,0.0,47.91
20151226,13.28,0.0,39.15
20151227,14.67,0.0,38.53
20151228,15.31,0.0,43.6
20151229,16.15,0.0,48.22
20151230,17.14,0.0,41.56
20151231,18.25,0.0,38.37
20160101,17.9,0.0,40.26
20160102,17.03,0.0,41.16
20160103,15.55,0.0,40.4
20160104,15.92,0.0,38.37
20160105,16.65,0.0,40.59
20160106,17.95,0.0,39.86
20160107,17.61,0.0,47.86
20160108,18.04,0.0,45.38
20160109,16.45,0.0,51.63
20160110,15.96,0.0,38.5
20160111,15.95,0.0,35.74
20160112,15.55,0.0,41.51
20160113,16.23,0.0,41.97
20160114,17.1,0.0,46.53
20160115,17.07,0.0,49.88
20160116,17.42,0.63,51.63
20160117,16.75,1.41,58.59
20160118,16.16,1.29,67.6
20160119,15.65,12.23,79.53
20160120,13.09,1.2,83.56
20160121,11.05,0.0,63.65
20160122,11.09,0.0,49.01
20160123,12.06,0.0,35.62
20160124,13.53,0.0,34.04
20160125,14.25,0.0,36.14
20160126,15.65,0.0,37.85
20160127,16.77,0.0,42.37
20160128,17.66,0.0,39.0
20160129,18.51,0.0,39.71
20160130,19.46,0.0,40.48
20160131,19.48,0.0,47.13
20160201,19.23,0.0,51.29
20160202,19.09,0.0,50.32
20160203,17.04,0.0,49.26
20160204,16.61,0.0,40.83
20160205,17.08,0.0,35.99
20160206,18.45,0.0,34.34
20160207,20.69,0.0,37.7
20160208,18.61,0.0,48.91
20160209,16.59,0.0,39.65
20160210,18.46,0.0,33.53
20160211,19.52,0.49,49.36
20160212,20.33,0.0,50.62
20160213,21.04,0.01,43.79
20160214,21.72,0.11,54.46
20160215,21.45,0.08,54.53
20160216,21.45,0.96,59.0
20160217,21.98,0.0,50.82
20160218,23.81,0.0,43.91
20160219,25.23,0.0,35.61
20160220,25.44,0.0,35.8
20160221,23.08,0.0,48.28
20160222,21.82,0.0,34.81
20160223,22.38,0.0,22.52
20160224,20.83,0.0,25.56
20160225,21.52,0.0,27.71
20160226,21.87,1.65,60.68
20160227,23.08,0.11,61.07
20160228,22.49,0.0,46.7
20160229,22.22,0.0,41.23
20160301,23.13,0.0,31.91
20160302,22.79,0.0,25.18
20160303,24.63,0.0,23.1
20160304,26.05,0.0,24.73
20160305,26.38,0.0,28.32
20160306,25.06,0.44,34.43
20160307,21.39,5.92,55.0
20160308,24.07,1.01,52.32
20160309,24.49,2.42,50.54
20160310,25.53,0.0,46.04
20160311,25.59,0.0,38.13
20160312,27.51,1.04,34.42
20160313,23.37,7.06,56.72
20160314,21.47,9.52,69.04
20160315,21.69,0.45,60.62
20160316,21.79,0.0,43.14
20160317,23.31,0.0,31.44
20160318,25.21,0.02,33.89
20160319,27.28,0.19,40.2
20160320,26.46,0.0,36.14
20160321,26.53,0.0,31.88
20160322,24.12,0.0,31.02
20160323,24.57,0.0,21.61
20160324,26.39,0.0,15.57
20160325,26.83,0.0,18.6
20160326,28.37,0.0,18.71
20160327,29.35,0.0,19.85
20160328,25.66,1.06,38.13
20160329,27.35,0.0,30.45
20160330,28.37,0.0,24.55
20160331,27.28,0.0,21.44
20160401,29.97,0.0,19.01
20160402,28.9,0.0,23.49
20160403,30.26,0.0,25.15
20160404,31.38,0.18,24.88
20160405,31.65,0.06,23.55
20160406,29.32,0.0,27.38
20160407,30.8,0.29,28.89
20160408,30.64,0.34,29.88
