,T2M,Rain,Humidity
20150101,17.4,0.13,61.37
20150102,17.15,0.07,64.02
20150103,17.74,0.0,61.72
20150104,18.32,0.0,44.08
20150105,17.9,0.0,35.92
20150106,18.78,0.0,28.38
20150107,19.54,0.0,26.51
20150108,18.65,0.0,23.51
20150109,18.45,0.0,25.73
20150110,18.85,0.0,24.76
20150111,19.16,0.0,28.65
20150112,20.31,0.0,23.68
20150113,20.67,0.0,32.1
20150114,19.28,0.0,35.29
20150115,15.93,0.0,29.14
20150116,15.83,0.0,25.35
20150117,15.47,0.0,22.69
20150118,15.91,0.0,19.74
20150119,17.97,0.0,21.42
20150120,18.96,0.0,34.03
20150121,17.57,4.5,60.93
20150122,17.9,0.85,63.06
20150123,16.2,0.0,50.18
20150124,15.56,0.0,47.56
20150125,17.18,0.01,48.73
20150126,15.08,0.0,39.55
20150127,14.9,0.0,52.06
20150128,14.64,0.0,35.12
20150129,15.56,0.0,26.07
20150130,16.9,0.0,20.84
20150131,18.83,0.0,20.1
20150201,19.26,0.0,21.57
20150202,20.85,0.0,33.81
20150203,19.65,0.0,30.2
20150204,18.98,0.0,26.4
20150205,18.41,0.0,20.39
20150206,18.99,0.0,19.46
20150207,19.66,0.0,23.62
20150208,19.74,0.0,25.66
20150209,19.79,0.0,39.66
20150210,20.68,0.0,37.18
20150211,20.32,0.0,27.62
20150212,20.43,0.0,19.35
20150213,22.4,0.0,17.88
20150214,23.55,0.0,29.07
20150215,25.2,0.0,31.4
20150216,23.85,0.0,36.13
20150217,23.49,0.0,32.66
20150218,24.04,0.0,28.72
20150219,24.4,0.0,30.41
20150220,24.15,0.0,38.63
20150221,25.38,0.0,27.05
20150222,26.44,0.0,22.26
20150223,26.81,0.0,21.1
20150224,25.27,0.0,29.92
20150225,21.27,0.0,29.81
20150226,19.43,0.0,12.7
20150227,19.88,0.0,14.37
20150228,21.61,0.02,18.76
20150301,19.88,7.15,44.35
20150302,19.04,0.61,49.55
20150303,19.13,0.0,45.54
20150304,20.13,0.0,43.16
20150305,22.41,0.0,36.81
20150306,23.19,0.01,38.36
20150307,23.55,0.0,41.64
20150308,23.41,0.0,34.72
20150309,20.77,0.0,11.53
20150310,20.9,0.0,16.06
20150311,23.83,0.0,19.88
20150312,26.02,0.0,22.1
20150313,25.93,0.9,27.24
20150314,23.8,4.04,50.37
20150315,22.32,0.34,43.21
20150316,21.79,0.0,36.54
20150317,22.7,0.0,33.03
20150318,23.07,0.0,31.82
20150319,25.18,0.0,25.3
20150320,27.55,0.0,25.36
20150321,29.79,0.0,26.26
20150322,29.54,0.0,25.47
20150323,30.58,0.0,23.26
20150324,31.09,0.0,20.81
20150325,31.94,0.0,19.51
20150326,32.22,0.0,20.45
20150327,32.26,0.0,21.02
20150328,33.1,0.0,18.71
20150329,31.24,0.0,24.61
20150330,28.01,0.0,21.92
20150331,27.9,0.0,20.16
20150401,28.91,0.0,25.09
20150402,28.97,0.0,46.58
20150403,28.2,0.0,47.54
20150404,27.05,2.18,56.03
20150405,28.39,0.0,44.86
20150406,29.96,1.08,36.28
20150407,30.37,1.09,35.29
20150408,30.66,0.0,31.19
20150409,30.05,0.0,21.1
20150410,31.39,0.0,19.02
20150411,30.56,0.52,32.37
20150412,27.47,11.04,48.26
20150413,27.36,0.08,49.17
20150414,28.05,0.0,44.51
20150415,29.64,0.0,41.05
20150416,31.31,0.0,36.07
20150417,32.39,0.0,30.06
20150418,33.0,0.0,30.43
20150419,32.82,0.0,25.42
20150420,32.44,0.0,21.33
20150421,32.9,0.0,19.4
20150422,31.53,0.0,15.97
20150423,31.35,0.0,18.3
20150424,31.77,0.0,27.89
20150425,32.65,0.0,28.13
20150426,32.78,0.0,27.74
20150427,33.31,0.0,29.11
20150428,32.03,0.0,37.51
20150429,32.88,0.0,25.38
20150430,33.1,0.0,32.76
20150501,33.01,0.0,28.53
20150502,33.78,0.0,12.25
20150503,33.37,0.0,16.41
20150504,33.14,0.0,17.45
20150505,33.71,0.0,15.29
20150506,33.32,0.0,22.27
20150507,32.59,0.0,30.28
20150508,32.64,0.0,30.6
20150509,33.86,0.0,28.27
20150510,33.32,0.33,33.71
20150511,33.97,0.36,35.24
20150512,33.4,2.86,40.03
20150513,34.35,2.46,32.2
20150514,33.58,1.65,32.31
20150515,34.58,0.01,28.99
20150516,34.76,0.0,20.91
20150517,34.4,0.0,22.05
20150518,34.15,0.0,31.05
20150519,34.45,0.0,38.4
20150520,34.75,0.0,37.91
20150521,34.87,0.0,36.77
20150522,34.76,0.0,34.36
20150523,34.59,0.0,40.9
20150524,33.96,0.0,47.5
20150525,34.22,0.0,45.33
20150526,33.81,0.0,46.56
20150527,34.22,0.0,43.81
20150528,34.05,0.0,43.06
20150529,33.69,0.0,37.04
20150530,34.0,0.0,31.36
20150531,35.12,0.0,32.64
20150601,34.94,0.0,36.24
20150602,33.37,0.83,47.2
20150603,29.4,22.34,61.32
20150604,30.74,0.3,49.66
20150605,32.28,0.0,39.58
20150606,33.81,0.0,35.98
20150607,33.81,0.0,39.79
20150608,33.71,0.0,37.96
20150609,32.47,0.36,48.46
20150610,32.58,0.15,50.97
20150611,32.03,6.31,55.99
20150612,32.07,11.9,56.5
20150613,31.97,1.24,55.63
20150614,32.18,0.58,58.62
20150615,32.36,0.05,55.55
20150616,32.4,0.2,56.85
20150617,32.8,2.29,55.44
20150618,32.54,0.26,54.8
20150619,31.73,0.01,57.14
20150620,32.48,0.66,54.47
20150621,32.38,1.85,57.93
20150622,31.1,1.9,64.23
20150623,30.41,0.55,65.66
20150624,27.78,36.65,79.72
20150625,30.29,4.87,72.78
20150626,30.74,2.32,66.37
20150627,30.84,0.0,62.9
20150628,31.1,0.0,62.14
20150629,31.3,0.01,61.38
20150630,31.13,0.0,60.66
20150701,30.86,0.0,60.18
20150702,30.2,0.0,62.62
20150703,30.5,0.0,61.58
20150704,30.62,0.0,62.04
20150705,30.72,0.0,63.17
20150706,30.96,0.0,62.31
20150707,30.86,0.0,62.89
20150708,30.77,3.64,62.63
20150709,30.77,1.93,62.45
20150710,30.82,0.01,61.19
