,T2M,Rain,Humidity
20150101,19.07,2.6,86.18
20150102,21.7,14.59,84.75
20150103,22.59,10.06,86.51
20150104,20.57,3.33,85.8
20150105,17.96,0.0,74.68
20150106,15.04,0.0,67.54
20150107,15.5,0.0,64.9
20150108,15.56,0.0,68.91
20150109,14.64,0.0,71.72
20150110,14.6,0.0,63.84
20150111,13.8,0.0,58.7
20150112,14.08,0.0,59.73
20150113,14.9,0.0,62.56
20150114,16.12,0.0,62.25
20150115,17.44,0.0,62.94
20150116,15.61,0.0,63.59
20150117,15.29,0.0,65.51
20150118,14.13,0.0,65.32
20150119,14.2,0.0,64.16
20150120,13.84,0.0,60.1
20150121,14.39,0.0,57.35
20150122,15.76,0.0,55.01
20150123,17.57,0.0,62.59
20150124,18.49,0.0,75.04
20150125,18.64,0.0,67.45
20150126,18.75,0.0,64.27
20150127,19.55,0.0,69.13
20150128,20.09,0.04,73.7
20150129,20.06,0.3,72.48
20150130,18.44,0.43,73.86
20150131,14.9,0.0,54.82
20150201,15.06,0.0,53.7
20150202,16.71,0.0,53.59
20150203,18.49,0.0,52.3
20150204,20.12,0.0,55.61
20150205,19.6,0.0,61.22
20150206,18.44,0.0,49.48
20150207,18.06,0.0,48.44
20150208,19.35,0.0,55.0
20150209,19.15,0.0,68.54
20150210,20.8,0.0,64.56
20150211,19.54,0.0,51.14
20150212,19.42,0.0,53.0
20150213,20.9,0.0,57.76
20150214,20.46,0.0,63.86
20150215,21.09,0.75,68.95
20150216,22.3,1.23,64.98
20150217,22.41,0.0,68.33
20150218,22.85,2.17,76.6
20150219,23.63,3.39,66.18
20150220,22.77,0.01,56.11
20150221,22.91,0.0,53.71
20150222,24.44,0.04,49.42
20150223,24.01,0.0,51.58
20150224,23.95,0.0,66.62
20150225,24.71,0.0,59.77
20150226,24.1,0.0,64.67
20150227,24.65,0.0,67.12
20150228,24.95,0.0,67.33
20150301,24.89,0.0,61.99
20150302,24.95,0.0,58.5
20150303,23.81,1.33,62.18
20150304,23.35,5.08,66.56
20150305,22.5,0.0,49.14
20150306,21.28,0.0,44.09
20150307,22.17,0.0,41.49
20150308,23.81,0.0,43.79
20150309,25.38,0.0,45.99
20150310,26.61,0.0,47.17
20150311,25.19,0.0,38.69
20150312,24.24,0.0,32.49
20150313,25.38,0.0,38.73
20150314,27.59,0.0,46.42
20150315,28.1,0.01,48.95
20150316,27.71,0.06,45.65
20150317,27.81,0.02,47.67
20150318,28.24,0.01,46.33
20150319,27.55,0.0,39.62
20150320,25.89,0.0,31.9
20150321,26.01,0.0,31.64
20150322,26.93,0.0,32.66
20150323,28.22,0.0,39.52
20150324,28.6,0.0,57.57
20150325,28.76,0.0,60.16
20150326,28.66,0.38,59.86
20150327,29.05,0.98,57.04
20150328,28.45,6.72,63.4
20150329,29.03,0.04,64.11
20150330,29.03,3.46,67.21
20150331,27.36,11.19,62.94
20150401,29.55,0.05,54.89
20150402,29.61,0.15,52.41
20150403,30.85,0.0,52.34
20150404,31.06,0.1,57.37
20150405,30.21,2.94,66.74
20150406,30.11,2.07,63.44
20150407,29.75,5.09,64.04
20150408,29.01,10.15,67.98
20150409,30.44,0.0,52.5
20150410,29.92,0.0,40.72
20150411,30.24,0.0,57.9
20150412,28.97,0.44,62.58
20150413,28.37,1.95,63.88
20150414,29.13,0.25,55.68
20150415,29.07,2.51,55.23
20150416,28.79,0.0,53.89
20150417,29.71,1.01,51.9
20150418,30.71,0.72,55.06
20150419,31.87,0.0,55.78
20150420,31.72,0.0,61.09
20150421,33.15,0.68,56.67
20150422,33.07,3.35,56.13
20150423,32.22,5.89,58.83
20150424,29.75,16.61,69.51
20150425,27.67,4.24,67.61
20150426,27.24,3.37,67.76
20150427,27.5,17.33,66.92
20150428,27.81,16.63,75.24
20150429,29.09,5.88,73.2
20150430,30.27,0.68,66.55
20150501,31.36,0.49,64.11
20150502,30.63,3.82,71.04
20150503,31.18,8.39,65.5
20150504,30.22,11.84,68.47
20150505,30.34,0.0,64.78
20150506,31.78,0.0,58.51
20150507,32.3,0.0,57.12
20150508,32.04,0.0,61.28
20150509,32.15,0.03,61.73
20150510,32.22,0.37,64.14
20150511,31.15,0.66,67.23
20150512,32.26,0.29,57.26
20150513,32.78,3.32,59.62
20150514,32.51,11.2,63.12
20150515,32.84,7.39,60.42
20150516,30.49,10.78,70.48
20150517,30.52,6.22,68.3
20150518,31.16,1.26,64.14
20150519,30.67,10.6,70.51
20150520,32.45,0.08,63.31
20150521,33.42,0.02,60.21
20150522,34.33,0.0,55.09
20150523,34.44,0.0,54.37
20150524,34.44,0.18,58.98
20150525,33.94,0.72,61.73
20150526,33.16,1.22,60.29
20150527,32.17,0.66,65.4
20150528,33.17,0.23,61.41
20150529,33.2,0.34,63.15
20150530,32.66,0.72,65.56
20150531,31.31,0.33,67.82
20150601,31.93,0.34,65.73
20150602,32.44,0.04,60.72
20150603,32.37,0.0,62.33
20150604,31.78,1.6,64.45
20150605,30.92,5.19,69.53
20150606,31.65,0.05,65.88
20150607,32.06,0.0,65.53
20150608,32.74,0.0,64.12
20150609,33.38,0.07,63.32
20150610,33.54,0.11,62.31
20150611,32.03,4.51,69.72
20150612,31.28,9.13,70.95
20150613,30.9,3.69,65.02
20150614,28.86,21.09,80.93
20150615,29.39,16.3,77.51
20150616,28.94,6.11,78.29
20150617,29.28,1.01,77.12
20150618,30.74,0.58,71.58
20150619,30.67,2.39,72.02
20150620,30.76,5.24,72.44
20150621,30.11,12.77,76.76
20150622,29.4,15.72,78.45
20150623,28.87,10.16,83.56
20150624,29.53,9.27,82.28
20150625,29.54,7.93,79.12
20150626,29.07,20.1,82.23
20150627,29.57,2.48,70.1
20150628,28.31,13.59,86.48
20150629,29.45,1.97,75.42
20150630,29.27,9.65,78.3
20150701,29.86,9.19,79.02
20150702,29.41,14.63,80.8
20150703,29.88,5.9,79.29
20150704,30.35,4.82,78.53
20150705,29.1,3.77,85.72
20150706,29.64,14.02,81.87
20150707,29.02,15.9,83.66
20150708,28.34,13.99,84.58
20150709,28.39,58.05,87.82
20150710,28.13,29.53,90.5
20150711,28.5,1.67,86.32
20150712,29.2,2.15,81.99
20150713,29.91,25.04,83.23
20150714,30.31,14.32,83.07
20150715,29.16,15.49,88.16
20150716,28.29,8.19,87.18
20150717,27.9,15.33,88.85
20150718,28.08,11.38,85.91
20150719,27.58,26.79,90.15
20150720,27.9,25.71,87.23
20150721,28.31,4.57,86.67
20150722,28.27,15.55,86.93
20150723,27.91,5.19,90.55
20150724,27.63,16.3,90.84
20150725,27.17,25.01,91.62
20150726,27.32,42.6,91.15
20150727,27.7,66.61,91.35
20150728,27.08,8.0,92.25
20150729,28.12,5.24,88.91
20150730,28.31,9.1,88.77
20150731,27.43,42.94,91.09
20150801,26.44,59.6,90.53
20150802,27.49,15.38,89.35
20150803,27.58,2.36,88.51
20150804,27.93,0.06,87.53
20150805,28.46,3.95,84.47
20150806,28.27,0.18,84.71
20150807,28.21,0.05,85.33
20150808,28.31,0.0,85.44
20150809,28.42,0.0,85.54
20150810,28.49,1.97,88.03
20150811,28.04,5.59,91.49
20150812,28.01,4.72,91.64
20150813,28.04,2.63,90.23
20150814,28.7,1.28,88.27
20150815,28.43,1.76,90.36
20150816,28.41,1.6,89.64
20150817,28.61,5.38,88.59
20150818,28.67,15.99,88.31
20150819,28.64,6.55,88.51
20150820,28.19,2.56,89.46
20150821,28.78,7.47,85.03
20150822,28.77,3.25,83.67
20150823,28.74,13.32,83.85
20150824,28.68,7.09,87.89
20150825,28.26,3.4,88.79
20150826,28.62,3.85,88.3
20150827,28.73,3.17,88.41
20150828,28.31,3.35,86.61
20150829,28.58,4.19,90.4
20150830,28.6,4.58,90.74
20150831,28.32,10.93,91.98
20150901,27.68,19.59,89.73
20150902,28.87,7.28,83.54
20150903,28.24,2.41,84.31
20150904,28.88,0.41,80.4
20150905,28.63,0.46,83.51
20150906,28.88,0.0,82.07
20150907,28.98,0.0,78.54
20150908,28.59,0.0,81.4
20150909,28.96,0.0,80.57
20150910,28.95,1.09,80.88
20150911,27.61,0.95,90.2
20150912,27.93,0.25,88.16
20150913,28.41,0.21,82.16
20150914,27.36,3.27,90.36
20150915,27.47,10.54,93.75
20150916,27.59,11.08,93.33
20150917,28.23,1.09,88.76
20150918,27.81,1.12,88.45
20150919,27.11,3.6,89.25
20150920,27.08,21.96,93.28
20150921,27.44,9.16,90.11
20150922,27.86,24.56,90.48
20150923,27.85,31.91,88.71
20150924,27.82,1.06,85.95
20150925,26.79,0.0,84.78
20150926,27.44,0.25,76.52
20150927,27.74,0.01,75.13
20150928,27.75,0.0,74.75
20150929,28.13,0.0,74.68
20150930,28.67,0.0,76.06
20151001,28.74,0.48,80.84
20151002,27.97,0.4,87.16
20151003,28.75,0.03,80.37
20151004,28.52,0.0,80.31
