,T2M,Rain,Humidity
20150101,13.53,4.07,82.74
20150102,13.85,1.0,86.12
20150103,14.98,0.2,78.98
20150104,14.05,0.01,70.24
20150105,14.07,0.0,52.87
20150106,14.55,0.0,49.46
20150107,15.0,0.0,51.47
20150108,14.48,0.0,49.41
20150109,13.9,0.0,45.43
20150110,15.63,0.0,40.72
20150111,16.03,0.0,45.16
20150112,15.1,0.0,48.15
20150113,15.22,0.0,45.57
20150114,14.51,0.15,54.91
20150115,12.71,0.0,55.98
20150116,12.59,0.0,50.96
20150117,12.16,0.0,48.49
20150118,12.21,0.0,46.79
20150119,13.35,0.0,45.25
20150120,14.91,0.0,43.47
20150121,17.04,1.56,48.83
20150122,17.09,7.87,79.85
20150123,15.48,0.5,79.96
20150124,15.1,0.07,71.15
20150125,12.36,5.61,78.41
20150126,14.21,2.57,83.81
20150127,14.6,0.02,74.83
20150128,13.14,0.0,59.52
20150129,12.8,0.0,47.5
20150130,12.39,0.0,43.33
20150131,15.73,0.0,33.86
20150201,16.34,0.0,43.1
20150202,17.9,0.0,46.63
20150203,17.77,0.0,54.23
20150204,15.58,0.0,54.62
20150205,15.7,0.0,43.2
20150206,18.11,0.2,45.78
20150207,19.54,5.92,57.93
20150208,18.71,7.71,70.85
20150209,17.8,0.03,66.56
20150210,17.5,0.0,50.72
20150211,17.59,0.01,54.2
20150212,17.2,0.0,56.6
20150213,18.55,0.0,40.07
20150214,19.84,0.0,44.98
20150215,20.17,0.0,43.51
20150216,21.51,0.0,38.92
20150217,20.98,0.0,42.26
20150218,21.41,0.0,40.72
20150219,22.49,0.0,38.0
20150220,23.26,0.0,34.28
20150221,23.09,0.0,35.12
20150222,23.69,0.0,31.51
20150223,24.69,0.0,27.98
20150224,24.28,0.0,30.57
20150225,24.74,0.0,32.46
20150226,20.63,0.0,18.89
20150227,20.17,0.0,18.1
20150228,19.93,0.76,31.12
20150301,19.33,9.7,64.61
20150302,19.01,3.07,67.92
20150303,17.77,0.0,60.36
