,T2M,Rain,Humidity
20150101,16.08,0.0,36.84
20150102,17.04,0.0,55.92
20150103,17.47,0.0,65.02
20150104,17.84,0.0,50.3
20150105,18.04,0.0,36.37
20150106,18.5,0.0,34.33
20150107,18.77,0.0,32.74
20150108,18.16,0.0,28.66
20150109,18.67,0.0,23.4
20150110,17.78,0.0,29.14
20150111,18.39,0.0,27.71
20150112,19.32,0.0,28.61
20150113,19.95,0.0,47.76
20150114,18.05,0.0,28.95
20150115,14.93,0.0,41.73
20150116,14.64,0.0,44.74
20150117,14.55,0.0,43.08
20150118,14.9,0.0,27.2
20150119,15.94,0.0,23.55
20150120,17.59,0.0,24.45
20150121,19.27,0.62,41.7
20150122,17.72,0.0,45.85
20150123,15.51,0.0,41.71
20150124,14.07,0.0,40.12
20150125,15.03,0.0,35.7
20150126,14.67,0.0,35.35
20150127,13.86,0.0,34.91
20150128,13.08,0.0,31.25
20150129,14.08,0.0,27.21
20150130,15.45,0.0,21.66
20150131,18.24,0.0,17.88
20150201,18.89,0.0,19.06
20150202,19.96,0.0,23.46
20150203,18.45,0.0,34.8
20150204,17.2,0.0,35.05
20150205,16.66,0.0,27.91
20150206,17.7,0.0,25.0
20150207,18.78,0.0,25.64
20150208,18.45,0.0,34.03
20150209,18.66,0.0,43.86
20150210,19.21,0.0,35.82
20150211,19.01,0.0,25.05
20150212,20.42,0.0,21.12
20150213,22.39,0.0,25.27
20150214,23.45,0.0,46.44
20150215,25.1,0.0,36.0
20150216,24.68,0.0,43.41
20150217,23.9,0.0,32.73
20150218,23.68,0.0,33.63
20150219,24.26,0.0,31.98
20150220,24.94,0.0,42.51
20150221,24.75,0.0,28.96
20150222,25.69,0.0,27.04
20150223,26.41,0.0,24.0
20150224,25.37,0.0,35.69
20150225,20.07,0.0,21.47
20150226,18.05,0.0,13.0
20150227,19.16,0.0,14.19
20150228,17.87,0.11,28.52
20150301,18.82,2.66,42.34
20150302,18.28,0.01,49.41
20150303,20.11,0.0,37.38
20150304,21.44,0.0,32.14
20150305,22.35,0.86,43.97
20150306,22.54,0.67,42.91
20150307,22.96,0.01,45.64
20150308,21.76,0.0,34.58
20150309,19.15,0.0,15.61
20150310,19.47,0.0,22.1
20150311,22.05,0.0,19.87
20150312,24.4,0.0,20.81
20150313,25.13,0.14,25.83
20150314,24.58,1.18,35.56
20150315,22.41,0.03,39.94
20150316,22.41,0.0,36.37
20150317,22.84,0.0,35.93
20150318,23.96,0.0,33.2
20150319,26.4,0.0,22.84
20150320,28.74,0.0,25.09
20150321,29.39,0.0,26.62
20150322,29.16,0.0,24.93
20150323,31.27,0.0,23.67
20150324,31.37,0.0,20.06
20150325,31.89,0.0,23.63
20150326,32.08,0.0,19.77
20150327,31.93,0.0,22.16
20150328,32.58,0.0,19.11
20150329,30.91,0.0,24.65
20150330,28.01,0.0,23.06
20150331,28.71,0.0,26.51
20150401,30.03,0.0,25.0
20150402,30.37,0.0,44.36
20150403,28.79,0.29,46.34
20150404,27.68,4.43,54.36
20150405,29.03,0.0,40.62
20150406,29.69,1.56,34.97
20150407,29.53,1.58,35.86
20150408,29.63,0.0,29.87
20150409,29.0,0.0,22.22
20150410,31.05,0.0,18.43
20150411,30.72,0.27,23.79
20150412,29.61,0.92,36.09
20150413,30.09,0.0,35.79
20150414,30.14,0.0,36.19
20150415,30.92,0.0,33.82
20150416,33.09,0.0,28.32
20150417,34.42,0.0,23.86
20150418,34.55,0.0,27.42
20150419,34.69,0.0,22.69
20150420,33.57,0.0,24.8
20150421,34.03,0.0,18.4
20150422,33.2,0.0,12.92
20150423,32.9,0.0,19.01
20150424,33.41,0.0,20.59
20150425,34.27,0.0,26.01
20150426,34.4,0.0,29.02
20150427,34.25,0.0,34.32
20150428,33.82,0.0,32.95
20150429,34.43,0.0,14.22
20150430,34.33,0.0,24.24
20150501,33.41,0.0,18.54
20150502,34.4,0.0,13.86
20150503,34.84,0.0,10.9
20150504,34.91,0.0,17.01
20150505,35.07,0.0,15.19
20150506,34.38,0.0,22.19
20150507,33.52,0.0,32.65
20150508,33.86,0.0,34.41
20150509,33.89,0.08,35.55
20150510,35.06,1.43,32.89
20150511,34.54,0.36,36.57
20150512,34.39,4.86,36.86
20150513,32.21,5.47,43.43
20150514,32.4,11.31,43.23
20150515,34.63,0.12,27.77
20150516,35.27,0.0,24.79
20150517,35.26,0.0,30.58
20150518,35.3,0.0,39.5
20150519,35.87,0.0,39.1
20150520,35.49,0.0,37.32
20150521,36.35,0.0,33.45
20150522,35.8,0.0,32.59
20150523,35.84,0.0,38.79
20150524,35.66,0.0,40.08
20150525,35.69,0.0,39.75
20150526,35.55,0.0,39.48
20150527,35.31,0.0,41.14
20150528,34.87,0.01,42.28
20150529,35.28,0.0,33.26
20150530,35.93,0.0,28.31
20150531,36.2,0.0,34.23
20150601,36.13,0.06,36.4
20150602,33.54,4.26,49.17
20150603,29.85,32.26,64.82
20150604,31.19,0.14,48.5
20150605,34.07,0.0,30.99
20150606,35.61,0.0,26.09
20150607,36.08,0.0,30.83
20150608,36.23,0.0,30.36
20150609,33.2,0.07,46.68
20150610,33.59,0.08,48.17
20150611,34.39,2.94,45.17
20150612,35.61,0.22,39.5
20150613,34.88,0.02,43.97
20150614,34.71,0.02,47.96
20150615,34.51,0.0,48.46
20150616,34.85,0.0,46.85
20150617,35.8,0.37,43.34
20150618,35.86,0.18,43.46
20150619,35.49,0.32,46.32
20150620,35.1,0.42,44.07
20150621,34.85,3.67,47.73
20150622,34.42,0.19,49.71
20150623,34.37,0.2,51.4
20150624,33.71,1.19,52.01
20150625,34.01,3.87,55.68
20150626,33.3,2.27,56.87
20150627,33.47,0.0,53.02
20150628,34.41,0.0,50.9
20150629,34.58,0.0,47.1
20150630,34.64,0.01,46.08
20150701,33.99,0.0,47.29
20150702,33.59,0.0,49.31
20150703,33.99,0.0,48.29
20150704,34.07,0.0,49.6
20150705,33.54,0.0,54.11
20150706,33.58,0.0,53.57
20150707,33.84,0.0,52.13
20150708,33.99,1.44,51.36
20150709,34.05,0.35,50.41
20150710,33.91,0.0,49.35
20150711,33.46,1.37,50.77
20150712,32.25,23.98,63.24
20150713,29.83,11.73,72.93
20150714,32.57,0.0,54.06
20150715,32.92,0.0,52.29
20150716,33.22,0.0,53.83
20150717,33.43,0.0,52.11
20150718,33.46,0.03,51.34
20150719,34.39,0.17,49.77
20150720,33.91,0.27,50.48
20150721,32.95,7.59,55.91
20150722,30.88,8.03,67.64
20150723,31.12,2.79,69.48
20150724,31.21,1.73,68.13
20150725,28.89,24.55,82.62
20150726,27.52,29.79,87.9
20150727,28.19,53.05,87.29
20150728,27.95,12.66,83.39
20150729,27.86,20.26,84.36
20150730,28.64,9.63,78.27
20150731,29.13,0.47,73.53
20150801,29.42,0.01,70.21
20150802,29.44,0.0,69.78
20150803,30.09,0.0,66.71
20150804,30.27,0.0,64.89
20150805,29.9,0.0,65.76
20150806,29.94,0.0,66.49
20150807,30.63,0.0,65.83
20150808,30.58,0.0,66.45
20150809,30.36,0.0,63.97
20150810,30.81,0.2,63.61
20150811,30.96,0.86,63.95
20150812,30.42,4.47,67.07
20150813,29.55,7.0,73.99
20150814,29.35,1.77,74.41
20150815,30.22,4.11,70.03
20150816,30.26,2.98,69.65
20150817,31.09,0.09,65.47
20150818,31.44,0.04,65.24
20150819,30.49,0.01,66.28
20150820,30.0,0.0,65.18
20150821,29.81,0.0,65.7
20150822,30.12,0.0,67.62
20150823,30.23,0.0,66.84
20150824,30.38,0.0,65.74
20150825,30.43,0.0,62.63
20150826,30.62,0.0,62.66
20150827,30.53,0.0,63.4
20150828,30.61,0.0,62.19
20150829,30.95,0.0,60.58
20150830,30.93,0.0,60.83
20150831,30.12,0.0,60.58
20150901,29.51,0.0,57.45
20150902,28.89,0.0,57.92
20150903,29.3,0.0,54.08
20150904,30.05,0.0,50.51
20150905,29.94,0.0,51.38
20150906,29.55,0.0,51.72
20150907,29.84,0.0,55.35
20150908,30.2,0.0,53.05
20150909,31.21,0.0,48.79
20150910,31.7,0.0,46.59
20150911,33.12,0.0,43.18
20150912,33.83,0.0,40.63
20150913,34.12,0.0,41.57
20150914,33.16,0.0,42.9
20150915,32.26,0.0,48.89
20150916,32.35,0.42,49.78
20150917,33.43,0.02,42.13
20150918,33.16,0.1,38.01
20150919,30.63,11.0,61.14
20150920,28.37,32.12,79.9
20150921,26.72,11.19,85.11
20150922,28.37,0.79,69.58
20150923,28.23,0.0,54.26
20150924,27.5,0.0,53.88
20150925,27.83,0.0,56.73
20150926,28.15,0.0,60.71
20150927,28.43,0.0,55.88
20150928,28.62,0.0,45.11
20150929,30.15,0.0,32.74
20150930,30.48,0.0,33.26
20151001,30.83,0.0,30.32
20151002,31.29,0.0,27.71
20151003,31.3,0.0,28.29
20151004,29.59,0.0,42.33
20151005,29.65,0.0,41.76
20151006,31.73,0.0,32.24
20151007,32.35,0.0,27.43
20151008,32.22,0.0,27.08
20151009,30.23,0.0,31.72
20151010,29.07,0.0,45.46
20151011,28.2,0.0,52.77
20151012,28.76,0.0,43.39
20151013,30.02,0.0,36.53
20151014,30.72,0.0,42.85
20151015,31.64,0.0,40.04
20151016,31.31,0.0,35.09
20151017,31.95,0.0,28.97
20151018,31.8,0.0,28.37
