,T2M,Rain,Humidity
20150101,21.58,6.69,74.92
20150102,20.82,1.06,75.28
20150103,20.6,0.21,73.04
20150104,20.13,0.0,72.12
20150105,18.91,0.0,61.54
20150106,18.94,0.0,52.99
20150107,19.57,0.0,43.61
20150108,17.79,0.0,39.67
20150109,17.47,0.0,40.49
20150110,17.51,0.0,36.99
20150111,17.75,0.0,35.24
20150112,18.66,0.0,32.19
20150113,19.13,0.0,31.59
20150114,20.11,0.0,28.87
20150115,19.55,0.0,33.93
20150116,19.99,0.0,37.39
20150117,19.29,0.0,37.89
20150118,19.92,0.0,37.48
20150119,20.17,0.0,37.65
20150120,21.31,0.0,40.88
20150121,21.22,0.0,53.95
20150122,22.69,0.0,47.03
20150123,23.06,0.0,45.97
20150124,23.74,0.13,42.74
20150125,23.64,0.05,36.74
20150126,22.57,0.0,43.67
20150127,22.99,0.0,40.99
20150128,22.57,0.0,37.73
20150129,22.6,0.0,38.35
20150130,21.62,0.0,47.6
20150131,21.61,0.0,31.26
20150201,22.64,0.0,31.87
20150202,23.16,0.0,34.17
20150203,23.27,0.0,38.43
20150204,23.3,0.0,31.23
20150205,23.08,0.0,28.36
20150206,22.67,0.0,30.21
20150207,23.08,0.0,31.82
20150208,23.1,0.0,33.68
20150209,23.37,0.0,34.34
20150210,24.83,1.52,39.39
20150211,24.82,0.29,38.02
20150212,24.32,0.0,36.97
20150213,23.87,0.0,30.42
20150214,23.78,0.0,21.37
20150215,25.11,0.0,18.83
20150216,25.16,0.0,19.53
20150217,25.52,0.0,19.57
20150218,24.28,0.0,19.5
20150219,24.67,0.0,20.3
20150220,24.83,0.0,20.79
20150221,25.01,0.0,29.11
20150222,25.61,0.0,23.98
20150223,25.69,0.0,22.34
20150224,25.84,0.0,23.56
20150225,25.58,0.0,26.13
20150226,25.17,0.0,31.06
20150227,24.65,0.0,27.12
20150228,24.68,11.67,37.15
20150301,22.59,5.76,67.32
20150302,21.5,2.99,66.28
20150303,19.39,0.0,57.58
20150304,19.78,0.0,49.81
20150305,22.3,0.0,44.85
20150306,23.61,0.0,47.92
20150307,24.02,0.0,41.45
20150308,25.59,0.14,36.01
20150309,25.76,2.11,50.1
20150310,26.56,0.29,50.25
20150311,26.58,4.48,50.53
20150312,26.21,0.01,45.85
20150313,26.88,1.49,44.28
20150314,26.16,3.02,42.74
20150315,25.34,17.64,60.16
20150316,24.88,0.0,61.49
20150317,24.63,0.0,50.29
20150318,25.48,0.0,45.54
20150319,26.43,0.0,42.14
20150320,27.7,0.0,38.21
20150321,28.82,0.0,36.78
20150322,29.65,0.0,34.76
20150323,29.88,0.0,34.4
20150324,30.07,0.0,32.04
20150325,30.3,0.0,27.72
20150326,30.87,0.0,26.09
20150327,30.6,0.0,28.24
20150328,31.08,0.03,27.71
20150329,30.27,0.52,33.15
20150330,28.87,0.68,36.9
20150331,29.87,0.0,32.27
20150401,29.27,0.0,22.02
20150402,29.2,0.0,22.5
20150403,28.78,0.0,27.77
20150404,28.29,0.0,28.42
20150405,28.66,0.0,34.71
20150406,29.64,0.0,27.01
20150407,29.55,0.0,29.03
20150408,30.46,0.0,29.1
20150409,32.66,0.01,32.57
20150410,29.73,0.58,43.38
20150411,28.77,6.91,49.66
20150412,27.09,5.75,54.95
20150413,26.29,4.1,49.21
20150414,25.4,6.45,58.62
20150415,26.26,0.23,54.67
20150416,27.3,0.04,55.53
20150417,28.56,0.0,49.21
20150418,30.28,0.0,41.97
20150419,31.91,0.0,34.68
20150420,33.52,0.0,30.3
20150421,33.86,0.0,29.56
20150422,33.56,0.08,30.25
20150423,33.26,0.06,28.71
20150424,31.87,0.0,23.8
20150425,31.56,0.0,23.83
20150426,31.96,0.0,27.85
20150427,33.37,0.0,27.96
20150428,33.52,0.65,28.19
20150429,33.4,0.0,26.65
20150430,32.44,0.0,29.89
20150501,32.71,0.0,27.07
