,T2M,Rain,Humidity
20150101,20.22,0.48,55.33
20150102,19.52,5.2,77.87
20150103,19.36,5.8,85.86
20150104,20.43,0.79,75.81
20150105,16.71,0.0,60.62
20150106,13.43,0.0,58.56
20150107,14.31,0.0,57.8
20150108,15.0,0.0,58.8
20150109,14.39,0.0,59.18
20150110,13.13,0.0,53.45
20150111,12.78,0.0,51.54
20150112,12.97,0.0,50.37
20150113,13.4,0.0,53.19
20150114,15.15,0.0,49.23
20150115,15.58,0.0,50.63
20150116,15.52,0.0,54.21
20150117,14.45,0.0,53.11
20150118,14.25,0.0,59.07
20150119,13.73,0.0,52.55
20150120,13.16,0.0,49.94
20150121,13.57,0.0,49.11
20150122,15.69,0.0,42.59
20150123,17.52,0.0,53.46
20150124,18.49,0.01,65.64
20150125,17.33,0.0,53.49
20150126,18.0,0.0,57.73
20150127,19.27,0.39,67.28
20150128,19.09,1.59,68.12
20150129,18.77,3.04,64.59
20150130,16.37,0.47,50.49
20150131,14.24,0.0,44.74
20150201,14.65,0.0,43.72
20150202,16.55,0.0,43.81
20150203,18.56,0.0,41.91
20150204,19.98,0.0,45.65
20150205,17.55,0.0,45.0
20150206,15.8,0.0,40.4
20150207,16.65,0.0,39.6
20150208,19.59,0.01,47.56
20150209,19.47,0.04,61.3
20150210,19.39,0.0,47.7
20150211,17.55,0.0,41.13
20150212,18.96,0.0,42.99
20150213,19.06,0.0,48.57
20150214,19.23,0.0,38.94
20150215,20.15,0.0,39.68
20150216,20.51,0.47,52.22
20150217,22.92,0.0,49.19
20150218,23.7,0.13,48.59
20150219,23.21,0.28,50.17
20150220,22.65,0.0,43.0
20150221,23.8,0.0,38.83
20150222,23.58,1.35,43.27
20150223,24.7,0.01,35.18
20150224,24.5,0.0,37.78
20150225,24.37,0.0,40.13
20150226,25.9,0.0,36.09
20150227,24.79,0.13,45.71
20150228,26.27,0.11,41.3
20150301,27.84,0.39,40.67
20150302,24.34,0.79,51.32
20150303,22.16,4.54,63.69
20150304,22.9,0.04,45.62
20150305,20.72,0.0,36.5
20150306,20.63,0.0,35.45
20150307,22.12,0.0,38.94
20150308,23.23,0.0,37.69
20150309,25.2,0.0,37.0
20150310,25.71,0.0,36.81
20150311,23.24,0.0,24.72
20150312,23.46,0.0,24.7
20150313,25.5,0.0,32.57
20150314,27.55,0.0,38.46
20150315,27.15,0.0,40.96
20150316,25.87,1.86,46.42
20150317,27.28,0.01,41.2
20150318,27.06,0.0,33.54
20150319,24.58,0.0,31.12
20150320,25.14,0.0,31.41
20150321,25.84,0.0,28.84
20150322,27.31,0.0,30.34
20150323,28.2,0.0,30.45
20150324,29.95,0.72,28.01
20150325,30.81,0.0,27.45
20150326,31.35,0.15,35.81
20150327,29.48,11.09,52.04
20150328,29.44,0.52,50.61
20150329,30.03,0.0,42.48
20150330,27.74,15.31,57.51
20150331,26.28,1.52,60.26
20150401,29.05,1.28,43.01
20150402,29.71,0.0,38.3
20150403,30.15,0.04,39.73
20150404,31.07,0.13,38.73
20150405,29.69,0.82,43.74
20150406,30.12,0.61,39.75
20150407,30.31,0.93,44.11
20150408,29.75,1.87,45.99
20150409,28.75,0.0,31.58
20150410,28.95,0.0,28.46
20150411,31.3,0.0,25.05
20150412,30.35,0.02,35.44
20150413,26.54,16.26,60.35
20150414,27.56,0.06,56.58
