,T2M,Rain,Humidity
20150101,20.27,0.24,79.19
20150102,20.11,0.02,77.58
20150103,20.11,0.0,73.18
20150104,20.87,0.0,69.52
20150105,22.29,0.0,60.74
20150106,21.65,0.0,60.02
20150107,21.54,0.0,67.24
20150108,20.9,0.0,54.3
20150109,20.54,0.0,40.25
20150110,19.17,0.0,30.85
20150111,18.61,0.0,27.18
20150112,18.45,0.0,27.18
20150113,19.62,0.0,32.44
20150114,20.06,0.0,40.57
20150115,19.71,0.0,48.62
20150116,20.38,0.0,46.74
20150117,21.07,0.0,46.66
20150118,21.73,0.0,52.17
20150119,22.08,0.0,55.78
20150120,21.79,0.0,56.06
20150121,21.24,0.0,56.79
20150122,21.34,0.0,61.21
20150123,21.79,0.0,60.99
20150124,22.21,0.0,56.34
20150125,22.62,0.0,52.5
20150126,21.97,0.0,53.8
20150127,22.23,0.0,49.95
20150128,22.29,0.0,54.59
20150129,22.97,0.0,57.73
20150130,23.72,0.0,43.0
20150131,23.61,0.0,39.14
20150201,23.51,0.0,44.19
20150202,23.37,0.0,40.15
20150203,22.69,0.0,42.14
20150204,22.53,0.0,33.41
20150205,22.27,0.0,32.11
20150206,22.48,0.0,34.34
20150207,23.26,0.0,42.44
20150208,23.18,0.0,43.18
20150209,23.62,0.0,41.78
20150210,24.26,0.0,39.86
20150211,23.48,0.0,40.34
20150212,23.87,0.0,36.82
20150213,24.57,0.0,37.84
20150214,24.58,0.0,40.24
20150215,25.59,0.0,27.62
20150216,25.29,0.0,26.28
20150217,25.4,0.0,47.47
20150218,24.63,0.0,37.2
20150219,23.67,0.0,55.19
20150220,24.68,0.0,52.29
20150221,25.35,0.0,40.98
20150222,25.77,0.0,31.21
20150223,25.17,0.0,34.04
20150224,25.23,0.0,46.34
20150225,24.87,0.0,51.65
20150226,24.51,0.0,56.22
20150227,23.66,0.0,53.45
20150228,22.47,9.94,67.55
20150301,22.31,11.32,77.0
20150302,21.91,3.59,75.4
20150303,20.73,0.0,66.37
20150304,19.82,0.0,57.33
20150305,21.3,0.0,60.36
20150306,23.92,0.0,60.41
20150307,25.06,0.09,51.11
20150308,25.93,1.77,52.5
20150309,25.6,0.23,54.58
20150310,24.6,0.47,65.62
20150311,25.9,0.0,46.88
20150312,26.21,0.0,39.4
20150313,26.72,0.0,47.2
20150314,25.89,0.0,54.89
20150315,25.85,0.0,63.82
20150316,26.55,0.0,58.62
20150317,27.82,0.0,47.55
20150318,27.37,0.0,44.61
20150319,27.7,0.0,43.86
20150320,28.48,0.0,44.8
20150321,28.24,0.0,38.58
20150322,28.74,0.0,42.76
20150323,27.54,0.68,53.37
20150324,29.43,0.76,49.64
20150325,29.11,0.42,50.64
20150326,28.51,0.11,47.12
20150327,28.81,0.2,43.81
20150328,28.4,0.0,52.9
20150329,28.17,0.0,55.17
20150330,27.91,0.07,53.12
20150331,27.95,1.23,54.16
20150401,28.53,0.03,40.3
20150402,28.08,0.0,45.83
20150403,27.52,0.0,51.19
20150404,27.61,0.0,44.93
20150405,28.17,0.0,41.23
20150406,28.18,0.0,46.25
20150407,27.46,0.0,50.35
20150408,28.06,0.0,54.11
20150409,27.86,0.0,55.87
20150410,27.2,10.14,61.55
20150411,24.4,14.61,70.89
20150412,24.6,1.06,68.94
20150413,25.38,0.01,58.11
20150414,25.25,0.0,58.8
20150415,26.39,0.0,58.29
20150416,27.28,0.02,58.47
20150417,27.92,0.02,56.07
20150418,28.47,0.0,54.02
20150419,29.5,0.0,50.51
20150420,30.03,0.0,52.82
20150421,29.98,0.0,54.39
20150422,28.57,0.73,60.06
20150423,28.18,1.95,62.79
20150424,28.62,0.42,56.35
20150425,27.97,0.0,52.2
20150426,28.53,0.0,50.57
20150427,29.95,0.65,46.87
20150428,29.96,0.13,50.0
20150429,30.07,0.0,49.21
20150430,29.1,0.0,54.67
20150501,29.32,0.0,53.45
20150502,28.81,0.0,54.4
20150503,28.6,0.0,57.0
20150504,29.42,0.05,52.24
20150505,29.46,10.33,56.21
20150506,28.9,2.33,61.29
20150507,29.02,0.37,60.38
20150508,28.61,0.08,61.4
20150509,28.24,1.41,63.29
20150510,28.57,1.37,59.78
20150511,28.53,3.42,63.77
20150512,26.43,9.64,73.75
20150513,25.65,14.3,76.86
20150514,27.65,0.37,63.08
20150515,27.01,0.23,67.44
20150516,27.37,0.3,69.82
20150517,27.0,3.86,73.72
20150518,27.45,0.26,71.24
20150519,25.96,0.0,76.35
20150520,27.58,0.0,67.48
20150521,27.5,0.01,69.42
20150522,27.11,0.0,69.57
