,T2M,Rain,Humidity
20150101,18.5,23.96,85.7
20150102,19.32,3.12,80.9
20150103,17.59,1.1,81.41
20150104,16.44,0.0,70.23
20150105,14.25,0.0,57.37
20150106,15.83,0.0,44.21
20150107,16.6,0.0,40.98
20150108,14.55,0.0,52.36
20150109,14.15,0.0,48.64
20150110,15.23,0.0,40.82
20150111,15.59,0.0,43.55
20150112,16.06,0.0,42.62
20150113,15.22,0.0,43.91
20150114,16.82,0.0,38.53
20150115,15.72,0.0,47.82
20150116,15.66,0.0,56.47
20150117,15.28,0.0,51.3
20150118,15.09,0.0,46.19
20150119,15.82,0.0,42.41
20150120,16.49,0.0,45.18
20150121,17.7,0.22,49.3
20150122,17.86,0.79,59.33
20150123,18.83,0.36,68.96
20150124,18.34,6.51,73.05
20150125,19.38,1.32,67.51
20150126,19.29,0.27,65.58
20150127,18.89,0.43,70.48
20150128,18.16,0.27,71.52
20150129,17.4,0.2,68.6
20150130,15.87,0.12,48.29
20150131,16.36,0.0,35.23
20150201,18.06,0.0,33.24
20150202,19.22,0.0,33.95
20150203,21.41,0.0,39.03
20150204,21.39,0.0,45.13
20150205,20.87,0.0,47.44
20150206,20.94,0.0,39.02
20150207,21.67,0.02,39.63
20150208,22.86,0.26,41.51
20150209,21.74,0.17,47.7
20150210,21.02,2.65,50.58
20150211,20.7,0.36,52.74
20150212,20.99,0.0,52.03
20150213,19.61,0.0,38.87
20150214,22.17,0.0,27.54
20150215,22.49,0.0,29.0
20150216,22.69,0.0,28.99
20150217,23.38,0.0,24.52
20150218,22.55,0.0,26.34
20150219,22.97,0.0,28.28
20150220,23.91,0.0,27.7
20150221,23.44,0.72,31.11
20150222,24.11,0.0,28.04
20150223,24.81,0.0,24.39
20150224,25.05,0.0,23.33
20150225,25.06,0.0,25.53
20150226,23.71,0.0,33.59
20150227,23.3,0.0,25.49
20150228,23.73,3.99,31.86
20150301,19.13,15.91,78.75
20150302,19.06,6.35,70.02
20150303,18.25,0.01,58.4
20150304,17.68,0.0,49.2
20150305,19.88,0.0,47.27
20150306,21.33,0.0,44.1
20150307,22.73,0.0,36.79
20150308,24.55,0.0,36.96
20150309,24.26,0.03,49.33
20150310,23.99,0.24,51.97
20150311,24.35,1.88,48.32
20150312,25.01,0.61,50.03
20150313,25.74,2.72,47.8
20150314,23.13,13.6,62.83
20150315,23.45,2.9,62.58
20150316,23.42,2.15,65.74
20150317,22.86,0.0,53.55
20150318,21.64,0.0,54.37
20150319,22.22,0.0,42.48
20150320,23.54,0.0,39.47
20150321,25.55,0.0,39.02
20150322,27.71,0.0,35.72
20150323,27.94,0.0,35.97
20150324,27.29,0.0,37.81
20150325,27.8,0.0,27.93
20150326,29.03,0.0,25.99
20150327,30.15,0.0,28.28
20150328,30.67,0.65,29.23
20150329,29.1,0.92,37.84
20150330,25.68,0.49,41.55
20150331,27.52,0.0,32.32
20150401,27.29,0.0,19.47
20150402,27.94,0.0,22.62
20150403,27.84,0.0,29.08
20150404,26.87,0.0,29.64
20150405,27.12,0.0,42.58
20150406,27.91,0.0,30.32
20150407,29.42,0.01,24.66
20150408,29.45,0.0,31.14
20150409,30.95,3.16,36.57
20150410,30.55,1.68,40.76
20150411,28.78,1.35,43.73
20150412,24.02,14.21,62.67
20150413,21.74,5.62,67.47
20150414,21.9,4.31,66.82
20150415,22.96,0.22,64.56
20150416,25.56,0.0,55.57
20150417,27.55,0.0,49.68
20150418,29.77,0.0,40.87
20150419,30.31,0.0,37.44
20150420,30.98,0.0,35.35
20150421,31.64,0.0,31.51
20150422,32.06,0.0,26.83
20150423,31.0,0.0,23.64
20150424,30.0,0.0,22.42
20150425,30.96,0.0,21.18
20150426,31.41,0.0,22.61
20150427,32.76,0.0,22.74
20150428,33.02,0.19,21.19
20150429,32.57,0.0,23.89
20150430,32.73,0.0,19.38
20150501,32.56,0.0,20.42
20150502,32.33,0.0,19.0
20150503,32.63,0.0,16.59
20150504,33.47,1.42,20.18
20150505,32.73,0.0,25.42
20150506,33.07,0.0,17.53
20150507,33.73,0.0,15.64
20150508,33.91,0.0,16.2
20150509,34.45,0.02,19.95
20150510,34.14,0.34,25.02
20150511,34.15,0.12,26.61
20150512,34.66,0.36,28.63
20150513,32.72,1.41,31.41
20150514,32.02,0.28,34.89
20150515,31.28,7.55,41.2
20150516,31.07,1.32,48.01
20150517,32.84,0.0,36.14
20150518,34.05,0.0,30.37
20150519,35.44,0.0,22.24
20150520,35.78,0.0,21.71
20150521,35.11,0.0,22.95
20150522,35.17,0.0,24.78
20150523,34.23,0.0,24.22
20150524,34.2,0.01,31.72
20150525,33.66,0.07,37.19
20150526,34.47,0.0,32.16
20150527,35.17,0.09,29.45
20150528,35.58,1.23,26.95
20150529,35.32,2.17,29.96
20150530,35.66,0.0,22.9
20150531,34.99,0.0,23.73
20150601,35.35,0.0,25.95
20150602,34.23,0.49,29.12
20150603,33.59,0.05,29.9
20150604,34.51,0.0,28.96
20150605,35.12,0.0,29.01
20150606,34.42,1.14,31.15
20150607,34.97,0.45,27.57
20150608,34.67,0.14,34.86
20150609,34.52,0.01,34.65
20150610,33.65,1.47,39.94
20150611,31.65,13.51,52.99
20150612,28.69,9.39,68.42
20150613,26.47,20.65,78.96
20150614,26.86,10.93,74.59
20150615,26.19,50.68,80.89
20150616,26.41,17.03,80.95
20150617,27.12,11.95,78.17
20150618,26.37,20.38,83.15
20150619,26.37,9.29,82.94
20150620,27.12,8.36,80.51
20150621,27.21,38.07,82.58
20150622,25.43,44.06,91.66
20150623,25.63,0.57,83.98
20150624,25.77,5.77,83.25
20150625,25.16,1.28,79.36
20150626,26.06,0.3,80.45
20150627,26.29,0.13,79.52
20150628,26.2,0.23,78.79
20150629,25.82,1.45,83.08
20150630,25.59,1.31,82.35
20150701,26.01,0.7,80.22
20150702,26.17,0.5,78.19
20150703,25.93,0.24,77.51
20150704,26.45,0.05,75.44
20150705,26.49,0.0,76.18
20150706,26.24,0.0,76.72
20150707,26.02,0.0,77.0
20150708,26.42,0.97,76.42
20150709,25.49,6.76,81.41
20150710,24.78,16.97,84.7
20150711,24.16,14.56,88.79
20150712,25.69,1.56,81.45
20150713,26.34,0.17,78.67
20150714,26.77,0.75,80.07
20150715,26.83,0.03,78.15
20150716,26.15,0.03,80.14
20150717,25.6,10.19,84.53
20150718,25.3,29.25,85.98
20150719,24.6,66.28,91.96
20150720,24.57,17.15,92.25
20150721,24.42,11.11,93.72
20150722,25.31,18.83,93.47
20150723,24.8,22.66,93.2
20150724,24.9,37.04,90.06
20150725,24.76,38.18,91.39
20150726,23.84,59.67,90.61
20150727,23.46,6.32,90.45
20150728,24.06,2.19,88.41
20150729,24.23,1.19,87.79
20150730,24.37,0.09,86.74
20150731,24.33,0.0,86.51
20150801,24.36,6.55,87.27
20150802,24.07,10.58,88.91
20150803,24.19,31.73,90.77
20150804,24.04,98.93,94.48
20150805,24.21,39.01,93.05
20150806,25.01,3.45,89.35
20150807,24.74,2.36,90.65
20150808,24.63,10.17,93.1
20150809,25.79,0.95,86.41
20150810,24.89,2.57,91.62
20150811,25.76,24.46,89.77
20150812,25.38,49.87,89.02
20150813,24.09,19.92,95.51
20150814,24.39,18.02,94.95
20150815,24.15,15.93,95.1
20150816,24.37,1.77,93.43
20150817,24.22,3.87,91.15
20150818,24.39,13.7,91.41
20150819,24.86,12.81,90.17
20150820,23.94,1.63,89.37
20150821,23.68,0.14,88.29
20150822,23.96,0.31,87.41
20150823,23.84,0.04,88.06
20150824,24.24,0.0,88.0
20150825,24.17,0.0,87.65
20150826,24.75,0.47,86.1
20150827,24.61,2.07,89.38
20150828,24.21,9.86,91.29
20150829,24.54,14.25,92.18
20150830,24.5,11.1,91.82
20150831,23.79,2.96,91.28
20150901,23.94,1.41,89.11
20150902,23.82,0.06,86.91
20150903,23.43,1.17,82.49
20150904,24.58,3.12,79.28
20150905,24.97,0.0,82.12
20150906,25.12,0.04,83.67
20150907,24.35,19.06,87.25
20150908,24.42,6.19,86.03
20150909,24.98,0.07,79.33
20150910,24.96,0.0,79.07
20150911,25.37,0.0,80.36
20150912,25.82,0.18,78.94
20150913,25.81,6.64,77.64
20150914,25.46,9.02,85.66
20150915,25.12,15.34,87.95
20150916,25.04,4.28,89.33
20150917,24.6,40.49,92.33
20150918,25.24,9.97,90.88
20150919,24.77,0.35,88.42
20150920,24.3,0.41,84.03
20150921,24.14,0.49,84.52
20150922,24.04,0.9,86.34
20150923,24.09,0.69,87.39
20150924,23.52,0.08,84.85
20150925,21.97,0.0,84.96
20150926,21.7,0.0,80.56
20150927,22.69,0.0,78.3
20150928,23.83,1.48,78.03
20150929,24.31,0.33,76.92
20150930,23.49,0.0,76.07
20151001,24.53,0.0,77.69
20151002,25.61,1.44,82.1
20151003,25.28,0.01,81.52
20151004,25.0,0.0,68.82
20151005,25.26,0.0,64.39
20151006,24.57,0.0,66.59
20151007,24.2,0.0,64.49
20151008,24.48,0.0,60.54
20151009,24.93,0.0,60.1
20151010,24.91,0.0,56.31
20151011,25.67,0.0,55.15
20151012,26.15,0.0,53.81
20151013,25.25,0.0,55.44
20151014,24.56,0.0,61.34
20151015,24.56,0.0,68.92
20151016,24.08,0.02,73.57
20151017,24.45,0.0,65.38
20151018,25.38,0.0,63.62
20151019,25.67,0.0,64.45
20151020,26.47,0.0,57.11
20151021,26.49,0.0,57.86
20151022,25.51,0.0,64.72
20151023,26.35,0.0,58.64
20151024,26.14,0.0,55.81
20151025,24.52,0.52,66.61
20151026,23.75,0.84,68.96
20151027,24.81,0.01,66.24
20151028,23.64,2.82,72.32
20151029,21.94,3.54,78.03
20151030,20.49,0.34,69.07
20151031,20.91,0.0,74.22
20151101,21.88,0.0,72.56
20151102,22.35,0.0,70.33
20151103,22.98,0.0,70.37
20151104,23.86,0.0,63.94
20151105,24.24,0.0,62.28
20151106,24.92,0.0,59.56
20151107,24.03,0.0,62.76
20151108,23.39,0.0,64.76
20151109,23.18,0.0,67.22
20151110,23.33,0.0,64.06
20151111,23.91,0.0,58.93
20151112,23.06,0.0,60.57
