,T2M,Rain,Humidity
20150101,21.15,0.06,51.21
20150102,20.12,5.96,75.03
20150103,19.09,5.45,86.03
20150104,20.64,1.06,75.2
20150105,17.61,0.0,58.36
20150106,13.98,0.0,56.23
20150107,14.47,0.0,56.07
20150108,15.33,0.02,58.03
20150109,15.11,0.0,56.4
20150110,13.7,0.0,51.35
20150111,13.17,0.0,50.15
20150112,13.4,0.0,48.22
20150113,13.98,0.0,51.75
20150114,15.78,0.0,47.93
20150115,16.28,0.0,49.18
20150116,16.49,0.0,50.94
20150117,15.77,0.0,47.68
20150118,14.83,0.0,55.86
20150119,14.35,0.0,50.5
20150120,13.54,0.0,48.57
20150121,14.14,0.0,48.29
20150122,15.83,0.0,40.78
20150123,17.84,0.0,48.82
20150124,19.21,0.0,61.82
20150125,17.73,0.0,50.8
20150126,18.52,0.0,53.47
20150127,20.25,0.13,61.06
20150128,19.98,0.64,63.22
20150129,19.37,2.4,61.94
20150130,17.09,0.88,50.19
20150131,14.72,0.0,42.06
20150201,14.85,0.0,42.49
20150202,16.69,0.0,43.44
20150203,18.61,0.0,41.87
20150204,20.51,0.0,42.65
20150205,18.33,0.0,43.2
20150206,16.42,0.0,38.36
20150207,17.0,0.0,37.37
20150208,19.85,0.0,43.0
20150209,20.04,0.01,57.08
20150210,20.14,0.0,44.03
20150211,18.23,0.0,37.2
20150212,19.33,0.0,38.41
20150213,19.66,0.0,45.14
20150214,19.47,0.0,36.57
20150215,20.65,0.04,37.45
20150216,21.28,0.4,50.47
20150217,23.76,0.03,45.54
20150218,24.43,0.39,45.63
20150219,23.54,1.14,53.31
20150220,22.9,0.0,42.19
20150221,24.05,0.11,37.51
20150222,24.04,1.16,41.03
20150223,24.85,0.0,34.5
20150224,24.82,0.01,35.65
20150225,24.82,0.0,37.69
20150226,26.5,0.0,33.67
20150227,26.0,0.11,38.61
20150228,27.1,0.04,37.31
20150301,28.87,0.08,36.66
20150302,25.75,2.31,45.08
20150303,23.03,1.48,58.23
20150304,23.49,0.1,43.56
20150305,21.68,0.0,32.56
20150306,21.33,0.0,31.87
20150307,22.78,0.0,35.63
20150308,23.7,0.0,34.1
20150309,25.74,0.0,33.41
20150310,26.4,0.0,33.15
20150311,24.12,0.0,21.87
20150312,24.21,0.0,21.69
20150313,25.96,0.0,28.12
20150314,28.19,0.0,35.2
20150315,27.89,0.0,37.29
20150316,26.91,1.24,42.01
20150317,28.0,0.0,38.44
20150318,27.55,0.0,31.95
20150319,25.28,0.0,27.69
20150320,25.63,0.0,29.0
20150321,26.52,0.0,26.59
20150322,27.78,0.0,28.47
20150323,28.7,0.07,28.78
20150324,30.38,0.2,25.46
20150325,30.74,0.0,28.68
20150326,31.42,0.7,38.28
20150327,29.52,14.33,54.62
20150328,29.56,0.5,49.19
20150329,30.03,0.24,43.5
20150330,28.23,17.95,58.6
20150331,26.37,4.28,59.46
20150401,29.03,0.45,43.76
20150402,29.61,0.0,39.09
20150403,30.13,0.01,39.78
20150404,31.31,0.2,38.34
20150405,29.56,0.63,46.93
20150406,29.75,0.46,41.49
20150407,29.7,1.65,49.57
20150408,29.58,2.68,49.65
20150409,28.76,0.0,32.98
20150410,29.18,0.0,28.97
20150411,31.21,0.0,25.85
20150412,29.86,1.93,42.32
20150413,25.81,17.21,67.76
20150414,27.23,0.01,56.01
20150415,28.83,0.03,50.09
20150416,30.08,0.02,47.73
20150417,28.63,11.19,50.71
20150418,29.73,5.16,50.03
20150419,30.87,6.42,38.85
20150420,31.8,0.0,49.98
20150421,32.92,0.99,40.4
20150422,32.35,2.86,35.64
20150423,31.99,0.43,32.68
20150424,31.0,1.41,51.44
20150425,26.74,1.49,64.61
20150426,26.81,0.01,54.05
20150427,28.33,0.94,54.85
20150428,29.74,6.21,55.36
20150429,29.68,5.98,58.48
20150430,30.74,0.02,47.51
20150501,32.4,0.18,41.15
20150502,32.6,1.04,47.98
20150503,33.11,1.1,46.77
20150504,33.37,0.02,33.56
20150505,33.82,0.0,29.3
20150506,33.36,0.0,25.74
20150507,33.2,0.49,40.84
20150508,32.47,1.15,48.32
20150509,32.65,1.06,49.31
20150510,33.12,1.56,50.43
20150511,31.83,10.87,58.76
20150512,32.67,6.55,54.13
20150513,33.39,0.54,45.78
20150514,34.78,0.74,37.7
20150515,34.85,0.23,37.65
20150516,33.42,2.32,41.92
20150517,33.15,1.94,43.55
20150518,33.21,5.99,49.99
20150519,32.8,6.73,55.7
20150520,33.83,3.96,50.45
20150521,35.59,0.19,39.09
20150522,35.77,0.22,32.38
20150523,35.78,0.68,29.89
20150524,34.7,2.04,37.02
20150525,35.18,1.75,48.8
20150526,35.22,4.55,46.71
20150527,33.18,12.0,55.06
20150528,34.67,2.11,50.82
20150529,35.27,3.02,48.9
20150530,34.43,8.5,55.3
20150531,34.68,1.0,52.23
20150601,35.11,4.62,49.45
20150602,35.11,1.71,41.15
20150603,34.97,1.07,47.01
20150604,35.23,0.14,46.6
20150605,35.08,1.33,46.61
20150606,36.24,0.86,42.99
20150607,36.95,0.5,40.47
20150608,36.8,0.58,44.0
20150609,37.59,0.1,40.0
20150610,36.83,5.78,44.93
20150611,34.89,9.82,53.27
20150612,35.6,3.43,48.92
20150613,33.49,0.12,51.08
20150614,31.8,1.57,55.26
20150615,33.22,0.86,58.56
20150616,33.12,2.06,57.78
20150617,34.09,0.61,52.14
20150618,33.92,3.02,54.74
20150619,34.12,7.37,53.13
20150620,33.99,4.55,54.86
20150621,33.36,1.3,58.75
20150622,31.02,16.52,72.84
20150623,31.14,14.58,73.48
20150624,31.85,8.98,70.02
20150625,32.83,6.26,61.92
20150626,32.71,13.4,62.72
20150627,29.22,34.93,80.63
20150628,28.95,4.34,77.1
20150629,30.93,0.8,69.22
20150630,31.94,2.06,66.88
20150701,31.35,19.27,72.86
20150702,31.61,3.77,70.35
20150703,32.25,3.98,67.76
20150704,33.11,3.04,65.0
20150705,32.17,13.46,69.99
20150706,29.5,43.27,85.22
20150707,29.17,8.41,87.51
20150708,30.17,13.37,79.85
20150709,28.64,14.62,90.05
20150710,28.18,15.96,89.56
20150711,29.24,3.01,83.71
20150712,30.17,0.13,79.12
20150713,30.99,0.49,77.87
20150714,30.35,1.74,83.14
20150715,29.3,6.97,88.05
20150716,27.67,12.92,90.62
20150717,28.38,9.38,85.32
20150718,29.28,5.28,79.96
20150719,28.38,3.2,84.47
20150720,28.25,1.74,87.87
20150721,28.66,11.27,84.46
20150722,28.51,7.06,86.7
20150723,28.54,17.33,87.43
20150724,28.32,2.96,88.37
20150725,28.98,1.52,83.14
20150726,29.97,1.39,78.87
20150727,28.24,1.93,87.04
20150728,29.18,0.16,82.13
20150729,29.48,0.06,82.35
20150730,29.6,1.24,81.81
20150731,28.63,2.23,83.16
20150801,27.17,6.22,88.43
20150802,28.15,2.61,85.51
20150803,28.67,1.98,83.46
20150804,29.08,0.47,81.26
20150805,30.07,1.6,78.41
20150806,29.52,2.12,82.4
20150807,29.95,0.63,78.13
20150808,29.47,1.75,81.47
20150809,30.15,2.62,79.1
20150810,30.17,7.18,80.35
20150811,30.5,5.71,79.07
20150812,29.65,2.82,81.17
20150813,30.15,1.31,79.88
20150814,30.19,0.4,79.14
20150815,29.8,2.16,83.29
20150816,29.99,4.21,81.78
20150817,30.3,8.73,82.46
20150818,29.39,15.24,87.49
20150819,28.48,61.53,89.86
20150820,28.77,45.21,88.41
20150821,28.24,32.57,90.33
20150822,28.55,4.02,86.11
20150823,29.52,2.56,81.85
20150824,29.25,1.48,85.51
20150825,29.35,0.16,85.49
20150826,29.59,3.38,85.48
20150827,29.49,4.35,85.43
20150828,29.39,5.08,85.25
20150829,29.43,2.85,86.28
20150830,29.2,18.18,88.38
20150831,28.4,13.74,90.26
20150901,29.08,11.55,84.63
20150902,28.86,4.4,82.32
20150903,28.71,5.96,79.72
20150904,28.48,4.61,82.14
20150905,28.73,0.59,82.36
20150906,28.73,0.92,81.38
20150907,28.54,0.17,81.42
20150908,28.32,0.3,81.08
20150909,28.91,0.0,79.64
20150910,30.0,6.11,76.75
20150911,28.53,24.94,87.4
20150912,27.88,16.28,88.41
20150913,29.22,1.87,79.46
20150914,29.39,0.27,81.29
20150915,28.14,9.88,86.81
20150916,27.56,19.94,90.56
20150917,28.17,0.06,88.81
20150918,29.95,0.03,80.25
20150919,28.81,1.75,86.78
20150920,28.09,7.37,89.44
20150921,27.74,27.33,91.23
20150922,27.95,16.22,90.27
20150923,27.63,24.16,89.21
20150924,27.59,1.56,85.05
20150925,26.05,0.0,84.78
20150926,26.45,0.01,80.65
20150927,27.19,0.01,75.58
20150928,27.45,0.0,76.18
20150929,27.84,0.0,74.42
20150930,27.63,0.0,78.92
20151001,28.0,0.0,79.49
20151002,28.39,0.06,80.24
20151003,27.83,0.03,75.66
20151004,28.0,0.0,64.49
20151005,27.21,0.0,68.34
20151006,27.48,0.0,64.91
20151007,27.87,0.0,64.87
20151008,27.91,0.0,70.32
20151009,26.5,0.0,75.25
20151010,26.11,0.51,69.1
20151011,25.16,0.38,74.34
20151012,26.06,0.04,74.06
20151013,26.61,0.19,78.54
20151014,24.9,0.36,85.66
20151015,25.95,0.19,81.14
20151016,26.82,0.09,74.36
20151017,26.59,0.0,70.53
20151018,26.98,0.0,65.76
20151019,27.29,0.0,66.02
20151020,27.29,0.0,67.11
20151021,27.39,0.0,66.19
20151022,26.79,0.61,63.69
20151023,25.1,0.04,58.06
20151024,23.96,0.0,53.95
20151025,24.4,0.0,57.03
20151026,24.71,0.0,62.35
20151027,25.51,0.0,59.83
20151028,25.11,0.0,55.56
20151029,25.29,0.07,59.56
20151030,23.07,0.28,64.41
20151031,24.06,0.08,63.78
20151101,25.41,0.05,69.57
20151102,25.66,0.0,71.53
20151103,25.78,0.11,62.32
20151104,24.83,0.01,57.4
20151105,25.32,0.03,51.06
20151106,25.18,0.0,51.68
20151107,25.49,0.0,51.83
20151108,24.75,0.0,49.18
20151109,24.97,0.0,47.14
20151110,24.5,0.0,50.06
20151111,24.42,0.0,50.65
20151112,24.06,0.0,52.86
20151113,24.08,0.0,49.58
20151114,24.58,0.0,46.08
20151115,24.74,0.0,48.48
20151116,25.03,0.0,47.84
20151117,25.0,0.0,45.12
20151118,23.98,1.36,49.8
20151119,22.44,1.88,56.16
20151120,22.29,0.0,51.17
20151121,22.62,0.0,49.16
20151122,22.31,0.0,48.06
20151123,22.88,0.0,45.54
20151124,23.04,0.0,50.16
20151125,22.26,0.0,58.1
20151126,22.78,0.0,53.92
20151127,22.93,0.0,45.61
20151128,22.7,0.0,49.1
20151129,23.47,0.0,57.7
20151130,24.23,0.0,56.99
20151201,24.66,0.0,55.12
20151202,24.16,0.0,51.02
20151203,22.78,0.09,56.3
20151204,21.65,0.0,60.78
20151205,22.12,0.0,50.59
20151206,22.54,0.0,56.66
20151207,21.46,0.0,62.18
