,T2M,Rain,Humidity
20150101,22.34,0.46,58.57
20150102,20.91,0.02,61.0
20150103,21.85,0.0,56.0
20150104,22.75,0.0,44.16
20150105,21.72,0.0,38.33
20150106,21.63,0.0,29.57
20150107,21.33,0.0,27.5
20150108,21.95,0.0,30.45
20150109,21.39,0.0,29.59
20150110,21.48,0.0,24.67
20150111,21.94,0.0,25.25
20150112,22.87,0.0,25.52
20150113,22.16,0.0,26.5
20150114,22.41,0.0,27.36
20150115,21.92,0.0,41.15
20150116,21.78,0.0,36.71
20150117,21.65,0.0,34.57
20150118,22.01,0.0,33.93
20150119,22.94,0.0,34.26
20150120,22.27,0.0,51.72
20150121,23.31,1.3,65.45
20150122,22.25,0.3,66.44
20150123,22.61,0.0,54.64
20150124,23.1,0.03,47.59
20150125,22.91,0.71,57.35
20150126,21.45,0.0,53.9
20150127,19.35,0.0,32.51
20150128,21.13,0.0,51.32
20150129,21.94,0.0,39.92
20150130,21.96,0.0,30.82
20150131,23.07,0.0,24.69
20150201,22.82,0.0,31.98
20150202,22.81,0.0,53.9
20150203,24.44,0.0,49.44
20150204,25.44,0.0,38.16
20150205,25.56,0.0,38.77
20150206,25.14,0.0,36.48
20150207,24.33,0.0,28.8
20150208,22.55,0.0,31.91
20150209,23.44,0.0,26.27
20150210,26.17,0.04,36.88
20150211,25.93,0.0,41.87
20150212,24.9,0.0,28.06
20150213,25.59,0.0,21.56
20150214,25.58,0.0,27.29
20150215,25.62,0.0,48.72
20150216,25.89,0.0,51.89
20150217,25.42,0.0,46.47
20150218,25.69,0.0,53.1
20150219,26.27,0.0,52.02
20150220,26.74,0.0,39.67
20150221,28.44,0.0,19.87
20150222,29.77,0.0,18.88
20150223,29.24,0.0,22.6
20150224,27.74,0.0,42.31
20150225,25.49,0.0,49.53
20150226,23.69,0.0,38.84
20150227,23.37,0.0,35.04
20150228,23.87,0.09,53.28
20150301,23.03,6.81,67.03
20150302,22.9,0.11,53.09
20150303,21.47,0.0,50.79
20150304,23.18,0.0,45.24
20150305,25.06,0.0,37.22
20150306,26.56,0.0,30.49
20150307,27.15,0.0,32.49
20150308,26.56,0.0,44.23
20150309,26.35,0.02,31.77
20150310,28.42,0.0,23.8
20150311,29.53,0.03,30.55
20150312,30.51,0.56,38.69
20150313,29.4,0.91,37.97
20150314,29.04,1.72,44.1
20150315,26.81,0.57,55.18
20150316,24.61,0.0,46.55
20150317,26.25,0.0,41.14
20150318,27.23,0.0,28.55
20150319,28.6,0.0,27.19
20150320,30.28,0.0,25.16
20150321,31.67,0.0,22.32
20150322,32.38,0.0,24.5
20150323,32.35,0.0,30.75
20150324,32.28,0.0,33.53
20150325,33.67,0.0,25.08
20150326,34.28,0.0,26.4
20150327,32.93,0.01,42.76
20150328,32.47,0.03,48.21
20150329,31.48,0.61,38.52
20150330,31.54,0.53,36.48
20150331,29.12,0.0,36.0
20150401,29.4,0.0,48.04
20150402,29.46,0.0,54.99
20150403,28.88,0.0,56.65
20150404,27.89,0.0,62.69
20150405,28.64,0.0,61.51
20150406,28.18,0.0,56.87
20150407,29.07,0.0,56.65
20150408,30.74,0.0,53.72
20150409,31.13,0.0,56.88
20150410,30.78,0.0,59.09
20150411,29.81,0.04,58.16
20150412,28.99,1.36,55.18
20150413,28.98,2.86,56.27
20150414,29.71,1.45,52.08
20150415,30.25,4.49,54.52
20150416,32.21,0.0,47.88
20150417,33.43,0.0,41.5
20150418,33.15,0.0,45.99
20150419,33.06,0.0,49.37
20150420,34.02,0.0,39.15
20150421,33.94,0.0,36.21
20150422,32.86,0.0,41.93
20150423,32.21,0.0,50.49
20150424,31.79,0.0,48.58
20150425,31.42,0.0,53.47
20150426,31.95,0.0,54.95
20150427,32.48,0.0,55.35
20150428,33.03,0.0,51.55
20150429,32.45,0.0,50.97
20150430,32.57,0.0,54.98
20150501,32.47,0.0,54.0
20150502,33.31,0.0,50.49
20150503,33.38,0.0,48.36
20150504,33.93,0.0,42.97
20150505,33.97,0.0,46.21
20150506,33.64,0.01,40.25
20150507,33.97,0.05,41.24
20150508,34.79,0.0,38.38
20150509,34.7,0.0,38.43
20150510,34.1,0.04,42.8
20150511,34.26,0.02,42.83
20150512,33.43,0.3,50.41
20150513,33.51,0.4,54.04
20150514,33.74,0.47,51.08
20150515,35.57,0.01,44.58
20150516,36.04,0.0,46.05
20150517,35.53,0.0,42.13
20150518,34.82,0.0,43.29
20150519,33.79,0.0,50.66
20150520,33.7,0.0,53.52
20150521,33.58,0.0,54.71
20150522,33.5,0.0,56.47
20150523,33.12,0.0,59.6
20150524,32.21,0.0,63.51
20150525,32.31,0.0,62.87
20150526,32.7,0.0,60.12
20150527,33.01,0.0,57.96
20150528,32.9,0.0,59.23
20150529,33.97,0.0,53.83
20150530,34.31,0.0,49.71
20150531,34.81,0.0,46.02
20150601,32.97,0.01,56.78
20150602,32.03,0.15,59.22
20150603,32.28,0.26,58.02
20150604,33.27,0.08,53.81
20150605,33.38,0.0,56.15
20150606,33.47,0.03,56.21
20150607,33.01,0.4,57.21
20150608,32.7,4.35,60.8
20150609,31.74,3.19,63.0
20150610,31.3,2.26,67.2
20150611,29.7,21.56,78.33
20150612,28.59,41.92,85.26
20150613,28.17,38.16,88.41
20150614,28.7,11.63,82.8
20150615,29.12,4.87,79.18
20150616,29.25,3.33,75.06
20150617,29.41,0.66,77.56
20150618,29.16,2.03,78.51
20150619,28.55,0.93,85.05
20150620,29.0,0.74,84.54
20150621,29.12,22.34,83.87
20150622,28.03,55.21,89.36
20150623,27.71,51.74,88.46
20150624,27.8,148.93,88.44
20150625,27.99,46.22,87.97
20150626,28.36,0.0,83.89
20150627,28.31,0.24,83.13
20150628,28.25,0.19,82.12
20150629,28.1,0.0,82.91
20150630,28.14,0.0,82.32
20150701,28.18,0.0,81.27
20150702,28.0,0.0,81.29
20150703,28.26,0.0,80.99
20150704,28.6,0.0,79.73
20150705,28.59,0.0,79.29
20150706,28.46,0.0,79.34
20150707,28.57,0.16,80.14
20150708,28.39,0.14,80.24
20150709,27.81,0.67,83.24
20150710,28.32,1.43,81.56
20150711,28.18,0.97,80.68
20150712,28.7,0.0,78.85
20150713,28.74,0.0,79.02
20150714,29.06,0.0,77.3
20150715,28.86,0.69,77.25
20150716,29.12,1.61,76.91
20150717,28.69,0.11,78.89
20150718,28.99,0.78,78.02
20150719,28.79,1.56,79.01
20150720,28.25,4.02,81.25
20150721,27.95,14.34,84.74
20150722,27.69,18.51,89.88
20150723,27.76,8.9,87.47
20150724,27.68,8.87,89.98
20150725,27.07,8.28,88.23
20150726,26.97,27.6,86.92
20150727,26.31,71.31,92.91
20150728,26.52,25.28,89.06
20150729,26.8,10.62,86.45
20150730,27.05,1.01,84.66
20150731,27.29,0.49,84.27
20150801,27.46,0.28,84.07
20150802,27.5,0.08,83.3
20150803,27.09,0.05,83.64
20150804,27.61,0.46,82.27
20150805,27.0,1.42,86.0
20150806,27.53,1.19,83.46
20150807,27.94,0.37,83.04
20150808,27.93,0.24,83.72
20150809,27.06,0.4,86.65
20150810,27.87,0.08,83.4
20150811,27.84,0.38,83.27
20150812,27.01,3.94,85.6
20150813,27.3,4.85,84.21
20150814,27.66,2.14,83.77
20150815,28.06,0.78,81.96
20150816,27.88,1.74,82.76
20150817,27.82,3.33,83.41
20150818,27.95,2.48,83.21
20150819,27.99,0.21,82.16
20150820,27.38,0.1,82.79
20150821,27.77,0.28,79.79
20150822,27.8,0.11,78.64
20150823,28.05,0.43,78.38
20150824,27.52,0.84,80.52
20150825,28.14,2.42,78.32
20150826,28.46,0.81,77.33
20150827,28.57,0.07,75.8
20150828,28.24,0.09,78.22
20150829,28.53,0.15,77.37
20150830,27.27,19.2,84.31
20150831,27.32,18.19,83.54
20150901,27.05,2.01,81.29
20150902,26.86,0.01,79.5
20150903,27.14,0.08,77.14
20150904,27.61,0.04,75.21
20150905,28.22,0.0,70.1
20150906,27.88,0.0,70.25
20150907,27.53,0.02,72.98
20150908,27.49,2.38,76.76
20150909,28.81,3.73,74.35
20150910,29.73,1.56,72.69
20150911,30.5,1.94,71.08
20150912,29.73,28.15,76.33
20150913,28.1,6.57,83.26
20150914,28.42,4.11,81.67
20150915,28.24,3.23,81.58
20150916,29.1,0.02,75.82
20150917,29.96,1.13,71.94
20150918,27.84,42.77,85.89
20150919,27.4,131.06,92.29
20150920,26.48,90.06,89.59
20150921,26.78,60.07,89.26
20150922,26.72,14.66,87.37
20150923,26.61,1.53,85.68
20150924,25.91,0.19,83.92
20150925,25.6,0.0,83.54
20150926,25.62,0.0,82.41
20150927,26.47,0.0,80.07
20150928,27.44,0.0,74.33
20150929,27.59,0.0,74.69
20150930,27.72,0.0,75.46
20151001,26.02,0.0,70.99
20151002,27.87,0.37,77.01
20151003,27.62,1.37,86.98
20151004,28.5,1.56,80.78
20151005,29.24,0.17,77.03
20151006,29.79,0.0,65.64
20151007,29.99,0.0,57.22
20151008,29.81,0.0,55.68
20151009,28.04,0.0,70.82
20151010,27.79,0.0,82.12
20151011,28.79,0.3,77.4
20151012,28.88,0.41,78.08
20151013,29.56,0.0,68.36
20151014,29.08,0.0,58.71
20151015,27.02,0.0,56.95
20151016,28.03,0.0,61.62
20151017,28.9,0.0,62.25
20151018,29.32,0.0,57.15
20151019,29.39,0.0,61.21
20151020,30.23,0.0,58.47
20151021,29.54,0.0,55.68
20151022,29.03,0.0,55.27
20151023,29.06,0.0,51.23
20151024,29.17,0.0,47.84
20151025,27.16,2.22,64.73
20151026,27.76,0.55,66.97
20151027,28.62,0.01,59.28
20151028,27.97,0.01,56.72
20151029,23.45,0.0,44.65
20151030,24.39,0.0,59.5
20151031,25.04,0.0,56.06
20151101,26.24,0.0,58.84
20151102,27.73,0.0,51.0
20151103,28.08,0.0,52.47
20151104,28.19,0.0,52.61
20151105,28.23,0.0,52.61
20151106,27.6,0.0,48.27
20151107,26.81,0.0,49.65
20151108,26.7,0.0,50.63
20151109,27.5,0.0,51.04
20151110,27.73,0.0,50.49
20151111,27.41,0.0,51.89
20151112,28.3,0.0,47.45
20151113,27.49,0.0,48.12
20151114,27.27,0.0,43.61
20151115,26.94,0.0,40.37
20151116,26.29,0.0,38.47
20151117,26.44,0.0,38.38
20151118,25.88,0.0,36.56
20151119,25.96,0.0,40.31
20151120,25.58,0.0,34.72
20151121,27.15,0.07,37.58
20151122,26.63,0.76,63.69
20151123,27.96,0.1,62.87
20151124,27.39,0.0,60.91
20151125,28.02,0.0,47.45
20151126,28.51,0.0,41.89
20151127,25.66,0.0,31.66
20151128,24.74,0.0,28.65
20151129,26.44,0.0,37.0
20151130,28.3,0.0,39.49
20151201,28.34,0.0,39.89
20151202,26.5,0.0,32.67
20151203,25.11,0.0,24.99
