,T2M,Rain,Humidity
20150101,20.51,0.2,57.81
20150102,19.27,0.0,63.04
20150103,20.66,0.0,52.88
20150104,20.69,0.0,43.29
20150105,19.88,0.0,40.49
20150106,20.98,0.0,29.02
20150107,21.04,0.0,46.49
20150108,21.38,0.0,36.22
20150109,20.44,0.0,36.66
20150110,20.69,0.0,31.87
20150111,21.01,0.0,29.93
20150112,22.03,0.0,26.31
20150113,21.93,0.0,34.37
20150114,22.76,0.0,49.96
20150115,20.34,0.0,29.51
20150116,19.27,0.0,29.45
20150117,19.17,0.0,28.41
20150118,19.54,0.0,23.34
20150119,20.9,0.0,31.0
20150120,22.25,0.06,41.31
20150121,21.95,3.68,71.66
20150122,21.85,0.02,61.94
20150123,20.32,0.0,52.6
20150124,20.25,0.0,44.44
20150125,21.19,0.03,39.06
20150126,19.03,0.0,27.98
20150127,17.36,0.0,30.22
20150128,17.91,0.0,35.34
20150129,18.42,0.0,26.17
20150130,19.63,0.0,28.38
20150131,21.69,0.0,28.88
20150201,22.08,0.0,26.76
20150202,23.4,0.0,52.81
20150203,23.47,0.0,44.13
20150204,22.9,0.0,33.3
20150205,23.0,0.0,29.41
20150206,22.97,0.0,20.69
20150207,23.02,0.0,21.17
20150208,22.05,0.0,28.11
20150209,21.95,0.0,24.94
20150210,23.51,0.0,38.91
20150211,24.01,0.0,30.07
20150212,23.65,0.0,21.75
20150213,24.31,0.0,20.43
20150214,24.89,0.0,39.76
20150215,26.03,0.0,45.2
20150216,26.4,0.0,39.31
20150217,25.8,0.0,41.25
20150218,26.8,0.0,44.69
20150219,26.6,0.0,42.6
20150220,26.4,0.0,42.89
20150221,28.1,0.0,24.82
20150222,28.77,0.0,21.89
20150223,28.29,0.0,27.36
20150224,27.89,0.0,41.91
20150225,25.44,0.0,42.71
20150226,23.47,0.0,27.92
20150227,22.8,0.0,23.78
20150228,23.99,0.25,28.6
20150301,22.53,10.02,51.59
20150302,21.2,0.08,51.07
20150303,21.39,0.0,54.66
20150304,22.62,0.0,48.91
20150305,24.31,0.0,44.71
20150306,25.23,0.0,42.74
20150307,26.97,0.0,35.31
20150308,26.14,0.0,45.01
20150309,24.39,0.0,22.92
20150310,25.31,0.0,18.38
20150311,27.12,0.0,22.2
20150312,29.25,0.13,23.43
20150313,28.56,0.67,32.5
20150314,28.43,1.63,40.56
20150315,26.19,0.04,46.29
20150316,24.53,0.0,41.82
20150317,25.77,0.0,29.17
20150318,26.32,0.0,25.91
20150319,27.41,0.0,26.0
20150320,29.69,0.0,21.84
20150321,31.1,0.0,24.0
20150322,32.37,0.0,24.74
20150323,32.85,0.0,22.69
20150324,32.73,0.0,27.37
20150325,32.71,0.0,26.36
20150326,33.35,0.0,19.87
20150327,34.42,0.0,22.5
20150328,34.25,0.0,26.79
20150329,31.64,0.06,28.65
20150330,31.27,0.0,28.97
