,T2M,Rain,Humidity
20150101,14.22,0.94,54.56
20150102,15.56,4.98,77.88
20150103,15.17,0.58,83.93
20150104,14.76,0.0,68.52
20150105,13.65,0.0,45.87
20150106,14.94,0.0,48.48
20150107,14.94,0.0,49.22
20150108,13.47,0.0,45.7
20150109,13.42,0.0,37.77
20150110,14.24,0.0,36.49
20150111,14.95,0.0,36.7
20150112,14.72,0.0,33.93
20150113,13.18,0.0,39.25
20150114,13.36,0.99,48.46
20150115,12.88,0.0,47.06
20150116,12.78,0.0,48.89
20150117,14.05,0.0,46.3
20150118,14.43,0.0,41.95
20150119,14.72,0.0,37.04
20150120,13.17,0.0,37.88
20150121,14.14,1.57,42.29
20150122,15.48,20.53,67.68
20150123,15.38,6.27,72.39
20150124,14.43,0.0,63.0
20150125,14.63,0.59,61.83
20150126,14.36,4.54,75.75
20150127,14.12,0.01,67.15
20150128,12.54,0.0,48.08
20150129,11.67,0.0,44.17
20150130,11.52,0.0,39.73
20150131,14.42,0.0,33.36
20150201,15.7,0.0,37.9
20150202,16.78,0.0,43.37
20150203,17.48,0.0,55.29
20150204,15.68,0.07,51.73
20150205,14.43,0.0,43.02
20150206,17.0,0.0,37.31
20150207,17.41,2.12,48.77
20150208,16.91,0.64,61.59
20150209,17.44,0.0,52.47
20150210,16.69,0.0,43.3
20150211,16.86,0.0,41.7
20150212,16.6,0.01,42.58
20150213,17.46,0.0,35.2
20150214,20.25,0.0,38.13
20150215,20.95,0.0,37.5
20150216,21.22,0.0,37.04
20150217,20.67,0.0,41.73
20150218,21.3,0.0,42.45
20150219,22.82,0.0,38.18
20150220,23.85,0.11,38.41
20150221,22.9,0.0,37.38
20150222,22.92,0.0,37.81
20150223,23.2,0.0,37.6
20150224,23.27,0.0,36.58
20150225,24.5,0.0,38.28
20150226,20.59,0.17,28.39
20150227,19.32,0.3,28.48
20150228,19.65,1.23,36.43
20150301,17.78,12.15,83.62
20150302,18.88,6.7,71.8
20150303,18.83,0.11,59.2
20150304,17.89,0.0,42.97
20150305,19.08,0.0,35.8
20150306,20.13,0.0,38.08
20150307,21.82,0.01,42.03
20150308,23.06,0.98,43.75
20150309,20.78,0.12,42.15
20150310,17.99,0.0,33.68
20150311,20.38,0.0,32.99
20150312,21.94,0.08,42.47
20150313,23.31,9.61,59.0
20150314,23.96,3.15,57.13
20150315,18.55,41.74,85.23
20150316,21.28,1.25,70.14
20150317,21.01,0.0,59.91
20150318,20.82,0.0,49.49
20150319,21.45,0.0,40.16
20150320,23.95,0.0,32.42
20150321,24.92,0.0,36.31
20150322,25.3,0.0,43.04
20150323,25.72,0.0,43.35
20150324,27.0,0.0,32.17
20150325,28.89,0.0,25.37
20150326,28.71,0.0,35.02
20150327,28.89,0.0,38.14
20150328,28.33,0.0,31.32
20150329,27.07,0.41,34.38
20150330,23.97,15.63,62.23
20150331,25.62,0.02,56.12
20150401,27.19,0.0,44.72
20150402,28.55,0.0,39.48
20150403,28.43,2.43,44.26
20150404,25.31,4.03,55.55
20150405,24.66,0.0,52.27
20150406,25.34,0.52,39.48
20150407,25.34,0.11,38.8
20150408,25.41,0.08,39.34
20150409,25.84,0.0,37.88
20150410,27.0,0.0,34.61
20150411,28.34,0.0,34.69
20150412,26.26,7.42,54.93
20150413,23.47,3.86,72.19
20150414,25.11,0.04,59.26
20150415,26.35,0.63,56.02
20150416,27.91,0.0,49.79
20150417,29.02,0.0,42.41
20150418,31.97,0.0,33.32
20150419,33.82,0.0,28.79
20150420,33.43,0.0,30.32
20150421,32.33,0.0,27.77
20150422,31.7,0.0,28.47
20150423,31.65,0.0,27.16
20150424,33.28,0.0,23.2
20150425,33.14,0.0,21.64
20150426,30.58,0.0,39.22
20150427,31.46,0.0,37.68
20150428,32.22,0.58,38.45
20150429,32.19,0.0,34.67
20150430,32.98,0.0,31.62
20150501,32.13,0.0,30.04
20150502,31.94,0.0,30.74
20150503,32.8,0.0,24.06
20150504,33.0,0.0,19.79
20150505,34.47,0.0,17.12
20150506,35.49,0.0,14.7
20150507,35.4,0.0,15.06
20150508,36.08,0.0,15.53
20150509,35.77,0.0,18.08
20150510,36.37,0.0,16.51
20150511,36.86,0.0,17.19
20150512,36.54,0.03,20.92
20150513,33.85,10.97,39.59
20150514,33.23,1.52,38.94
20150515,33.18,9.24,38.32
20150516,33.6,2.4,30.55
20150517,33.63,0.17,30.36
20150518,35.67,0.0,27.45
20150519,36.71,0.0,27.08
20150520,34.04,3.65,28.76
20150521,35.08,0.0,20.59
20150522,36.81,0.0,22.19
20150523,37.05,0.0,18.14
20150524,38.03,0.26,20.85
20150525,38.14,0.0,18.97
20150526,38.35,0.0,17.36
