,T2M,Rain,Humidity
20150101,15.07,0.0,35.84
20150102,15.17,5.9,55.16
20150103,14.29,0.8,74.59
20150104,12.78,0.0,63.24
20150105,12.17,0.0,47.72
20150106,12.84,0.0,55.5
20150107,12.81,0.0,54.8
20150108,12.9,0.0,43.44
20150109,12.78,0.0,34.58
20150110,11.15,0.0,36.3
20150111,12.49,0.0,32.29
20150112,13.7,0.0,30.65
20150113,13.54,0.0,38.26
20150114,12.02,2.9,53.96
20150115,11.26,0.0,70.72
20150116,12.94,0.0,64.02
20150117,13.57,0.0,55.66
20150118,13.76,0.0,45.91
20150119,14.61,0.0,37.39
20150120,12.39,0.0,38.31
20150121,12.97,0.41,41.41
20150122,13.17,7.19,75.17
20150123,13.35,1.05,76.39
20150124,12.89,0.0,62.35
20150125,12.46,0.0,48.44
20150126,12.28,0.9,53.26
20150127,10.73,0.17,58.81
20150128,9.59,0.0,54.57
20150129,9.98,0.0,42.99
20150130,10.96,0.0,39.91
20150131,13.67,0.0,35.14
20150201,14.3,0.0,39.15
20150202,15.29,2.12,44.47
20150203,14.22,2.65,65.05
20150204,13.37,0.08,66.86
20150205,13.31,0.0,51.74
20150206,14.67,0.0,40.71
20150207,15.47,0.0,44.34
20150208,16.52,0.0,45.59
20150209,15.46,0.06,50.6
20150210,15.41,0.0,41.32
20150211,15.58,0.0,35.7
20150212,15.23,0.0,31.19
20150213,17.44,0.0,27.62
20150214,20.3,0.0,32.01
20150215,21.11,0.0,29.28
20150216,19.94,0.02,29.92
20150217,20.05,0.0,41.49
20150218,21.28,0.0,35.81
20150219,21.07,0.08,36.7
20150220,21.48,1.26,41.4
20150221,21.43,0.18,39.12
20150222,21.7,0.0,43.53
20150223,21.44,0.0,37.96
20150224,21.42,0.0,34.2
20150225,20.43,1.38,33.59
20150226,15.35,0.0,18.99
20150227,16.5,0.06,18.93
20150228,17.02,0.23,30.49
20150301,16.53,32.49,80.74
20150302,16.47,17.01,78.09
20150303,15.9,0.53,61.22
20150304,16.52,0.0,47.59
20150305,18.21,0.0,39.33
20150306,17.54,0.34,61.1
20150307,18.77,8.07,60.99
20150308,18.86,1.17,59.91
20150309,14.42,0.14,47.7
20150310,16.0,0.0,49.18
20150311,18.36,0.0,39.86
20150312,20.41,0.0,41.79
20150313,21.84,0.08,47.51
20150314,20.54,0.22,62.84
20150315,18.72,11.93,75.23
20150316,18.96,5.57,71.74
20150317,19.1,0.0,61.0
20150318,18.77,0.0,58.03
20150319,20.81,0.0,45.57
20150320,23.11,0.0,36.55
20150321,24.19,0.0,40.32
20150322,24.09,0.0,49.88
20150323,24.6,0.0,47.64
20150324,27.12,0.0,33.04
20150325,27.12,0.0,36.05
20150326,26.87,0.0,42.21
20150327,27.55,0.0,39.04
20150328,27.99,0.0,31.25
20150329,23.13,3.86,49.82
20150330,22.57,4.28,65.78
20150331,24.13,0.0,57.45
20150401,26.15,0.0,49.16
20150402,25.97,0.14,48.68
20150403,23.43,21.04,62.57
20150404,20.98,15.5,73.98
20150405,23.0,0.0,55.55
20150406,24.27,0.03,44.06
20150407,24.38,1.03,47.22
20150408,24.11,0.49,49.12
20150409,23.96,0.0,48.97
20150410,25.51,0.0,43.91
20150411,28.44,0.26,33.5
20150412,25.77,1.83,48.88
20150413,25.97,0.9,52.43
20150414,25.45,0.27,58.14
20150415,26.8,4.15,52.37
20150416,26.94,0.66,54.2
20150417,26.97,5.15,50.7
20150418,29.14,0.0,44.37
20150419,31.09,0.0,38.84
20150420,30.65,0.0,36.28
20150421,28.75,0.0,39.93
20150422,29.26,0.0,32.43
20150423,31.15,0.0,24.36
20150424,31.62,0.0,24.63
20150425,31.84,0.0,24.22
20150426,29.1,0.0,38.46
20150427,30.7,0.0,36.9
20150428,31.94,0.68,36.06
20150429,32.21,0.61,28.25
20150430,31.91,0.0,28.06
20150501,30.34,1.46,35.65
20150502,31.88,0.06,26.02
20150503,32.55,0.0,18.66
20150504,33.2,0.0,15.83
20150505,32.86,0.0,16.62
20150506,33.62,0.0,14.79
20150507,34.43,0.0,15.53
20150508,34.85,0.0,17.12
20150509,35.08,0.0,23.79
20150510,35.96,0.0,22.82
20150511,35.39,0.42,25.01
20150512,34.19,0.22,26.23
20150513,33.41,0.05,25.2
20150514,32.12,2.97,32.1
20150515,33.09,0.01,30.28
20150516,34.07,0.56,24.47
20150517,34.56,0.0,21.28
20150518,37.03,0.0,18.87
20150519,37.24,0.0,19.76
20150520,35.79,0.57,16.84
20150521,35.83,0.0,17.99
20150522,36.82,0.0,16.98
20150523,36.68,0.0,14.02
20150524,36.63,0.0,13.2
20150525,36.25,0.0,12.33
20150526,35.6,0.0,11.39
20150527,34.02,0.0,7.13
20150528,35.18,0.02,11.43
20150529,36.05,0.31,21.91
20150530,36.33,0.0,21.62
20150531,36.29,0.0,20.73
20150601,35.6,1.13,18.77
20150602,34.43,0.11,29.98
20150603,34.14,0.44,27.15
20150604,34.39,0.38,25.4
20150605,34.3,1.2,27.23
20150606,34.98,0.0,24.58
20150607,36.09,0.0,22.16
20150608,37.92,0.0,17.09
20150609,38.15,0.0,19.97
20150610,36.03,0.0,31.81
20150611,36.79,0.08,29.69
20150612,36.83,0.0,33.38
20150613,35.35,12.81,38.14
20150614,31.85,10.97,51.73
20150615,32.75,0.04,52.08
20150616,33.16,0.8,48.65
20150617,34.18,0.2,39.57
20150618,36.11,0.08,33.05
20150619,37.03,0.01,29.36
20150620,36.84,0.33,30.67
20150621,35.63,4.71,40.68
20150622,34.87,4.74,43.39
20150623,36.21,1.46,36.76
20150624,31.3,40.97,58.79
20150625,31.43,4.78,55.19
20150626,32.13,0.88,49.01
20150627,32.54,0.22,55.73
20150628,33.84,0.0,48.97
20150629,34.05,1.13,46.35
20150630,32.83,3.66,51.88
20150701,33.04,0.08,51.21
20150702,32.91,0.15,50.96
20150703,34.0,0.42,50.33
20150704,34.56,0.55,48.47
20150705,34.81,3.37,49.06
20150706,32.65,26.52,59.37
20150707,31.29,11.63,63.13
20150708,32.42,1.79,57.61
20150709,32.2,5.84,59.27
20150710,30.84,34.4,67.64
20150711,29.09,23.45,75.22
20150712,28.39,26.38,82.81
20150713,29.31,3.11,76.64
20150714,30.97,0.02,66.59
20150715,32.2,0.17,57.85
20150716,32.05,0.92,59.57
20150717,31.57,4.41,63.82
20150718,31.19,4.49,66.99
20150719,31.69,1.85,65.25
20150720,31.03,14.44,66.64
20150721,31.63,4.71,65.89
20150722,30.5,1.27,71.84
20150723,30.63,0.9,73.22
20150724,30.1,0.0,71.44
20150725,30.57,3.29,69.34
20150726,30.08,1.62,70.69
20150727,29.84,0.7,72.09
20150728,29.54,0.02,66.61
20150729,29.11,0.18,69.61
20150730,30.42,0.54,67.17
20150731,29.84,3.44,70.19
20150801,29.64,0.51,70.6
20150802,28.58,0.41,74.47
20150803,29.86,0.21,67.95
20150804,31.75,0.33,60.94
20150805,32.39,4.95,59.35
20150806,32.44,13.26,61.42
20150807,32.25,1.4,62.84
20150808,30.99,17.45,66.3
20150809,31.24,13.69,64.3
20150810,31.82,2.24,57.84
20150811,30.8,1.98,63.86
20150812,29.76,36.21,75.62
20150813,30.72,10.93,70.38
20150814,30.91,0.84,72.1
20150815,30.25,5.71,75.35
20150816,29.43,2.63,78.25
20150817,30.59,1.29,69.46
20150818,31.45,1.26,65.31
20150819,30.66,2.88,66.13
20150820,30.15,1.96,65.42
20150821,29.85,4.94,67.27
20150822,29.81,1.91,65.46
20150823,29.55,17.16,70.34
20150824,29.41,3.96,69.51
20150825,29.91,0.0,63.11
20150826,30.29,0.0,61.17
20150827,31.02,0.01,57.85
20150828,31.04,0.33,59.53
20150829,30.78,5.45,61.77
20150830,30.83,0.23,57.52
20150831,29.96,0.15,56.71
20150901,29.91,0.0,50.96
20150902,29.52,0.0,49.68
20150903,29.33,0.39,51.82
20150904,28.98,0.0,48.62
20150905,28.93,0.0,46.49
20150906,29.44,0.0,47.41
20150907,29.68,0.0,49.07
20150908,29.97,0.0,46.01
20150909,30.12,0.0,44.2
20150910,29.77,0.0,43.54
20150911,29.88,0.0,45.36
20150912,31.13,0.0,43.46
20150913,31.0,0.0,40.92
20150914,31.86,0.03,38.28
20150915,31.93,0.0,37.11
20150916,30.88,0.2,41.92
20150917,31.0,0.0,43.39
20150918,29.93,4.18,48.67
20150919,28.05,6.64,68.75
20150920,29.63,5.59,66.21
20150921,30.67,1.08,61.19
20150922,30.3,2.07,60.95
20150923,27.67,0.28,61.44
20150924,27.3,0.0,47.22
20150925,27.72,0.0,43.28
20150926,29.0,0.05,43.57
20150927,28.77,2.67,47.88
20150928,28.19,0.04,46.05
20150929,27.82,0.0,41.53
20150930,27.09,0.0,42.34
20151001,27.86,0.0,37.95
20151002,28.44,0.0,35.11
20151003,29.15,0.0,31.57
20151004,29.96,0.0,27.81
20151005,29.8,0.0,31.17
20151006,28.93,0.0,36.52
20151007,29.08,0.0,36.52
20151008,28.77,0.0,35.37
20151009,29.25,0.0,30.79
20151010,29.2,0.0,30.67
20151011,29.24,0.0,36.08
20151012,29.05,0.0,39.4
20151013,29.42,0.32,40.21
20151014,28.0,0.55,35.24
20151015,27.66,0.28,39.45
20151016,28.12,0.03,36.66
20151017,28.11,0.0,37.64
20151018,28.76,0.0,34.57
20151019,29.19,0.0,32.26
20151020,28.73,0.0,32.36
20151021,25.32,0.02,36.03
20151022,24.14,0.11,28.5
20151023,24.48,0.0,25.07
20151024,25.97,0.0,25.2
20151025,25.91,0.0,26.9
20151026,25.0,0.65,31.93
20151027,22.73,3.4,43.63
20151028,20.43,1.54,49.88
20151029,21.53,0.0,54.31
20151030,22.48,0.0,42.82
20151031,23.45,0.0,34.09
20151101,23.49,0.0,34.38
20151102,23.97,0.0,37.53
20151103,24.62,0.0,38.67
20151104,24.57,0.0,40.17
20151105,25.03,2.42,38.77
20151106,22.1,0.01,35.52
20151107,21.17,0.01,35.7
20151108,21.71,1.07,41.96
20151109,22.84,0.03,42.78
20151110,22.63,0.0,43.32
20151111,21.62,0.0,38.32
20151112,21.61,0.0,40.65
20151113,22.45,0.0,40.19
20151114,22.79,0.0,47.45
20151115,23.64,0.01,35.23
20151116,21.63,0.26,36.05
20151117,19.25,0.0,24.27
20151118,18.94,0.0,25.02
20151119,19.71,0.0,22.72
20151120,20.24,0.0,23.53
20151121,20.2,0.0,27.78
20151122,20.45,0.0,25.93
20151123,20.31,0.0,25.0
20151124,19.34,0.0,27.9
20151125,19.96,0.0,29.63
20151126,20.48,0.26,34.18
20151127,18.95,0.05,38.54
20151128,20.04,0.06,40.37
20151129,19.28,0.0,46.27
20151130,19.52,0.0,39.25
20151201,18.87,0.0,40.67
20151202,17.48,0.08,38.37
20151203,17.66,0.0,40.21
20151204,18.2,0.0,33.89
20151205,18.97,0.0,24.24
20151206,18.85,0.0,22.4
20151207,19.33,0.0,24.88
20151208,20.13,0.0,23.21
20151209,17.84,0.0,29.73
20151210,19.01,0.0,33.82
20151211,16.18,0.04,38.63
20151212,14.17,0.0,33.97
20151213,13.1,0.0,22.13
20151214,12.47,0.0,24.64
20151215,12.82,0.0,20.9
20151216,14.97,0.0,17.45
20151217,13.56,0.0,20.39
20151218,12.24,0.0,22.83
20151219,13.48,0.0,21.02
20151220,13.96,0.0,19.99
20151221,13.14,0.0,24.2
20151222,13.78,0.0,24.74
