,T2M,Rain,Humidity
20150101,17.27,9.99,69.1
20150102,18.28,4.21,85.18
20150103,19.45,3.26,86.28
20150104,18.52,0.45,78.36
20150105,15.15,0.0,60.76
20150106,13.35,0.0,59.22
20150107,14.63,0.0,58.01
20150108,14.11,0.0,61.09
20150109,13.05,0.0,58.81
20150110,11.94,0.0,53.61
20150111,12.22,0.0,50.78
20150112,13.01,0.0,47.67
20150113,13.42,0.0,48.46
20150114,14.34,0.0,48.03
20150115,14.79,0.0,50.43
20150116,13.57,0.02,61.64
20150117,13.02,0.0,57.84
20150118,13.27,0.0,60.31
20150119,12.74,0.0,54.62
20150120,12.9,0.0,47.47
20150121,14.08,0.0,44.91
20150122,16.25,0.0,45.54
20150123,17.5,0.07,63.89
20150124,17.59,0.06,67.58
20150125,16.65,0.0,55.82
20150126,17.11,0.05,68.57
20150127,17.26,2.41,79.77
20150128,18.16,0.91,70.31
20150129,16.82,7.54,67.49
20150130,14.07,0.0,50.6
20150131,13.81,0.0,45.25
20150201,14.6,0.0,44.48
20150202,16.76,0.0,43.28
20150203,19.08,0.0,43.28
20150204,19.32,0.01,49.1
20150205,16.04,0.01,45.39
20150206,15.27,0.0,39.85
20150207,17.47,0.0,43.17
20150208,19.43,0.42,55.9
20150209,18.42,0.0,67.55
20150210,18.13,0.0,46.41
20150211,17.47,0.0,44.77
20150212,18.4,0.21,50.35
20150213,18.13,0.0,49.83
20150214,18.77,0.0,40.5
20150215,20.02,0.0,43.86
20150216,19.84,0.01,50.45
20150217,21.29,0.0,54.24
20150218,22.58,0.0,52.76
20150219,22.85,0.01,45.7
20150220,23.32,0.0,39.04
20150221,23.97,0.0,38.84
20150222,23.28,0.02,41.52
20150223,24.19,0.08,39.31
20150224,24.64,0.0,39.09
20150225,25.17,0.0,36.48
20150226,24.9,0.24,38.68
20150227,23.77,1.06,53.44
20150228,25.31,0.19,45.48
20150301,24.47,1.11,51.81
20150302,20.73,4.52,67.21
20150303,21.13,4.21,66.72
20150304,21.33,0.05,47.98
20150305,19.48,0.0,40.25
20150306,20.07,0.0,38.5
20150307,21.51,0.0,41.04
20150308,23.64,0.0,41.35
20150309,25.34,0.0,41.36
20150310,24.67,0.0,39.63
20150311,21.66,0.0,28.81
20150312,22.69,0.0,29.67
20150313,25.55,0.0,39.88
20150314,26.32,0.0,43.64
20150315,25.46,0.0,49.65
20150316,23.51,5.08,58.27
20150317,25.68,0.24,47.39
20150318,25.65,0.0,37.64
20150319,23.38,0.0,35.63
20150320,24.11,0.0,33.91
20150321,24.48,0.0,32.48
20150322,26.58,0.0,34.48
20150323,27.15,0.0,36.7
20150324,28.34,0.02,34.67
20150325,30.57,0.0,29.6
20150326,31.35,0.0,30.67
20150327,29.61,0.42,37.34
20150328,29.91,0.93,39.04
20150329,30.05,0.1,37.69
20150330,24.38,10.01,59.16
