,T2M,Rain,Humidity
20150101,13.45,8.51,83.65
20150102,13.87,9.12,91.07
20150103,16.02,0.95,77.69
20150104,14.69,0.04,68.96
20150105,13.47,0.0,59.93
20150106,15.85,0.0,43.87
20150107,14.81,0.0,53.21
20150108,13.71,0.0,56.49
20150109,13.9,0.0,48.3
20150110,15.47,0.0,42.01
20150111,15.61,0.0,48.23
20150112,15.12,0.0,49.54
20150113,14.73,0.0,46.46
20150114,15.55,0.0,52.06
20150115,14.62,0.0,68.71
20150116,14.09,0.0,60.72
20150117,13.08,0.0,54.02
20150118,12.78,0.0,50.44
20150119,13.64,0.0,48.5
20150120,14.89,0.0,50.95
20150121,16.39,0.11,60.52
20150122,15.39,2.7,80.89
20150123,15.68,0.88,82.19
20150124,16.13,2.31,79.02
20150125,15.46,7.03,81.1
20150126,15.42,1.52,84.9
20150127,16.15,0.35,82.34
20150128,15.42,0.31,76.66
20150129,15.01,1.79,63.13
20150130,13.09,0.05,47.29
20150131,15.28,0.0,40.12
20150201,16.71,0.0,44.12
20150202,18.31,0.0,49.09
20150203,18.4,0.01,58.39
20150204,17.62,0.0,59.16
20150205,17.24,0.0,52.39
20150206,18.81,0.0,50.57
20150207,19.91,2.43,56.26
20150208,20.25,4.07,66.67
20150209,18.16,1.02,68.43
20150210,18.62,0.0,58.13
20150211,16.8,0.82,73.25
20150212,18.36,0.0,63.79
20150213,18.18,0.0,47.66
20150214,20.76,0.0,39.25
20150215,20.15,0.0,44.05
20150216,21.32,0.0,40.86
20150217,22.22,0.0,39.13
20150218,22.22,0.0,39.32
20150219,22.11,0.0,38.67
20150220,22.58,0.0,37.16
20150221,23.02,0.05,37.03
20150222,23.13,0.0,36.25
20150223,23.78,0.0,31.48
20150224,24.94,0.0,29.18
20150225,25.14,0.0,28.97
20150226,22.76,0.0,30.5
20150227,21.68,0.0,19.96
20150228,21.61,0.4,36.39
20150301,17.79,15.38,75.53
20150302,18.79,5.01,69.82
20150303,17.63,0.01,53.27
20150304,17.8,0.0,53.03
20150305,19.77,0.0,46.49
20150306,20.98,0.0,45.66
20150307,22.11,0.0,44.63
20150308,23.38,0.0,44.86
20150309,21.51,0.0,45.54
20150310,21.78,0.0,35.98
20150311,23.83,0.94,41.97
20150312,23.16,0.11,49.28
20150313,23.95,0.38,50.76
20150314,21.15,19.57,71.96
20150315,21.85,8.62,70.15
20150316,22.16,0.24,65.61
20150317,22.05,0.0,61.07
20150318,21.07,0.0,51.41
20150319,21.15,0.0,44.48
20150320,22.88,0.0,44.71
20150321,25.78,0.0,39.49
20150322,26.71,0.0,42.9
20150323,26.75,0.0,46.03
20150324,27.03,0.0,40.26
20150325,27.38,0.0,34.33
20150326,28.56,0.0,30.5
20150327,29.73,0.0,33.29
20150328,30.18,0.05,33.82
20150329,29.32,0.21,36.82
20150330,27.11,0.85,35.73
20150331,26.8,0.0,25.93
20150401,27.44,0.0,26.65
20150402,29.06,0.0,26.93
20150403,29.24,0.0,29.44
20150404,28.11,0.0,33.69
20150405,27.95,0.0,38.12
20150406,28.45,1.69,41.1
20150407,28.26,0.04,37.21
20150408,28.7,0.0,34.9
20150409,29.75,0.01,29.62
20150410,30.97,0.1,28.27
20150411,30.63,0.78,30.55
20150412,28.2,0.65,39.33
20150413,24.53,1.65,53.22
20150414,24.53,1.76,51.25
20150415,25.61,0.01,52.55
20150416,27.93,0.0,45.89
20150417,30.62,0.0,35.33
20150418,33.16,0.0,27.99
20150419,33.89,0.0,23.38
20150420,33.52,0.0,22.85
20150421,33.86,0.0,20.49
20150422,33.62,0.0,18.45
20150423,32.25,0.0,15.88
20150424,31.71,0.0,17.71
20150425,32.48,0.0,15.96
20150426,32.61,0.0,18.06
20150427,33.82,0.0,21.9
20150428,34.12,0.0,18.21
20150429,33.26,0.0,19.4
20150430,34.04,0.0,19.37
20150501,32.8,0.0,15.55
20150502,32.76,0.0,11.24
20150503,33.29,0.0,17.62
20150504,34.34,0.04,15.5
20150505,34.65,0.0,15.78
20150506,34.52,0.0,13.41
20150507,34.85,0.0,14.17
20150508,35.65,0.0,16.46
20150509,35.97,0.16,19.51
20150510,35.96,0.5,19.81
20150511,35.63,0.0,19.33
20150512,35.85,0.82,22.13
20150513,35.33,1.26,25.89
20150514,34.63,0.79,25.48
20150515,35.0,0.03,25.71
20150516,34.52,0.2,31.7
20150517,35.3,0.19,22.94
20150518,36.28,0.0,20.94
20150519,37.32,0.0,19.22
20150520,37.1,0.02,20.54
20150521,36.73,0.0,21.38
20150522,37.16,0.0,21.92
20150523,35.98,0.0,20.04
20150524,36.34,0.0,28.39
20150525,36.02,0.0,32.63
20150526,36.46,0.0,29.71
20150527,36.85,0.11,26.04
20150528,37.24,0.98,22.06
20150529,36.66,4.34,25.24
20150530,36.49,0.0,21.79
20150531,37.06,0.0,20.84
20150601,36.68,0.0,19.81
20150602,35.58,0.0,26.45
20150603,35.12,0.04,29.39
20150604,35.14,0.0,28.89
20150605,36.44,0.0,22.71
20150606,35.81,0.01,21.42
20150607,36.89,0.03,19.77
20150608,37.52,0.0,24.81
20150609,36.19,0.0,29.96
20150610,34.85,3.73,38.25
20150611,32.29,0.96,48.18
20150612,31.67,4.6,53.19
20150613,30.34,10.62,64.73
20150614,30.74,0.87,59.55
20150615,28.25,82.56,76.69
20150616,28.91,7.83,72.01
20150617,30.41,0.36,63.16
20150618,29.89,2.11,64.41
20150619,29.16,2.97,69.52
20150620,30.46,4.71,67.43
20150621,32.06,4.33,61.42
20150622,29.13,28.98,77.48
20150623,27.83,7.18,78.17
20150624,27.51,8.22,79.03
20150625,26.76,13.84,78.97
20150626,28.1,0.19,71.15
20150627,28.65,0.02,70.34
20150628,28.98,0.89,69.68
20150629,28.25,7.89,74.38
20150630,28.69,1.77,71.92
20150701,28.55,1.01,70.84
20150702,28.69,1.56,67.35
20150703,28.69,0.93,67.55
20150704,29.38,0.04,63.66
20150705,29.63,0.0,65.06
20150706,29.21,0.04,64.9
20150707,28.95,0.23,66.0
20150708,29.1,2.86,67.07
20150709,27.47,22.53,76.63
20150710,26.83,27.52,79.16
20150711,26.58,19.42,82.55
20150712,26.27,14.85,83.41
20150713,27.5,0.01,77.65
20150714,28.62,2.04,74.26
20150715,28.15,0.57,73.88
20150716,27.54,0.81,76.42
20150717,26.25,21.0,83.97
20150718,25.72,90.93,90.44
20150719,25.74,61.52,91.65
20150720,26.26,20.24,89.0
20150721,26.22,11.95,90.13
20150722,27.56,8.99,86.81
20150723,26.96,22.75,88.29
20150724,26.5,47.67,88.62
20150725,25.6,137.17,93.39
20150726,24.95,45.13,90.26
20150727,24.82,5.95,88.7
20150728,24.48,2.1,89.28
20150729,24.84,1.34,87.45
20150730,25.58,0.05,84.42
20150731,25.76,0.0,84.0
20150801,25.56,10.32,86.06
