,T2M,Rain,Humidity
20150101,12.47,0.0,36.31
20150102,14.95,0.01,50.65
20150103,15.75,0.0,62.45
20150104,14.84,0.0,53.38
20150105,14.81,0.0,44.8
20150106,16.02,0.0,45.55
20150107,16.02,0.0,40.66
20150108,15.37,0.0,30.85
20150109,14.2,0.0,27.38
20150110,13.85,0.0,27.83
20150111,16.15,0.0,24.68
20150112,17.25,0.0,26.6
20150113,16.62,0.09,30.47
20150114,13.66,0.0,47.25
20150115,12.41,0.0,51.51
20150116,13.62,0.0,49.21
20150117,14.97,0.0,40.94
20150118,14.64,0.0,34.34
20150119,14.45,0.0,32.39
20150120,15.63,0.01,33.91
20150121,16.95,0.31,41.33
20150122,13.94,0.71,52.3
20150123,12.18,0.03,58.79
20150124,12.56,0.0,46.5
20150125,12.94,0.0,39.15
20150126,12.17,0.0,41.65
20150127,11.45,0.0,40.37
20150128,11.08,0.0,36.71
20150129,12.64,0.0,27.16
20150130,13.44,0.0,24.63
20150131,16.87,0.0,19.51
20150201,17.36,0.0,23.47
20150202,15.49,1.85,38.88
20150203,15.1,0.28,60.73
20150204,14.37,0.0,52.88
20150205,15.05,0.0,37.33
20150206,14.95,0.0,30.57
20150207,15.96,0.0,40.55
20150208,16.19,0.0,48.18
20150209,16.3,0.01,44.44
20150210,16.2,0.0,34.97
20150211,16.55,0.0,27.77
20150212,18.28,0.0,21.59
20150213,20.16,0.0,23.01
20150214,21.57,0.0,28.99
20150215,23.22,0.0,24.26
20150216,23.8,0.0,26.97
20150217,21.45,0.0,36.45
20150218,21.75,0.0,34.15
20150219,23.32,0.0,31.73
20150220,22.75,0.0,32.83
20150221,20.92,0.0,43.93
20150222,22.29,0.0,40.51
20150223,24.57,0.0,31.53
20150224,24.02,0.13,30.83
20150225,19.63,0.02,19.89
20150226,16.0,0.0,15.15
20150227,16.84,0.0,14.55
20150228,17.18,0.21,24.66
20150301,15.21,20.12,72.46
20150302,14.99,0.0,65.12
20150303,17.33,0.0,46.68
20150304,18.28,0.0,34.54
20150305,19.17,0.64,36.26
20150306,17.96,6.68,56.78
20150307,18.53,2.29,58.69
20150308,17.42,0.0,45.45
20150309,15.78,0.0,30.48
20150310,16.81,0.0,34.56
20150311,19.7,0.0,25.41
20150312,21.76,0.0,26.27
20150313,22.95,2.5,48.33
20150314,21.83,0.71,53.78
20150315,19.44,11.62,70.38
20150316,18.72,0.0,56.09
20150317,18.98,0.01,52.28
20150318,21.99,0.0,41.33
20150319,23.31,0.0,33.83
20150320,24.62,0.0,29.58
20150321,25.48,0.0,30.71
20150322,26.17,0.0,32.46
20150323,28.5,0.0,31.98
20150324,31.55,0.0,22.15
20150325,29.68,0.0,24.77
20150326,28.33,0.0,31.85
20150327,29.08,0.0,31.69
20150328,30.43,0.0,30.86
20150329,28.08,0.02,34.19
20150330,25.17,0.0,46.91
20150331,25.87,0.0,40.97
20150401,28.79,0.0,29.59
20150402,30.48,1.37,24.95
20150403,23.68,14.76,63.51
20150404,22.72,18.48,63.55
20150405,24.6,0.02,45.21
20150406,26.16,0.0,34.26
20150407,25.14,1.12,45.54
20150408,24.69,0.0,45.36
20150409,26.13,0.0,35.66
20150410,28.59,0.0,28.38
20150411,27.28,1.52,32.53
20150412,25.92,0.56,44.51
20150413,27.52,0.0,43.59
20150414,27.89,0.0,44.74
20150415,29.0,0.0,39.96
20150416,30.42,0.01,38.43
20150417,31.51,0.01,32.45
20150418,33.36,0.0,23.9
20150419,34.28,0.0,21.33
20150420,32.47,0.0,20.44
20150421,31.46,0.0,27.39
20150422,32.76,0.0,17.13
20150423,34.07,0.0,11.16
20150424,33.52,0.0,11.53
20150425,33.11,0.0,16.19
20150426,33.45,0.0,17.78
20150427,34.4,0.0,23.0
20150428,33.98,0.0,23.4
20150429,34.11,0.0,15.5
20150430,33.06,0.0,14.89
20150501,30.7,0.0,22.67
20150502,32.4,0.0,19.06
20150503,33.55,0.0,15.17
20150504,33.42,0.0,14.73
20150505,34.69,0.0,12.52
20150506,34.29,0.0,16.04
20150507,34.6,0.0,14.63
20150508,34.01,0.0,26.72
20150509,34.54,0.0,27.39
20150510,34.44,0.0,26.55
20150511,34.51,1.69,28.88
