,T2M,Rain,Humidity
20150101,11.4,0.0,42.85
20150102,10.48,1.58,56.66
20150103,8.73,7.35,74.79
20150104,7.54,0.18,65.79
20150105,9.35,0.0,40.87
20150106,11.13,0.0,40.79
20150107,9.76,0.0,42.58
20150108,10.3,0.0,30.84
20150109,10.59,0.0,30.08
20150110,10.91,0.0,27.68
20150111,12.82,0.0,23.43
20150112,12.64,0.0,27.55
20150113,10.91,0.39,37.72
20150114,6.25,7.58,73.3
20150115,7.82,0.0,68.04
20150116,9.63,0.0,54.71
20150117,9.79,0.0,44.18
20150118,10.05,0.0,38.06
20150119,10.2,0.0,37.67
20150120,10.2,0.0,39.6
20150121,9.26,3.95,52.06
20150122,7.45,6.64,85.73
20150123,7.98,0.28,81.21
20150124,9.65,0.0,65.09
20150125,9.2,0.01,59.38
20150126,7.88,1.2,55.66
20150127,6.04,0.85,70.75
20150128,7.56,0.0,58.23
20150129,5.67,0.0,58.08
20150130,7.51,0.0,44.29
20150131,9.7,0.0,37.34
20150201,10.44,0.0,45.68
20150202,9.97,4.34,64.33
20150203,8.48,13.46,78.66
20150204,10.05,0.01,56.31
20150205,11.31,0.0,40.54
20150206,10.21,0.0,44.45
20150207,10.55,0.0,46.37
20150208,10.84,0.0,51.44
20150209,11.15,0.0,52.79
20150210,12.04,0.0,42.87
20150211,11.68,0.0,44.0
20150212,11.52,0.0,39.01
20150213,12.73,0.0,36.74
20150214,14.75,0.0,46.22
20150215,14.81,0.02,48.94
20150216,15.16,3.85,50.39
20150217,14.78,1.22,55.98
20150218,13.8,0.47,60.55
20150219,12.47,2.2,63.23
20150220,12.82,12.28,71.89
20150221,13.87,0.0,54.16
20150222,17.11,0.0,42.69
20150223,18.03,0.0,45.47
20150224,17.78,0.74,47.41
20150225,12.62,9.29,73.04
20150226,11.4,0.81,55.89
20150227,10.86,0.22,42.72
20150228,11.5,0.41,47.37
20150301,9.06,61.11,80.45
20150302,5.51,39.61,91.0
20150303,6.85,6.92,87.32
20150304,7.92,0.94,73.43
20150305,9.57,1.0,64.88
20150306,10.48,0.33,71.97
20150307,11.41,1.23,65.14
20150308,11.57,3.14,76.15
20150309,8.67,4.26,70.84
20150310,12.12,0.0,50.09
20150311,14.17,0.0,47.7
20150312,15.49,0.0,49.07
20150313,15.39,0.0,48.26
20150314,14.92,3.78,59.18
20150315,13.06,4.66,77.72
20150316,11.65,9.18,80.65
20150317,12.64,0.64,75.03
20150318,13.48,0.0,70.85
20150319,15.37,0.0,59.32
20150320,16.37,0.0,56.04
20150321,17.16,0.0,56.05
20150322,18.25,0.0,54.8
20150323,19.47,0.0,55.71
20150324,20.51,0.0,58.17
20150325,20.44,0.0,58.38
20150326,20.52,0.0,50.85
20150327,21.04,0.0,44.44
20150328,22.1,0.0,41.4
20150329,16.5,9.64,61.3
20150330,15.37,6.3,77.39
20150331,15.89,0.08,65.7
20150401,16.42,1.84,72.02
20150402,17.8,0.74,64.79
20150403,14.3,13.01,76.32
20150404,14.78,2.05,76.72
20150405,15.46,0.11,70.83
20150406,16.67,1.17,61.9
20150407,14.78,4.0,71.21
20150408,15.55,0.19,64.14
20150409,17.66,0.0,62.08
20150410,19.3,0.0,55.24
20150411,20.05,0.01,52.22
20150412,19.4,0.01,56.05
20150413,18.82,0.0,63.92
20150414,18.51,1.89,74.28
20150415,18.54,15.87,78.24
20150416,18.36,6.12,75.54
20150417,19.9,0.0,61.63
20150418,21.96,0.0,48.66
20150419,22.99,0.02,43.7
20150420,23.86,0.54,46.85
20150421,23.07,0.0,44.84
20150422,22.41,0.0,45.53
20150423,23.34,0.0,38.63
20150424,23.96,0.0,37.04
20150425,24.51,0.21,36.17
20150426,22.46,0.01,48.67
20150427,23.22,3.3,51.25
20150428,23.63,1.39,47.12
20150429,23.35,0.29,40.73
20150430,22.79,4.31,43.58
20150501,22.61,5.98,42.84
20150502,22.29,0.0,36.22
20150503,22.87,0.0,32.54
20150504,24.15,0.0,32.22
20150505,24.56,0.0,36.83
20150506,26.47,0.0,35.67
20150507,27.38,0.0,35.98
20150508,27.32,0.0,37.81
20150509,27.57,0.0,35.5
20150510,27.57,0.18,38.67
20150511,26.79,2.99,42.64
20150512,24.65,2.49,48.7
20150513,24.31,0.22,45.47
20150514,23.51,1.67,50.61
20150515,23.15,1.61,54.76
20150516,25.51,0.11,45.91
20150517,25.91,0.0,42.77
20150518,27.57,0.0,42.15
20150519,27.93,0.19,34.95
20150520,27.05,0.02,30.13
20150521,27.25,0.0,29.81
20150522,28.32,0.0,25.11
20150523,28.98,0.0,26.1
20150524,29.16,0.0,26.79
20150525,29.23,0.0,26.1
20150526,28.55,0.0,23.02
20150527,27.67,0.0,19.66
20150528,27.82,0.0,20.34
20150529,28.57,0.0,23.33
20150530,28.19,0.0,29.2
20150531,27.23,0.07,29.28
20150601,26.93,0.17,28.07
20150602,24.41,0.02,37.24
20150603,25.91,0.54,35.36
20150604,24.43,7.83,51.13
20150605,25.77,0.55,48.24
20150606,26.75,0.0,38.22
20150607,28.26,0.01,32.42
20150608,29.42,1.39,29.97
20150609,28.94,0.55,32.02
20150610,28.41,1.32,37.64
20150611,28.17,0.65,37.44
20150612,28.36,0.26,33.28
20150613,28.27,1.77,36.03
20150614,25.15,7.33,55.47
20150615,24.56,1.75,60.68
20150616,26.96,0.0,46.02
20150617,28.43,0.29,41.7
20150618,29.09,0.98,43.9
20150619,28.44,3.53,49.92
20150620,26.61,10.93,57.16
20150621,27.44,20.1,55.35
20150622,27.29,2.32,52.74
20150623,26.64,4.49,55.71
20150624,26.43,10.12,57.55
20150625,23.49,10.64,59.92
20150626,25.92,0.06,44.76
20150627,27.02,0.0,40.6
20150628,28.28,9.13,40.79
20150629,26.72,21.22,56.84
20150630,25.7,9.07,60.01
20150701,25.64,1.26,59.12
20150702,25.74,2.37,58.89
20150703,27.35,0.33,56.47
20150704,27.5,5.16,63.46
20150705,27.41,19.82,67.75
20150706,23.93,20.6,80.73
20150707,23.31,11.08,84.36
20150708,23.21,17.34,81.6
20150709,24.35,7.77,78.22
20150710,23.97,22.16,80.98
20150711,22.64,48.07,81.28
20150712,23.47,64.49,78.73
20150713,23.61,33.27,83.64
20150714,24.19,0.62,83.1
20150715,25.19,2.57,79.27
20150716,25.42,23.35,79.14
20150717,23.35,38.24,88.94
20150718,22.97,23.74,89.0
20150719,22.78,5.8,88.41
20150720,23.13,0.89,86.4
20150721,23.65,6.26,83.97
20150722,23.51,2.21,87.97
20150723,22.83,2.69,90.48
20150724,23.27,2.22,89.99
20150725,23.61,8.65,90.54
20150726,23.51,13.68,90.75
20150727,23.4,3.95,90.53
20150728,23.38,2.57,85.08
20150729,23.76,0.0,84.7
20150730,23.62,0.64,88.86
20150731,23.12,10.58,87.96
20150801,22.89,14.99,88.99
20150802,22.55,1.78,89.07
20150803,23.42,5.41,84.26
20150804,24.14,0.87,83.66
20150805,24.01,1.67,84.74
20150806,23.33,17.57,89.18
20150807,23.44,20.9,90.47
20150808,22.98,12.95,90.17
20150809,23.44,4.41,85.26
20150810,23.69,4.33,82.99
20150811,23.6,4.56,84.12
20150812,22.58,7.78,89.4
20150813,23.44,7.03,86.69
20150814,23.77,1.25,85.9
20150815,23.55,10.05,90.98
20150816,23.21,5.83,88.47
20150817,22.97,11.55,85.06
20150818,23.49,17.7,79.84
20150819,23.35,11.46,83.86
20150820,23.06,18.82,85.82
20150821,22.49,24.75,88.41
20150822,21.77,22.1,90.12
20150823,21.95,6.83,85.25
20150824,22.46,4.14,84.04
20150825,22.94,0.0,78.18
20150826,23.58,0.0,77.57
20150827,23.82,1.42,76.62
20150828,23.4,0.92,77.19
20150829,23.02,0.7,78.37
20150830,23.43,3.44,75.5
20150831,22.94,2.29,74.91
20150901,22.82,0.29,69.82
20150902,23.05,4.23,63.65
20150903,22.78,1.57,65.74
20150904,22.65,0.03,62.92
20150905,22.59,0.0,64.67
20150906,22.08,0.0,65.31
20150907,21.86,0.0,65.01
20150908,22.27,0.0,64.39
20150909,23.04,0.0,62.37
20150910,22.68,0.0,61.51
20150911,22.99,0.0,57.46
20150912,23.2,0.0,56.6
20150913,23.03,0.0,59.62
20150914,23.96,0.0,59.35
20150915,23.94,1.68,57.63
20150916,22.78,3.29,60.34
20150917,22.83,0.18,58.89
20150918,23.61,0.04,55.07
20150919,22.29,7.98,68.66
20150920,21.99,33.15,82.07
20150921,23.15,3.85,71.12
20150922,21.54,29.72,86.13
20150923,20.6,3.39,85.73
20150924,19.53,0.0,82.78
20150925,20.3,0.0,78.66
20150926,20.8,0.01,70.72
20150927,20.12,0.0,68.67
20150928,19.92,0.0,64.29
20150929,20.62,0.0,59.51
20150930,21.31,0.0,54.29
20151001,21.87,0.0,49.13
20151002,21.47,0.0,49.84
20151003,21.83,0.0,49.12
20151004,21.0,0.0,54.21
20151005,20.83,0.0,52.72
20151006,20.81,0.0,56.4
20151007,21.1,0.0,54.79
20151008,21.08,0.0,54.62
20151009,21.54,0.0,54.52
20151010,21.47,0.0,55.59
20151011,21.65,0.0,56.12
20151012,21.09,2.15,63.23
20151013,20.43,0.77,73.63
20151014,19.64,6.36,77.49
20151015,19.23,0.06,69.58
20151016,19.28,0.0,67.04
20151017,19.78,0.0,59.38
20151018,20.44,0.31,56.55
20151019,20.51,0.05,57.14
20151020,20.06,0.0,55.22
20151021,18.76,0.0,52.03
20151022,18.32,0.0,49.26
20151023,18.17,0.0,48.29
20151024,18.15,0.26,44.24
20151025,17.95,1.3,54.4
20151026,17.5,2.67,54.82
20151027,16.2,0.05,56.25
20151028,16.25,0.05,55.98
20151029,16.34,0.0,52.82
20151030,15.68,0.0,47.23
20151031,17.3,0.0,47.48
20151101,16.82,0.0,53.34
20151102,17.11,0.0,56.33
20151103,17.1,0.08,56.27
20151104,16.54,0.72,55.43
20151105,16.07,1.55,58.68
20151106,16.43,0.07,53.67
20151107,15.92,0.0,49.4
20151108,15.82,0.01,51.35
20151109,15.69,0.0,52.98
20151110,15.51,0.0,52.79
20151111,14.78,0.0,55.1
20151112,16.97,0.01,44.81
20151113,17.75,0.03,52.17
20151114,16.54,0.0,56.24
20151115,15.85,0.0,52.09
20151116,15.0,0.0,52.88
20151117,15.53,0.0,42.55
20151118,15.65,0.0,35.91
20151119,16.2,0.0,34.94
20151120,16.71,0.0,38.46
20151121,16.87,0.0,41.04
20151122,16.14,0.0,41.06
20151123,15.11,0.0,41.58
