,T2M,Rain,Humidity
20150101,19.66,0.36,74.56
20150102,20.91,10.6,85.6
20150103,21.15,6.45,83.92
20150104,20.0,2.94,82.49
20150105,17.28,0.0,69.72
20150106,14.5,0.0,60.77
20150107,14.93,0.0,60.42
20150108,15.15,0.0,63.47
20150109,15.08,0.0,60.7
20150110,14.47,0.0,54.56
20150111,13.99,0.0,50.48
20150112,14.06,0.0,52.34
20150113,14.4,0.0,56.33
20150114,16.23,0.0,52.0
20150115,16.89,0.0,51.04
20150116,16.54,0.0,53.1
20150117,15.77,0.0,52.22
20150118,14.62,0.0,57.28
20150119,14.62,0.0,54.13
20150120,14.09,0.0,49.8
20150121,14.63,0.0,49.17
20150122,16.56,0.0,45.52
20150123,17.92,0.0,53.4
20150124,19.03,0.0,68.82
20150125,18.36,0.0,59.1
20150126,19.05,0.0,57.58
20150127,19.65,0.04,65.03
20150128,20.51,0.39,67.58
20150129,20.11,2.36,67.35
20150130,18.11,0.03,60.0
20150131,15.03,0.0,45.4
20150201,15.26,0.0,45.21
20150202,17.07,0.0,46.39
20150203,19.01,0.0,45.0
20150204,20.6,0.0,48.12
20150205,19.75,0.0,47.4
20150206,17.79,0.0,41.19
20150207,17.71,0.0,37.89
20150208,20.06,0.0,47.36
20150209,19.73,0.01,61.65
20150210,20.67,0.0,51.08
20150211,19.22,0.0,40.7
20150212,19.67,0.0,45.95
20150213,21.16,0.0,47.93
20150214,20.49,0.0,49.99
20150215,21.59,1.23,53.7
20150216,22.0,0.38,55.93
20150217,22.46,0.0,58.21
20150218,22.78,1.93,66.75
20150219,23.61,6.08,65.28
20150220,23.39,0.0,47.34
20150221,23.77,0.0,45.54
20150222,25.26,0.59,40.97
20150223,24.61,0.0,46.2
20150224,24.64,0.0,50.0
20150225,24.86,0.0,44.41
20150226,25.51,0.0,44.11
20150227,25.33,0.02,53.3
20150228,26.08,0.0,50.98
20150301,26.12,0.01,52.45
20150302,25.5,0.0,47.15
20150303,24.06,0.99,54.89
20150304,23.42,2.98,54.2
20150305,22.0,0.0,37.74
20150306,21.58,0.0,33.41
20150307,22.54,0.0,35.22
20150308,24.12,0.0,35.95
20150309,26.12,0.0,36.8
20150310,27.15,0.0,36.99
20150311,25.05,0.0,23.22
20150312,24.7,0.0,20.91
20150313,26.54,0.0,26.85
20150314,28.49,0.0,36.81
20150315,28.5,0.0,36.96
20150316,27.71,0.4,40.06
20150317,28.26,0.47,39.02
20150318,28.26,0.0,36.69
20150319,26.67,0.0,28.75
20150320,25.93,0.0,22.24
20150321,26.79,0.0,21.5
20150322,27.99,0.0,23.93
20150323,29.4,0.0,27.88
20150324,30.06,0.0,29.84
20150325,29.83,0.0,47.08
20150326,29.95,0.17,49.56
20150327,29.78,1.45,48.46
20150328,29.55,2.67,50.63
20150329,29.61,0.0,53.3
20150330,29.49,2.75,59.54
20150331,27.04,11.8,61.34
20150401,29.0,0.03,50.75
20150402,29.76,0.46,46.77
20150403,30.68,0.0,44.03
20150404,31.5,1.76,42.48
20150405,29.87,2.05,58.07
20150406,29.43,1.21,57.88
20150407,29.65,3.04,55.79
20150408,28.45,14.55,66.62
20150409,29.74,0.0,48.08
20150410,29.89,0.0,33.7
20150411,30.59,0.0,40.58
20150412,29.6,0.87,55.43
20150413,27.36,8.43,65.88
20150414,28.34,0.31,58.69
20150415,28.42,0.68,55.48
20150416,29.77,0.0,50.91
20150417,29.84,4.61,50.92
20150418,30.07,1.42,52.54
20150419,31.67,0.22,51.28
20150420,32.42,0.0,54.21
20150421,33.34,0.19,50.24
20150422,33.43,1.75,50.76
20150423,32.62,3.05,50.03
20150424,29.44,13.44,66.07
20150425,26.48,4.53,73.36
20150426,25.59,0.34,67.89
20150427,26.89,17.81,66.79
20150428,27.78,6.92,69.39
20150429,28.95,5.75,68.45
20150430,30.04,0.48,60.27
20150501,31.46,0.34,54.27
20150502,31.26,3.1,63.77
20150503,31.47,2.51,60.47
20150504,31.04,12.46,60.76
20150505,31.79,0.0,55.6
20150506,32.14,0.0,53.55
20150507,32.74,0.0,51.61
20150508,31.74,0.07,57.56
20150509,32.0,0.11,55.96
20150510,32.2,2.33,59.61
20150511,31.14,6.41,64.71
20150512,31.72,1.67,57.59
20150513,32.75,1.37,53.24
20150514,32.82,10.31,57.83
20150515,33.66,2.09,51.41
20150516,30.39,18.25,66.85
20150517,30.98,3.82,61.3
20150518,31.41,0.79,59.94
20150519,30.97,5.08,66.01
20150520,32.75,0.05,58.61
20150521,33.93,0.0,49.74
20150522,34.16,0.0,50.25
20150523,34.59,0.0,45.19
20150524,34.76,0.25,54.55
20150525,34.24,1.49,57.06
20150526,33.72,1.81,55.67
20150527,32.33,4.54,59.69
20150528,33.83,0.09,57.0
20150529,33.88,1.55,57.54
20150530,33.04,5.55,62.49
20150531,31.81,0.2,64.28
20150601,32.67,1.83,62.1
20150602,32.79,1.39,56.13
20150603,32.68,0.1,59.09
20150604,32.41,0.98,57.31
20150605,31.84,3.68,63.12
20150606,32.42,0.04,60.25
20150607,33.66,0.0,57.38
20150608,33.9,0.0,57.55
20150609,35.35,0.0,53.67
20150610,35.16,0.33,53.65
20150611,33.57,3.19,59.64
20150612,32.15,6.36,65.54
20150613,31.56,2.03,60.17
20150614,28.97,7.9,76.59
20150615,29.95,8.49,72.65
20150616,29.69,9.13,73.26
20150617,30.74,0.2,67.8
20150618,31.88,0.1,63.73
20150619,32.4,0.4,61.63
20150620,32.2,1.18,62.52
20150621,30.83,7.82,71.39
20150622,29.54,19.22,77.85
20150623,29.11,13.77,82.83
20150624,30.21,12.45,79.72
20150625,30.09,13.36,75.71
20150626,29.25,32.44,80.67
20150627,28.75,10.89,75.55
20150628,28.21,11.12,84.8
20150629,29.5,1.94,73.94
20150630,29.59,6.76,77.08
