,T2M,Rain,Humidity
20150101,17.79,27.39,88.06
20150102,19.01,3.97,83.17
20150103,18.54,0.26,75.84
20150104,18.05,0.0,68.41
20150105,15.94,0.0,58.95
20150106,17.37,0.0,45.9
20150107,17.57,0.0,43.68
20150108,16.3,0.0,53.53
20150109,15.57,0.0,50.38
20150110,16.26,0.0,45.95
20150111,17.14,0.0,47.16
20150112,17.4,0.0,48.01
20150113,17.12,0.0,45.97
20150114,18.01,0.0,42.7
20150115,16.82,0.0,52.36
20150116,17.38,0.0,59.21
20150117,17.04,0.0,55.98
20150118,17.5,0.0,49.09
20150119,17.88,0.0,47.73
20150120,18.87,0.0,46.93
20150121,20.09,0.25,59.15
20150122,19.82,0.93,72.96
20150123,20.36,0.01,66.72
20150124,20.6,8.34,68.11
20150125,20.99,1.82,68.69
20150126,19.81,0.16,73.5
20150127,20.33,0.08,69.95
20150128,19.51,0.0,69.39
20150129,18.97,0.0,66.96
20150130,17.42,0.0,49.99
20150131,17.87,0.0,40.02
20150201,20.18,0.0,35.62
20150202,21.96,0.0,38.61
20150203,22.44,0.0,44.77
20150204,22.38,0.0,47.11
20150205,22.15,0.0,48.06
20150206,22.98,0.0,36.83
20150207,23.88,0.01,35.45
20150208,22.85,0.0,36.67
20150209,22.58,0.0,49.9
20150210,23.37,3.29,47.38
20150211,23.8,0.23,50.38
20150212,23.28,0.0,46.79
20150213,22.14,0.0,35.24
20150214,24.93,0.0,23.37
20150215,24.8,0.0,25.29
20150216,25.66,0.0,25.94
20150217,24.16,0.0,27.09
20150218,24.42,0.0,26.94
20150219,25.71,0.0,21.26
20150220,25.31,0.0,22.89
20150221,25.64,0.1,25.42
20150222,26.59,0.0,24.83
20150223,27.27,0.0,22.89
20150224,27.64,0.0,20.76
20150225,26.11,0.0,27.48
20150226,25.05,0.0,30.65
20150227,23.82,0.0,21.14
20150228,24.57,3.08,24.56
20150301,19.6,16.27,76.53
20150302,20.93,1.19,66.12
20150303,19.23,0.03,50.94
20150304,20.02,0.0,44.52
20150305,22.3,0.0,41.08
20150306,24.03,0.0,36.74
20150307,24.37,0.0,36.91
20150308,26.12,0.0,35.14
20150309,24.66,0.0,38.85
20150310,26.21,0.42,43.52
20150311,27.15,3.98,47.8
20150312,26.41,0.88,54.9
20150313,26.76,6.94,52.93
20150314,25.65,8.21,59.65
20150315,24.41,12.37,65.32
20150316,23.59,0.07,62.45
20150317,22.84,0.0,49.99
20150318,22.92,0.0,52.58
20150319,23.83,0.0,44.27
20150320,25.82,0.0,41.36
20150321,28.3,0.0,39.82
20150322,30.18,0.0,39.06
20150323,30.63,0.0,35.66
20150324,30.0,0.0,35.47
20150325,30.82,0.0,29.83
20150326,32.13,0.0,22.87
20150327,32.57,0.0,24.88
20150328,32.77,0.44,27.83
20150329,31.58,0.12,30.29
20150330,28.61,0.73,35.68
20150331,28.86,0.0,26.49
20150401,28.48,0.0,18.85
20150402,29.21,0.0,26.61
20150403,29.1,0.0,33.05
20150404,28.19,0.0,37.49
20150405,28.81,0.0,43.38
20150406,29.56,0.0,30.59
20150407,29.89,0.0,26.24
20150408,31.08,0.0,25.99
20150409,32.86,0.53,27.77
20150410,32.97,0.36,29.47
20150411,30.78,6.05,39.51
20150412,25.99,28.76,64.09
20150413,24.04,3.12,68.79
20150414,23.72,1.73,67.2
20150415,25.83,0.03,58.98
20150416,27.56,0.0,55.98
20150417,29.73,0.0,48.65
20150418,31.13,0.0,41.68
20150419,31.57,0.0,37.71
20150420,31.92,0.0,37.0
20150421,33.28,0.0,33.59
20150422,33.02,0.0,25.22
20150423,32.03,0.0,26.04
20150424,31.39,0.0,29.44
20150425,32.59,0.0,25.9
20150426,33.45,0.0,29.99
20150427,34.56,0.0,26.69
20150428,34.3,0.01,28.33
20150429,33.85,0.0,29.42
20150430,33.85,0.0,27.46
20150501,33.64,0.0,26.53
20150502,33.73,0.0,22.82
20150503,34.25,0.0,17.16
20150504,34.2,0.1,18.19
20150505,34.18,0.0,18.93
20150506,34.5,0.0,20.0
20150507,35.04,0.0,18.89
20150508,36.04,0.0,18.48
20150509,36.53,0.04,19.79
20150510,36.1,0.96,20.74
20150511,36.1,0.12,22.02
20150512,35.78,0.6,27.3
20150513,34.16,1.03,33.95
20150514,33.52,0.45,37.13
20150515,34.99,0.95,30.57
20150516,36.05,0.08,28.54
20150517,36.6,0.0,20.52
20150518,37.1,0.0,20.15
20150519,37.08,0.0,25.43
20150520,36.81,0.0,29.6
20150521,35.83,0.0,31.9
20150522,35.59,0.0,32.73
20150523,34.77,0.0,34.72
20150524,34.62,0.0,38.55
20150525,33.94,0.0,42.14
20150526,34.72,0.0,38.37
20150527,35.33,0.0,36.39
20150528,35.36,0.15,37.34
20150529,36.63,0.81,32.13
20150530,37.04,0.0,23.58
20150531,35.86,0.0,28.94
20150601,36.07,0.0,30.83
20150602,34.58,0.02,34.0
20150603,34.07,0.02,34.98
20150604,35.78,0.0,31.18
20150605,36.43,0.0,25.05
20150606,35.64,0.02,30.84
20150607,35.91,0.97,33.09
20150608,34.98,1.55,38.43
20150609,33.51,0.9,45.24
20150610,33.02,4.02,48.42
20150611,30.98,19.18,61.23
20150612,29.02,20.01,73.21
20150613,27.87,14.61,76.75
20150614,28.4,11.56,72.89
20150615,27.77,31.3,77.97
20150616,27.64,12.5,77.87
20150617,28.19,13.4,76.92
20150618,27.54,22.58,80.7
20150619,27.59,10.76,80.22
20150620,28.45,1.11,77.36
20150621,27.7,13.79,82.5
20150622,26.9,37.66,85.93
20150623,27.54,1.13,80.3
20150624,27.61,2.93,77.04
20150625,27.59,0.29,75.41
20150626,27.82,0.15,76.0
20150627,28.24,0.0,74.33
20150628,28.0,0.0,74.19
20150629,28.3,0.34,73.27
20150630,27.11,0.09,79.21
20150701,28.18,0.0,73.24
20150702,27.96,0.0,71.47
20150703,27.86,0.0,71.97
20150704,28.23,0.0,70.94
20150705,28.41,0.0,70.51
20150706,28.09,0.0,71.11
20150707,28.41,0.0,70.41
20150708,28.52,0.01,69.48
20150709,27.87,0.97,70.12
20150710,28.48,2.16,69.76
20150711,27.5,4.38,74.54
20150712,28.67,0.1,70.68
20150713,29.09,0.0,68.57
20150714,29.53,0.0,67.65
20150715,29.45,0.0,66.35
20150716,29.02,0.0,68.22
20150717,28.86,1.3,68.21
20150718,28.09,9.71,75.25
20150719,25.62,58.95,89.37
20150720,25.36,50.01,92.63
20150721,26.12,7.06,87.22
20150722,25.47,34.98,91.12
20150723,25.86,9.21,87.79
20150724,26.21,24.33,89.38
20150725,25.96,24.23,86.95
20150726,25.56,26.23,85.14
20150727,24.79,11.91,88.82
20150728,24.84,2.79,88.09
20150729,25.72,3.32,82.28
20150730,26.03,0.17,80.94
20150731,26.08,0.0,80.89
20150801,25.9,2.98,83.29
20150802,25.9,2.88,83.26
20150803,25.43,11.39,85.06
20150804,24.63,122.55,92.88
20150805,24.45,88.59,90.07
20150806,25.21,6.48,87.7
20150807,26.49,0.88,84.74
20150808,26.75,5.32,85.83
20150809,25.07,3.57,90.9
20150810,25.89,0.71,87.0
20150811,26.56,16.65,87.02
20150812,25.4,25.46,91.33
20150813,24.82,9.25,89.62
20150814,24.84,2.34,89.63
20150815,25.64,3.66,87.65
20150816,25.86,0.76,87.11
20150817,25.07,1.72,88.47
20150818,25.81,3.23,87.44
20150819,26.29,1.01,85.46
20150820,25.93,0.12,83.82
20150821,25.37,0.02,83.75
20150822,25.54,0.0,83.0
20150823,25.77,0.0,82.83
20150824,25.65,0.01,83.84
20150825,25.88,0.08,83.69
20150826,26.2,0.47,83.88
20150827,25.61,0.54,86.58
20150828,25.93,2.17,86.43
20150829,26.02,14.69,88.5
20150830,25.82,4.72,87.04
20150831,25.88,0.76,84.45
20150901,25.66,0.11,82.8
20150902,25.17,0.01,80.97
20150903,25.42,2.15,80.27
20150904,26.38,6.82,76.76
20150905,26.96,0.45,76.15
20150906,26.19,0.4,82.76
20150907,24.68,19.07,83.85
20150908,25.1,3.42,83.03
20150909,25.98,0.21,80.32
20150910,26.59,0.03,79.55
20150911,27.31,0.04,74.26
20150912,27.26,1.69,76.86
20150913,26.28,0.66,81.91
