,T2M,Rain,Humidity
20150101,19.04,0.01,71.17
20150102,20.61,0.0,75.81
20150103,20.88,1.64,81.38
20150104,19.8,12.06,90.31
20150105,17.38,2.75,85.62
20150106,15.89,0.0,79.77
20150107,15.48,0.0,77.95
20150108,15.49,1.51,79.59
20150109,14.85,1.67,80.57
20150110,15.71,0.04,73.38
20150111,16.16,0.0,72.04
20150112,16.33,0.0,67.45
20150113,16.4,0.0,67.57
20150114,17.15,0.0,66.35
20150115,18.22,0.0,69.45
20150116,19.04,0.26,68.55
20150117,19.2,2.12,68.79
20150118,16.59,1.97,75.67
20150119,15.81,0.03,75.11
20150120,16.44,0.0,73.46
20150121,17.52,0.0,69.11
20150122,17.82,0.0,68.94
20150123,17.1,0.0,70.02
20150124,17.38,0.0,64.77
20150125,17.05,0.0,65.67
20150126,16.91,0.0,62.73
20150127,17.06,0.0,61.31
20150128,18.1,0.0,68.83
20150129,18.3,0.01,72.81
20150130,16.99,0.16,76.46
20150131,15.87,0.0,69.45
20150201,15.56,0.0,57.83
20150202,16.94,0.0,55.59
20150203,17.88,0.0,54.03
20150204,18.1,0.0,56.86
20150205,18.82,0.0,55.87
20150206,17.8,0.0,58.65
20150207,17.26,0.0,50.2
20150208,17.0,0.0,49.24
20150209,17.82,0.0,55.48
20150210,18.96,0.0,61.58
20150211,18.43,0.0,58.96
20150212,18.07,0.0,52.32
20150213,17.71,0.01,52.01
20150214,18.01,0.01,58.02
20150215,17.98,0.02,59.21
20150216,18.89,0.0,55.23
20150217,19.82,0.0,53.5
20150218,19.62,7.01,60.18
20150219,18.72,0.52,66.44
20150220,19.86,0.01,67.75
20150221,20.04,2.23,69.26
20150222,20.27,6.87,71.38
20150223,20.97,0.0,67.79
20150224,21.8,0.0,62.48
20150225,21.95,0.05,63.36
20150226,21.75,2.03,69.52
20150227,22.15,0.31,69.77
20150228,22.76,0.01,67.53
20150301,23.58,0.0,66.27
20150302,24.1,0.0,65.34
20150303,21.88,0.0,65.84
20150304,18.82,2.63,74.46
20150305,19.31,0.1,70.14
20150306,19.83,0.0,44.97
20150307,20.03,0.17,44.26
20150308,21.12,0.0,46.28
20150309,22.71,0.0,44.29
20150310,23.06,0.0,39.6
20150311,22.9,0.0,33.29
20150312,22.29,0.0,35.13
20150313,22.65,0.0,35.11
20150314,22.98,0.0,43.35
20150315,24.16,0.0,53.22
20150316,24.19,0.0,51.33
20150317,23.76,0.0,54.39
20150318,24.41,0.0,51.68
20150319,23.66,0.08,53.11
20150320,23.46,0.0,40.61
20150321,23.8,0.0,40.32
20150322,24.86,0.0,37.43
20150323,25.03,0.0,40.25
20150324,25.87,0.0,46.02
20150325,24.64,2.94,62.09
20150326,24.64,3.11,66.33
20150327,23.96,3.9,66.9
20150328,23.26,6.35,73.58
20150329,24.79,0.98,65.79
20150330,25.18,3.89,65.78
20150331,22.83,3.82,78.26
20150401,23.58,4.49,72.92
20150402,22.85,24.26,77.95
20150403,23.47,20.86,80.63
20150404,23.67,22.76,83.63
20150405,23.45,25.52,77.65
20150406,23.0,34.75,79.59
20150407,24.35,0.72,72.8
20150408,24.18,3.75,76.61
20150409,23.98,2.65,78.19
20150410,23.9,10.3,75.82
20150411,24.09,5.7,73.64
20150412,24.31,0.14,73.29
20150413,24.77,0.89,71.83
20150414,25.2,0.0,68.5
20150415,24.94,0.0,72.33
20150416,25.37,0.17,70.87
20150417,24.52,2.6,71.32
20150418,23.03,22.27,80.99
20150419,24.01,18.81,76.43
20150420,25.04,4.99,74.99
20150421,24.5,25.66,85.03
20150422,24.52,14.68,86.83
20150423,24.62,26.62,87.17
20150424,23.98,4.05,81.65
