,T2M,Rain,Humidity
20150101,17.03,0.44,45.14
20150102,15.34,24.52,71.87
20150103,15.13,25.89,80.88
20150104,14.7,1.39,71.69
20150105,13.78,0.01,49.99
20150106,14.01,0.0,47.18
20150107,13.66,0.0,49.13
20150108,13.44,0.0,47.31
20150109,12.49,0.0,40.08
20150110,12.81,0.0,42.33
20150111,12.95,0.0,40.55
20150112,12.59,0.0,40.32
20150113,13.8,0.0,39.12
20150114,13.21,1.03,51.07
20150115,13.32,0.0,57.0
20150116,14.34,0.0,53.04
20150117,14.25,0.0,52.77
20150118,13.68,0.0,46.86
20150119,13.61,0.0,45.43
20150120,13.54,0.0,45.35
20150121,13.5,1.01,47.88
20150122,12.18,15.65,69.49
20150123,13.96,1.15,70.26
20150124,15.02,0.0,59.16
20150125,14.52,1.24,53.24
20150126,14.33,1.14,55.91
20150127,14.51,0.01,63.05
20150128,14.42,0.0,59.79
20150129,13.38,0.0,52.71
20150130,12.73,0.0,45.51
20150131,12.89,0.0,43.4
20150201,14.32,0.01,44.1
20150202,15.71,0.81,49.92
20150203,16.53,4.23,56.57
20150204,16.22,0.04,56.08
20150205,16.21,0.0,48.44
20150206,15.93,0.0,44.32
20150207,17.04,0.0,40.97
20150208,17.59,0.0,43.0
20150209,17.03,0.0,46.77
20150210,17.33,0.0,42.86
20150211,16.6,0.0,41.67
20150212,16.32,0.0,43.58
20150213,16.0,0.0,41.37
20150214,18.34,0.38,41.43
20150215,18.37,0.12,49.67
20150216,18.86,0.03,50.39
20150217,18.97,0.0,51.92
20150218,19.79,0.48,52.01
20150219,20.44,0.79,49.8
20150220,20.77,0.9,49.65
20150221,21.05,0.0,46.56
20150222,21.57,0.0,44.2
20150223,22.69,0.0,44.65
20150224,22.71,0.0,46.92
20150225,21.42,2.12,55.26
20150226,20.53,7.18,59.76
20150227,19.16,6.52,51.82
20150228,20.54,1.31,42.87
20150301,15.23,16.51,81.14
20150302,17.01,59.53,82.07
20150303,16.1,11.26,76.87
20150304,15.34,1.15,64.9
20150305,17.04,0.01,57.47
20150306,17.89,0.28,55.36
20150307,18.77,0.05,52.09
20150308,19.3,4.1,54.88
20150309,19.54,0.56,58.63
20150310,19.33,0.0,51.67
20150311,20.41,0.0,45.98
20150312,21.67,0.0,42.28
20150313,21.43,0.0,44.96
20150314,21.69,1.46,54.24
20150315,18.08,4.49,72.09
20150316,17.78,4.78,75.5
20150317,20.21,0.01,60.54
20150318,19.94,0.0,55.4
20150319,20.55,0.0,54.32
20150320,22.52,0.0,48.19
20150321,23.18,0.0,45.92
20150322,24.41,0.0,46.71
20150323,25.46,0.0,46.91
20150324,25.9,0.0,46.89
20150325,26.13,0.16,48.86
20150326,26.22,0.45,44.39
20150327,26.77,0.09,40.58
20150328,26.58,0.18,36.0
20150329,24.74,3.98,43.04
20150330,19.87,25.83,72.72
20150331,22.29,0.21,62.4
20150401,23.68,0.19,54.27
20150402,25.42,0.74,50.2
20150403,23.91,5.83,53.75
20150404,20.95,11.6,69.14
20150405,22.27,1.29,60.58
20150406,23.59,0.98,52.32
20150407,24.6,0.23,44.6
20150408,23.93,0.11,46.5
20150409,24.29,0.0,46.77
20150410,25.44,0.0,43.33
20150411,27.21,0.01,37.27
20150412,25.4,1.2,44.96
20150413,23.18,1.4,60.31
20150414,24.18,0.79,59.03
20150415,25.17,1.58,59.87
20150416,25.47,5.51,59.02
20150417,25.71,0.07,51.94
20150418,27.26,0.04,45.14
20150419,29.96,0.0,36.73
20150420,30.05,0.08,38.93
20150421,29.5,0.19,39.93
20150422,28.62,0.01,31.17
20150423,29.64,0.0,24.73
20150424,29.59,0.49,30.86
20150425,28.22,0.07,42.31
20150426,25.26,0.28,55.99
20150427,27.01,6.36,53.5
20150428,27.85,3.3,54.33
20150429,27.41,0.06,51.11
20150430,28.93,0.06,43.56
20150501,29.14,3.65,43.89
20150502,28.78,0.56,36.49
20150503,28.63,0.12,29.92
20150504,29.0,0.01,28.94
20150505,30.47,0.0,28.64
20150506,31.55,0.05,29.13
20150507,31.98,0.84,32.79
20150508,32.03,0.19,33.88
20150509,32.13,0.0,29.27
20150510,32.02,0.0,30.18
20150511,33.3,0.86,29.87
20150512,32.05,1.24,32.03
20150513,31.61,0.08,32.63
20150514,31.74,0.05,33.17
20150515,31.54,1.44,35.82
20150516,31.45,0.33,32.82
20150517,31.52,0.0,33.33
20150518,33.56,0.0,30.04
20150519,35.01,0.0,24.4
20150520,33.73,0.01,19.38
20150521,33.67,0.0,16.3
20150522,34.3,0.0,14.83
20150523,34.85,0.0,14.58
20150524,35.6,0.02,14.41
20150525,35.75,0.01,15.95
20150526,35.65,0.81,17.7
20150527,34.46,0.73,14.35
20150528,32.77,4.49,20.51
20150529,34.1,1.15,20.41
20150530,34.95,0.02,21.45
20150531,34.18,1.13,24.26
20150601,33.25,0.26,24.05
20150602,33.06,0.11,24.61
20150603,34.59,0.03,22.03
20150604,35.41,0.16,23.57
20150605,35.05,0.0,22.35
20150606,34.22,0.01,20.75
20150607,35.0,0.04,20.82
20150608,36.25,0.0,17.03
20150609,37.32,0.0,15.96
20150610,36.03,0.0,24.06
20150611,36.09,0.01,26.4
20150612,35.98,0.13,23.12
20150613,35.12,1.57,28.27
