,T2M,Rain,Humidity
20150101,23.27,1.22,67.4
20150102,23.49,4.28,68.72
20150103,21.22,21.12,84.38
20150104,21.15,0.59,73.69
20150105,18.47,0.0,59.74
20150106,17.86,0.0,50.02
20150107,19.22,0.0,44.34
20150108,17.56,0.0,52.35
20150109,16.45,0.0,54.37
20150110,17.32,0.0,48.55
20150111,16.35,0.0,51.34
20150112,17.56,0.0,47.45
20150113,18.08,0.0,47.37
20150114,19.07,0.0,45.51
20150115,18.44,0.0,48.64
20150116,18.94,0.0,48.93
20150117,18.47,0.0,50.68
20150118,18.3,0.0,49.27
20150119,18.16,0.0,45.46
20150120,18.88,0.0,44.94
20150121,20.09,0.0,48.4
20150122,20.97,0.0,50.58
20150123,21.99,0.0,47.44
20150124,22.4,0.01,48.98
20150125,23.19,0.0,48.33
20150126,23.37,0.0,47.84
20150127,23.25,0.0,46.06
20150128,23.2,0.0,46.39
20150129,23.57,0.01,49.23
20150130,22.16,0.0,51.48
20150131,20.78,0.0,28.11
20150201,20.91,0.0,28.31
20150202,21.82,0.0,37.39
20150203,23.29,0.0,44.16
20150204,23.52,0.0,34.61
20150205,22.99,0.0,33.67
20150206,22.91,0.0,39.86
20150207,23.73,0.0,41.17
20150208,24.93,0.01,43.14
20150209,24.31,0.0,43.89
20150210,24.88,1.15,42.84
20150211,25.38,1.13,45.97
20150212,25.53,0.0,43.12
20150213,25.07,0.0,37.46
20150214,24.32,0.0,26.6
20150215,26.72,0.0,21.85
20150216,25.25,0.0,26.16
20150217,26.66,0.0,23.26
20150218,27.31,0.0,20.38
20150219,26.71,0.0,30.06
20150220,27.55,0.72,32.29
20150221,27.52,0.6,30.4
20150222,27.63,0.0,25.03
20150223,27.94,0.0,24.75
20150224,28.38,0.0,22.44
20150225,27.88,0.0,23.27
20150226,27.67,0.0,21.59
20150227,27.64,0.0,23.63
20150228,27.1,5.12,36.88
20150301,26.28,4.57,55.97
20150302,23.84,15.39,70.93
20150303,24.19,0.07,60.88
20150304,22.19,0.0,44.16
20150305,23.21,0.0,46.54
20150306,24.96,0.0,47.88
20150307,25.81,0.0,44.53
20150308,26.89,0.27,43.71
20150309,26.31,10.4,59.89
20150310,27.06,0.05,52.49
20150311,26.7,0.0,52.25
20150312,27.41,1.39,51.7
20150313,28.24,0.0,47.15
20150314,27.75,0.33,44.75
20150315,27.93,0.73,39.08
20150316,26.85,2.64,53.23
20150317,28.58,0.0,53.23
20150318,28.14,0.0,43.82
20150319,28.38,0.0,37.72
20150320,29.02,0.0,32.11
20150321,29.99,0.0,28.25
20150322,31.47,0.0,25.81
20150323,32.19,0.0,24.65
20150324,31.86,0.0,26.1
20150325,31.27,0.0,22.82
20150326,31.69,0.0,22.08
20150327,31.68,0.4,30.04
20150328,32.13,0.83,32.67
20150329,32.03,2.34,35.26
20150330,30.78,0.08,40.61
20150331,32.1,0.0,37.94
20150401,33.01,0.0,32.26
20150402,32.44,0.0,21.92
20150403,32.28,0.0,22.23
20150404,31.82,0.0,20.86
20150405,31.48,0.0,24.4
20150406,32.54,0.0,25.75
20150407,33.45,2.73,33.15
20150408,32.67,1.11,36.41
20150409,32.23,3.9,36.48
20150410,31.81,4.89,45.1
20150411,30.28,7.8,52.89
20150412,26.9,1.56,61.3
20150413,26.13,12.54,65.94
20150414,26.27,6.78,61.97
20150415,26.91,0.94,59.47
20150416,28.54,0.19,55.33
20150417,30.35,0.0,48.87
20150418,31.85,0.0,44.51
20150419,32.53,0.0,42.83
20150420,33.97,0.0,39.54
20150421,34.12,0.0,36.06
20150422,34.17,0.04,32.06
20150423,34.06,0.03,31.37
20150424,33.74,0.97,27.33
20150425,33.77,0.04,35.26
