,T2M,Rain,Humidity
20150101,20.16,0.0,64.29
20150102,21.09,0.0,64.81
20150103,21.25,0.28,71.03
20150104,19.69,5.52,82.49
20150105,18.29,0.82,82.15
20150106,17.21,0.0,77.79
20150107,17.19,0.0,74.33
20150108,18.67,0.29,69.57
20150109,18.75,0.46,74.71
20150110,15.65,0.1,83.75
20150111,15.87,0.0,73.25
20150112,15.05,0.0,78.54
20150113,15.68,0.0,73.71
20150114,16.5,0.0,70.73
20150115,17.26,0.0,71.39
20150116,18.09,0.0,71.02
20150117,18.67,0.48,69.35
20150118,17.99,0.45,73.18
20150119,17.74,0.1,71.27
20150120,17.95,0.0,67.47
20150121,18.08,0.0,67.47
20150122,18.38,0.0,66.86
20150123,17.72,0.22,71.38
20150124,18.06,0.1,71.81
20150125,18.34,0.0,70.93
20150126,18.83,0.0,68.24
20150127,18.74,0.0,67.24
20150128,19.31,0.0,67.97
20150129,19.92,0.44,65.42
20150130,17.67,1.23,76.77
20150131,16.89,0.27,69.55
20150201,17.04,0.01,62.88
20150202,18.84,0.0,58.44
20150203,18.91,0.0,58.19
20150204,18.55,0.0,65.81
20150205,18.91,0.0,63.54
20150206,18.46,0.0,64.47
20150207,17.96,0.0,63.85
20150208,18.76,0.0,62.3
20150209,19.63,0.0,60.75
20150210,19.18,0.01,67.09
20150211,18.96,0.01,68.59
20150212,19.38,4.39,65.15
20150213,18.76,5.85,65.07
20150214,17.96,1.73,70.13
20150215,19.1,0.0,62.83
20150216,19.14,0.0,65.21
20150217,20.54,0.0,57.37
20150218,20.12,0.36,63.54
20150219,19.43,0.5,67.61
20150220,18.25,1.03,76.48
20150221,20.13,0.83,68.68
20150222,18.59,1.29,80.4
20150223,20.64,0.0,69.19
20150224,22.53,0.02,64.41
20150225,22.23,4.08,67.52
20150226,22.53,11.77,72.71
20150227,22.85,4.16,70.08
20150228,24.1,0.01,62.4
20150301,24.01,0.0,65.13
20150302,23.49,0.38,70.22
20150303,22.3,4.73,70.05
20150304,21.9,6.62,63.21
20150305,20.56,1.65,66.72
20150306,19.67,0.72,62.15
20150307,19.77,2.77,65.23
20150308,21.44,0.0,57.71
20150309,23.34,0.0,53.1
20150310,23.49,0.17,54.04
20150311,23.17,0.07,47.94
20150312,23.44,0.0,49.89
20150313,23.08,0.0,55.99
20150314,23.32,0.01,48.94
20150315,24.64,0.05,54.93
20150316,24.08,0.0,57.46
20150317,23.8,0.04,60.83
20150318,24.01,2.0,59.67
20150319,23.36,0.9,59.05
20150320,24.29,0.02,47.93
20150321,24.86,0.0,49.16
20150322,26.0,0.0,47.82
20150323,27.63,0.0,48.31
20150324,21.85,0.02,72.48
20150325,23.18,0.51,70.06
20150326,24.55,0.15,69.02
20150327,23.96,4.99,71.85
20150328,23.63,5.11,75.11
20150329,25.3,0.43,63.65
20150330,26.68,6.34,63.56
20150331,25.25,8.37,69.54
20150401,25.28,11.56,65.15
20150402,23.11,26.01,71.0
20150403,21.56,9.9,76.68
20150404,24.37,23.4,74.94
20150405,23.79,6.73,73.32
20150406,24.54,2.62,69.32
20150407,24.97,0.8,64.55
20150408,23.85,15.24,70.7
20150409,25.4,12.09,64.8
20150410,25.21,4.74,62.58
20150411,23.77,0.36,67.16
20150412,23.47,0.03,69.79
20150413,25.38,0.0,62.43
20150414,26.28,0.02,65.03
20150415,26.67,0.02,65.89
20150416,25.83,9.63,70.67
20150417,25.66,2.25,68.15
20150418,23.36,27.61,79.6
20150419,22.83,4.94,76.82
20150420,24.92,0.03,64.99
20150421,23.48,5.87,78.39
20150422,22.16,25.09,85.25
20150423,22.88,14.97,82.87
20150424,23.83,2.63,77.97
20150425,23.15,0.99,77.04
20150426,23.57,0.69,75.73
20150427,23.45,0.14,75.68
20150428,25.52,0.02,66.08
20150429,23.14,2.59,84.46
20150430,25.48,0.54,68.95
20150501,26.65,0.16,63.83
20150502,26.19,11.95,72.45
20150503,27.09,18.32,70.5
20150504,28.1,14.54,67.96
20150505,27.61,0.02,68.29
20150506,27.61,0.02,66.87
20150507,25.16,0.14,75.55
20150508,26.23,20.12,73.2
20150509,26.4,1.02,71.42
20150510,27.85,0.03,70.2
20150511,26.64,0.04,77.1
20150512,25.9,0.27,75.29
20150513,25.6,9.67,80.19
20150514,28.6,9.81,71.27
20150515,27.0,23.18,78.54
20150516,27.03,14.45,79.02
20150517,26.82,6.07,80.61
20150518,28.35,4.67,71.08
20150519,29.3,0.1,66.05
20150520,28.53,0.38,75.77
20150521,28.24,6.89,79.77
20150522,28.72,25.03,76.19
20150523,29.19,47.33,72.18
20150524,28.89,14.5,70.68
20150525,27.79,3.94,74.2
20150526,28.46,3.14,70.78
20150527,28.1,12.62,74.07
20150528,27.57,19.3,76.65
20150529,26.38,11.61,79.11
20150530,28.47,12.87,74.58
20150531,29.25,46.86,72.6
20150601,28.49,23.05,79.64
20150602,28.91,19.83,77.57
20150603,28.48,0.64,77.69
20150604,28.19,12.26,80.28
20150605,28.92,19.23,80.24
20150606,29.31,30.29,77.78
20150607,29.46,33.86,74.98
20150608,28.08,46.11,83.57
20150609,27.92,40.76,82.54
20150610,25.95,5.87,87.61
20150611,25.78,1.82,82.25
20150612,27.16,12.92,81.39
20150613,28.89,21.11,75.23
20150614,28.05,6.62,80.05
20150615,27.49,9.63,86.43
20150616,26.55,13.7,87.21
20150617,28.54,7.93,79.81
20150618,28.52,11.12,84.06
20150619,28.32,13.6,83.71
20150620,28.4,2.78,82.55
20150621,27.41,23.49,87.42
20150622,26.55,10.68,91.51
20150623,27.9,17.1,86.03
20150624,26.8,17.77,94.44
20150625,29.81,1.31,82.08
20150626,30.65,1.82,77.59
20150627,27.85,12.73,88.92
20150628,27.8,6.88,84.68
20150629,28.18,12.96,85.32
20150630,27.42,20.36,84.15
20150701,28.67,24.63,84.6
20150702,28.3,10.57,85.2
20150703,29.54,8.77,79.22
20150704,29.41,23.57,79.82
20150705,28.11,14.44,86.96
20150706,27.38,0.64,86.13
20150707,28.68,1.61,80.11
20150708,27.02,1.83,88.29
20150709,29.42,0.65,77.75
