,T2M,Rain,Humidity
20150101,24.57,0.23,84.66
20150102,25.12,0.22,86.96
20150103,25.11,0.04,86.51
20150104,24.95,0.0,83.45
20150105,24.49,0.01,84.16
20150106,24.15,0.0,83.61
20150107,23.98,0.0,81.01
20150108,24.16,0.0,80.44
20150109,23.5,0.0,80.34
20150110,22.36,0.0,73.02
20150111,22.51,0.0,73.83
20150112,22.51,0.0,70.26
20150113,22.37,0.0,71.15
20150114,22.46,0.0,71.61
20150115,22.98,0.0,77.72
20150116,23.66,0.04,81.27
20150117,23.61,0.0,78.31
20150118,23.31,0.0,73.53
20150119,23.12,0.0,72.95
20150120,22.9,0.0,75.19
20150121,22.91,0.04,74.38
20150122,23.6,0.23,79.93
20150123,24.14,1.8,81.38
20150124,24.19,1.43,78.17
20150125,23.5,0.05,71.97
20150126,23.84,0.01,71.73
20150127,24.38,0.0,72.3
20150128,24.09,0.01,75.28
20150129,24.67,0.0,73.9
20150130,24.34,0.0,74.08
20150131,24.04,0.0,76.75
20150201,24.0,0.01,78.93
20150202,24.01,0.0,76.94
20150203,24.3,0.01,72.62
20150204,24.4,0.0,73.45
20150205,24.42,0.0,72.56
20150206,24.5,0.0,70.08
20150207,24.38,0.0,67.93
20150208,24.59,0.0,67.27
20150209,24.18,0.0,67.86
20150210,24.06,0.0,72.75
20150211,24.96,0.02,77.87
20150212,25.44,0.0,73.14
20150213,24.97,0.0,70.96
20150214,25.22,0.0,69.66
20150215,25.34,0.0,70.49
20150216,25.42,0.0,71.84
20150217,25.24,0.0,70.46
20150218,25.0,0.0,69.46
20150219,25.05,0.0,67.96
20150220,25.18,0.0,70.72
20150221,25.51,0.0,70.62
20150222,25.49,0.0,67.74
20150223,25.39,0.0,68.16
20150224,25.21,0.0,62.17
20150225,25.6,0.0,64.79
20150226,26.51,0.0,71.2
20150227,27.42,0.0,69.57
20150228,27.29,0.33,70.43
20150301,27.37,0.17,68.49
20150302,27.47,0.46,69.49
20150303,27.19,0.87,71.63
20150304,28.53,0.93,67.54
20150305,28.56,0.04,70.93
20150306,28.32,0.04,70.01
20150307,28.29,0.01,67.89
20150308,27.84,0.0,68.77
20150309,27.73,0.0,68.29
20150310,27.01,0.0,64.52
20150311,26.86,0.0,68.07
20150312,27.74,0.01,69.11
20150313,27.8,0.01,68.86
20150314,27.74,0.0,67.35
20150315,27.5,0.0,68.72
20150316,27.55,0.0,67.95
20150317,27.64,0.0,62.06
20150318,28.15,0.0,57.32
20150319,28.34,0.0,61.77
20150320,28.22,0.0,65.29
20150321,28.77,0.0,60.16
20150322,29.46,0.0,58.51
20150323,29.8,0.0,61.23
20150324,29.37,0.0,65.31
20150325,29.1,0.0,65.72
20150326,29.13,0.0,63.63
20150327,29.03,0.0,63.59
20150328,29.06,0.01,65.62
20150329,29.16,0.0,65.79
20150330,29.2,0.0,67.06
20150331,29.11,0.01,69.48
20150401,29.98,0.01,64.71
20150402,30.72,0.01,62.73
20150403,31.65,0.01,61.95
20150404,31.39,0.02,63.67
20150405,31.29,0.01,62.92
20150406,30.63,0.0,63.8
20150407,30.31,0.0,66.61
20150408,30.03,0.02,69.39
20150409,29.78,0.02,68.71
20150410,30.03,0.0,63.77
20150411,30.1,0.01,63.0
20150412,29.15,0.54,65.85
20150413,27.67,9.65,63.71
20150414,27.35,7.83,70.63
20150415,27.21,36.86,79.73
20150416,27.81,16.37,76.85
20150417,28.23,0.62,73.96
20150418,28.69,0.46,71.55
20150419,29.06,0.0,71.53
20150420,29.16,0.04,71.85
20150421,28.87,0.14,76.76
20150422,29.95,0.15,71.18
20150423,30.83,0.2,68.87
20150424,29.42,6.63,76.44
20150425,29.4,3.67,71.39
20150426,29.57,0.06,69.23
20150427,29.58,0.04,69.65
20150428,29.81,0.01,69.44
20150429,30.2,0.09,70.61
20150430,30.68,0.16,69.2
20150501,29.86,0.18,73.94
20150502,30.47,0.79,70.93
20150503,29.58,0.78,75.67
20150504,29.28,0.23,76.59
20150505,29.89,0.17,68.69
20150506,29.81,0.18,71.16
20150507,30.24,0.23,71.02
20150508,31.06,0.22,67.0
20150509,30.7,0.12,70.59
20150510,30.83,0.36,65.8
20150511,30.61,1.18,59.17
20150512,30.47,0.12,62.01
20150513,29.19,2.29,68.05
20150514,28.01,10.8,83.89
20150515,28.75,5.53,79.06
20150516,29.07,3.63,76.66
20150517,29.28,2.58,73.9
20150518,31.26,0.16,66.18
20150519,31.68,0.78,64.66
20150520,30.99,0.41,70.42
20150521,32.46,0.06,61.63
20150522,30.78,0.02,65.84
20150523,31.72,0.01,60.58
20150524,31.86,0.24,61.45
20150525,32.91,0.02,57.87
20150526,30.67,0.76,59.68
20150527,28.02,7.29,77.84
20150528,29.73,5.4,66.21
20150529,31.02,0.44,66.49
20150530,30.1,0.24,72.99
20150531,31.21,0.38,69.17
20150601,29.74,0.36,72.77
20150602,30.82,3.4,67.63
20150603,29.91,0.4,71.2
20150604,29.66,0.53,75.89
20150605,29.41,0.44,76.51
20150606,29.89,0.2,72.78
20150607,30.5,0.17,69.53
20150608,30.84,0.16,63.67
20150609,30.44,2.71,66.06
20150610,30.33,2.01,68.3
20150611,30.85,5.49,67.25
20150612,28.03,14.71,81.01
20150613,29.96,3.82,71.06
20150614,30.03,4.4,68.53
20150615,30.18,0.77,59.61
20150616,29.47,3.52,62.22
20150617,29.02,2.08,65.98
20150618,28.24,1.85,66.95
20150619,28.88,1.21,66.65
20150620,30.85,0.09,57.8
20150621,30.12,0.11,59.95
20150622,30.5,0.0,61.22
20150623,30.79,0.26,65.01
20150624,30.53,0.11,66.0
20150625,31.26,0.23,62.3
20150626,31.44,0.09,59.39
20150627,31.16,5.23,59.03
20150628,30.65,3.95,66.02
20150629,30.69,2.86,65.91
20150630,30.65,0.53,64.9
20150701,30.92,0.38,64.06
20150702,31.23,0.62,62.57
20150703,30.85,2.35,66.31
20150704,31.26,0.48,65.59
20150705,31.7,0.02,60.2
20150706,32.33,0.01,53.29
20150707,32.16,0.02,51.49
20150708,31.93,0.13,55.17
20150709,32.96,1.1,53.68
20150710,31.48,3.35,59.36
20150711,31.39,1.5,60.53
20150712,31.67,0.49,58.63
20150713,32.25,1.3,57.98
20150714,31.85,3.62,61.07
20150715,30.79,1.61,67.42
20150716,31.18,2.06,63.67
20150717,31.14,5.36,61.71
20150718,31.09,1.86,63.06
20150719,29.93,10.85,65.82
20150720,30.65,2.71,62.87
20150721,30.31,2.06,65.7
20150722,29.6,12.32,70.83
20150723,29.07,7.44,74.54
20150724,30.31,1.46,67.3
20150725,29.96,2.66,67.23
20150726,29.13,4.39,68.19
20150727,30.06,2.19,65.64
20150728,30.2,4.43,65.55
20150729,29.81,3.82,66.99
20150730,30.09,0.5,64.08
20150731,29.99,14.03,67.51
20150801,29.53,13.74,71.77
20150802,29.4,2.94,69.65
20150803,27.79,5.45,76.92
20150804,29.15,23.73,73.64
20150805,29.02,2.88,70.57
20150806,29.6,0.11,63.22
20150807,30.01,4.11,66.16
20150808,30.36,5.86,68.8
20150809,29.6,0.88,69.81
20150810,27.98,5.8,78.41
20150811,28.99,1.78,74.54
20150812,29.75,0.59,68.85
20150813,30.12,0.72,66.79
20150814,30.55,0.81,66.84
20150815,30.03,6.51,71.17
20150816,28.72,8.84,76.66
20150817,28.2,1.89,80.02
20150818,28.47,0.27,78.65
20150819,28.73,1.53,79.39
20150820,28.89,17.3,79.6
20150821,27.78,18.38,82.46
20150822,28.38,19.31,77.7
20150823,29.14,5.89,74.1
20150824,28.86,1.22,73.21
20150825,28.92,0.12,73.4
20150826,28.95,0.56,73.41
20150827,28.88,4.19,76.59
20150828,29.36,0.25,73.71
20150829,29.82,0.21,70.89
20150830,29.94,1.02,73.27
20150831,29.74,0.74,72.26
20150901,29.46,0.31,73.49
20150902,29.18,2.27,76.16
20150903,28.22,1.35,80.92
20150904,28.59,0.5,79.64
20150905,28.53,0.66,79.73
20150906,28.26,4.78,80.21
20150907,26.49,12.31,86.52
20150908,28.21,2.36,75.32
20150909,28.53,8.33,73.86
20150910,28.35,6.81,77.35
20150911,28.47,5.85,76.09
20150912,28.9,1.63,69.33
20150913,28.98,0.27,68.59
20150914,28.99,0.6,72.85
20150915,29.56,0.38,67.58
20150916,29.71,0.16,66.71
20150917,29.55,1.35,66.21
20150918,29.23,1.91,74.22
20150919,28.92,2.18,77.33
20150920,27.85,15.88,83.42
20150921,28.0,3.19,79.61
20150922,28.57,0.17,78.71
20150923,28.52,1.34,79.98
20150924,28.43,1.71,80.76
20150925,29.04,4.27,76.51
20150926,28.18,11.85,83.28
20150927,28.28,2.55,76.14
20150928,28.02,2.9,77.11
20150929,27.36,4.14,80.46
20150930,27.52,1.07,76.95
20151001,27.29,3.75,81.8
20151002,28.46,15.97,79.93
20151003,28.26,7.68,81.01
20151004,28.33,12.76,79.6
20151005,27.81,6.54,79.28
20151006,28.06,3.6,78.06
20151007,28.03,6.62,80.48
20151008,28.03,8.85,80.25
20151009,28.14,2.81,76.71
20151010,28.36,10.22,79.17
20151011,27.68,13.18,82.33
20151012,28.08,1.64,75.67
20151013,27.78,0.0,75.28
20151014,27.48,0.0,71.75
20151015,27.34,0.0,74.38
20151016,27.41,0.0,76.35
20151017,27.41,0.07,79.34
20151018,27.78,0.32,76.99
20151019,27.82,1.1,79.6
20151020,27.63,0.0,75.63
20151021,27.66,0.0,73.53
20151022,27.11,0.0,70.33
20151023,27.19,0.26,70.43
20151024,27.08,1.9,70.9
20151025,27.46,0.12,70.66
20151026,27.98,0.5,67.05
20151027,27.71,2.2,73.38
20151028,26.73,13.34,81.11
20151029,27.06,3.94,79.06
20151030,26.81,9.02,85.42
20151031,26.86,13.37,84.53
20151101,27.02,20.11,84.55
20151102,26.58,15.94,83.57
20151103,27.13,17.78,78.92
20151104,27.25,2.96,78.82
20151105,27.14,1.13,81.38
20151106,26.78,2.45,81.97
20151107,26.79,16.59,82.28
20151108,26.52,77.22,88.48
20151109,26.0,119.56,90.82
20151110,26.54,34.24,83.94
20151111,26.56,47.94,86.02
20151112,26.84,21.72,85.66
20151113,25.95,42.91,85.01
20151114,25.09,17.51,88.6
20151115,25.78,115.58,92.38
20151116,25.71,101.29,93.02
20151117,25.43,7.78,90.14
20151118,26.23,20.94,90.1
20151119,25.87,32.26,90.79
20151120,25.88,18.82,88.87
20151121,25.95,17.46,91.79
20151122,26.23,69.33,90.86
20151123,26.43,66.98,87.9
20151124,25.44,2.5,86.1
20151125,24.54,0.03,82.49
20151126,24.85,9.75,85.13
20151127,24.83,8.48,84.78
20151128,24.24,1.45,85.27
20151129,25.25,34.85,92.49
20151130,25.21,45.52,93.26
20151201,24.85,132.57,91.99
20151202,24.55,59.68,91.49
20151203,24.93,23.05,90.82
20151204,25.49,18.73,89.69
20151205,25.59,20.52,87.46
20151206,25.46,14.3,89.6
20151207,25.29,2.39,86.12
20151208,24.49,1.04,83.85
20151209,24.75,3.87,89.22
20151210,25.26,0.57,87.38
20151211,24.95,0.04,86.48
20151212,25.52,0.01,80.38
20151213,24.97,0.0,78.87
20151214,24.34,0.0,80.66
20151215,24.31,0.0,81.36
20151216,24.24,0.0,80.79
20151217,25.24,0.01,76.56
20151218,25.36,0.01,79.37
20151219,25.03,0.01,82.68
20151220,24.33,0.0,82.55
20151221,24.52,0.0,73.77
20151222,24.89,0.0,80.91
20151223,25.11,0.0,80.51
20151224,25.01,0.0,79.35
20151225,24.66,0.0,80.87
20151226,24.39,0.03,83.74
20151227,24.62,0.0,81.69
20151228,23.85,0.0,78.9
20151229,23.56,0.0,80.71
20151230,23.49,0.0,81.23
20151231,23.87,0.0,77.76
20160101,23.73,0.0,76.61
20160102,23.5,0.0,76.98
20160103,23.52,0.0,76.87
20160104,23.78,0.0,76.6
20160105,23.73,0.0,75.78
20160106,23.46,0.0,77.72
20160107,23.44,0.0,75.81
20160108,23.41,0.0,75.29
20160109,23.03,0.0,73.07
20160110,22.85,0.0,72.52
20160111,23.25,0.0,72.06
20160112,23.17,0.0,71.35
20160113,23.21,0.0,72.48
20160114,23.07,0.0,73.57
20160115,23.07,0.0,75.5
20160116,22.79,0.0,73.64
20160117,22.86,0.0,74.65
20160118,23.78,0.0,75.55
20160119,24.89,0.04,76.91
20160120,25.18,0.31,77.81
20160121,25.05,0.09,76.88
20160122,24.41,0.35,83.58
20160123,25.08,0.48,85.07
20160124,25.16,0.12,82.88
20160125,25.26,0.0,78.51
20160126,25.0,0.0,76.62
20160127,24.79,0.0,74.26
20160128,24.86,0.0,71.77
20160129,24.65,0.0,74.34
20160130,24.55,0.0,75.7
20160131,24.21,0.0,77.51
20160201,23.99,0.0,74.34
20160202,24.05,0.0,75.19
20160203,24.22,0.0,76.39
20160204,24.74,0.0,74.93
20160205,25.42,0.0,72.48
20160206,25.38,0.0,71.76
20160207,25.94,0.0,71.95
20160208,25.85,0.0,75.45
20160209,25.4,0.0,75.45
20160210,25.44,0.0,72.32
20160211,25.48,0.0,72.62
20160212,25.77,0.0,71.67
20160213,26.25,0.0,74.04
20160214,25.58,0.0,70.92
20160215,26.12,0.0,70.2
20160216,26.11,0.0,71.83
20160217,26.25,0.0,73.76
20160218,26.7,0.01,71.2
20160219,26.32,0.0,73.75
20160220,27.38,0.0,73.88
20160221,27.49,0.0,73.99
20160222,27.02,0.0,73.98
20160223,26.26,0.0,73.05
20160224,26.37,0.0,69.36
20160225,27.25,0.0,71.57
20160226,27.45,0.0,70.14
20160227,26.86,0.0,74.91
20160228,27.31,0.0,76.24
20160229,27.05,0.0,74.23
20160301,27.43,0.0,70.64
20160302,26.78,0.0,72.45
20160303,27.08,0.0,70.13
20160304,26.16,0.0,73.43
20160305,27.15,0.0,70.22
20160306,27.17,0.0,70.43
20160307,27.39,0.0,68.92
20160308,27.34,0.01,68.89
20160309,27.96,0.0,66.32
20160310,27.11,0.0,74.83
20160311,28.22,0.0,70.24
20160312,28.25,0.0,69.54
20160313,29.08,0.01,67.57
20160314,29.0,0.07,66.13
20160315,28.88,0.19,65.75
20160316,29.32,0.01,65.9
20160317,30.03,0.0,62.14
20160318,29.62,0.0,60.34
20160319,30.03,0.0,58.53
20160320,30.2,0.0,59.82
20160321,30.78,0.0,57.4
20160322,31.26,0.0,60.63
20160323,31.35,0.0,65.37
20160324,30.48,0.0,64.26
20160325,29.25,0.0,65.82
20160326,29.12,0.0,62.53
20160327,28.91,0.0,62.99
20160328,29.45,0.01,64.87
20160329,30.38,0.01,65.52
20160330,29.96,0.0,67.35
20160331,30.05,0.0,65.32
20160401,30.2,0.0,63.68
20160402,30.37,0.0,63.63
20160403,30.94,0.0,61.78
20160404,30.48,0.0,62.47
20160405,30.36,0.0,62.67
20160406,30.73,0.01,63.93
20160407,31.06,0.01,65.62
20160408,31.26,0.0,64.08
20160409,30.81,0.0,62.94
20160410,30.62,0.0,62.39
20160411,30.4,0.0,64.48
20160412,31.61,0.0,65.2
20160413,32.36,0.0,65.57
