,T2M,Rain,Humidity
20150101,13.59,11.65,72.18
20150102,14.99,11.57,84.82
20150103,16.52,2.8,83.49
20150104,14.65,0.01,75.01
20150105,13.38,0.0,58.42
20150106,14.63,0.0,53.44
20150107,15.18,0.0,57.23
20150108,13.68,0.0,55.28
20150109,14.39,0.0,42.08
20150110,14.54,0.0,42.75
20150111,15.23,0.0,43.34
20150112,14.07,0.0,47.57
20150113,13.32,0.0,47.78
20150114,14.77,0.11,50.16
20150115,13.17,0.07,60.84
20150116,13.1,0.0,57.59
20150117,13.4,0.0,47.58
20150118,13.82,0.0,45.32
20150119,13.08,0.0,48.73
20150120,12.87,0.0,48.2
20150121,15.07,0.19,54.75
20150122,16.21,8.63,75.03
20150123,15.74,4.08,80.57
20150124,15.72,0.01,70.51
20150125,13.53,1.9,74.36
20150126,14.63,2.57,86.93
20150127,15.61,1.98,82.01
20150128,14.63,0.02,62.05
20150129,12.91,1.99,55.85
20150130,12.53,0.15,43.73
20150131,14.55,0.0,37.54
20150201,15.99,0.0,42.59
20150202,17.48,0.0,50.33
20150203,18.57,0.01,56.22
20150204,16.38,0.52,60.08
20150205,15.29,0.0,47.86
20150206,16.94,0.0,46.69
20150207,18.64,0.9,56.63
20150208,18.22,5.69,69.07
20150209,18.24,0.49,64.7
20150210,17.63,0.0,50.67
20150211,18.07,0.27,55.92
20150212,17.96,1.48,66.58
20150213,17.72,0.0,43.31
20150214,19.97,0.0,44.91
20150215,20.33,0.0,49.17
20150216,21.26,0.0,39.94
20150217,21.1,0.0,44.61
20150218,21.32,0.0,44.28
20150219,22.85,0.0,41.51
20150220,24.06,0.02,38.47
20150221,23.63,0.0,38.63
20150222,22.99,0.0,38.07
20150223,24.69,0.0,32.31
20150224,24.45,0.0,33.67
20150225,25.17,0.0,34.58
20150226,22.29,0.0,33.26
20150227,21.11,0.21,33.9
20150228,21.76,3.78,41.1
20150301,18.36,22.87,85.78
20150302,19.51,7.85,74.72
20150303,19.43,0.02,59.86
20150304,18.4,0.02,53.02
20150305,19.45,0.0,44.5
20150306,20.71,0.0,45.4
20150307,21.26,0.0,48.64
20150308,23.21,0.15,46.57
20150309,21.42,0.15,51.92
20150310,19.04,0.0,39.56
20150311,21.23,0.0,38.44
20150312,22.55,0.54,45.6
20150313,24.09,0.02,54.17
20150314,21.53,16.84,71.47
20150315,21.12,14.15,76.77
20150316,22.48,1.95,71.25
20150317,22.37,0.01,61.44
20150318,21.24,0.0,53.02
20150319,21.49,0.0,44.44
20150320,23.82,0.0,38.27
20150321,25.33,0.0,40.86
20150322,26.49,0.0,45.15
20150323,26.42,0.0,47.65
20150324,27.3,0.0,39.33
