,T2M,Rain,Humidity
20150101,18.42,21.28,85.35
20150102,19.43,5.86,80.19
20150103,18.09,1.55,82.88
20150104,16.78,0.01,69.44
20150105,14.27,0.0,56.98
20150106,15.75,0.0,43.35
20150107,16.36,0.0,41.53
20150108,14.63,0.0,51.05
20150109,13.74,0.0,48.56
20150110,14.76,0.0,41.62
20150111,15.05,0.0,43.25
20150112,15.23,0.0,43.72
20150113,15.03,0.0,42.41
20150114,16.68,0.0,38.22
20150115,15.59,0.0,45.11
20150116,15.44,0.0,53.77
20150117,15.16,0.0,48.76
20150118,14.87,0.0,41.54
20150119,15.44,0.0,38.8
20150120,16.03,0.0,44.56
20150121,16.86,0.03,48.18
20150122,17.76,0.55,56.59
20150123,18.84,1.45,67.35
20150124,18.28,3.35,71.7
20150125,19.15,0.52,64.82
20150126,19.37,0.19,62.79
20150127,19.31,0.42,65.59
20150128,18.65,1.2,68.91
20150129,17.45,1.27,69.2
20150130,15.98,0.13,44.35
20150131,16.29,0.0,33.02
20150201,17.75,0.0,32.41
20150202,18.27,0.0,35.74
20150203,20.18,0.0,39.14
20150204,21.11,0.0,44.24
20150205,20.54,0.0,46.9
20150206,20.22,0.0,39.8
20150207,20.94,0.03,42.42
20150208,21.7,1.25,48.06
20150209,20.94,0.34,50.94
20150210,20.44,2.52,52.53
20150211,19.9,0.95,57.12
20150212,20.34,0.08,56.83
20150213,19.49,0.0,39.74
20150214,21.47,0.0,29.17
20150215,22.24,0.0,29.81
20150216,22.02,0.0,29.8
20150217,23.36,0.0,24.56
20150218,22.77,0.0,25.81
20150219,22.69,0.0,29.83
20150220,23.98,0.0,28.24
20150221,23.17,1.28,31.71
20150222,23.71,0.0,28.78
20150223,24.14,0.0,26.06
20150224,24.88,0.0,24.07
20150225,24.96,0.0,24.97
20150226,23.97,0.0,32.68
20150227,24.17,0.0,27.97
20150228,23.9,8.52,33.73
20150301,19.58,12.52,80.09
20150302,19.41,14.05,71.86
20150303,18.59,0.06,58.94
20150304,17.49,0.0,49.28
20150305,19.59,0.0,48.12
20150306,20.9,0.0,47.2
20150307,21.82,0.0,42.2
20150308,24.01,0.0,39.19
20150309,24.07,0.05,48.58
20150310,23.31,0.13,51.68
20150311,23.67,1.52,49.1
20150312,24.68,0.54,48.13
20150313,25.94,2.12,46.07
20150314,23.32,8.49,58.65
20150315,23.39,5.23,61.09
20150316,23.8,2.24,66.6
20150317,23.55,0.0,54.21
20150318,22.15,0.0,51.5
20150319,22.37,0.0,41.4
20150320,23.34,0.0,38.68
20150321,25.05,0.0,38.82
20150322,27.11,0.0,36.67
20150323,27.82,0.0,34.62
20150324,27.15,0.0,36.38
20150325,27.26,0.0,27.2
20150326,28.65,0.0,24.78
20150327,29.67,0.0,28.05
20150328,29.81,1.38,32.43
20150329,29.1,1.14,39.21
20150330,25.31,0.61,46.2
20150331,27.15,0.0,37.68
20150401,27.65,0.0,20.16
20150402,28.09,0.0,21.38
20150403,28.0,0.0,27.56
20150404,27.36,0.0,26.63
20150405,27.27,0.0,39.44
20150406,28.01,0.0,29.74
20150407,29.41,0.02,27.22
20150408,29.14,0.02,34.66
20150409,29.4,8.98,43.97
20150410,28.97,0.58,49.89
20150411,27.54,2.22,52.97
20150412,23.62,5.92,62.64
20150413,21.45,5.99,67.91
20150414,22.07,8.82,64.29
20150415,22.7,0.56,64.69
20150416,25.61,0.0,54.83
20150417,27.19,0.0,51.0
20150418,29.49,0.0,42.3
20150419,30.37,0.0,37.99
20150420,31.09,0.0,34.74
20150421,31.66,0.0,29.91
20150422,32.3,0.0,26.26
20150423,31.41,0.0,23.24
20150424,30.5,0.0,19.75
20150425,30.76,0.0,20.3
20150426,30.79,0.02,24.78
20150427,32.34,0.0,25.05
20150428,32.91,0.37,20.87
20150429,32.58,0.0,20.94
20150430,32.67,0.0,19.98
20150501,32.6,0.0,18.12
20150502,32.42,0.0,16.02
20150503,32.93,0.0,16.47
20150504,32.76,2.67,26.46
20150505,32.46,0.0,29.65
20150506,32.97,0.0,18.17
20150507,33.52,0.0,15.63
20150508,34.26,0.0,14.58
20150509,33.76,0.0,17.72
20150510,33.44,0.2,25.61
20150511,34.08,0.02,27.92
20150512,33.88,0.79,32.52
20150513,32.9,0.28,31.58
20150514,32.18,0.28,34.33
20150515,30.58,12.88,44.85
20150516,30.0,3.69,53.93
20150517,31.18,0.03,46.93
20150518,33.23,0.0,40.69
20150519,34.88,0.0,26.16
20150520,35.13,0.0,23.75
20150521,34.88,0.0,23.34
20150522,35.29,0.0,23.6
20150523,34.63,0.0,21.34
20150524,34.35,0.01,29.02
20150525,34.17,0.2,33.94
20150526,34.87,0.0,29.63
20150527,35.66,0.34,26.74
20150528,35.71,1.34,23.79
20150529,35.89,0.72,26.6
20150530,36.57,0.0,21.37
20150531,36.06,0.0,21.61
20150601,35.2,0.02,28.41
20150602,34.48,1.06,30.23
20150603,34.03,0.05,30.73
20150604,35.11,0.0,27.53
20150605,34.07,0.02,35.21
20150606,33.95,2.66,35.0
20150607,34.25,0.5,33.71
20150608,34.8,0.01,33.82
20150609,34.73,0.01,33.03
20150610,33.67,0.59,39.07
20150611,31.71,8.29,51.8
20150612,28.42,6.01,67.18
20150613,26.56,31.78,77.69
20150614,26.72,17.33,74.76
20150615,26.24,31.58,78.97
20150616,26.66,23.92,79.43
20150617,27.49,13.99,76.12
20150618,26.78,29.32,80.66
20150619,26.87,7.08,80.04
20150620,27.21,18.06,80.48
20150621,27.18,54.74,83.5
