,T2M,Rain,Humidity
20150101,23.53,1.48,69.67
20150102,23.64,0.11,68.88
20150103,23.68,0.0,64.78
20150104,23.27,0.0,64.23
20150105,22.57,0.0,65.19
20150106,21.47,0.0,62.06
20150107,21.18,0.0,59.02
20150108,21.47,0.0,60.63
20150109,20.95,0.0,61.18
20150110,19.01,0.0,39.35
20150111,18.11,0.0,44.92
20150112,18.31,0.0,52.59
20150113,18.51,0.0,51.28
20150114,19.06,0.0,50.53
20150115,19.65,0.0,53.94
20150116,21.22,0.0,59.07
20150117,21.44,0.0,55.34
20150118,21.66,0.0,55.08
20150119,21.45,0.0,56.01
20150120,21.71,0.0,58.59
20150121,21.09,0.0,57.87
20150122,20.64,0.0,53.11
20150123,21.82,0.0,58.79
20150124,22.53,0.0,57.75
20150125,21.48,0.0,50.09
20150126,20.34,0.0,53.03
20150127,21.79,0.0,56.18
20150128,22.51,0.0,51.54
20150129,23.49,0.0,55.2
20150130,23.35,0.0,54.7
20150131,22.36,0.0,52.03
20150201,22.07,0.0,51.25
20150202,21.92,0.0,54.62
20150203,21.27,0.0,52.1
20150204,20.94,0.0,50.89
20150205,21.62,0.0,42.65
20150206,22.46,0.0,42.71
20150207,22.35,0.0,47.21
20150208,20.89,0.0,50.37
20150209,22.37,0.0,50.67
20150210,21.31,0.0,48.26
20150211,22.25,0.0,47.75
20150212,22.65,0.0,42.94
20150213,22.64,0.0,40.41
20150214,23.23,0.0,36.47
20150215,23.86,0.0,40.22
20150216,23.65,0.0,43.79
20150217,23.35,0.0,42.71
20150218,23.73,0.0,39.38
20150219,24.07,0.0,41.5
20150220,23.59,0.0,41.58
20150221,23.34,0.0,40.31
20150222,23.49,0.0,39.25
20150223,23.31,0.0,33.26
20150224,23.02,0.0,26.63
20150225,23.42,0.0,28.05
20150226,25.51,0.0,43.13
20150227,26.02,0.0,40.3
20150228,25.25,1.67,61.3
20150301,26.45,2.28,55.75
20150302,27.04,2.39,52.71
20150303,24.03,17.37,68.18
20150304,24.3,2.95,68.01
20150305,25.67,0.0,56.5
20150306,24.91,0.41,64.1
20150307,24.63,0.22,65.31
20150308,25.07,0.08,59.52
20150309,25.12,0.02,55.98
20150310,24.22,0.0,51.81
20150311,23.63,0.0,42.12
20150312,24.43,0.0,53.97
20150313,25.05,0.0,49.62
20150314,25.12,0.0,45.7
20150315,26.47,0.01,51.1
20150316,25.92,0.06,41.0
20150317,25.98,0.0,37.55
20150318,26.41,0.0,32.81
20150319,27.1,0.0,30.55
20150320,26.62,0.0,36.66
20150321,26.63,0.0,31.46
20150322,27.5,0.0,31.84
20150323,28.42,0.0,35.21
20150324,28.81,0.0,35.43
20150325,28.3,0.0,39.04
20150326,27.74,0.0,42.35
20150327,26.92,0.0,35.74
20150328,26.4,0.0,33.55
20150329,27.42,0.0,45.45
20150330,27.83,0.0,42.89
20150331,28.1,0.11,48.32
20150401,28.46,0.41,45.09
20150402,29.89,0.0,41.83
20150403,30.13,0.17,35.87
20150404,29.72,0.0,32.87
20150405,30.37,0.0,37.07
20150406,30.75,0.0,39.91
20150407,29.83,0.0,41.62
20150408,29.31,0.0,44.17
20150409,29.79,0.0,39.87
20150410,29.58,0.06,46.68
20150411,27.35,3.19,50.41
20150412,25.91,11.25,61.24
20150413,22.18,7.62,78.39
20150414,23.81,8.18,70.36
20150415,21.86,7.62,80.05
20150416,24.98,0.91,66.94
20150417,25.32,3.05,65.47
20150418,26.4,0.01,59.15
20150419,27.44,0.0,55.3
20150420,27.2,0.0,55.82
20150421,27.37,0.01,58.02
20150422,27.62,0.03,58.51
20150423,25.79,7.31,66.27
20150424,25.27,6.96,70.73
20150425,25.53,6.95,70.58
20150426,25.84,0.91,64.41
20150427,26.73,0.1,57.71
20150428,27.89,0.0,55.96
20150429,28.71,0.47,50.66
20150430,27.67,4.26,60.29
20150501,28.37,0.16,56.67
20150502,28.04,1.05,58.93
20150503,27.73,1.2,59.23
20150504,28.03,0.04,55.5
20150505,27.24,0.0,57.82
20150506,27.07,1.68,59.65
20150507,26.41,4.94,65.81
20150508,27.06,0.08,61.38
20150509,27.22,0.01,59.76
20150510,26.58,0.08,65.62
20150511,27.72,0.16,51.92
20150512,27.35,0.43,50.62
20150513,26.57,0.33,57.85
20150514,27.26,0.12,50.93
20150515,26.09,2.68,66.41
20150516,25.74,5.99,71.29
20150517,26.39,13.82,70.31
20150518,25.9,0.77,73.4
20150519,27.13,17.59,69.85
20150520,27.77,1.99,64.9
20150521,27.28,0.0,64.88
20150522,25.8,0.0,70.63
20150523,24.04,0.0,74.4
20150524,26.16,0.2,66.39
20150525,27.11,0.02,63.86
20150526,27.48,0.62,61.49
20150527,26.66,14.11,71.56
20150528,25.02,4.91,72.75
20150529,25.98,4.88,71.77
20150530,25.66,2.26,75.05
20150531,26.16,4.56,71.72
20150601,26.67,6.08,67.05
20150602,24.91,19.5,77.27
20150603,26.18,0.36,68.18
20150604,26.02,2.32,70.93
20150605,25.81,0.94,71.22
20150606,24.82,0.1,74.83
20150607,26.7,0.31,65.11
20150608,25.54,1.41,67.47
20150609,23.51,27.22,83.53
20150610,24.73,0.9,73.82
20150611,25.5,2.23,73.32
20150612,23.64,0.14,80.1
20150613,24.23,3.5,75.21
20150614,23.17,1.7,74.89
20150615,23.25,0.33,69.41
20150616,23.02,1.97,71.48
20150617,23.01,1.55,72.61
20150618,22.6,1.04,74.56
20150619,22.93,0.99,80.31
20150620,24.49,0.64,70.92
20150621,24.31,0.83,72.24
20150622,24.37,0.69,73.84
20150623,24.67,2.11,75.61
20150624,24.95,0.39,74.56
20150625,25.25,0.09,72.88
20150626,25.26,0.12,70.67
20150627,25.22,0.0,69.82
20150628,24.92,0.44,74.77
20150629,25.54,0.77,71.99
20150630,25.07,0.03,71.03
20150701,25.51,0.0,68.48
20150702,25.44,0.23,68.85
20150703,25.0,0.28,72.19
20150704,26.09,0.02,68.52
20150705,25.99,0.0,67.16
20150706,25.31,0.01,66.9
20150707,25.31,0.22,65.48
20150708,25.41,0.19,68.44
20150709,25.25,1.03,72.2
20150710,24.87,4.86,73.99
20150711,24.75,0.57,72.97
