,T2M,Rain,Humidity
20150101,19.26,0.0,77.31
20150102,21.37,0.2,69.68
20150103,21.24,4.95,78.59
20150104,19.61,4.74,84.46
20150105,17.32,0.09,85.94
20150106,16.23,0.0,83.17
20150107,16.92,0.0,76.01
20150108,17.2,0.0,76.78
20150109,17.63,0.0,74.69
20150110,16.25,0.0,73.08
20150111,16.1,0.0,69.15
20150112,16.48,0.0,78.22
20150113,18.05,0.0,75.5
20150114,18.26,0.0,76.12
20150115,18.52,0.0,74.99
20150116,18.67,0.0,74.22
20150117,19.0,0.69,73.94
20150118,16.89,0.0,72.85
20150119,16.23,0.0,73.63
20150120,16.29,0.0,74.17
20150121,17.21,0.0,71.4
20150122,18.34,0.0,74.7
20150123,18.16,0.0,73.89
20150124,17.71,0.0,71.11
20150125,17.07,0.0,77.95
20150126,17.4,0.0,73.08
20150127,17.93,0.0,69.85
20150128,18.73,0.0,73.28
20150129,18.14,0.01,73.82
20150130,16.73,0.82,73.52
20150131,14.76,0.0,65.65
20150201,16.15,0.0,63.55
20150202,17.29,0.0,66.71
20150203,18.92,0.0,69.57
20150204,18.99,0.0,67.32
20150205,18.23,0.0,64.06
20150206,17.25,0.0,69.13
20150207,17.53,0.0,69.95
20150208,17.7,0.0,72.08
20150209,18.27,0.0,70.68
20150210,18.57,0.0,71.14
20150211,18.25,0.0,65.91
20150212,18.08,0.14,63.55
20150213,18.18,0.72,63.08
20150214,18.12,0.02,63.96
20150215,18.62,0.48,67.25
20150216,19.43,0.0,70.17
20150217,20.25,0.01,71.91
20150218,21.14,1.12,70.88
20150219,20.57,5.73,76.31
20150220,20.39,0.0,76.47
20150221,21.09,1.26,74.0
20150222,21.75,0.0,67.65
20150223,22.44,0.03,67.72
20150224,23.44,0.54,64.9
20150225,24.05,0.0,66.13
20150226,23.63,0.24,70.01
20150227,23.39,7.91,69.54
20150228,23.81,0.0,63.2
20150301,25.4,0.66,63.84
20150302,24.94,0.11,67.45
20150303,22.69,0.7,63.87
20150304,21.25,1.96,62.82
20150305,20.01,0.14,56.71
20150306,19.62,0.0,57.11
20150307,21.23,0.0,56.57
20150308,21.27,0.0,63.2
20150309,22.14,0.0,63.3
20150310,23.35,0.0,49.64
20150311,21.89,0.0,54.21
20150312,22.8,0.0,57.9
20150313,23.04,0.0,56.12
20150314,24.0,0.0,52.97
20150315,24.03,0.0,56.62
20150316,24.24,0.0,57.14
20150317,24.45,0.0,57.22
20150318,24.07,0.58,56.94
20150319,23.08,2.19,49.34
20150320,23.34,0.0,50.76
20150321,24.64,0.0,55.28
20150322,24.82,0.0,56.24
20150323,26.31,0.0,57.57
