,T2M,Rain,Humidity
20150101,23.0,0.15,73.67
20150102,22.43,0.06,72.54
20150103,22.46,0.01,69.76
20150104,22.93,0.0,66.25
20150105,22.77,0.0,66.08
20150106,22.01,0.0,62.16
20150107,22.65,0.0,51.1
20150108,22.46,0.0,55.34
20150109,21.24,0.0,55.15
20150110,19.63,0.0,35.49
20150111,18.71,0.0,36.13
20150112,18.88,0.0,45.58
20150113,19.51,0.0,42.5
20150114,19.99,0.0,40.05
20150115,20.09,0.0,48.99
20150116,21.04,0.0,54.06
20150117,21.84,0.0,50.24
20150118,22.6,0.0,45.65
20150119,22.67,0.0,46.99
20150120,22.85,0.0,52.59
20150121,22.44,0.0,55.1
20150122,22.11,0.0,44.8
20150123,22.13,0.0,49.44
20150124,22.1,0.0,52.21
20150125,22.6,0.0,44.72
20150126,22.13,0.0,45.04
20150127,22.0,0.0,49.39
20150128,23.0,0.0,48.54
20150129,23.58,0.0,51.39
20150130,24.08,0.0,48.23
20150131,23.47,0.0,46.66
20150201,23.04,0.0,44.69
20150202,23.04,0.0,47.88
20150203,22.77,0.0,47.27
20150204,21.46,0.0,46.93
20150205,22.59,0.0,34.76
20150206,22.71,0.0,35.96
20150207,23.16,0.0,36.6
20150208,23.05,0.0,38.08
20150209,23.5,0.0,44.42
20150210,22.99,0.0,39.5
20150211,22.45,0.0,46.48
20150212,23.31,0.0,38.94
20150213,24.07,0.0,34.12
20150214,24.78,0.0,33.01
20150215,25.66,0.0,27.46
20150216,25.29,0.0,31.69
20150217,24.78,0.0,26.71
20150218,25.64,0.0,29.12
20150219,26.38,0.0,50.38
20150220,26.03,0.0,33.38
20150221,25.13,0.0,33.69
20150222,25.0,0.0,32.43
20150223,25.22,0.0,28.59
20150224,24.56,0.0,24.94
20150225,24.4,0.0,20.12
20150226,25.32,0.0,39.71
20150227,26.39,0.0,51.76
20150228,26.14,0.57,51.76
20150301,26.19,0.48,54.96
20150302,25.6,1.89,62.9
20150303,25.02,1.86,58.72
20150304,24.99,0.51,55.49
20150305,26.79,0.0,54.29
20150306,28.23,0.09,47.43
20150307,28.18,0.25,47.5
20150308,28.06,3.23,50.68
20150309,26.65,8.3,62.52
20150310,25.94,0.01,52.74
20150311,24.99,0.0,41.91
20150312,25.77,0.0,45.52
20150313,26.96,0.0,40.34
20150314,26.71,0.0,35.57
20150315,27.96,0.0,49.86
20150316,28.78,0.0,50.95
20150317,28.66,0.0,41.2
20150318,28.58,0.0,31.92
20150319,28.54,0.0,31.31
20150320,28.02,0.0,22.24
20150321,27.95,0.0,25.89
20150322,28.39,0.0,25.25
20150323,29.37,0.0,29.78
20150324,29.96,0.0,38.27
20150325,30.38,0.0,29.45
20150326,29.58,0.0,31.44
20150327,28.84,0.0,29.94
20150328,28.77,0.0,27.77
20150329,29.3,0.04,33.25
20150330,29.24,0.11,34.46
20150331,28.3,1.81,44.29
20150401,30.4,0.12,41.41
20150402,30.17,0.01,44.96
20150403,29.8,0.0,44.36
20150404,30.07,0.0,41.84
20150405,30.26,0.0,30.65
20150406,30.25,0.0,38.97
20150407,30.21,0.0,45.08
20150408,30.51,0.0,44.08
20150409,29.29,0.03,48.45
20150410,29.19,4.01,52.49
20150411,25.47,1.56,63.91
20150412,25.9,11.42,64.69
20150413,24.45,4.52,72.44
20150414,25.48,1.82,64.23
20150415,25.95,0.16,63.77
20150416,26.53,0.02,60.17
20150417,27.29,0.05,57.83
20150418,28.36,0.0,52.08
20150419,29.22,0.0,46.66
20150420,29.79,0.0,44.93
20150421,30.77,0.02,45.6
20150422,30.56,0.99,50.13
20150423,28.39,6.4,63.7
20150424,26.11,4.67,72.59
20150425,26.5,4.26,67.63
20150426,27.87,1.29,60.3
20150427,28.33,0.74,55.44
20150428,29.23,0.0,53.34
20150429,30.41,0.93,51.48
20150430,29.79,0.13,52.35
20150501,30.33,0.02,50.42
20150502,30.22,0.65,52.47
20150503,30.37,0.28,48.87
20150504,30.55,2.2,49.56
20150505,29.1,2.85,56.91
20150506,29.45,0.06,57.57
20150507,28.08,4.96,62.57
20150508,27.16,9.66,71.43
20150509,27.4,0.01,70.62
20150510,26.18,0.03,74.52
20150511,25.98,0.23,74.08
20150512,26.89,0.79,69.92
20150513,26.12,2.3,73.43
20150514,28.69,0.03,52.62
20150515,27.26,2.27,63.24
20150516,28.3,9.83,64.37
20150517,27.97,9.27,68.67
20150518,26.89,3.59,74.75
20150519,26.79,0.71,73.86
20150520,28.21,0.11,65.0
20150521,27.93,0.0,69.12
20150522,26.2,0.0,66.36
20150523,26.59,0.0,64.88
20150524,27.84,0.0,68.24
20150525,28.39,0.0,64.84
20150526,29.02,0.0,61.77
20150527,28.64,1.53,64.32
20150528,26.98,2.66,71.34
20150529,26.48,23.12,75.81
20150530,26.73,16.25,75.55
20150531,24.5,12.82,84.77
20150601,26.44,4.26,76.18
20150602,25.95,1.75,75.84
20150603,27.24,0.17,68.58
20150604,27.13,5.55,72.58
20150605,25.9,3.56,77.5
20150606,26.4,0.0,71.66
20150607,27.14,0.06,69.28
20150608,26.43,1.79,68.52
20150609,24.34,4.87,81.27
20150610,25.83,0.23,73.44
20150611,25.94,0.59,75.75
20150612,24.54,0.22,78.94
20150613,24.94,0.63,75.21
20150614,23.86,4.33,76.22
20150615,23.86,3.82,74.66
20150616,23.01,1.91,79.8
20150617,24.14,0.69,74.33
20150618,23.63,1.98,78.32
20150619,23.95,1.7,80.58
20150620,24.99,3.34,77.15
20150621,24.61,4.87,79.08
20150622,25.03,8.91,79.97
20150623,25.91,0.35,75.94
20150624,25.5,0.98,77.17
20150625,25.82,0.48,76.51
20150626,25.58,0.85,77.71
20150627,25.81,0.12,75.82
20150628,25.59,0.01,76.99
20150629,26.0,0.06,74.82
20150630,25.62,0.14,75.85
20150701,25.38,1.54,75.43
20150702,26.08,0.76,73.22
20150703,25.79,0.09,75.25
20150704,26.23,0.02,72.88
20150705,26.46,0.01,71.38
20150706,25.25,0.0,74.42
20150707,25.59,0.03,72.84
20150708,25.44,0.49,76.23
20150709,25.66,6.07,77.55
20150710,25.54,2.48,77.22
20150711,24.96,1.19,77.22
20150712,25.78,0.29,74.74
20150713,26.35,0.11,72.71
20150714,26.02,2.75,74.53
20150715,25.75,0.53,76.47
20150716,25.61,0.17,74.91
20150717,25.98,0.17,72.83
20150718,24.74,1.76,80.35
20150719,24.94,6.93,77.92
20150720,24.8,3.39,79.52
20150721,25.23,3.83,77.25
20150722,25.44,4.25,77.12
20150723,25.42,1.46,77.12
20150724,25.48,0.2,73.6
20150725,23.65,0.38,76.66
20150726,23.78,2.67,76.93
20150727,24.52,0.83,74.84
20150728,23.85,0.09,77.4
20150729,25.34,0.04,73.18
20150730,25.21,0.1,72.49
20150731,24.94,1.77,75.55
20150801,24.63,0.22,75.65
20150802,25.22,0.08,74.87
20150803,24.78,1.17,77.67
20150804,24.9,1.97,77.24
20150805,24.84,3.12,75.86
20150806,25.15,0.81,75.4
20150807,25.24,1.23,76.23
20150808,24.66,0.96,77.47
20150809,25.7,3.12,75.61
20150810,25.13,2.51,77.86
20150811,24.25,1.18,79.48
20150812,24.58,0.72,77.65
20150813,24.92,4.31,78.61
20150814,25.64,0.61,75.01
20150815,25.93,1.88,74.41
20150816,25.71,0.73,75.32
20150817,25.31,11.29,77.42
20150818,25.91,3.72,76.91
20150819,27.15,7.83,73.37
20150820,24.84,15.68,82.7
20150821,24.93,5.71,78.79
20150822,24.74,1.01,76.24
20150823,24.65,6.77,76.71
20150824,24.84,1.94,77.07
20150825,25.18,0.18,74.5
20150826,25.19,3.71,76.07
20150827,24.48,7.28,80.82
20150828,24.88,1.39,77.99
20150829,24.99,6.46,78.87
20150830,25.1,7.61,78.31
20150831,25.13,1.66,76.76
20150901,25.2,0.01,74.08
20150902,25.32,0.01,73.9
20150903,26.04,2.28,70.75
20150904,26.22,10.36,76.01
20150905,27.27,2.68,70.86
20150906,23.45,43.56,90.75
20150907,23.09,8.72,87.9
20150908,23.63,5.33,81.6
20150909,22.56,0.64,85.45
20150910,23.8,2.9,82.48
20150911,22.85,6.7,87.16
20150912,23.4,0.72,81.92
20150913,24.0,1.75,81.45
20150914,23.39,3.77,85.36
20150915,22.91,1.93,84.7
20150916,22.72,2.42,84.93
20150917,23.46,0.74,85.08
20150918,24.77,0.75,82.69
20150919,25.25,0.1,79.44
20150920,24.69,0.95,79.76
20150921,24.22,0.2,78.42
20150922,24.1,0.0,75.33
20150923,26.02,0.0,69.52
20150924,26.11,8.81,76.88
20150925,25.37,5.62,81.65
20150926,24.71,1.39,83.74
20150927,24.64,7.73,83.34
20150928,24.94,1.84,75.08
20150929,24.85,0.26,71.5
20150930,25.02,1.35,75.59
20151001,24.78,5.19,80.33
20151002,24.41,4.01,84.38
20151003,23.85,5.07,85.98
20151004,24.76,6.08,81.89
20151005,24.58,16.82,83.0
20151006,24.43,1.83,79.53
20151007,24.58,5.13,80.71
20151008,24.86,2.64,78.52
20151009,25.09,0.45,77.38
20151010,25.0,4.32,80.9
20151011,24.96,3.83,81.45
20151012,24.15,2.14,77.61
20151013,24.44,0.03,70.27
20151014,23.77,0.02,62.1
20151015,24.04,0.0,61.87
20151016,24.6,0.0,65.46
20151017,24.93,0.0,69.98
20151018,25.3,0.0,70.72
20151019,25.39,0.0,68.4
20151020,25.08,0.01,64.82
20151021,24.71,0.0,64.09
20151022,24.25,0.1,62.36
20151023,24.27,0.0,57.93
20151024,23.92,0.0,53.71
20151025,23.97,0.0,60.2
20151026,24.06,0.0,69.5
20151027,24.18,0.0,66.65
20151028,24.38,0.36,64.06
20151029,25.55,0.42,67.76
20151030,25.49,0.02,65.46
20151031,25.76,0.09,72.02
20151101,25.84,1.09,72.68
20151102,23.12,8.35,84.57
20151103,24.34,0.91,78.37
20151104,24.74,0.88,76.93
20151105,25.03,0.04,69.17
20151106,24.46,0.0,67.49
20151107,23.96,0.0,69.02
20151108,24.59,0.01,68.87
20151109,24.58,2.04,68.42
20151110,21.3,1.94,78.5
20151111,23.15,0.89,81.2
20151112,24.54,0.42,77.97
20151113,23.39,0.04,65.63
20151114,21.41,0.0,61.95
20151115,22.05,0.9,66.05
20151116,22.42,3.57,73.96
20151117,22.49,0.4,73.42
20151118,23.76,0.54,75.6
20151119,24.53,2.97,78.92
20151120,24.38,4.41,76.22
20151121,24.28,1.94,76.83
20151122,23.97,3.64,78.69
20151123,23.88,9.57,81.13
20151124,23.98,1.62,75.31
20151125,22.97,0.04,70.42
20151126,21.86,0.0,64.7
20151127,22.57,0.0,69.78
20151128,21.73,0.0,62.16
20151129,22.19,0.13,74.58
20151130,23.89,0.58,76.37
20151201,23.93,0.06,73.91
20151202,23.01,2.67,77.71
20151203,23.56,0.35,72.54
20151204,22.77,0.0,67.81
20151205,22.27,0.0,69.71
20151206,22.19,0.0,69.1
20151207,22.84,0.0,69.44
20151208,22.2,0.0,65.8
20151209,22.52,0.0,68.83
20151210,24.93,0.0,71.57
20151211,24.92,0.0,72.02
20151212,25.9,0.0,63.01
20151213,25.54,0.0,63.01
20151214,25.51,0.01,58.09
20151215,24.96,0.0,50.67
20151216,24.65,0.0,47.76
20151217,23.65,0.0,53.63
20151218,24.25,0.0,57.29
20151219,24.56,0.0,59.53
20151220,24.06,0.0,56.93
20151221,24.21,0.0,56.64
20151222,24.32,0.0,53.13
20151223,23.92,0.0,53.74
20151224,23.61,0.0,53.82
20151225,22.8,0.0,57.9
20151226,21.44,0.0,61.09
20151227,22.47,0.0,62.43
20151228,21.6,0.0,57.68
20151229,21.83,0.0,55.21
20151230,22.06,0.0,52.1
20151231,21.66,0.0,57.34
20160101,21.7,0.0,59.29
20160102,21.63,0.0,53.23
20160103,21.88,0.0,46.67
20160104,21.97,0.0,50.61
