,T2M,Rain,Humidity
20150101,20.03,0.04,79.91
20150102,21.25,0.09,70.22
20150103,21.46,7.66,76.77
20150104,21.5,1.83,77.43
20150105,18.82,0.0,68.01
20150106,17.4,0.0,53.76
20150107,17.88,0.0,48.38
20150108,17.73,0.0,49.88
20150109,16.56,0.0,54.21
20150110,16.34,0.0,49.23
20150111,16.31,0.0,48.88
20150112,16.47,0.0,46.6
20150113,17.14,0.0,49.37
20150114,18.34,0.0,54.07
20150115,18.28,0.0,54.8
20150116,18.07,0.0,47.62
20150117,17.81,0.0,47.38
20150118,17.92,0.0,49.72
20150119,17.53,0.0,44.62
20150120,17.81,0.0,45.88
20150121,18.13,0.0,55.95
20150122,19.16,0.0,50.16
20150123,19.89,0.0,47.8
20150124,20.48,0.0,51.69
20150125,21.26,0.0,52.39
20150126,21.25,0.0,53.59
20150127,21.28,0.0,51.36
20150128,21.69,0.0,51.39
20150129,22.0,0.0,54.59
20150130,21.49,0.0,56.04
20150131,20.96,0.0,49.1
20150201,20.13,0.41,38.31
20150202,20.17,0.0,45.39
20150203,21.18,0.0,50.78
20150204,22.2,0.0,39.96
20150205,21.5,0.0,37.85
20150206,21.67,0.0,42.67
20150207,21.37,0.0,49.39
20150208,22.56,0.0,50.34
20150209,23.1,0.0,49.21
20150210,22.97,0.01,50.9
20150211,23.7,0.04,48.07
20150212,23.65,0.01,50.78
20150213,23.06,0.0,50.58
20150214,22.78,0.0,32.18
20150215,23.8,0.0,29.41
20150216,24.08,0.0,29.28
20150217,24.28,0.0,31.0
20150218,24.2,0.0,38.63
20150219,24.9,0.0,47.99
20150220,25.57,2.19,38.76
20150221,24.92,0.83,37.13
20150222,24.91,0.0,33.89
20150223,25.62,0.0,30.43
20150224,25.6,0.0,33.35
20150225,25.34,0.0,39.19
20150226,25.31,0.0,31.2
20150227,24.4,0.0,42.67
20150228,24.84,0.0,43.85
20150301,24.35,0.05,53.87
20150302,23.84,5.06,71.02
20150303,24.71,1.03,64.41
20150304,24.12,0.39,46.06
20150305,24.75,0.0,35.29
20150306,25.75,0.0,42.01
20150307,26.9,0.0,37.85
20150308,27.07,2.3,48.04
20150309,26.25,1.81,58.26
20150310,27.17,0.0,43.85
20150311,27.7,0.0,37.41
20150312,28.46,0.02,35.92
20150313,28.64,0.0,34.92
20150314,27.46,0.0,38.05
20150315,27.15,0.0,42.78
20150316,27.03,0.07,41.59
20150317,28.29,0.0,38.7
20150318,29.32,0.0,39.4
20150319,30.28,0.0,32.17
20150320,28.81,0.0,35.04
20150321,29.32,0.0,26.95
20150322,29.68,0.0,22.86
20150323,29.99,0.0,24.92
20150324,30.83,0.0,24.7
20150325,30.13,0.0,35.77
20150326,29.65,0.7,41.71
20150327,26.97,25.48,61.44
20150328,27.01,0.73,57.06
20150329,28.31,0.03,53.18
20150330,26.79,0.0,57.05
20150331,27.37,0.0,54.55
20150401,28.64,0.0,51.24
20150402,28.95,0.0,52.38
20150403,30.09,0.0,44.0
20150404,30.35,0.0,34.01
20150405,29.66,0.0,32.85
20150406,30.21,0.0,40.97
20150407,30.23,0.57,46.82
20150408,29.23,0.35,46.69
20150409,29.81,0.07,47.21
20150410,30.37,0.71,43.1
20150411,28.9,3.23,45.49
20150412,26.13,7.8,59.86
20150413,24.7,2.44,60.21
20150414,25.73,2.8,54.47
20150415,26.71,1.0,53.9
20150416,27.75,0.14,51.54
20150417,28.6,0.13,48.56
20150418,30.08,0.0,43.79
20150419,31.04,0.0,45.94
20150420,31.83,0.0,43.76
20150421,31.95,0.77,44.77
20150422,31.32,3.35,48.24
20150423,31.07,4.29,49.06
20150424,28.46,10.55,63.32
20150425,28.33,0.49,55.09
20150426,27.4,13.13,63.48
20150427,27.71,10.46,64.29
20150428,29.65,0.16,56.13
20150429,29.94,0.39,57.91
20150430,30.34,0.63,55.57
20150501,30.03,2.31,56.85
20150502,28.89,19.09,64.23
20150503,29.61,6.57,58.72
20150504,27.39,14.92,70.97
20150505,28.82,0.0,60.58
20150506,29.43,2.1,54.48
20150507,29.9,0.72,52.41
20150508,30.95,0.0,48.33
20150509,30.38,0.03,49.08
20150510,29.41,0.37,53.99
20150511,28.07,11.71,62.57
20150512,30.02,0.0,47.86
20150513,30.48,0.2,50.3
20150514,29.46,1.31,56.19
20150515,28.79,0.51,60.13
20150516,29.05,2.19,59.87
20150517,30.23,0.03,54.92
20150518,31.04,0.0,55.62
20150519,33.29,0.0,46.51
20150520,34.58,0.0,44.08
20150521,34.59,0.0,36.52
20150522,35.46,0.0,34.7
20150523,35.07,0.0,36.07
20150524,33.96,0.27,30.98
20150525,34.3,0.0,33.13
20150526,35.62,0.0,30.5
20150527,34.33,0.0,40.5
20150528,33.44,0.0,43.38
20150529,34.25,0.0,39.7
20150530,32.83,0.0,48.53
20150531,30.41,0.13,58.31
20150601,29.34,0.88,60.09
20150602,29.94,0.39,52.78
20150603,31.71,0.05,46.48
20150604,30.13,1.64,55.42
20150605,26.62,28.61,79.28
20150606,26.13,6.82,81.31
20150607,27.36,1.99,72.69
20150608,28.01,2.76,71.89
20150609,28.64,1.06,67.02
20150610,31.12,0.08,53.8
20150611,30.53,7.03,61.29
20150612,26.97,19.15,83.02
20150613,26.35,30.43,82.94
20150614,25.06,21.3,89.04
20150615,25.5,48.99,87.57
20150616,25.66,29.11,87.69
20150617,25.92,21.17,87.99
20150618,26.74,15.71,86.22
