,T2M,Rain,Humidity
20150101,20.78,0.47,55.92
20150102,19.92,3.06,70.97
20150103,20.55,3.73,79.37
20150104,20.68,0.55,73.41
20150105,16.68,0.0,60.9
20150106,13.67,0.0,61.51
20150107,14.22,0.01,58.99
20150108,15.35,0.04,59.05
20150109,14.77,0.0,58.16
20150110,13.05,0.0,53.34
20150111,12.94,0.0,52.52
20150112,13.3,0.0,50.27
20150113,14.23,0.0,53.16
20150114,15.73,0.0,51.65
20150115,16.52,0.0,51.52
20150116,16.24,0.0,53.35
20150117,15.06,0.0,53.37
20150118,14.5,0.0,58.53
20150119,13.92,0.0,52.48
20150120,13.26,0.0,51.23
20150121,13.85,0.0,49.95
20150122,15.44,0.0,45.53
20150123,17.64,0.01,51.54
20150124,18.52,0.01,63.04
20150125,17.37,0.0,51.25
20150126,17.61,0.0,56.86
20150127,19.24,0.39,62.76
20150128,18.89,0.69,65.18
20150129,17.81,2.27,66.67
20150130,15.92,0.12,51.13
20150131,14.15,0.0,45.62
20150201,14.64,0.0,45.08
20150202,16.5,0.0,44.78
20150203,18.53,0.0,43.0
20150204,20.01,0.0,45.16
20150205,17.43,0.0,46.41
20150206,16.31,0.0,43.03
20150207,16.84,0.0,42.65
20150208,19.24,0.0,47.86
20150209,19.25,0.02,58.91
20150210,19.07,0.0,45.31
20150211,17.49,0.0,40.31
20150212,18.73,0.0,41.12
20150213,18.81,0.0,46.27
20150214,18.95,0.0,39.69
20150215,20.2,0.02,37.87
20150216,20.75,0.25,47.91
20150217,22.7,0.0,47.77
20150218,23.52,0.02,45.72
20150219,23.31,0.54,45.63
20150220,22.27,0.0,44.75
20150221,23.36,0.05,41.1
20150222,23.29,0.78,43.82
20150223,24.22,0.02,37.4
20150224,24.37,0.0,38.83
20150225,24.12,0.0,42.04
20150226,25.08,0.03,38.49
20150227,25.22,0.23,43.17
20150228,26.2,0.16,39.47
20150301,27.1,1.4,40.66
20150302,23.67,3.9,55.48
20150303,21.53,4.93,63.71
20150304,22.46,0.0,46.06
20150305,20.46,0.0,36.12
20150306,20.59,0.0,37.42
20150307,21.95,0.0,40.43
20150308,22.93,0.0,37.56
20150309,24.89,0.0,34.4
20150310,25.62,0.0,33.18
20150311,22.97,0.0,27.62
20150312,23.58,0.0,26.45
20150313,25.05,0.0,31.78
20150314,27.08,0.0,37.42
20150315,27.08,0.01,40.63
20150316,25.9,1.04,44.56
20150317,27.11,0.0,40.71
20150318,26.6,0.0,32.53
20150319,24.63,0.0,31.89
20150320,25.45,0.0,32.77
20150321,26.28,0.0,30.91
20150322,27.45,0.0,31.01
20150323,28.2,1.21,31.42
20150324,29.46,1.27,30.89
20150325,30.49,0.01,30.77
20150326,31.06,0.38,34.5
20150327,28.68,19.21,55.25
20150328,29.1,0.34,52.52
20150329,29.83,0.06,42.68
20150330,27.41,19.88,59.09
20150331,26.22,0.48,58.81
20150401,28.58,1.66,44.01
20150402,29.41,0.14,38.9
20150403,29.92,0.14,39.78
20150404,30.36,0.14,39.28
20150405,29.01,0.68,42.23
20150406,29.53,0.65,40.08
20150407,30.0,0.75,43.21
20150408,29.41,0.74,44.72
20150409,28.48,0.0,32.12
20150410,28.75,0.0,30.53
20150411,30.68,0.0,27.53
20150412,29.62,0.51,36.49
20150413,25.85,11.54,61.11
20150414,27.27,0.0,54.65
20150415,29.32,0.0,46.51
20150416,30.0,0.69,47.47
20150417,29.41,6.34,46.48
20150418,30.64,6.84,44.49
20150419,30.43,7.44,40.63
20150420,31.52,0.0,44.38
20150421,33.08,0.13,35.65
20150422,32.28,0.94,32.85
20150423,31.89,0.54,28.91
20150424,31.08,0.37,45.49
20150425,26.98,0.56,60.17
20150426,27.31,0.12,50.65
20150427,28.75,0.29,51.38
20150428,30.26,2.98,50.55
20150429,29.88,4.97,54.67
20150430,30.91,0.09,44.11
20150501,32.85,0.0,36.11
20150502,33.1,0.13,38.55
20150503,32.96,0.84,37.63
20150504,32.72,0.23,25.26
20150505,34.23,0.0,20.47
20150506,33.08,0.25,22.86
20150507,32.77,0.4,34.23
20150508,32.9,0.23,42.84
20150509,33.33,0.0,44.29
20150510,34.22,0.55,43.67
20150511,32.63,7.5,52.0
20150512,32.44,8.44,52.68
20150513,33.17,0.07,40.28
20150514,34.87,0.36,32.13
20150515,34.55,0.35,35.64
20150516,33.36,1.28,38.75
20150517,32.98,2.59,44.92
20150518,33.12,6.6,47.34
20150519,33.34,7.39,52.54
20150520,34.29,5.2,46.65
20150521,34.92,0.28,38.42
20150522,35.85,0.23,26.21
20150523,35.23,0.37,30.5
20150524,34.73,1.1,31.47
20150525,34.4,1.7,42.29
20150526,35.24,1.71,38.41
20150527,33.85,7.58,48.82
20150528,34.07,3.35,48.03
20150529,35.67,0.57,44.44
20150530,35.3,2.94,44.41
20150531,35.35,2.16,45.54
20150601,35.7,2.05,43.18
20150602,35.93,2.07,36.75
20150603,35.72,0.98,40.39
20150604,36.01,0.88,43.81
20150605,36.67,1.27,40.06
20150606,37.39,0.56,35.77
20150607,37.26,1.22,32.07
20150608,37.24,0.12,36.35
20150609,38.41,0.73,34.89
20150610,36.88,2.57,38.92
20150611,35.39,6.61,47.13
20150612,35.88,4.15,46.07
20150613,35.27,0.73,44.0
20150614,33.67,2.31,47.12
20150615,34.09,1.13,52.29
20150616,34.3,0.54,51.69
20150617,35.38,0.46,46.02
20150618,34.93,4.13,49.36
20150619,33.93,11.79,54.6
20150620,33.53,13.73,56.8
20150621,33.89,1.6,56.19
20150622,31.61,5.52,68.43
20150623,31.65,13.34,69.66
20150624,33.31,9.84,62.33
20150625,34.09,4.86,55.9
20150626,34.26,7.03,54.69
20150627,29.95,32.09,75.2
20150628,29.6,3.92,73.08
20150629,31.72,1.43,65.3
20150630,33.4,0.88,58.74
20150701,32.29,20.64,66.06
20150702,32.69,2.09,63.52
20150703,33.42,8.94,61.67
20150704,34.41,1.06,57.5
20150705,33.52,20.17,63.81
20150706,30.29,49.71,80.86
20150707,30.03,6.61,80.7
20150708,30.64,10.23,76.32
20150709,29.63,8.34,82.77
20150710,28.2,18.13,88.68
20150711,29.21,6.51,82.33
20150712,30.66,0.1,75.73
20150713,31.66,0.03,73.15
20150714,31.28,0.51,76.63
20150715,29.79,9.41,82.3
20150716,27.79,17.29,89.78
20150717,28.74,6.58,82.1
20150718,29.97,3.13,76.41
20150719,28.84,3.83,82.17
20150720,28.29,2.0,86.27
20150721,29.16,6.91,81.06
20150722,28.07,5.72,87.22
20150723,28.63,16.8,85.52
20150724,28.57,6.03,86.31
20150725,29.28,5.92,82.35
20150726,30.6,0.12,74.87
20150727,28.92,0.27,81.18
20150728,29.87,1.82,77.34
20150729,29.94,1.41,77.87
20150730,30.07,2.53,77.91
20150731,30.04,1.49,75.24
20150801,27.99,4.24,84.09
20150802,28.55,3.41,81.46
20150803,29.38,0.61,79.05
20150804,30.01,0.34,75.14
20150805,31.05,1.18,73.13
20150806,30.73,4.82,77.07
20150807,30.85,1.79,73.75
20150808,30.32,1.07,75.9
20150809,31.26,1.6,73.33
20150810,31.22,13.16,76.01
20150811,31.11,9.44,75.99
20150812,30.51,3.97,76.45
20150813,30.59,2.64,77.37
20150814,30.53,0.71,76.72
20150815,30.36,2.91,79.78
20150816,30.41,6.2,80.12
20150817,30.63,12.37,81.45
20150818,29.22,14.9,86.94
20150819,28.56,43.37,89.78
20150820,28.68,41.47,89.09
20150821,28.5,36.01,89.52
20150822,28.68,3.15,85.55
20150823,29.56,1.3,81.74
20150824,29.18,6.68,85.7
20150825,29.49,0.67,84.88
20150826,29.91,7.18,83.24
20150827,29.71,12.75,83.51
20150828,29.67,9.69,84.08
20150829,29.45,5.39,85.19
20150830,29.8,4.29,84.69
20150831,28.9,13.04,87.71
20150901,29.09,6.91,84.75
20150902,28.74,0.41,82.32
20150903,28.44,8.44,80.84
20150904,28.45,2.73,82.17
20150905,28.44,0.8,81.99
20150906,28.53,0.47,81.21
20150907,28.33,0.23,80.85
20150908,28.2,1.79,80.41
20150909,28.99,0.04,77.59
20150910,30.23,2.18,73.1
20150911,29.15,22.29,82.33
20150912,27.7,32.72,90.82
20150913,29.0,3.14,81.91
20150914,30.12,0.8,77.62
20150915,28.45,8.28,85.26
20150916,27.94,15.27,87.95
20150917,27.78,0.06,89.07
20150918,29.73,0.02,80.54
20150919,29.67,0.43,82.43
20150920,27.82,4.37,90.44
20150921,27.2,17.01,93.82
20150922,27.85,15.3,91.37
20150923,27.79,16.19,89.05
20150924,27.37,2.51,84.97
20150925,25.06,0.01,82.29
20150926,25.71,0.4,78.23
20150927,26.64,0.22,77.65
20150928,27.43,0.01,75.39
20150929,27.95,0.0,73.85
20150930,27.83,0.0,77.67
20151001,28.17,0.0,78.29
20151002,28.35,0.08,75.54
20151003,27.33,0.06,68.46
20151004,27.68,0.01,58.78
20151005,27.29,0.0,62.68
20151006,27.32,0.0,62.07
20151007,28.63,0.0,58.14
20151008,28.86,0.0,62.77
20151009,27.3,0.0,65.78
20151010,26.99,0.05,60.84
20151011,25.77,2.11,69.43
20151012,26.63,0.92,70.11
20151013,27.47,0.79,69.48
20151014,26.19,2.08,79.31
20151015,26.85,0.47,74.77
20151016,26.98,0.99,69.65
20151017,26.56,0.01,69.18
20151018,27.04,0.0,65.4
20151019,27.44,0.0,64.15
20151020,27.73,0.0,63.59
20151021,27.3,0.0,63.25
20151022,27.06,0.02,57.72
20151023,25.07,0.07,51.73
20151024,24.57,0.0,48.06
20151025,24.76,0.0,54.88
20151026,25.28,0.0,57.54
20151027,25.8,0.0,54.26
20151028,25.54,0.02,46.65
20151029,25.0,0.53,56.05
20151030,22.81,0.5,61.13
20151031,24.6,0.04,56.3
20151101,26.06,0.0,60.36
20151102,25.81,0.02,66.27
20151103,25.55,0.02,57.41
20151104,24.31,0.0,54.98
20151105,24.37,0.0,51.81
20151106,24.58,0.0,52.02
20151107,24.62,0.0,51.55
20151108,24.44,0.0,46.75
20151109,24.48,0.0,48.26
20151110,24.4,0.0,49.33
20151111,24.26,0.0,49.04
20151112,24.0,0.0,51.05
20151113,24.02,0.0,45.79
20151114,24.82,0.0,44.75
20151115,24.96,0.0,47.78
20151116,24.69,0.0,47.37
20151117,24.6,0.0,44.19
20151118,23.5,1.37,48.99
