,T2M,Rain,Humidity
20150101,15.35,0.02,58.59
20150102,15.79,1.18,63.6
20150103,14.57,2.9,72.99
20150104,14.03,1.55,66.77
20150105,11.48,0.03,66.65
20150106,11.11,0.02,57.95
20150107,11.04,0.78,56.83
20150108,10.45,2.48,60.19
20150109,11.19,0.0,50.01
20150110,11.05,0.0,40.19
20150111,11.65,0.0,39.25
20150112,11.7,0.0,47.55
20150113,12.72,0.0,60.54
20150114,12.84,0.0,66.41
20150115,12.82,0.0,54.82
20150116,12.19,0.0,52.83
20150117,11.3,0.0,56.72
20150118,11.16,0.0,47.34
20150119,10.95,0.0,49.26
20150120,11.44,0.0,45.13
20150121,12.78,0.0,41.07
20150122,13.48,0.0,42.55
20150123,13.31,0.0,43.62
20150124,13.34,0.0,44.28
20150125,13.23,0.0,45.92
20150126,13.88,0.0,41.26
20150127,14.4,0.0,50.85
20150128,13.39,0.0,52.21
20150129,12.21,0.02,47.55
20150130,9.62,0.06,55.76
20150131,9.84,0.0,41.55
20150201,10.43,0.0,40.72
20150202,12.45,0.0,40.58
20150203,14.49,0.0,37.59
20150204,14.39,0.0,43.54
20150205,13.31,0.0,48.87
20150206,12.96,0.0,48.95
20150207,13.21,0.0,48.35
20150208,14.17,0.0,39.43
20150209,13.89,0.0,42.33
20150210,13.79,0.0,37.4
20150211,13.24,0.0,40.08
20150212,12.95,0.1,40.36
20150213,11.66,0.42,47.72
20150214,12.23,0.0,43.47
20150215,12.51,0.2,47.21
20150216,14.33,0.0,52.35
20150217,14.37,0.0,58.6
20150218,14.33,0.18,60.57
20150219,14.38,0.68,60.72
20150220,14.36,0.0,53.6
20150221,14.96,0.0,54.86
20150222,16.74,0.0,42.28
20150223,17.53,0.02,41.05
20150224,17.95,0.06,43.75
20150225,17.68,0.0,47.27
20150226,17.86,0.29,47.16
20150227,17.37,2.83,52.1
20150228,18.63,0.21,37.45
20150301,19.27,1.04,42.77
20150302,16.35,14.57,55.99
20150303,15.32,0.44,57.13
20150304,14.07,0.5,57.78
20150305,13.34,0.06,46.99
20150306,14.48,0.0,43.99
20150307,15.18,0.0,46.57
20150308,16.37,0.0,39.91
20150309,18.16,0.0,30.2
20150310,17.43,0.0,25.27
20150311,17.82,0.0,28.76
20150312,18.84,0.0,31.48
20150313,19.23,0.0,29.82
20150314,19.45,0.0,32.43
20150315,19.48,0.0,33.94
20150316,18.77,0.01,43.59
20150317,18.76,0.0,37.82
20150318,18.12,1.54,39.27
20150319,16.68,0.11,33.11
20150320,18.07,0.0,34.57
20150321,19.28,0.0,36.78
20150322,20.33,0.06,36.88
20150323,19.96,0.93,45.77
20150324,18.59,0.12,52.79
20150325,20.64,0.15,46.35
20150326,20.29,0.89,56.12
20150327,17.98,7.18,77.28
20150328,19.81,0.98,67.81
20150329,20.49,0.46,62.84
20150330,19.32,10.61,69.26
20150331,17.82,6.32,63.24
20150401,18.47,4.85,64.36
20150402,18.92,0.46,58.07
20150403,20.15,0.46,50.5
20150404,20.16,0.47,51.48
20150405,18.97,0.41,56.03
20150406,19.06,0.2,52.24
20150407,19.73,0.62,55.66
20150408,19.64,0.08,58.53
20150409,20.08,0.01,40.92
20150410,20.68,0.0,39.45
20150411,20.95,0.02,40.08
20150412,20.63,0.46,46.02
20150413,18.07,12.27,66.94
20150414,19.18,0.1,58.69
20150415,20.6,0.02,55.4
20150416,21.66,0.39,51.1
20150417,20.65,5.62,59.36
20150418,18.28,20.48,77.44
20150419,21.09,0.01,56.15
20150420,21.33,0.47,62.58
20150421,22.0,1.44,57.51
20150422,22.0,5.79,50.86
20150423,22.06,2.02,40.35
20150424,19.85,4.93,60.1
20150425,16.6,5.21,83.26
20150426,18.32,1.7,64.76
20150427,18.65,4.86,69.98
20150428,19.23,16.19,75.05
20150429,18.44,9.0,78.29
20150430,19.41,1.68,66.7
20150501,20.84,4.18,63.81
20150502,21.72,6.23,62.58
20150503,21.78,5.27,60.66
20150504,22.18,0.08,42.42
20150505,23.12,0.0,36.57
20150506,22.74,0.16,40.29
20150507,22.28,2.19,51.9
20150508,21.44,0.28,69.64
20150509,21.74,0.6,75.37
20150510,22.57,2.59,73.99
20150511,20.92,6.21,82.24
20150512,21.42,5.71,77.91
20150513,22.22,5.03,64.58
20150514,23.66,5.07,56.79
20150515,24.68,5.11,52.88
20150516,23.05,3.09,63.16
20150517,21.26,10.57,73.97
20150518,21.91,4.49,73.54
20150519,22.42,5.11,79.98
20150520,22.18,14.72,84.1
20150521,23.06,19.07,68.92
20150522,23.28,4.01,62.76
20150523,22.81,7.87,61.42
20150524,22.71,2.37,60.82
20150525,23.0,1.86,66.85
20150526,22.94,6.82,70.22
20150527,22.26,10.29,74.51
20150528,22.34,1.41,73.88
20150529,22.98,7.31,78.09
20150530,22.76,15.16,79.7
20150531,23.07,5.86,72.63
20150601,23.22,13.06,72.64
20150602,23.24,4.93,73.35
20150603,23.3,4.99,73.13
20150604,24.06,3.38,74.72
20150605,23.88,8.39,76.15
20150606,24.36,7.43,73.87
20150607,24.48,3.2,67.59
20150608,24.34,5.25,70.14
20150609,24.37,2.95,73.9
20150610,23.85,15.03,75.92
20150611,22.7,12.48,86.17
20150612,22.59,27.22,82.57
20150613,22.43,8.35,82.1
20150614,22.22,4.32,84.41
20150615,22.57,4.24,86.06
20150616,22.58,3.3,84.1
20150617,22.88,7.45,84.83
20150618,23.08,20.24,87.16
20150619,23.01,13.86,85.85
20150620,23.12,3.26,85.74
20150621,23.68,1.01,81.86
20150622,22.21,3.81,90.81
20150623,22.38,11.24,89.34
20150624,22.71,7.21,88.05
20150625,23.77,10.49,82.48
20150626,23.39,15.07,85.19
20150627,22.63,19.15,90.42
20150628,21.39,10.88,91.75
20150629,22.45,13.67,84.99
20150630,23.14,18.26,85.28
20150701,22.37,29.1,93.85
20150702,22.98,13.75,90.32
20150703,22.93,9.32,90.85
20150704,23.24,19.79,90.75
20150705,23.48,17.38,89.56
20150706,22.63,7.28,89.94
20150707,22.27,8.92,88.33
20150708,22.82,4.61,87.01
20150709,22.39,4.86,91.0
20150710,21.31,15.57,94.74
20150711,22.48,8.25,87.96
20150712,23.22,2.43,87.26
20150713,23.1,0.97,89.26
20150714,23.66,9.68,88.8
20150715,22.92,21.66,95.64
20150716,21.6,11.52,93.29
20150717,22.31,0.94,84.27
20150718,22.93,1.43,81.85
20150719,22.29,2.24,85.52
20150720,21.32,4.94,92.5
