,T2M,Rain,Humidity
20150101,13.36,0.73,64.97
20150102,15.07,4.69,83.51
20150103,15.68,0.41,82.09
20150104,14.78,0.0,69.21
20150105,13.87,0.0,47.3
20150106,15.39,0.0,46.27
20150107,15.65,0.0,49.16
20150108,14.09,0.0,45.39
20150109,14.72,0.0,35.8
20150110,15.45,0.0,34.17
20150111,15.82,0.0,36.9
20150112,14.5,0.0,38.92
20150113,13.22,0.0,41.52
20150114,14.45,0.68,47.88
20150115,13.24,0.0,49.39
20150116,13.14,0.0,46.0
20150117,14.4,0.0,43.68
20150118,14.49,0.0,40.73
20150119,14.44,0.0,38.1
20150120,13.02,0.0,39.86
20150121,14.64,1.1,44.17
20150122,16.48,23.92,72.63
20150123,15.37,3.93,73.53
20150124,14.9,0.0,63.92
20150125,13.33,1.35,69.79
20150126,14.33,4.24,83.3
20150127,14.52,0.08,68.49
20150128,13.07,0.0,51.47
20150129,12.08,0.05,44.66
20150130,11.93,0.0,39.43
20150131,14.67,0.0,33.07
20150201,15.68,0.0,39.56
20150202,16.88,0.0,45.43
20150203,18.34,0.0,55.09
20150204,15.86,0.07,51.79
20150205,14.54,0.0,44.22
20150206,16.8,0.0,37.77
20150207,17.56,3.55,51.6
20150208,16.9,1.52,67.01
20150209,18.14,0.0,56.88
20150210,17.0,0.0,44.45
20150211,17.71,0.0,42.49
20150212,17.15,0.07,43.93
20150213,17.75,0.0,35.89
20150214,20.25,0.0,39.25
20150215,20.59,0.0,40.15
20150216,21.16,0.0,36.98
20150217,21.05,0.0,40.95
20150218,21.19,0.0,42.34
20150219,22.79,0.0,39.43
20150220,23.98,0.12,37.97
20150221,23.21,0.0,37.41
20150222,23.17,0.0,36.55
20150223,24.06,0.0,34.72
20150224,23.87,0.0,36.11
20150225,24.71,0.0,38.15
20150226,21.32,0.01,28.05
20150227,19.35,0.21,30.37
20150228,19.76,2.17,38.88
20150301,17.83,13.83,83.17
20150302,19.01,4.79,70.87
20150303,19.1,0.03,56.94
20150304,18.13,0.0,45.24
20150305,19.4,0.0,36.77
20150306,20.55,0.0,37.87
20150307,21.75,0.0,42.57
20150308,23.73,0.76,41.8
20150309,21.22,0.02,40.81
20150310,18.25,0.0,32.46
20150311,20.92,0.0,34.3
20150312,21.75,0.39,44.49
20150313,23.18,9.71,61.54
20150314,23.17,4.23,61.49
20150315,19.15,43.37,85.36
20150316,21.54,0.89,70.81
20150317,21.24,0.0,61.1
20150318,20.82,0.0,50.4
20150319,21.46,0.0,41.39
20150320,24.31,0.0,32.99
20150321,25.31,0.0,37.74
20150322,25.81,0.0,42.98
20150323,26.13,0.0,43.92
20150324,26.98,0.0,34.9
20150325,28.33,0.0,27.77
20150326,28.85,0.0,33.25
20150327,28.82,0.0,38.72
20150328,28.02,0.0,35.41
20150329,27.82,0.15,36.52
20150330,25.28,16.51,60.49
20150331,25.35,0.25,56.46
20150401,26.72,0.0,46.44
20150402,28.18,0.0,40.8
20150403,28.74,0.68,42.73
20150404,26.25,1.15,50.24
20150405,25.25,0.03,52.04
20150406,25.75,0.61,40.38
20150407,24.57,0.58,42.97
20150408,25.53,0.03,39.5
20150409,26.1,0.0,38.09
20150410,27.44,0.0,34.15
20150411,28.87,0.01,34.34
20150412,26.21,5.94,56.46
20150413,23.06,1.87,73.63
20150414,25.09,0.3,59.78
20150415,26.02,0.21,56.13
20150416,27.84,0.0,49.95
20150417,29.51,0.0,40.63
20150418,32.09,0.0,33.82
20150419,33.75,0.0,29.9
20150420,33.5,0.0,30.45
20150421,32.39,0.0,27.73
20150422,31.65,0.0,28.86
20150423,31.71,0.0,27.71
20150424,32.81,0.0,25.0
20150425,32.85,0.0,22.82
20150426,31.03,0.0,37.1
20150427,31.74,0.0,35.03
20150428,32.6,0.2,34.94
20150429,32.39,0.0,33.77
20150430,33.39,0.0,30.08
20150501,32.06,0.0,26.13
20150502,32.03,0.0,29.18
20150503,32.97,0.0,22.82
20150504,33.16,0.0,19.27
20150505,34.22,0.0,17.18
20150506,35.99,0.0,13.59
20150507,35.25,0.0,15.0
20150508,35.99,0.0,16.39
20150509,35.86,0.0,18.17
20150510,36.36,0.0,16.21
20150511,36.97,0.0,16.72
20150512,36.52,0.48,21.24
20150513,33.83,12.45,42.17
20150514,32.81,1.51,39.88
20150515,32.94,10.87,40.41
20150516,33.56,0.68,30.35
