,T2M,Rain,Humidity
20150101,21.96,0.0,58.97
20150102,22.24,0.0,70.84
20150103,22.87,0.0,66.66
20150104,23.46,0.0,63.93
20150105,23.45,0.0,63.35
20150106,22.73,0.0,67.85
20150107,22.69,0.0,75.38
20150108,23.04,0.0,74.72
20150109,23.43,0.0,65.8
20150110,23.39,0.0,60.34
20150111,23.23,0.0,64.88
20150112,22.93,0.0,73.5
20150113,22.79,0.0,80.51
20150114,23.61,0.0,73.95
20150115,22.94,0.0,54.46
20150116,22.33,0.0,53.76
20150117,22.44,0.0,52.95
20150118,22.62,0.0,51.01
20150119,23.14,0.0,44.96
20150120,23.19,0.31,61.17
20150121,22.23,2.79,72.03
20150122,21.94,0.01,64.41
20150123,22.02,0.0,60.97
20150124,21.86,0.0,57.5
20150125,21.96,0.0,51.19
20150126,21.72,0.0,53.59
20150127,21.84,0.0,51.59
20150128,21.5,0.0,49.4
20150129,21.93,0.0,47.32
20150130,23.01,0.0,50.83
20150131,22.52,0.0,59.05
20150201,22.86,0.0,71.47
20150202,23.21,0.0,71.52
20150203,23.49,0.0,66.62
20150204,24.01,0.0,58.65
20150205,23.54,0.0,60.68
20150206,22.97,0.0,68.82
20150207,22.9,0.0,67.5
20150208,22.88,0.0,63.09
20150209,23.25,0.0,57.74
20150210,23.7,0.0,61.85
20150211,23.3,0.0,61.71
20150212,23.2,0.0,66.99
20150213,23.36,0.0,74.68
20150214,23.68,0.0,73.99
20150215,24.04,0.0,75.54
20150216,24.39,0.0,78.95
20150217,24.45,0.0,81.67
20150218,24.39,0.0,79.49
20150219,24.64,0.0,79.34
20150220,24.55,0.0,78.7
20150221,25.29,0.0,73.37
20150222,25.9,0.0,68.36
20150223,25.02,0.0,86.11
20150224,24.43,0.0,78.16
20150225,23.43,0.0,61.42
20150226,22.9,0.0,57.23
20150227,23.11,0.0,58.25
20150228,23.16,7.54,65.24
20150301,22.24,17.99,66.6
20150302,22.15,0.0,62.8
20150303,22.71,0.0,61.52
20150304,22.98,0.0,60.2
20150305,23.86,0.0,62.55
20150306,23.8,0.0,77.23
20150307,23.93,0.0,81.68
20150308,23.53,0.0,60.44
20150309,24.41,0.0,53.3
20150310,24.63,0.0,53.46
20150311,24.83,0.0,54.68
20150312,24.98,0.06,59.59
20150313,24.92,0.35,76.69
20150314,24.18,0.17,75.89
20150315,23.39,0.03,68.75
20150316,23.51,0.0,65.0
20150317,24.58,0.0,67.44
20150318,25.24,0.0,62.95
20150319,25.3,0.0,70.57
20150320,25.75,0.0,75.27
20150321,26.02,0.0,80.79
20150322,26.2,0.0,84.27
20150323,25.99,0.0,87.28
