,T2M,Rain,Humidity
20150101,13.23,23.26,88.93
20150102,14.6,2.36,89.16
20150103,16.5,0.23,73.94
20150104,15.45,0.0,62.94
20150105,14.53,0.0,53.25
20150106,16.83,0.0,39.01
20150107,15.68,0.0,48.5
20150108,14.51,0.0,52.54
20150109,14.44,0.0,47.35
20150110,16.8,0.0,37.73
20150111,16.99,0.0,44.81
20150112,16.3,0.0,48.09
20150113,16.18,0.0,44.1
20150114,17.03,0.0,46.77
20150115,15.24,0.0,59.58
20150116,15.03,0.0,56.79
20150117,14.34,0.0,48.04
20150118,14.76,0.0,45.01
20150119,15.27,0.0,43.98
20150120,16.3,0.0,45.37
20150121,17.63,0.75,61.34
20150122,16.99,1.94,83.16
20150123,17.06,0.02,76.51
20150124,17.3,1.14,73.52
20150125,16.64,17.41,81.99
20150126,17.38,0.73,76.31
20150127,16.47,0.14,80.21
20150128,15.71,0.0,77.13
20150129,15.79,0.0,57.14
20150130,14.19,0.0,42.85
20150131,16.05,0.0,39.89
20150201,17.22,0.0,44.52
20150202,19.42,0.0,45.46
20150203,20.21,0.0,49.83
20150204,18.3,0.0,56.62
20150205,18.55,0.0,49.12
20150206,19.54,0.0,50.49
20150207,20.91,0.44,49.25
20150208,20.38,1.22,58.03
20150209,18.89,0.18,63.9
20150210,19.17,0.02,57.27
20150211,19.87,1.17,60.43
20150212,19.7,0.0,53.95
20150213,19.93,0.0,37.57
20150214,22.23,0.0,29.07
20150215,22.12,0.0,30.95
20150216,22.58,0.0,32.85
20150217,23.27,0.0,27.01
20150218,23.21,0.0,29.41
20150219,23.96,0.0,26.7
20150220,24.76,0.0,24.42
20150221,24.08,0.0,28.1
20150222,24.32,0.0,28.27
20150223,25.52,0.0,24.65
20150224,25.73,0.0,24.02
20150225,24.96,0.0,30.61
20150226,22.81,0.0,26.49
20150227,21.48,0.0,16.69
20150228,21.73,0.46,25.4
20150301,18.56,7.76,66.67
20150302,18.92,1.32,68.0
20150303,17.66,0.0,46.67
20150304,18.66,0.0,47.11
20150305,20.74,0.0,39.64
20150306,22.26,0.0,34.67
20150307,22.81,0.0,36.57
20150308,24.07,0.0,34.69
20150309,22.33,0.0,26.41
20150310,23.33,0.03,24.95
20150311,25.21,1.17,36.31
20150312,22.78,1.69,62.27
20150313,24.34,2.59,50.43
20150314,21.79,26.96,69.79
20150315,22.52,4.23,69.7
20150316,21.57,0.08,61.32
20150317,21.2,0.0,51.37
20150318,21.03,0.0,50.06
20150319,21.58,0.0,42.68
20150320,24.14,0.0,38.33
20150321,26.04,0.0,39.88
20150322,28.58,0.0,36.74
20150323,27.09,0.0,45.55
20150324,27.68,0.0,39.15
20150325,28.46,0.0,34.0
20150326,29.72,0.0,30.19
20150327,30.26,0.0,33.9
20150328,30.91,0.36,34.2
20150329,29.45,0.02,31.51
20150330,27.81,0.1,30.65
20150331,26.95,0.0,21.31
20150401,27.87,0.0,20.36
20150402,29.23,0.0,26.88
20150403,28.72,0.0,32.94
20150404,27.25,0.0,39.95
20150405,27.55,0.0,42.17
20150406,28.24,0.33,34.46
20150407,29.14,0.29,32.79
20150408,29.47,0.02,32.59
20150409,30.24,0.89,29.95
20150410,30.64,0.01,29.54
20150411,30.41,0.89,35.32
20150412,26.69,1.4,49.58
20150413,23.67,3.06,59.34
20150414,23.89,0.87,56.7
20150415,25.75,0.08,53.01
20150416,28.32,0.0,44.62
20150417,30.85,0.0,33.92
20150418,33.28,0.0,26.44
20150419,33.88,0.0,23.79
20150420,33.68,0.0,20.88
20150421,34.36,0.0,19.14
20150422,33.34,0.0,16.67
20150423,31.85,0.0,16.99
20150424,32.12,0.0,22.31
20150425,32.8,0.0,19.76
20150426,33.13,0.0,22.18
20150427,34.22,0.0,21.23
20150428,34.29,0.0,20.92
20150429,33.57,0.0,20.48
20150430,33.25,0.0,21.84
20150501,33.14,0.0,24.2
20150502,33.04,0.0,17.32
20150503,33.03,0.0,12.88
20150504,33.74,0.0,13.41
20150505,34.46,0.0,13.31
20150506,34.8,0.0,12.7
20150507,35.33,0.0,14.24
20150508,35.77,0.0,17.92
20150509,35.5,0.42,19.54
20150510,34.89,0.04,18.16
20150511,35.05,0.0,20.5
20150512,35.01,1.08,24.14
20150513,34.31,0.34,28.01
20150514,34.01,0.68,24.85
20150515,34.99,0.04,22.48
20150516,35.27,0.03,23.44
20150517,35.64,0.0,17.91
20150518,36.69,0.0,14.56
20150519,36.93,0.0,21.5
20150520,36.78,0.0,21.89
20150521,35.67,0.0,27.1
20150522,35.7,0.0,26.34
20150523,34.85,0.0,28.33
20150524,34.5,0.0,38.11
20150525,34.25,0.0,40.2
20150526,34.58,0.0,36.41
