,T2M,Rain,Humidity
20150101,17.28,1.89,92.72
20150102,19.19,1.98,82.87
20150103,20.03,5.43,86.24
20150104,18.82,1.54,89.14
20150105,16.43,0.0,70.17
20150106,15.19,0.0,58.96
20150107,17.13,0.0,52.36
20150108,16.33,0.0,59.6
20150109,14.55,0.0,62.09
20150110,15.37,0.0,55.31
20150111,14.67,0.0,53.59
20150112,15.36,0.0,49.54
20150113,15.45,0.0,53.63
20150114,15.87,0.0,59.23
20150115,15.73,0.0,65.04
20150116,16.0,0.0,54.67
20150117,15.71,0.0,57.93
20150118,14.96,0.0,56.67
20150119,14.76,0.0,55.54
20150120,15.07,0.0,56.03
20150121,15.81,0.0,62.22
20150122,17.24,0.0,55.54
20150123,18.45,0.0,55.68
20150124,18.99,0.0,61.43
20150125,19.73,0.0,64.46
20150126,20.38,0.0,61.14
20150127,20.09,0.0,59.62
20150128,20.0,0.0,61.16
20150129,20.15,0.0,63.47
20150130,18.86,0.0,67.14
20150131,16.62,0.0,50.29
20150201,17.19,0.04,42.54
20150202,17.99,0.0,45.88
20150203,19.38,0.0,52.7
20150204,20.59,0.0,45.68
20150205,20.66,0.0,50.52
20150206,20.47,0.0,53.41
20150207,20.21,0.0,52.08
20150208,20.95,0.0,50.42
20150209,20.04,0.03,56.04
20150210,20.49,0.08,60.86
20150211,21.43,1.2,60.29
20150212,21.66,0.23,58.42
20150213,21.92,0.05,53.91
20150214,20.81,0.0,40.13
20150215,22.82,0.0,36.66
20150216,22.03,0.0,40.55
20150217,24.17,0.0,33.01
20150218,23.93,0.0,37.29
20150219,23.0,0.0,39.81
20150220,23.27,0.0,40.06
20150221,25.26,1.75,35.06
20150222,24.69,0.0,36.59
20150223,25.15,0.0,32.72
20150224,25.53,0.0,31.04
20150225,25.8,0.0,30.83
20150226,26.56,0.0,31.42
20150227,25.21,0.0,37.31
20150228,25.77,0.0,37.28
20150301,24.82,2.01,46.9
20150302,22.89,9.49,70.7
20150303,23.31,2.25,65.29
20150304,21.88,0.05,50.81
20150305,21.82,0.0,43.76
20150306,23.34,0.0,43.49
20150307,23.91,0.0,41.22
20150308,24.81,0.2,42.93
20150309,25.98,0.17,45.37
20150310,26.37,0.0,41.92
20150311,25.82,0.0,43.45
20150312,26.58,0.02,40.85
20150313,27.22,0.0,37.48
20150314,28.2,0.0,36.48
20150315,27.85,0.0,37.74
20150316,27.07,0.07,39.31
20150317,27.0,0.47,46.12
20150318,27.6,0.0,45.89
20150319,27.05,0.0,40.59
20150320,27.19,0.0,34.11
20150321,27.78,0.0,28.63
20150322,28.98,0.0,26.46
20150323,29.84,0.0,28.49
20150324,29.96,0.0,29.51
20150325,29.52,0.0,29.12
20150326,30.04,0.0,28.9
20150327,28.74,6.44,44.18
20150328,28.49,4.52,49.69
20150329,29.28,0.03,42.69
20150330,27.68,0.28,49.82
20150331,29.16,0.0,43.43
20150401,30.5,0.0,42.89
20150402,30.62,0.0,37.95
20150403,30.56,0.0,27.69
20150404,31.09,0.0,26.75
20150405,30.0,0.0,25.62
20150406,31.03,0.0,29.47
20150407,31.99,0.02,31.52
20150408,31.33,1.27,36.82
20150409,30.03,0.11,39.34
20150410,32.07,0.47,34.34
20150411,30.36,4.06,40.55
20150412,26.82,0.79,53.04
20150413,25.75,1.87,55.57
20150414,26.43,5.04,51.38
20150415,26.41,4.34,53.53
20150416,28.12,0.65,49.44
20150417,29.46,0.5,42.71
20150418,31.15,0.0,37.87
20150419,32.53,0.0,33.55
20150420,33.36,0.0,32.36
20150421,33.34,0.04,33.16
20150422,33.41,1.4,31.93
20150423,33.29,0.83,33.48
20150424,31.72,4.21,38.2
20150425,31.1,0.86,42.84
20150426,29.59,5.69,49.22
20150427,30.17,3.57,48.4
20150428,31.91,0.01,42.28
20150429,32.53,1.03,38.87
20150430,32.24,0.02,42.25
20150501,33.36,0.08,32.02
20150502,31.84,7.21,45.25
20150503,31.88,9.33,47.38
20150504,31.48,0.44,47.04
20150505,31.93,0.04,41.58
20150506,32.82,0.44,37.46
20150507,32.72,0.5,36.19
20150508,33.9,0.0,31.44
20150509,34.52,0.0,29.18
20150510,32.09,0.1,37.33
20150511,30.94,3.71,43.99
20150512,31.81,0.14,39.68
20150513,32.56,0.01,33.51
20150514,33.23,1.32,38.34
20150515,32.77,0.52,40.5
20150516,31.6,1.13,45.81
20150517,33.18,0.0,40.19
20150518,34.59,0.0,37.61
20150519,36.42,0.0,30.51
20150520,37.13,0.0,22.93
20150521,37.5,0.0,19.96
20150522,37.76,0.0,17.76
20150523,38.16,0.0,19.29
20150524,37.36,0.06,20.16
20150525,37.98,0.0,21.23
20150526,38.58,0.0,21.78
20150527,38.09,0.0,20.75
20150528,37.21,0.0,19.99
20150529,36.97,0.0,20.14
20150530,37.3,0.0,32.98
20150531,35.34,0.06,39.68
20150601,32.17,3.67,48.44
20150602,33.84,0.02,38.28
20150603,33.91,1.96,38.47
20150604,33.47,0.51,43.2
20150605,30.92,14.37,57.22
20150606,29.06,10.93,66.98
20150607,30.95,2.42,57.48
20150608,32.02,0.32,51.46
20150609,32.81,0.21,48.42
20150610,35.16,0.01,38.36
20150611,34.79,1.16,42.95
20150612,27.57,10.89,77.5
20150613,28.17,17.24,71.89
20150614,25.56,26.27,89.74
20150615,26.56,20.6,82.49
20150616,26.74,23.2,82.9
20150617,27.93,10.62,77.33
20150618,28.51,6.78,77.96
20150619,29.2,1.6,74.92
20150620,28.37,25.51,79.46
20150621,27.75,58.49,85.72
20150622,25.35,68.91,89.64
20150623,25.57,5.98,85.5
20150624,26.71,3.92,83.24
20150625,26.87,6.44,80.84
20150626,26.63,2.47,80.28
20150627,27.26,0.48,78.94
20150628,27.65,1.46,79.06
