,T2M,Rain,Humidity
20150101,15.47,17.23,82.29
20150102,17.46,2.17,79.26
20150103,18.03,0.03,71.53
20150104,17.55,0.0,57.69
20150105,16.64,0.0,48.85
20150106,17.98,0.0,38.43
20150107,18.17,0.0,40.52
20150108,16.65,0.0,47.74
20150109,16.05,0.0,44.72
20150110,17.78,0.0,38.22
20150111,18.83,0.0,39.86
20150112,18.26,0.0,44.09
20150113,17.85,0.0,41.28
20150114,18.56,0.0,42.2
20150115,17.6,0.0,48.7
20150116,17.54,0.0,46.46
20150117,17.37,0.0,38.96
20150118,17.85,0.0,37.8
20150119,17.98,0.0,38.28
20150120,18.98,0.0,40.51
20150121,20.58,1.82,50.01
20150122,19.97,1.52,68.28
20150123,19.34,0.0,65.41
20150124,19.71,0.93,64.41
20150125,18.75,16.24,76.75
20150126,18.95,0.03,71.53
20150127,18.2,0.0,70.31
20150128,17.75,0.0,72.97
20150129,17.62,0.0,55.42
20150130,16.59,0.0,39.7
20150131,17.84,0.0,36.95
20150201,18.68,0.0,41.8
20150202,20.03,0.0,40.15
20150203,21.22,0.0,48.52
20150204,20.64,0.0,52.0
20150205,20.71,0.0,48.24
20150206,21.75,0.0,45.48
20150207,22.42,0.01,40.62
20150208,21.68,0.03,34.76
20150209,20.75,0.0,54.42
20150210,21.32,0.52,50.48
20150211,22.9,0.9,48.82
20150212,21.94,0.0,43.57
20150213,22.63,0.0,27.46
20150214,23.66,0.0,24.3
20150215,24.2,0.0,26.36
20150216,24.18,0.0,29.28
20150217,23.96,0.0,28.36
20150218,24.3,0.0,27.38
20150219,25.73,0.0,24.45
20150220,25.21,0.0,27.93
20150221,25.95,0.0,23.01
20150222,26.72,0.0,23.39
20150223,26.69,0.0,23.67
20150224,26.92,0.0,23.12
20150225,24.89,0.0,34.24
20150226,22.98,0.0,23.02
20150227,21.76,0.0,20.38
20150228,23.1,0.28,22.2
20150301,20.06,5.48,67.61
20150302,19.78,1.18,63.63
20150303,18.82,0.01,45.17
20150304,20.0,0.0,41.36
20150305,21.88,0.0,33.41
20150306,23.18,0.0,33.21
20150307,24.45,0.0,32.92
20150308,25.08,0.0,33.83
20150309,23.95,0.0,24.55
20150310,25.32,0.01,23.82
20150311,27.77,0.83,33.45
20150312,25.57,2.33,53.78
20150313,25.93,7.62,50.88
20150314,23.17,18.56,69.57
20150315,24.01,3.09,65.03
20150316,22.06,0.01,59.44
20150317,22.07,0.0,47.68
20150318,22.65,0.0,48.49
20150319,23.63,0.0,39.44
20150320,25.64,0.0,37.32
20150321,27.7,0.0,37.14
20150322,30.5,0.0,33.23
20150323,29.53,0.0,36.09
20150324,30.29,0.0,33.78
20150325,30.6,0.0,31.82
20150326,31.66,0.0,29.22
20150327,32.23,0.0,28.91
20150328,32.27,0.16,29.95
20150329,29.95,0.6,30.98
20150330,29.4,0.04,29.45
20150331,27.91,0.0,25.82
20150401,28.37,0.0,26.05
20150402,29.12,0.0,33.85
20150403,28.78,0.0,41.75
20150404,27.34,0.0,49.5
20150405,28.02,0.0,47.29
20150406,28.7,0.0,37.76
20150407,28.95,0.26,32.76
20150408,30.55,0.01,32.4
20150409,31.21,1.42,29.33
20150410,31.63,0.0,35.24
20150411,30.38,0.78,40.38
20150412,27.63,5.76,48.97
20150413,25.08,2.73,60.6
20150414,25.12,1.05,58.15
20150415,27.47,0.16,52.47
20150416,29.96,0.0,42.83
20150417,31.79,0.0,32.74
20150418,33.22,0.0,28.77
20150419,33.5,0.0,27.6
20150420,33.85,0.0,26.09
20150421,34.14,0.0,20.82
20150422,33.08,0.0,18.29
20150423,31.6,0.0,26.32
20150424,31.88,0.0,31.31
20150425,32.76,0.0,31.18
20150426,33.2,0.0,33.8
20150427,34.14,0.0,31.08
20150428,33.81,0.0,30.26
20150429,33.41,0.0,28.21
20150430,33.01,0.0,34.66
20150501,33.09,0.0,32.42
20150502,33.12,0.0,28.52
20150503,33.61,0.0,16.23
20150504,33.88,0.0,20.98
20150505,34.1,0.0,21.72
20150506,33.92,0.0,22.3
20150507,35.0,0.01,21.39
20150508,35.53,0.0,20.14
20150509,35.77,0.0,19.77
20150510,34.33,0.19,22.7
20150511,34.81,0.0,25.53
20150512,34.71,0.01,32.4
20150513,34.07,0.59,36.46
20150514,33.61,0.54,36.33
20150515,35.4,0.0,25.68
20150516,36.97,0.03,17.31
20150517,36.5,0.0,17.87
20150518,36.3,0.0,22.96
20150519,35.79,0.0,31.05
20150520,35.43,0.0,35.63
20150521,34.77,0.0,38.2
20150522,34.75,0.0,37.98
20150523,34.15,0.0,41.67
20150524,33.31,0.0,48.51
20150525,33.17,0.0,49.82
20150526,33.61,0.0,46.18
20150527,34.35,0.0,41.27
20150528,34.68,0.01,40.6
20150529,35.5,0.09,35.25
20150530,36.09,0.0,25.82
20150531,36.03,0.0,29.3
20150601,34.85,0.0,37.39
20150602,33.2,0.13,44.36
20150603,32.87,1.66,45.22
20150604,34.22,0.45,38.56
20150605,34.91,0.0,32.35
20150606,34.47,0.0,34.79
20150607,34.82,0.02,39.73
20150608,33.9,0.73,42.56
20150609,32.06,0.46,50.02
20150610,32.64,4.59,50.99
20150611,31.32,2.6,57.61
20150612,29.11,8.03,71.01
20150613,28.62,12.57,73.91
20150614,29.06,8.12,71.75
20150615,28.18,36.81,78.11
20150616,27.89,18.48,77.71
20150617,28.89,3.92,73.51
20150618,29.06,14.4,73.23
20150619,27.98,10.08,79.28
20150620,29.32,0.51,73.45
20150621,28.94,14.29,78.29
20150622,27.31,62.72,86.6
20150623,27.51,5.84,82.3
20150624,26.73,18.77,83.04
20150625,26.27,6.27,87.11
20150626,27.61,0.12,78.21
20150627,27.88,0.0,77.34
20150628,27.83,0.0,76.16
20150629,28.01,0.11,76.56
20150630,27.64,0.08,78.78
20150701,27.36,0.0,78.07
20150702,27.45,0.0,75.46
20150703,27.49,0.0,75.57
20150704,27.77,0.0,75.52
20150705,27.91,0.0,75.33
20150706,27.6,0.0,75.86
20150707,27.75,0.0,75.46
20150708,27.85,0.1,74.02
20150709,27.6,0.28,74.27
20150710,28.01,0.54,74.02
20150711,28.04,0.5,74.15
20150712,27.75,0.16,75.11
20150713,28.39,0.02,73.07
20150714,28.83,0.0,71.67
20150715,28.53,0.01,71.38
20150716,28.62,0.02,71.1
20150717,28.48,0.23,71.82
20150718,27.45,37.27,80.48
20150719,25.63,76.15,90.72
20150720,25.58,107.92,92.47
20150721,25.78,24.39,90.81
20150722,26.16,5.48,88.54
20150723,26.0,4.6,89.3
20150724,26.38,14.11,89.86
20150725,25.83,46.28,91.29
20150726,24.94,43.13,90.58
20150727,24.71,28.89,93.34
20150728,24.74,16.41,89.5
20150729,24.92,7.95,89.36
20150730,25.12,0.88,86.86
20150731,25.61,0.02,85.29
20150801,25.74,2.66,85.96
20150802,25.61,2.95,86.64
20150803,25.85,2.9,84.73
20150804,25.53,68.53,89.78
20150805,24.56,79.13,92.65
20150806,25.83,1.83,86.4
20150807,26.24,0.13,86.83
20150808,26.6,0.19,87.81
20150809,25.67,1.02,89.7
20150810,25.74,2.0,87.53
20150811,26.41,22.21,87.52
20150812,25.23,7.08,91.4
20150813,25.01,3.45,90.98
20150814,25.47,1.87,89.72
20150815,26.1,3.16,87.9
20150816,25.47,3.76,89.05
20150817,25.99,2.83,87.59
20150818,25.97,2.42,88.69
20150819,26.19,0.11,86.1
20150820,25.57,0.06,85.71
20150821,25.54,0.08,83.97
20150822,25.61,0.0,83.23
20150823,25.84,0.01,83.16
20150824,25.72,0.04,84.05
20150825,25.83,0.3,84.0
20150826,26.21,0.25,83.96
20150827,26.52,0.12,83.16
20150828,26.36,0.17,84.62
20150829,25.92,11.8,88.02
20150830,26.03,2.42,86.71
20150831,25.71,1.35,85.47
20150901,25.38,1.27,84.42
20150902,24.97,0.27,83.02
20150903,25.27,0.06,77.79
20150904,26.57,0.43,72.74
20150905,26.56,0.03,78.16
20150906,25.98,0.08,77.96
20150907,25.02,0.4,79.09
20150908,25.27,0.32,79.21
20150909,26.21,0.65,79.39
20150910,26.68,0.08,78.25
20150911,27.72,0.28,72.05
20150912,27.46,3.21,73.2
20150913,25.8,0.36,81.03
20150914,26.26,0.52,83.77
20150915,27.06,0.8,80.15
20150916,27.06,0.09,78.08
20150917,27.04,5.06,77.86
20150918,26.48,29.91,88.59
20150919,25.86,11.52,88.66
20150920,24.65,4.81,85.9
20150921,24.97,4.36,86.21
20150922,25.42,2.53,86.15
20150923,25.09,0.17,84.3
20150924,24.27,0.06,84.1
20150925,23.47,0.0,82.77
20150926,23.4,0.0,81.78
20150927,24.53,0.0,73.85
20150928,25.65,0.13,68.45
20150929,25.97,0.36,71.01
20150930,25.5,0.0,68.63
20151001,24.72,0.0,63.44
20151002,26.98,0.77,71.2
20151003,26.86,0.3,77.2
20151004,27.32,0.16,70.61
20151005,27.73,0.02,60.42
20151006,28.36,0.0,54.18
20151007,27.93,0.0,54.59
20151008,27.0,0.0,54.69
20151009,27.35,0.0,48.43
20151010,26.52,0.0,59.97
20151011,27.37,0.02,64.38
20151012,28.0,0.05,54.67
20151013,27.89,0.0,50.1
20151014,26.93,0.0,48.41
20151015,26.56,0.0,50.41
20151016,27.06,0.0,59.24
20151017,27.21,0.0,55.58
20151018,28.05,0.0,52.78
20151019,28.57,0.0,52.07
20151020,28.06,0.0,53.72
20151021,27.88,0.0,50.62
20151022,27.9,0.0,48.06
20151023,27.5,0.0,45.12
20151024,27.84,0.0,41.46
20151025,27.07,0.15,51.22
20151026,23.94,2.09,74.52
20151027,26.23,0.0,59.63
20151028,26.29,1.47,57.96
20151029,23.21,0.0,56.7
20151030,23.01,0.0,55.47
20151031,22.92,0.0,53.69
20151101,24.32,0.0,58.3
20151102,25.04,0.0,56.65
20151103,26.04,0.0,48.1
20151104,27.39,0.0,44.56
20151105,27.16,0.0,42.63
20151106,26.21,0.0,35.95
20151107,25.86,0.0,35.36
20151108,27.13,0.0,35.57
20151109,27.95,0.0,39.48
20151110,27.0,0.0,42.32
20151111,27.59,0.0,40.27
20151112,27.13,0.0,40.36
20151113,26.16,0.0,40.22
20151114,26.59,0.0,36.25
20151115,27.1,0.0,28.38
20151116,25.43,0.0,28.53
20151117,24.73,0.0,30.83
20151118,23.82,0.0,31.18
20151119,23.59,0.0,29.89
20151120,23.02,0.0,29.36
20151121,23.64,0.0,31.47
20151122,23.62,0.15,42.66
20151123,24.9,0.02,49.11
20151124,24.36,0.0,55.4
20151125,25.59,0.0,35.32
20151126,25.89,0.0,33.45
20151127,24.23,0.0,29.79
20151128,23.23,0.0,24.38
20151129,25.14,0.0,35.76
20151130,26.84,0.0,44.16
20151201,27.24,0.01,38.37
20151202,25.29,0.02,34.17
20151203,22.62,0.0,21.41
20151204,21.85,0.0,26.33
20151205,22.69,0.0,25.29
20151206,22.56,0.0,20.2
20151207,22.2,0.0,19.4
20151208,21.83,0.0,18.98
20151209,23.04,0.0,23.42
20151210,24.49,0.0,27.16
20151211,23.04,0.0,30.68
20151212,20.01,0.0,19.52
20151213,20.53,0.0,15.92
20151214,20.43,0.0,17.95
20151215,19.3,0.0,14.43
20151216,20.54,0.0,13.09
20151217,20.21,0.0,13.95
20151218,18.98,0.0,16.79
20151219,19.97,0.0,20.02
20151220,20.65,0.0,26.11
20151221,19.0,0.0,20.51
20151222,17.65,0.0,21.05
20151223,16.89,0.0,19.18
20151224,16.45,0.0,19.89
20151225,16.24,0.0,21.29
20151226,17.35,0.0,15.87
20151227,20.5,0.0,14.83
20151228,22.88,0.0,21.0
20151229,24.57,0.0,20.56
20151230,24.87,0.0,22.36
20151231,23.93,0.0,24.4
20160101,22.5,0.0,24.34
20160102,22.23,0.0,23.5
20160103,21.09,0.0,23.75
20160104,21.61,0.0,23.08
20160105,22.4,0.0,21.68
20160106,23.21,0.0,23.37
20160107,22.69,0.0,32.16
20160108,22.27,0.0,31.75
20160109,21.15,0.0,27.97
20160110,20.94,0.0,22.41
20160111,21.78,0.0,22.81
20160112,21.78,0.0,26.45
20160113,21.27,0.0,32.92
20160114,21.6,0.0,31.2
20160115,21.87,0.0,33.78
20160116,22.0,0.0,36.22
20160117,21.88,0.0,36.3
20160118,21.49,1.12,50.8
20160119,20.2,0.15,53.88
20160120,17.24,0.0,46.07
20160121,16.07,0.0,25.68
20160122,16.08,0.0,20.39
20160123,17.55,0.0,18.31
20160124,18.81,0.0,17.78
20160125,20.04,0.0,15.26
20160126,20.01,0.0,16.38
20160127,20.71,0.0,23.4
20160128,22.45,0.0,35.5
20160129,23.89,0.0,29.08
20160130,24.02,0.0,27.99
20160131,23.06,0.0,33.81
20160201,23.51,0.0,31.0
20160202,22.23,0.0,33.25
20160203,21.29,0.0,28.61
20160204,20.17,0.0,15.83
20160205,21.97,0.0,15.09
20160206,21.97,0.0,21.71
20160207,20.9,0.0,30.07
20160208,21.52,0.0,16.28
20160209,22.24,0.0,19.98
20160210,22.48,0.0,20.95
20160211,21.54,0.0,21.3
20160212,21.15,0.0,36.82
20160213,20.63,0.0,39.04
20160214,22.16,0.0,23.42
20160215,23.41,0.0,29.28
20160216,25.53,0.0,37.46
20160217,26.31,0.0,38.21
20160218,26.69,0.0,23.34
20160219,27.0,0.0,27.14
20160220,26.43,0.0,48.28
20160221,26.89,0.0,35.97
20160222,25.67,0.0,19.79
20160223,25.39,0.0,9.26
20160224,25.94,0.0,7.91
20160225,25.96,0.0,9.03
20160226,25.65,0.0,10.42
20160227,25.7,0.0,10.44
20160228,26.05,0.0,10.39
20160229,27.86,0.0,19.35
20160301,28.76,0.01,31.11
20160302,29.71,0.0,31.94
20160303,29.43,0.01,29.33
20160304,28.62,0.0,28.09
20160305,28.39,0.29,27.52
20160306,27.24,0.0,23.17
20160307,27.14,0.0,23.63
20160308,26.97,0.0,25.34
20160309,27.57,0.0,24.32
20160310,28.31,0.0,23.33
20160311,29.86,0.0,24.66
20160312,28.15,0.73,29.02
20160313,25.53,0.0,34.78
20160314,25.2,0.0,31.76
20160315,26.36,0.0,24.57
20160316,27.5,0.0,29.63
20160317,28.34,0.0,23.63
20160318,28.75,0.0,31.17
20160319,28.61,0.0,30.56
20160320,28.41,0.0,26.99
20160321,28.41,0.0,14.67
20160322,28.48,0.0,15.53
20160323,30.38,0.0,7.31
20160324,31.12,0.0,6.5
20160325,31.87,0.0,8.65
20160326,31.11,0.0,17.68
20160327,31.23,0.0,21.51
20160328,30.28,0.0,17.57
20160329,30.17,0.0,12.58
20160330,30.54,0.0,9.77
20160331,30.6,0.0,15.99
20160401,30.81,0.0,21.78
20160402,32.15,0.0,27.2
20160403,32.65,0.0,30.26
20160404,31.97,0.0,20.96
20160405,31.58,0.0,21.6
20160406,31.36,0.03,26.26
20160407,30.53,0.0,22.66
20160408,30.61,0.0,17.65
20160409,30.65,0.0,18.66
20160410,31.33,0.0,21.82
20160411,31.52,0.0,25.0
20160412,31.63,0.0,20.25
20160413,31.91,0.0,16.1
20160414,32.04,0.0,15.1
20160415,32.6,0.0,20.89
20160416,32.65,0.0,23.4
20160417,31.7,0.0,32.87
20160418,32.98,0.0,30.1
20160419,33.41,0.0,26.39
20160420,34.29,0.0,23.98
20160421,33.18,0.0,17.4
20160422,30.75,0.0,31.17
20160423,30.6,0.0,40.52
20160424,30.51,0.0,38.97
20160425,30.67,0.0,33.81
20160426,30.73,0.0,25.95
20160427,32.9,0.0,17.54
20160428,33.47,0.0,15.86
20160429,33.45,0.0,19.86
20160430,33.5,0.0,27.79
20160501,33.66,0.0,28.33
20160502,32.46,0.0,28.14
20160503,33.42,0.0,29.54
20160504,33.59,0.0,27.75
20160505,33.02,0.1,26.57
20160506,32.77,3.27,28.8
20160507,32.68,1.18,34.89
20160508,34.09,0.0,32.77
20160509,33.89,2.07,33.3
20160510,34.07,3.52,36.41
20160511,34.99,0.01,33.64
20160512,35.02,0.01,32.42
20160513,35.47,0.07,29.58
20160514,35.0,0.0,32.24
20160515,35.17,0.0,27.84
20160516,35.38,0.0,29.13
20160517,36.8,0.0,26.37
20160518,38.62,0.0,18.73
