,T2M,Rain,Humidity
20150101,22.74,3.85,71.89
20150102,22.21,0.92,71.01
20150103,21.69,0.23,69.83
20150104,21.34,0.01,68.09
20150105,20.43,0.0,59.32
20150106,20.41,0.0,48.69
20150107,20.64,0.0,42.15
20150108,19.42,0.0,32.72
20150109,19.07,0.0,31.62
20150110,18.54,0.0,29.99
20150111,18.62,0.0,28.15
20150112,18.84,0.0,27.16
20150113,19.57,0.0,27.23
20150114,20.14,0.0,28.49
20150115,19.76,0.0,40.5
20150116,20.76,0.0,37.7
20150117,20.37,0.0,31.2
20150118,20.97,0.0,32.01
20150119,21.05,0.0,34.41
20150120,21.51,0.0,44.09
20150121,21.78,0.0,55.14
20150122,22.04,0.0,47.48
20150123,23.1,0.0,38.17
20150124,22.88,0.0,38.21
20150125,22.59,0.0,38.23
20150126,21.92,0.0,46.13
20150127,22.33,0.0,42.98
20150128,22.51,0.0,41.52
20150129,22.68,0.0,47.58
20150130,23.02,0.0,40.99
20150131,23.09,0.0,39.28
20150201,23.07,0.0,35.66
20150202,22.77,0.0,40.32
20150203,22.68,0.0,45.23
20150204,22.79,0.0,33.04
20150205,22.56,0.0,31.75
20150206,21.96,0.0,32.79
20150207,22.47,0.0,36.89
20150208,23.41,0.0,37.11
20150209,23.62,0.0,42.48
20150210,24.38,0.19,41.61
20150211,24.16,0.02,39.55
20150212,23.97,0.0,36.26
20150213,24.79,0.0,33.58
20150214,24.62,0.0,19.47
20150215,25.29,0.0,18.23
20150216,25.37,0.0,17.77
20150217,25.94,0.0,18.65
20150218,25.65,0.0,15.18
20150219,25.76,0.0,15.92
20150220,25.66,0.0,26.47
20150221,25.93,0.0,31.64
20150222,26.12,0.0,26.37
20150223,25.78,0.0,23.03
20150224,25.51,0.0,26.46
20150225,25.1,0.0,21.45
20150226,25.93,0.0,24.31
20150227,25.7,0.0,26.69
20150228,23.98,5.24,44.06
20150301,24.99,2.36,54.18
20150302,23.58,3.6,62.53
20150303,21.29,0.0,51.01
20150304,21.89,0.0,39.16
20150305,24.55,0.0,37.9
20150306,26.55,0.21,42.42
20150307,27.15,0.02,35.81
20150308,27.61,1.62,39.44
20150309,24.48,10.92,67.08
20150310,24.84,0.17,62.27
20150311,26.37,0.51,51.03
20150312,25.66,0.0,48.18
20150313,26.31,0.0,44.49
20150314,26.14,0.43,38.64
20150315,26.68,2.67,47.46
20150316,27.72,0.0,50.46
20150317,28.75,0.0,42.25
20150318,28.37,0.0,38.07
20150319,29.5,0.0,31.18
20150320,29.93,0.0,28.98
20150321,29.67,0.0,28.16
20150322,30.91,0.0,26.47
20150323,30.38,0.0,27.55
20150324,31.39,0.0,25.12
20150325,30.94,0.0,24.38
20150326,30.81,0.0,29.96
20150327,30.67,0.0,29.84
20150328,30.44,0.0,28.54
20150329,30.05,0.01,30.31
20150330,28.94,0.21,35.65
20150331,30.09,0.01,35.57
20150401,30.85,0.0,32.2
20150402,31.01,0.0,21.23
20150403,30.17,0.0,24.08
20150404,29.9,0.0,23.08
20150405,29.94,0.0,25.21
20150406,30.84,0.0,22.64
20150407,30.86,0.1,23.65
20150408,32.41,0.03,27.34
20150409,32.1,0.21,36.56
20150410,30.84,1.78,39.56
20150411,26.28,19.32,65.22
20150412,25.25,7.92,69.08
20150413,25.56,6.06,61.57
20150414,24.92,0.44,58.84
20150415,25.84,1.08,57.07
20150416,26.36,0.23,58.56
20150417,27.94,0.0,50.74
20150418,29.32,0.0,45.55
20150419,30.24,0.0,42.18
20150420,31.04,0.0,40.5
20150421,31.17,0.0,39.83
20150422,32.53,0.61,34.79
20150423,32.22,0.96,38.04
20150424,32.02,0.2,27.65
20150425,31.37,0.0,23.69
20150426,31.22,0.0,29.95
20150427,32.26,0.1,35.92
20150428,33.73,1.2,30.22
20150429,33.42,0.0,24.29
20150430,32.86,0.0,27.21
20150501,32.99,0.0,23.43
20150502,33.02,0.0,21.77
20150503,32.93,0.09,23.17
20150504,33.34,0.39,26.86
20150505,30.34,22.35,49.68
20150506,30.61,1.76,51.17
20150507,31.85,0.0,44.93
20150508,31.88,0.0,44.73
20150509,31.63,0.0,43.38
20150510,30.87,1.02,42.66
20150511,32.53,0.0,37.72
20150512,30.9,0.01,45.83
20150513,30.71,1.48,47.47
20150514,30.07,0.32,50.72
20150515,28.57,1.25,57.17
20150516,31.92,0.02,46.46
20150517,33.13,0.0,37.77
20150518,33.34,0.0,36.33
20150519,33.84,0.0,38.2
20150520,34.45,0.0,37.51
20150521,34.6,0.0,37.29
20150522,34.06,0.0,39.07
20150523,32.74,0.0,39.59
20150524,32.82,0.0,40.08
20150525,33.19,0.0,39.26
20150526,33.56,0.0,36.21
20150527,34.21,0.04,32.61
20150528,33.97,0.0,33.99
20150529,34.51,1.84,36.46
20150530,31.29,4.65,48.19
20150531,33.3,2.03,38.92
20150601,32.07,0.41,41.99
20150602,32.17,0.0,39.3
20150603,33.27,0.0,37.21
20150604,34.65,0.21,33.1
20150605,32.03,2.1,42.44
20150606,31.27,0.2,48.52
20150607,31.29,4.25,49.23
20150608,27.99,3.39,66.32
20150609,29.12,0.55,58.3
20150610,30.3,0.43,56.15
20150611,29.15,1.84,61.58
20150612,25.97,12.38,80.35
20150613,26.83,2.27,69.79
20150614,25.23,5.88,75.58
20150615,26.88,2.16,66.08
20150616,26.14,4.2,66.5
20150617,26.56,0.93,67.38
20150618,26.55,2.51,67.97
20150619,25.42,0.09,70.87
20150620,26.58,0.98,70.1
20150621,25.82,6.97,73.36
20150622,25.92,0.45,74.01
20150623,27.63,0.95,68.69
20150624,27.21,0.34,69.1
20150625,28.06,0.02,66.75
20150626,28.46,0.71,65.2
20150627,28.72,0.26,62.45
20150628,29.12,0.01,59.68
20150629,28.72,0.0,59.44
20150630,28.63,0.0,60.54
20150701,29.1,4.58,58.53
20150702,28.76,1.54,60.12
20150703,28.87,0.04,59.3
20150704,29.04,0.0,59.45
20150705,29.05,0.0,58.64
20150706,28.3,0.0,59.64
20150707,28.55,0.0,59.97
20150708,29.02,0.0,59.15
20150709,28.64,0.0,60.75
20150710,28.25,0.0,62.27
20150711,29.05,0.01,57.93
20150712,29.9,0.0,54.88
20150713,30.11,0.0,54.28
20150714,29.34,15.57,61.8
20150715,28.64,0.52,61.68
20150716,28.29,0.5,61.83
20150717,28.17,0.82,62.39
20150718,28.68,0.53,62.55
20150719,26.6,0.57,69.46
20150720,26.75,0.37,68.19
20150721,26.97,2.67,70.04
20150722,27.5,2.09,69.37
20150723,27.65,1.75,67.12
20150724,27.97,0.56,65.71
20150725,27.22,1.98,64.74
20150726,27.28,0.18,63.95
20150727,27.36,0.14,61.49
20150728,27.12,0.04,61.3
20150729,27.61,0.27,60.5
20150730,27.47,0.01,60.63
20150731,28.4,0.07,58.49
20150801,29.05,0.01,56.77
20150802,29.32,0.41,54.75
20150803,28.42,0.72,57.89
20150804,26.36,1.87,67.03
20150805,27.01,3.05,64.75
20150806,27.27,0.53,64.72
20150807,27.92,3.6,64.08
20150808,28.07,1.45,64.78
20150809,27.98,1.83,65.4
20150810,25.74,19.11,78.5
20150811,24.44,11.39,82.97
20150812,24.18,13.69,82.04
20150813,24.82,0.7,78.85
20150814,26.81,1.18,70.45
20150815,27.31,0.71,69.56
20150816,27.06,0.15,68.57
20150817,26.85,0.01,69.67
20150818,28.45,0.0,66.97
20150819,28.62,11.06,69.68
20150820,26.24,5.0,76.82
20150821,26.92,4.06,69.93
20150822,26.33,0.4,68.56
20150823,26.14,0.0,67.79
20150824,27.6,0.01,63.17
20150825,27.4,0.9,64.74
20150826,26.99,1.73,69.79
20150827,26.72,8.31,72.44
20150828,25.39,5.41,78.28
20150829,26.44,2.15,72.96
20150830,27.12,0.2,70.21
20150831,26.75,0.69,67.09
20150901,26.61,0.11,65.88
20150902,27.17,0.03,64.67
20150903,27.89,0.01,62.08
20150904,29.09,0.59,60.72
20150905,28.09,8.56,68.87
20150906,26.51,4.43,74.33
20150907,26.26,8.79,73.88
20150908,25.11,5.78,79.68
20150909,24.81,24.81,82.79
20150910,25.59,22.13,81.05
20150911,26.48,2.07,73.61
20150912,25.33,1.9,77.77
20150913,25.27,14.18,79.01
