,T2M,Rain,Humidity
20150101,21.32,0.33,78.84
20150102,20.67,0.05,77.71
20150103,20.78,0.0,73.06
20150104,21.72,0.0,66.19
20150105,22.38,0.0,61.85
20150106,22.21,0.0,54.94
20150107,22.13,0.0,62.29
20150108,21.53,0.0,49.31
20150109,20.2,0.0,40.14
20150110,18.99,0.0,32.8
20150111,18.12,0.0,29.43
20150112,17.92,0.0,31.75
20150113,19.06,0.0,38.42
20150114,19.92,0.0,38.19
20150115,19.79,0.0,43.67
20150116,20.38,0.0,48.0
20150117,21.46,0.0,45.24
20150118,22.27,0.0,47.29
20150119,22.7,0.0,51.99
20150120,22.38,0.0,54.64
20150121,22.1,0.0,58.24
20150122,21.93,0.0,53.28
20150123,22.23,0.0,52.31
20150124,22.24,0.0,51.24
20150125,22.95,0.0,43.87
20150126,22.63,0.0,46.35
20150127,22.66,0.0,44.87
20150128,22.61,0.0,48.37
20150129,23.43,0.0,49.05
20150130,23.61,0.0,44.21
20150131,23.41,0.0,40.95
20150201,23.66,0.0,42.92
20150202,22.95,0.0,39.18
20150203,22.61,0.0,46.12
20150204,22.04,0.0,39.85
20150205,22.5,0.0,33.38
20150206,23.64,0.0,32.69
20150207,23.31,0.0,37.51
20150208,24.44,0.0,38.45
20150209,24.15,0.0,39.75
20150210,24.01,0.0,35.43
20150211,23.3,0.0,38.48
20150212,24.08,0.0,36.55
20150213,24.76,0.0,27.2
20150214,25.05,0.0,37.24
20150215,26.31,0.0,26.92
20150216,25.52,0.0,25.17
20150217,25.77,0.0,32.71
20150218,25.47,0.0,42.2
20150219,24.46,0.0,49.26
20150220,25.58,0.0,48.66
20150221,25.46,0.0,33.87
20150222,25.4,0.0,30.64
20150223,25.54,0.0,28.4
20150224,24.88,0.0,28.29
20150225,24.68,0.0,29.92
20150226,25.55,0.0,54.48
20150227,25.12,0.0,50.32
20150228,22.67,2.81,60.22
20150301,23.48,8.23,68.54
20150302,23.39,5.43,72.87
20150303,22.33,0.0,63.95
20150304,21.61,0.0,55.03
20150305,23.33,0.0,56.86
20150306,25.61,0.0,53.13
20150307,26.39,0.37,48.69
20150308,26.91,6.14,53.31
20150309,24.75,3.86,65.76
20150310,25.11,0.33,65.28
20150311,25.2,0.0,48.85
20150312,25.4,0.0,43.95
20150313,26.76,0.0,45.02
20150314,26.47,0.0,49.21
20150315,26.71,0.0,61.55
20150316,27.72,0.0,55.44
20150317,29.09,0.0,45.07
20150318,28.89,0.0,44.45
20150319,28.28,0.0,39.99
20150320,28.66,0.0,31.22
20150321,28.45,0.0,28.28
20150322,29.05,0.0,29.72
20150323,28.67,0.67,49.46
20150324,30.21,0.32,44.69
20150325,29.73,0.55,38.42
20150326,28.87,0.18,36.43
20150327,28.66,0.06,33.42
20150328,28.89,0.0,35.01
20150329,29.02,0.0,46.71
20150330,29.23,0.28,47.55
20150331,29.02,1.27,52.9
20150401,29.33,0.21,47.34
20150402,29.26,0.0,41.62
20150403,29.13,0.0,44.76
20150404,29.42,0.0,40.54
20150405,29.76,0.0,33.81
20150406,29.68,0.0,41.88
20150407,29.15,0.0,44.18
20150408,29.62,0.0,48.02
20150409,29.7,0.0,48.44
20150410,28.92,6.33,53.21
20150411,24.78,12.41,67.44
20150412,25.11,1.55,68.93
20150413,26.37,0.21,57.7
20150414,26.62,0.0,52.66
20150415,27.72,0.0,50.75
20150416,28.55,0.0,50.44
20150417,29.19,0.0,47.29
20150418,29.68,0.0,43.93
20150419,30.22,0.0,38.86
20150420,30.84,0.0,43.34
20150421,31.17,0.0,44.08
20150422,30.11,1.27,55.08
20150423,28.97,6.51,60.88
20150424,28.47,2.86,61.68
20150425,28.4,0.08,52.51
20150426,29.14,0.0,50.39
20150427,30.44,0.62,44.89
20150428,30.97,0.1,46.76
20150429,31.31,0.02,45.04
20150430,30.28,0.01,50.02
20150501,30.62,0.0,49.09
20150502,30.2,0.05,51.99
20150503,30.1,0.0,51.3
20150504,30.21,1.03,49.43
20150505,30.38,7.6,53.78
