,T2M,Rain,Humidity
20150101,19.79,0.0,57.85
20150102,21.04,0.0,60.28
20150103,21.46,0.18,65.98
20150104,20.22,4.19,78.33
20150105,19.25,0.66,80.17
20150106,18.4,0.03,72.72
20150107,18.22,0.0,71.56
20150108,18.94,0.06,69.78
20150109,20.46,0.08,64.98
20150110,17.78,0.03,78.78
20150111,16.89,0.0,73.87
20150112,15.91,0.0,76.83
20150113,16.52,0.0,71.25
20150114,16.78,0.0,66.36
20150115,17.67,0.0,68.34
20150116,18.53,0.0,66.96
20150117,19.07,0.09,63.89
20150118,19.25,0.11,63.44
20150119,17.51,0.09,70.69
20150120,18.44,0.0,64.7
20150121,18.46,0.0,63.14
20150122,18.56,0.0,65.41
20150123,19.24,0.21,65.14
20150124,18.97,0.14,71.87
20150125,19.51,0.0,70.26
20150126,19.49,0.0,71.53
20150127,19.7,0.0,70.2
20150128,20.18,0.0,70.03
20150129,20.68,0.34,65.69
20150130,18.71,1.55,73.85
20150131,18.59,0.67,64.96
20150201,18.16,0.02,55.3
20150202,18.55,0.0,54.87
20150203,19.78,0.0,52.68
20150204,19.99,0.0,59.28
20150205,19.87,0.0,63.55
20150206,19.93,0.0,61.01
20150207,19.79,0.0,59.59
20150208,19.82,0.0,60.91
20150209,19.69,0.0,65.74
20150210,20.02,0.0,65.58
20150211,20.72,0.0,62.35
20150212,20.68,5.04,61.69
20150213,20.31,6.95,62.76
20150214,19.1,2.41,68.33
20150215,19.53,0.0,64.53
20150216,19.64,0.0,66.09
20150217,20.62,0.0,59.65
20150218,21.08,0.22,59.72
20150219,19.62,0.35,67.43
20150220,18.62,1.47,74.21
20150221,20.31,0.23,69.08
20150222,19.17,1.6,79.52
20150223,21.35,0.0,68.5
20150224,23.05,0.0,65.81
20150225,22.94,2.75,70.56
20150226,22.87,13.8,76.08
20150227,23.75,6.43,71.59
20150228,24.3,0.11,65.9
20150301,24.21,0.0,66.91
20150302,23.91,0.35,71.22
20150303,23.31,6.03,68.65
20150304,22.95,3.77,63.7
20150305,20.74,5.67,70.71
20150306,20.64,0.99,64.11
20150307,20.88,2.07,66.41
20150308,21.96,0.0,58.4
20150309,23.57,0.0,53.91
20150310,24.89,0.61,52.2
20150311,24.6,0.36,50.33
20150312,25.18,0.0,50.01
20150313,24.87,0.0,56.51
20150314,24.42,0.01,52.68
20150315,25.08,0.02,56.82
20150316,25.32,0.0,56.01
20150317,24.95,0.16,58.08
20150318,25.32,1.27,58.04
20150319,24.55,2.6,56.75
20150320,25.12,0.12,47.54
20150321,25.34,0.0,50.58
20150322,27.37,0.0,44.16
20150323,27.83,0.0,48.07
20150324,21.67,0.0,72.59
20150325,23.74,0.11,66.14
20150326,25.41,0.01,66.09
20150327,23.95,6.32,76.05
20150328,22.71,5.75,80.46
20150329,25.37,0.46,64.55
20150330,26.32,8.79,66.98
20150331,26.19,7.73,67.08
20150401,25.65,19.44,69.41
20150402,21.48,20.89,80.99
20150403,21.98,12.49,77.33
20150404,24.08,24.05,79.85
20150405,24.21,8.35,76.83
20150406,24.98,2.04,71.02
20150407,25.02,0.35,66.38
20150408,23.82,15.61,70.48
20150409,26.13,16.38,69.91
20150410,25.49,5.93,68.57
20150411,23.11,0.39,70.04
20150412,23.52,0.11,67.77
20150413,25.98,0.0,62.79
20150414,26.31,0.22,67.65
20150415,27.34,0.05,66.68
20150416,26.96,9.94,70.72
20150417,27.32,6.0,67.61
20150418,23.93,27.09,82.79
20150419,22.13,8.98,81.46
20150420,25.55,0.0,61.81
20150421,24.26,5.86,76.06
20150422,21.94,29.31,85.02
20150423,22.2,18.47,87.98
20150424,23.42,1.69,75.93
20150425,22.8,2.07,79.69
20150426,23.52,0.43,76.3
20150427,23.5,0.14,74.45
20150428,25.42,0.04,71.52
20150429,24.18,2.46,81.81
20150430,26.33,1.72,67.16
20150501,27.29,0.26,62.39
20150502,25.54,10.21,76.34
20150503,26.15,25.12,77.3
20150504,28.39,17.16,70.64
20150505,28.2,0.04,67.34
20150506,27.75,0.05,68.42
20150507,25.36,0.1,75.79
20150508,26.89,19.54,71.71
20150509,27.25,7.21,73.59
20150510,28.2,0.26,71.97
20150511,28.14,0.14,72.78
20150512,24.94,0.81,81.51
20150513,26.34,11.2,77.11
20150514,28.85,10.87,72.95
20150515,26.0,23.27,81.5
20150516,27.43,20.44,81.21
20150517,27.47,9.39,81.12
20150518,27.82,5.08,75.0
20150519,30.19,0.09,63.88
20150520,28.06,0.43,78.64
20150521,29.16,7.08,76.58
20150522,29.57,28.78,74.15
20150523,29.51,49.99,72.41
20150524,28.87,18.04,73.21
20150525,28.05,5.73,76.42
20150526,28.88,2.42,70.69
20150527,29.16,11.63,69.16
20150528,27.42,30.19,79.28
20150529,25.6,7.36,82.96
20150530,29.6,7.69,69.54
20150531,29.4,49.51,74.47
20150601,29.08,38.58,79.67
20150602,29.91,24.0,75.13
20150603,28.93,0.45,75.0
20150604,28.58,10.5,74.88
20150605,29.94,19.19,76.63
20150606,28.46,33.04,84.48
20150607,29.04,30.53,81.45
20150608,27.86,50.89,84.82
20150609,26.56,68.25,87.43
20150610,26.52,4.23,79.44
20150611,26.73,1.71,81.48
20150612,27.5,14.92,81.75
20150613,28.9,24.03,78.15
20150614,28.44,9.89,81.17
20150615,26.85,7.83,88.81
20150616,27.02,15.94,86.64
20150617,28.52,9.39,81.68
20150618,28.13,10.93,85.13
20150619,28.55,14.61,84.9
20150620,28.72,4.55,83.64
20150621,28.59,27.18,83.02
20150622,27.14,9.72,91.03
20150623,28.97,17.02,82.38
20150624,27.74,20.3,89.96
20150625,30.04,1.67,80.6
20150626,31.61,0.36,77.39
20150627,28.76,11.72,86.84
20150628,28.95,6.55,83.23
20150629,29.0,15.46,85.4
20150630,28.22,24.76,86.71
20150701,29.83,32.64,80.98
20150702,29.47,11.89,82.72
20150703,30.48,13.44,77.9
20150704,29.5,31.71,81.77
20150705,29.04,12.86,84.92
20150706,29.61,0.11,79.93
20150707,30.64,0.79,76.44
20150708,29.06,1.61,83.44
20150709,30.59,0.82,76.65
20150710,29.58,6.78,80.75
20150711,30.59,7.0,75.85
20150712,31.22,13.66,75.54
20150713,30.49,4.03,80.72
20150714,30.03,16.32,82.56
20150715,28.31,32.87,89.01
20150716,28.72,1.18,80.09
20150717,28.66,0.15,76.88
20150718,28.74,0.13,78.26
20150719,28.77,2.61,81.33
20150720,27.91,11.85,85.69
20150721,25.89,26.24,92.44
20150722,28.89,26.71,81.95
20150723,26.41,49.9,93.02
20150724,26.97,21.62,89.39
20150725,30.94,0.69,70.99
20150726,30.47,0.0,75.86
20150727,29.05,0.09,77.83
20150728,29.96,0.11,74.45
20150729,29.48,0.35,78.03
20150730,28.98,0.1,77.04
20150731,27.55,0.45,81.69
20150801,29.04,2.15,76.04
20150802,30.33,2.9,73.93
20150803,27.53,7.75,85.59
20150804,28.96,14.61,82.04
20150805,28.41,59.68,85.33
20150806,29.77,14.73,76.91
20150807,26.86,7.65,91.03
20150808,29.4,1.23,75.23
20150809,31.26,0.5,71.98
20150810,30.05,23.63,78.99
20150811,31.2,3.79,75.11
20150812,30.84,9.51,78.75
20150813,30.63,4.83,79.45
20150814,28.05,29.89,90.6
20150815,28.78,25.22,88.26
20150816,28.18,9.24,88.05
20150817,27.98,17.74,85.84
20150818,27.6,12.07,89.59
20150819,28.19,29.82,86.65
20150820,28.07,47.43,88.97
20150821,26.3,36.45,89.96
20150822,25.93,3.97,89.87
20150823,26.47,17.34,90.84
20150824,28.08,2.18,84.45
20150825,28.96,4.41,85.19
20150826,29.1,31.11,83.18
20150827,26.92,29.69,93.17
20150828,28.06,32.05,86.29
20150829,26.77,92.64,90.21
20150830,26.68,138.5,90.89
20150831,27.55,21.91,88.55
20150901,27.78,17.06,86.7
20150902,26.18,13.78,89.48
20150903,26.27,1.29,89.49
20150904,27.38,21.38,87.94
20150905,28.4,29.13,82.2
20150906,26.85,9.05,89.52
20150907,28.33,6.7,80.94
20150908,27.92,1.18,80.81
20150909,29.28,0.0,74.73
20150910,28.98,4.79,81.86
20150911,28.61,10.9,83.86
20150912,28.95,1.99,78.87
20150913,28.25,1.26,85.44
20150914,27.16,3.91,87.9
20150915,26.24,1.9,90.85
20150916,27.49,1.89,85.32
20150917,26.56,3.54,89.43
20150918,27.07,1.27,85.16
20150919,28.66,8.84,79.19
20150920,26.77,27.73,88.19
20150921,27.76,8.67,83.88
20150922,28.14,26.34,82.59
20150923,27.7,5.76,85.99
20150924,26.74,23.79,89.73
20150925,26.38,12.73,88.67
20150926,28.52,0.13,72.5
20150927,28.38,0.0,74.66
20150928,28.45,0.0,76.98
20150929,29.1,0.0,70.54
20150930,28.31,0.0,71.86
20151001,28.45,0.0,71.35
20151002,27.99,0.7,74.25
20151003,28.19,1.01,77.08
20151004,27.66,0.0,72.9
20151005,27.58,0.01,69.62
20151006,27.2,0.08,79.49
20151007,28.49,1.84,78.68
20151008,25.06,4.59,92.75
20151009,24.9,29.56,87.81
20151010,26.04,17.41,82.57
20151011,24.52,5.67,83.33
20151012,24.01,0.19,79.51
20151013,24.24,0.0,80.18
20151014,24.34,12.81,82.85
20151015,23.65,9.54,83.22
20151016,24.39,0.17,76.87
20151017,24.79,0.07,77.02
20151018,25.55,0.0,68.51
20151019,25.76,0.0,69.31
20151020,25.59,0.0,73.41
20151021,26.12,0.0,70.9
20151022,24.04,0.12,79.54
20151023,23.79,1.74,82.39
20151024,24.4,0.18,77.78
20151025,24.06,0.0,73.8
20151026,25.18,0.0,67.55
