,T2M,Rain,Humidity
20150101,19.72,0.0,73.87
20150102,21.43,0.54,69.09
20150103,20.71,6.95,80.46
20150104,19.38,5.52,85.79
20150105,17.72,0.02,78.36
20150106,15.81,0.0,73.31
20150107,15.99,0.0,68.53
20150108,17.26,0.0,67.08
20150109,16.7,0.0,72.58
20150110,15.52,0.0,64.04
20150111,15.55,0.0,66.05
20150112,16.04,0.0,82.92
20150113,18.73,0.0,74.19
20150114,18.76,0.0,75.53
20150115,18.9,0.0,77.82
20150116,19.3,0.0,75.01
20150117,18.6,1.41,72.18
20150118,15.5,0.0,69.62
20150119,15.37,0.0,66.17
20150120,15.86,0.0,63.55
20150121,16.51,0.0,71.99
20150122,18.3,0.0,71.65
20150123,18.37,0.0,64.7
20150124,17.6,0.0,68.8
20150125,17.06,0.0,67.56
20150126,17.32,0.0,60.01
20150127,18.17,0.0,65.67
20150128,18.64,0.0,72.8
20150129,18.42,0.0,67.32
20150130,16.93,0.84,67.16
20150131,14.84,0.0,57.14
20150201,16.12,0.0,55.21
20150202,16.77,0.0,67.1
20150203,18.36,0.0,74.52
20150204,19.05,0.0,62.15
20150205,18.37,0.0,56.57
20150206,16.81,0.0,58.74
20150207,17.22,0.0,57.98
20150208,18.79,0.0,56.06
20150209,18.75,0.0,62.83
20150210,18.75,0.0,62.25
20150211,18.37,0.0,53.47
20150212,17.81,0.0,53.29
20150213,18.36,0.21,57.3
20150214,18.69,0.02,55.81
20150215,20.66,0.22,50.74
20150216,20.84,0.0,58.83
20150217,21.55,0.0,62.46
20150218,22.33,1.35,60.03
20150219,21.29,10.09,73.51
20150220,21.5,0.03,70.12
20150221,22.28,0.68,63.23
20150222,23.23,0.06,57.45
20150223,23.21,0.0,62.76
20150224,24.14,0.89,60.07
20150225,24.84,0.0,59.23
20150226,24.54,0.07,60.41
20150227,24.2,2.82,61.99
20150228,24.66,0.0,57.2
20150301,26.23,0.2,59.9
20150302,26.44,0.3,58.0
20150303,23.67,0.71,56.82
20150304,22.91,1.99,52.81
20150305,21.32,0.12,44.26
20150306,19.96,0.0,47.52
20150307,21.09,0.0,50.44
20150308,22.55,0.0,48.1
20150309,23.77,0.0,44.8
20150310,23.97,0.0,41.1
20150311,23.24,0.0,37.58
20150312,23.56,0.0,39.71
20150313,23.5,0.0,39.72
20150314,25.05,0.0,44.61
20150315,26.04,0.0,43.19
20150316,26.41,0.01,44.63
20150317,26.76,0.01,45.24
20150318,26.15,0.07,41.71
20150319,24.22,0.68,38.33
20150320,24.38,0.0,37.71
20150321,26.29,0.0,36.98
20150322,26.43,0.0,39.25
20150323,28.39,0.0,39.62
20150324,27.33,0.04,48.56
20150325,27.96,0.0,53.75
20150326,28.05,0.83,53.54
20150327,24.65,6.08,72.24
20150328,26.52,1.85,63.69
20150329,27.77,0.15,61.28
20150330,27.67,7.82,61.58
20150331,26.46,1.18,61.37
20150401,27.92,1.15,55.53
20150402,27.18,10.14,63.26
20150403,27.86,0.4,54.98
20150404,28.37,4.44,58.37
20150405,26.72,11.75,71.23
20150406,26.69,0.78,61.13
20150407,27.78,0.08,58.62
20150408,28.11,0.46,62.24
20150409,28.92,0.03,52.27
20150410,27.77,0.0,46.74
20150411,28.25,0.64,51.08
20150412,27.99,2.01,62.84
20150413,26.27,2.0,73.98
20150414,28.59,0.0,52.1
20150415,28.49,0.0,51.03
20150416,30.18,0.0,49.52
20150417,30.29,0.21,48.08
20150418,27.07,35.28,69.08
20150419,27.75,13.92,69.98
20150420,28.39,8.32,70.91
20150421,28.51,17.08,72.44
20150422,28.82,9.7,74.01
20150423,29.29,6.12,71.69
20150424,26.92,20.14,79.69
20150425,25.23,13.02,78.39
20150426,25.82,0.24,68.42
20150427,26.09,1.96,71.31
20150428,26.62,7.6,70.97
20150429,26.6,14.72,74.68
20150430,28.17,0.2,62.6
20150501,28.39,3.58,69.1
20150502,28.31,7.6,74.77
20150503,28.97,3.36,71.57
20150504,29.85,1.21,64.74
20150505,29.62,1.34,65.0
20150506,29.46,2.56,68.25
20150507,29.15,11.13,72.46
20150508,25.98,3.14,81.84
20150509,27.91,0.03,72.96
20150510,28.86,12.26,77.0
20150511,27.99,12.11,83.01
20150512,28.62,3.09,74.39
20150513,28.95,2.72,73.51
20150514,29.77,10.83,72.57
20150515,30.44,4.99,71.15
20150516,28.43,7.85,77.34
20150517,28.91,2.71,72.34
20150518,29.04,1.12,70.38
20150519,29.67,1.5,71.42
20150520,29.98,14.12,71.09
20150521,30.62,3.98,68.59
20150522,30.35,10.66,73.75
20150523,30.94,4.31,71.25
20150524,30.16,21.01,78.06
20150525,29.9,11.88,77.14
20150526,29.49,13.45,78.57
20150527,28.88,23.35,81.63
20150528,29.05,21.03,82.84
20150529,29.53,11.3,81.57
20150530,29.41,15.81,83.02
20150531,29.41,10.15,82.62
20150601,29.3,6.6,83.57
20150602,29.17,3.16,82.15
20150603,28.78,6.46,83.76
20150604,29.96,1.53,77.34
20150605,30.14,1.35,75.3
20150606,29.75,0.81,78.99
20150607,30.47,1.21,76.0
20150608,30.45,4.07,77.29
20150609,30.67,7.92,77.75
20150610,29.33,45.98,85.7
20150611,28.76,62.24,87.16
20150612,28.67,33.39,88.16
20150613,28.47,8.21,85.7
20150614,27.58,13.26,87.99
20150615,28.31,20.16,84.8
20150616,28.62,28.09,84.66
20150617,28.83,20.3,84.55
20150618,28.49,20.86,84.35
20150619,29.24,4.16,80.79
20150620,29.88,1.78,82.41
20150621,30.17,1.31,81.21
20150622,29.52,13.73,83.72
20150623,29.4,26.01,85.26
20150624,28.66,24.06,91.14
20150625,29.61,22.6,86.15
20150626,28.87,31.65,89.5
20150627,29.25,14.11,86.3
20150628,28.27,4.24,84.99
20150629,28.86,3.73,84.1
20150630,29.07,4.68,84.81
20150701,29.26,1.49,84.74
20150702,29.63,5.81,83.98
20150703,29.49,3.02,85.58
20150704,29.62,3.63,86.96
20150705,28.59,5.74,92.9
20150706,28.81,3.97,86.09
20150707,29.26,15.21,85.75
20150708,29.17,2.04,85.08
20150709,28.43,4.18,87.18
20150710,28.47,11.9,84.53
20150711,29.27,4.11,83.27
20150712,29.67,1.11,83.67
20150713,30.05,0.74,84.4
20150714,29.77,23.18,89.22
20150715,28.86,49.03,93.37
20150716,28.87,16.84,84.83
20150717,29.04,0.55,81.57
20150718,29.34,1.61,79.89
20150719,28.79,12.62,84.03
20150720,27.24,12.96,88.3
20150721,27.8,17.06,87.41
20150722,28.04,12.17,88.88
20150723,28.4,9.01,88.03
20150724,28.39,23.0,88.73
20150725,29.1,6.17,84.33
20150726,29.84,0.34,78.1
20150727,28.51,0.97,84.85
20150728,30.19,0.07,75.42
20150729,30.67,0.02,79.57
20150730,30.19,4.2,80.88
20150731,27.57,13.52,87.91
20150801,26.93,21.21,92.13
20150802,27.48,3.05,87.1
20150803,27.69,1.31,85.08
20150804,28.07,4.39,87.14
20150805,28.62,3.32,85.55
20150806,28.71,2.36,86.02
20150807,29.25,4.86,83.81
20150808,28.32,10.1,87.86
20150809,29.27,7.78,83.57
20150810,28.23,4.46,92.24
20150811,30.15,2.56,80.82
20150812,29.26,2.12,86.0
20150813,29.73,0.89,83.78
20150814,29.46,2.12,86.31
20150815,28.15,9.55,92.39
20150816,29.23,18.57,88.44
20150817,29.05,16.63,88.5
20150818,28.31,19.74,91.29
20150819,28.55,32.92,91.78
20150820,28.33,50.03,93.02
20150821,28.83,95.06,83.67
20150822,28.34,13.82,83.47
20150823,28.76,7.99,84.4
20150824,28.56,5.33,88.12
20150825,28.51,1.97,90.21
20150826,28.78,1.32,88.44
20150827,29.01,10.91,86.8
20150828,28.62,10.15,86.36
20150829,28.55,16.64,89.76
20150830,28.03,37.38,92.86
20150831,27.82,41.8,93.66
20150901,27.96,14.14,88.99
20150902,27.18,15.43,93.15
20150903,27.61,36.59,89.12
20150904,26.83,16.71,91.47
20150905,27.06,13.83,91.18
20150906,28.13,13.9,88.68
20150907,28.37,1.32,87.13
20150908,28.11,12.92,88.42
20150909,28.79,0.98,84.9
20150910,29.51,0.41,82.88
20150911,28.45,16.86,88.06
20150912,28.68,8.55,85.56
20150913,28.7,0.21,85.12
20150914,28.26,3.8,88.95
20150915,28.96,8.87,81.05
20150916,28.72,2.05,85.47
20150917,29.31,0.01,82.66
20150918,30.63,0.07,78.99
20150919,28.95,5.68,87.8
20150920,27.14,33.63,89.73
20150921,27.33,67.15,91.16
20150922,27.24,30.32,93.64
20150923,27.8,31.47,88.39
