,T2M,Rain,Humidity
20150101,17.78,0.0,72.62
20150102,19.83,0.0,76.03
20150103,20.26,1.67,82.43
20150104,19.42,10.94,90.51
20150105,17.3,1.92,83.52
20150106,15.8,0.0,78.25
20150107,15.37,0.0,78.57
20150108,15.53,1.02,80.29
20150109,14.6,1.36,84.25
20150110,15.56,0.04,75.37
20150111,15.61,0.0,73.9
20150112,16.05,0.0,69.36
20150113,16.58,0.0,66.09
20150114,17.01,0.0,67.42
20150115,17.79,0.0,69.52
20150116,18.11,0.06,68.89
20150117,18.38,1.42,68.79
20150118,15.79,1.54,78.55
20150119,15.37,0.03,77.85
20150120,16.35,0.0,72.96
20150121,16.93,0.0,70.1
20150122,17.26,0.0,69.38
20150123,16.35,0.0,74.42
20150124,16.41,0.0,70.45
20150125,16.43,0.0,67.4
20150126,16.3,0.0,64.77
20150127,16.52,0.0,64.81
20150128,17.53,0.0,70.62
20150129,17.74,0.0,72.74
20150130,16.35,0.32,76.53
20150131,15.41,0.0,70.46
20150201,15.44,0.0,59.79
20150202,16.67,0.0,58.93
20150203,17.23,0.0,59.62
20150204,17.06,0.0,63.03
20150205,17.37,0.0,62.06
20150206,17.18,0.0,58.97
20150207,16.23,0.0,56.33
20150208,16.54,0.0,55.16
20150209,16.98,0.0,62.14
20150210,18.36,0.0,63.85
20150211,18.19,0.0,60.82
20150212,16.96,0.0,59.64
20150213,16.31,0.05,59.01
20150214,16.82,0.01,63.77
20150215,17.63,0.0,61.69
20150216,18.52,0.0,56.99
20150217,19.53,0.01,55.83
20150218,18.76,5.49,63.76
20150219,17.51,0.27,70.26
20150220,18.91,0.05,70.59
20150221,19.38,2.26,70.49
20150222,19.18,3.05,75.3
20150223,20.34,0.0,69.34
20150224,20.99,0.0,65.72
20150225,21.07,0.18,65.72
20150226,20.76,2.69,73.73
20150227,21.24,0.35,72.59
20150228,22.18,0.02,69.58
20150301,22.92,0.0,66.74
20150302,23.28,0.02,66.62
20150303,21.75,0.02,64.81
20150304,19.16,1.82,69.26
20150305,19.08,0.06,67.66
20150306,18.58,0.13,49.97
20150307,18.83,0.33,52.71
20150308,20.64,0.0,49.88
20150309,21.8,0.0,49.94
20150310,21.18,0.0,48.03
20150311,21.22,0.0,40.44
20150312,21.7,0.0,39.98
20150313,20.92,0.0,43.72
20150314,21.62,0.0,48.14
20150315,23.4,0.0,54.11
20150316,23.86,0.0,48.83
20150317,23.06,0.0,55.88
20150318,23.03,0.0,55.17
20150319,22.64,0.07,54.05
20150320,22.73,0.0,41.62
20150321,23.63,0.0,41.6
20150322,23.73,0.0,44.78
20150323,24.16,0.0,45.28
20150324,24.69,0.0,51.47
20150325,23.61,1.26,63.53
20150326,23.89,2.06,66.05
20150327,23.82,5.2,66.09
20150328,22.81,3.97,73.38
20150329,24.3,0.26,66.37
20150330,24.33,3.46,66.94
20150331,22.26,1.95,77.24
20150401,23.3,3.98,70.56
20150402,22.24,21.24,78.37
20150403,23.34,11.78,78.52
20150404,23.15,23.34,83.37
20150405,22.26,13.28,81.57
20150406,21.97,22.43,81.37
20150407,23.33,0.38,72.62
20150408,23.28,3.02,77.54
20150409,23.38,1.69,77.51
20150410,23.31,6.74,75.38
20150411,23.52,2.07,72.78
20150412,23.79,0.04,71.69
20150413,23.69,0.56,74.72
20150414,24.64,0.0,69.0
20150415,24.11,0.0,72.59
20150416,24.11,0.17,72.28
20150417,23.65,1.95,72.11
20150418,22.24,20.02,82.07
20150419,23.6,14.35,76.33
20150420,24.53,3.76,72.95
20150421,23.6,21.96,86.31
20150422,24.01,10.99,87.55
20150423,24.41,18.89,85.34
20150424,23.43,4.81,83.62
20150425,22.13,5.66,84.87
20150426,22.36,2.03,81.31
20150427,22.52,1.15,80.18
20150428,23.23,3.68,77.69
20150429,23.08,4.28,81.4
20150430,23.04,5.25,81.53
20150501,23.9,4.09,78.13
20150502,24.41,5.66,79.89
20150503,24.59,6.04,81.29
20150504,25.05,2.42,79.83
20150505,24.54,2.05,79.14
20150506,25.45,2.62,77.17
20150507,25.82,7.11,77.1
20150508,23.66,0.63,83.08
20150509,25.52,1.11,69.81
20150510,25.21,11.67,82.86
20150511,24.56,0.91,84.0
20150512,24.47,1.07,83.22
20150513,26.04,5.41,77.9
20150514,26.16,17.39,81.35
20150515,26.28,7.79,82.37
20150516,24.43,13.75,89.79
20150517,24.09,4.34,87.31
20150518,24.71,12.72,81.89
20150519,26.35,0.08,76.14
20150520,26.95,0.0,78.53
20150521,27.25,4.72,78.97
20150522,26.98,13.5,80.78
20150523,26.62,17.26,81.74
20150524,25.57,15.96,86.37
20150525,25.43,9.74,81.02
20150526,25.75,8.8,80.98
20150527,25.2,12.07,85.25
20150528,25.93,15.86,84.96
20150529,26.22,13.67,83.84
20150530,26.04,14.6,86.94
20150531,25.8,14.36,85.85
20150601,25.3,9.14,89.21
20150602,26.36,8.79,84.74
20150603,26.32,11.7,88.31
20150604,26.17,5.31,87.8
20150605,26.52,2.78,85.5
20150606,26.42,7.93,84.77
20150607,26.11,15.54,87.4
20150608,26.6,13.18,85.81
20150609,26.24,24.79,86.59
20150610,26.05,50.37,88.33
20150611,25.34,18.49,90.97
20150612,24.42,16.41,90.84
20150613,24.6,16.46,87.19
20150614,25.3,3.79,87.1
20150615,24.99,11.08,91.31
20150616,24.69,11.72,89.79
20150617,25.5,3.71,88.37
20150618,24.43,6.83,91.24
20150619,26.99,1.96,82.36
20150620,26.89,2.86,87.24
20150621,26.15,8.44,88.14
20150622,25.76,12.01,88.41
20150623,26.3,9.56,86.68
20150624,26.87,9.59,88.09
20150625,27.45,10.14,87.77
20150626,26.18,18.37,90.89
20150627,26.31,25.51,89.17
20150628,25.68,6.0,85.65
20150629,25.95,1.44,84.9
20150630,25.84,2.97,84.31
20150701,25.81,8.05,87.97
20150702,26.47,9.32,85.67
20150703,26.51,4.46,86.26
20150704,26.57,6.44,86.68
20150705,25.66,9.38,92.36
20150706,25.97,12.87,94.24
20150707,25.5,3.51,93.08
20150708,25.93,7.72,89.56
20150709,25.18,6.18,92.71
20150710,24.89,7.39,89.94
20150711,25.82,7.31,88.73
20150712,25.95,3.08,86.53
20150713,27.21,12.89,86.33
20150714,26.97,22.26,90.71
20150715,25.43,23.9,93.88
20150716,25.31,13.71,94.98
20150717,24.75,21.0,93.47
20150718,24.29,10.42,93.64
20150719,24.22,18.54,92.46
20150720,24.92,14.44,90.04
20150721,26.74,12.96,85.21
20150722,24.61,11.47,94.18
20150723,23.83,16.22,94.85
20150724,24.29,22.39,95.15
20150725,25.31,3.87,89.09
20150726,25.75,0.78,86.87
20150727,25.86,3.88,85.37
20150728,25.9,1.85,86.06
20150729,26.35,1.64,86.93
20150730,25.03,4.11,89.69
20150731,24.02,43.07,93.71
20150801,25.03,12.48,89.02
20150802,25.64,0.44,85.85
20150803,24.84,2.83,87.86
20150804,24.99,13.57,90.49
20150805,24.85,2.51,91.12
20150806,26.07,4.24,86.52
20150807,25.85,7.04,91.73
20150808,25.32,25.96,91.7
20150809,26.61,6.11,88.5
20150810,25.82,16.36,89.85
20150811,26.02,5.02,90.14
20150812,26.74,14.61,89.03
20150813,26.35,8.16,89.55
20150814,25.87,9.55,90.01
20150815,25.55,2.73,90.71
20150816,25.71,2.55,88.24
20150817,25.29,10.68,88.93
20150818,25.21,15.77,91.54
20150819,25.29,16.18,92.67
20150820,25.72,11.06,92.56
20150821,24.91,8.32,93.97
20150822,26.28,7.61,87.02
20150823,24.58,8.1,94.6
20150824,24.35,14.52,95.27
20150825,25.64,5.51,90.46
20150826,25.73,4.66,94.62
20150827,25.29,15.87,95.08
20150828,24.43,4.16,91.68
20150829,24.66,26.26,92.94
20150830,24.6,26.13,94.9
20150831,24.46,34.94,96.18
20150901,24.46,12.4,95.85
20150902,24.4,14.76,94.29
20150903,24.62,16.82,92.77
20150904,24.35,10.41,91.61
20150905,24.81,2.58,89.5
20150906,25.62,1.78,87.79
20150907,25.19,2.79,91.29
20150908,25.4,5.9,89.87
20150909,26.07,1.44,85.9
20150910,26.14,7.42,89.45
20150911,25.6,7.79,90.74
20150912,26.34,1.88,87.4
20150913,26.08,4.49,90.54
20150914,24.73,12.69,96.14
20150915,25.01,5.13,90.94
20150916,25.81,0.01,87.48
20150917,26.27,0.0,86.47
20150918,26.46,0.57,87.68
20150919,25.68,22.54,91.72
20150920,23.79,17.13,94.59
20150921,24.61,7.66,91.54
20150922,24.82,16.86,94.19
20150923,24.86,18.18,92.26
20150924,24.23,9.54,94.79
20150925,24.83,2.31,89.69
20150926,24.77,0.0,85.6
20150927,24.51,0.0,82.8
20150928,25.58,0.0,81.79
20150929,25.86,0.0,83.7
20150930,26.22,0.0,84.23
20151001,25.55,0.8,89.66
20151002,25.51,5.08,90.57
20151003,25.52,3.34,88.14
20151004,25.41,0.0,85.94
20151005,24.72,3.59,89.65
20151006,25.06,3.49,85.83
20151007,24.2,3.02,91.07
20151008,23.83,8.75,94.23
20151009,24.01,8.87,91.09
20151010,24.5,9.72,84.54
20151011,23.43,13.57,85.25
20151012,22.39,1.15,84.64
20151013,22.11,1.1,84.55
20151014,22.03,1.22,86.62
20151015,22.47,1.69,83.67
20151016,23.06,0.89,81.87
20151017,23.19,0.11,84.36
20151018,23.33,0.0,81.97
20151019,23.38,0.0,84.53
20151020,23.2,0.0,85.39
20151021,22.9,0.0,87.07
20151022,22.45,5.12,88.22
20151023,21.7,3.97,88.35
20151024,21.84,0.08,87.06
20151025,22.39,0.0,83.39
20151026,22.32,0.0,81.52
20151027,21.75,0.0,81.35
20151028,21.66,0.0,85.33
20151029,21.89,0.0,87.27
20151030,21.85,0.03,85.39
20151031,20.76,3.68,92.58
20151101,21.32,1.82,84.09
20151102,20.94,0.32,85.86
20151103,20.83,5.67,90.55
20151104,20.44,7.91,91.7
20151105,20.05,0.79,87.53
20151106,20.68,0.0,79.52
20151107,20.11,0.0,78.64
20151108,19.46,0.0,85.99
20151109,20.11,0.0,81.13
20151110,20.93,0.0,83.8
20151111,19.49,0.0,87.1
20151112,19.78,0.0,84.94
20151113,19.78,0.0,83.91
20151114,19.03,0.0,87.17
20151115,19.19,0.0,85.25
20151116,18.55,0.03,85.21
20151117,18.41,0.03,87.31
20151118,18.85,0.0,88.63
20151119,18.64,0.0,82.02
20151120,18.63,0.0,82.76
20151121,19.09,0.0,80.63
20151122,19.46,0.0,77.43
20151123,19.66,0.0,75.0
20151124,18.89,0.0,75.91
20151125,19.47,0.0,77.66
20151126,19.37,0.0,82.03
20151127,18.28,0.0,87.1
20151128,18.76,0.0,83.68
20151129,19.09,0.0,78.67
20151130,18.79,0.0,84.16
20151201,19.15,0.0,87.37
20151202,18.86,0.0,88.41
20151203,18.41,13.22,89.85
20151204,18.24,6.76,88.77
20151205,17.39,0.0,84.93
20151206,17.35,0.0,84.38
20151207,18.0,0.15,83.07
20151208,17.11,0.2,85.03
20151209,17.04,0.0,84.43
20151210,16.43,0.0,88.42
20151211,16.3,0.01,86.68
20151212,16.11,0.38,88.05
20151213,17.07,0.8,89.96
20151214,16.3,0.08,85.9
20151215,14.89,0.01,82.72
20151216,14.4,0.0,80.92
20151217,13.46,0.0,81.78
20151218,11.74,0.01,85.08
20151219,12.91,0.0,82.15
20151220,13.17,0.0,82.15
20151221,13.25,0.0,74.51
20151222,12.46,0.0,78.28
20151223,13.47,0.0,70.45
20151224,13.88,0.0,66.85
20151225,14.55,0.0,65.37
20151226,13.86,0.0,73.42
20151227,14.54,0.0,74.26
20151228,14.52,0.0,82.77
20151229,14.64,0.0,81.95
20151230,15.82,0.0,80.36
20151231,15.75,0.0,80.76
20160101,15.96,0.0,74.91
20160102,15.75,0.0,74.87
20160103,14.61,0.0,82.64
20160104,15.32,0.0,78.58
20160105,14.78,0.0,80.32
20160106,14.99,0.01,78.77
20160107,15.49,0.04,78.87
20160108,14.89,0.32,81.17
20160109,14.1,5.53,82.89
20160110,15.08,0.23,78.2
20160111,14.68,0.0,77.54
20160112,14.02,0.0,82.0
20160113,13.28,0.0,81.89
20160114,13.52,0.0,81.91
20160115,14.24,0.03,77.43
20160116,14.13,0.04,78.83
20160117,14.74,0.02,72.33
20160118,14.1,0.0,78.05
20160119,14.76,0.41,76.43
20160120,15.81,3.03,77.42
20160121,15.44,2.28,86.37
20160122,15.21,0.04,82.3
20160123,14.24,0.0,80.57
20160124,14.0,0.0,75.45
20160125,13.52,0.99,74.64
20160126,11.7,0.98,73.89
20160127,12.01,1.35,73.52
20160128,12.92,0.16,70.82
20160129,14.4,0.02,73.38
20160130,14.39,0.02,80.21
20160131,14.4,0.0,78.12
20160201,14.99,0.01,82.82
20160202,15.73,0.0,81.23
20160203,15.29,0.0,78.32
20160204,16.5,0.0,65.1
20160205,16.41,0.0,67.31
20160206,17.75,0.0,68.2
20160207,18.22,0.0,70.53
20160208,17.53,0.88,71.36
20160209,15.65,1.63,78.02
20160210,16.57,3.87,86.4
20160211,16.5,0.45,76.17
20160212,17.23,0.23,76.54
20160213,18.02,0.01,77.14
20160214,17.64,0.0,71.12
20160215,18.76,0.0,70.23
20160216,18.73,0.0,71.69
20160217,19.23,0.0,67.9
20160218,19.62,0.0,71.4
20160219,20.39,0.0,71.77
20160220,21.3,0.01,71.8
20160221,21.74,0.52,71.51
20160222,21.76,4.67,75.19
20160223,19.85,1.2,68.22
20160224,19.11,10.17,75.25
20160225,19.4,6.34,77.43
20160226,20.63,0.04,70.16
20160227,21.28,0.13,65.22
20160228,20.95,0.42,66.02
20160229,21.28,0.13,61.51
20160301,20.42,0.02,64.71
20160302,20.66,0.01,66.39
20160303,21.25,0.43,66.32
20160304,21.6,0.13,64.19
20160305,22.44,0.03,58.33
20160306,22.89,0.02,60.4
20160307,21.9,0.02,62.45
20160308,21.72,3.01,64.5
20160309,22.25,1.54,65.84
20160310,22.78,0.88,65.39
20160311,22.76,0.2,63.94
20160312,22.6,0.0,67.67
20160313,23.51,2.2,60.92
20160314,22.6,0.68,63.43
20160315,22.06,0.01,62.2
20160316,21.85,0.03,61.84
20160317,21.93,0.0,55.63
20160318,21.64,0.0,53.78
20160319,21.97,1.15,56.16
20160320,22.57,5.29,70.71
20160321,22.02,3.3,72.66
20160322,22.49,0.71,69.91
20160323,22.74,0.37,67.1
20160324,23.79,0.0,56.1
20160325,24.32,0.0,56.2
20160326,23.89,0.0,58.02
20160327,24.16,2.63,62.65
20160328,22.03,11.12,80.44
20160329,22.32,5.55,78.79
20160330,22.23,2.66,80.13
20160331,21.04,8.34,87.82
20160401,21.21,2.34,76.56
20160402,22.99,0.9,70.6
20160403,23.65,2.97,74.74
20160404,24.15,10.88,81.03
20160405,24.24,16.74,84.13
20160406,25.08,4.49,80.44
20160407,25.38,7.67,78.93
20160408,24.86,5.41,79.68
20160409,25.27,0.95,76.12
20160410,25.78,0.26,75.2
20160411,25.55,1.37,75.8
20160412,26.17,4.11,72.91
20160413,26.36,2.24,70.25
20160414,25.69,14.6,75.6
20160415,25.32,11.7,77.21
20160416,25.07,23.99,83.95
20160417,24.88,9.96,81.25
20160418,23.38,17.68,89.42
20160419,25.03,7.8,82.3
20160420,25.2,6.29,81.06
20160421,24.97,10.36,80.57
20160422,24.98,11.68,82.08
20160423,25.76,26.62,82.07
20160424,25.66,28.91,81.16
20160425,25.65,16.52,79.24
20160426,25.29,5.27,81.52
20160427,25.52,2.45,82.21
20160428,25.53,15.2,83.2
20160429,25.46,4.87,80.73
20160430,25.22,5.99,81.93
20160501,25.09,12.25,81.78
20160502,24.39,7.42,74.24
20160503,23.66,3.67,72.31
20160504,23.02,3.04,84.98
20160505,23.51,3.23,81.03
20160506,24.0,1.22,79.2
20160507,24.65,0.26,78.99
20160508,24.91,0.06,78.17
20160509,26.07,0.55,73.23
20160510,26.24,0.01,77.49
20160511,26.52,1.52,78.55
20160512,25.99,2.29,79.09
20160513,24.47,8.02,83.14
20160514,25.32,5.11,82.96
20160515,25.87,14.03,81.92
20160516,25.29,56.36,86.73
20160517,25.02,43.61,85.99
20160518,24.79,53.96,87.63
20160519,24.54,4.04,87.63
20160520,24.35,4.46,86.2
20160521,23.37,62.74,93.22
20160522,24.08,21.51,88.49
20160523,26.44,1.06,84.89
20160524,26.21,9.64,84.61
20160525,26.14,4.75,86.2
20160526,26.31,4.36,80.99
20160527,25.97,3.77,82.16
20160528,25.67,8.46,85.75
20160529,25.7,7.55,86.12
20160530,25.84,3.18,83.88
20160531,25.44,13.24,87.81
20160601,25.82,5.98,83.02
20160602,26.29,1.54,80.72
20160603,27.31,0.18,80.25
20160604,27.27,1.56,83.59
20160605,26.48,5.48,85.68
20160606,25.99,13.71,89.15
20160607,24.74,12.24,90.7
20160608,24.83,13.95,89.68
20160609,24.94,7.03,86.62
20160610,25.58,4.19,88.02
20160611,26.84,3.82,86.15
20160612,25.51,2.94,91.05
20160613,25.31,6.78,88.7
20160614,25.0,5.06,90.47
20160615,26.09,4.9,86.22
20160616,26.35,3.75,88.19
20160617,24.95,20.11,93.18
20160618,24.95,17.64,93.74
20160619,25.47,4.33,87.68
20160620,25.63,4.51,87.8
20160621,25.53,6.23,89.42
20160622,25.53,11.37,89.41
20160623,25.26,7.78,92.2
20160624,26.32,5.18,87.62
20160625,26.85,4.69,87.03
20160626,27.75,20.7,86.37
20160627,26.3,14.22,90.97
20160628,27.4,3.64,85.1
20160629,26.1,0.65,89.19
20160630,26.34,0.43,84.4
20160701,26.22,8.82,87.81
20160702,25.26,17.06,92.96
20160703,25.8,14.39,91.16
20160704,24.65,15.34,93.71
20160705,25.81,6.03,87.72
20160706,26.25,4.21,87.06
20160707,25.3,8.64,91.36
20160708,26.54,8.1,88.28
20160709,27.59,14.74,85.56
20160710,25.74,13.8,90.85
20160711,25.98,14.96,90.09
20160712,25.57,13.28,91.61
20160713,26.57,8.3,88.62
20160714,25.3,9.75,94.32
20160715,25.44,6.87,90.75
20160716,24.5,31.58,95.16
20160717,25.27,9.78,88.13
20160718,23.85,14.91,92.45
20160719,25.42,9.8,88.45
20160720,25.51,9.43,90.26
20160721,25.38,6.88,91.49
20160722,24.82,9.64,90.98
20160723,24.93,13.64,91.04
20160724,24.6,10.27,90.2
20160725,24.12,19.66,91.63
20160726,24.41,2.04,89.7
20160727,24.98,6.98,91.59
20160728,25.67,4.14,89.6
20160729,25.09,7.06,92.51
20160730,25.94,0.99,89.46
20160731,25.98,1.67,88.38
20160801,26.52,0.78,83.2
20160802,27.38,0.18,81.8
20160803,28.08,0.91,81.22
20160804,27.5,5.38,86.49
20160805,27.01,6.93,87.3
20160806,25.98,8.98,91.44
20160807,25.88,5.72,90.69
20160808,26.5,5.97,86.46
20160809,25.3,9.66,90.8
20160810,25.45,3.86,90.07
20160811,25.16,12.57,93.45
20160812,25.38,7.94,89.61
20160813,25.96,2.74,88.41
20160814,26.55,4.94,89.86
20160815,26.0,9.03,95.03
20160816,26.75,3.61,88.25
20160817,27.45,3.27,81.35
20160818,25.93,2.14,91.07
20160819,26.71,1.98,86.64
20160820,27.03,5.93,89.11
20160821,27.15,2.8,84.66
20160822,26.26,0.2,81.84
20160823,26.2,0.42,87.07
20160824,27.17,0.29,84.78
20160825,27.42,5.18,85.41
20160826,27.16,5.17,84.75
20160827,27.4,0.81,82.66
20160828,25.92,1.83,92.46
20160829,26.58,14.72,89.18
20160830,25.82,17.56,94.22
