,T2M,Rain,Humidity
20150101,21.11,0.03,65.93
20150102,21.17,3.8,68.51
20150103,19.92,6.17,79.03
20150104,20.22,1.25,76.56
20150105,17.58,0.02,67.54
20150106,14.21,0.0,62.33
20150107,14.95,0.04,61.27
20150108,16.23,0.23,60.93
20150109,15.96,0.0,62.02
20150110,13.37,0.0,60.71
20150111,14.2,0.0,51.7
20150112,15.53,0.0,49.84
20150113,16.63,0.0,57.42
20150114,17.75,0.0,56.64
20150115,18.83,0.0,55.24
20150116,18.85,0.0,57.91
20150117,16.82,0.0,55.62
20150118,15.15,0.0,58.85
20150119,15.04,0.0,55.63
20150120,14.85,0.0,51.17
20150121,16.0,0.0,51.65
20150122,17.35,0.0,50.55
20150123,17.92,0.0,48.77
20150124,18.18,0.0,62.54
20150125,17.43,0.0,54.74
20150126,17.84,0.0,49.89
20150127,20.15,0.05,56.11
20150128,19.85,0.02,61.33
20150129,19.32,0.41,57.09
20150130,17.03,0.69,56.31
20150131,14.78,0.0,47.29
20150201,15.33,0.0,45.88
20150202,17.85,0.0,44.68
20150203,19.58,0.0,43.21
20150204,19.74,0.0,46.8
20150205,18.33,0.0,47.18
20150206,17.3,0.0,47.36
20150207,17.64,0.0,46.35
20150208,19.14,0.0,46.39
20150209,19.53,0.0,51.48
20150210,19.17,0.0,45.77
20150211,18.4,0.0,40.44
20150212,18.59,0.0,39.75
20150213,18.86,0.01,43.39
20150214,19.1,0.0,42.27
20150215,20.77,0.06,41.0
20150216,21.21,0.01,50.04
20150217,22.68,0.03,49.77
20150218,23.45,0.45,47.98
20150219,23.3,1.92,56.39
20150220,22.3,0.0,48.18
20150221,23.14,0.12,44.51
20150222,24.01,0.11,42.6
20150223,24.84,0.0,39.78
20150224,25.64,0.18,38.78
20150225,25.47,0.0,40.47
20150226,26.19,0.01,40.45
20150227,26.3,0.44,39.08
20150228,26.43,0.14,40.95
20150301,28.21,0.14,44.22
20150302,26.55,4.79,44.94
20150303,23.06,1.25,54.62
20150304,23.38,0.07,43.6
20150305,21.87,0.02,32.68
20150306,21.06,0.0,36.35
20150307,22.25,0.0,39.44
20150308,23.19,0.0,36.53
20150309,24.99,0.0,32.04
20150310,25.85,0.0,28.39
20150311,24.0,0.0,26.88
20150312,24.25,0.0,28.92
20150313,24.52,0.0,28.61
20150314,27.15,0.0,33.84
20150315,27.47,0.0,35.87
20150316,27.37,0.41,39.03
20150317,27.76,0.0,38.83
20150318,26.99,0.0,31.7
20150319,25.05,0.04,28.25
20150320,25.5,0.0,31.17
20150321,27.03,0.0,28.47
20150322,27.7,0.0,30.53
20150323,29.09,0.22,29.39
20150324,29.63,0.01,30.36
20150325,30.52,0.01,34.62
20150326,30.23,1.21,39.75
20150327,28.02,16.29,56.64
20150328,29.04,1.11,51.99
20150329,29.79,0.55,46.9
20150330,28.24,21.37,58.61
20150331,26.42,2.73,58.11
20150401,28.22,0.34,48.72
20150402,28.74,0.24,43.41
20150403,29.63,0.03,41.01
20150404,30.14,0.87,39.92
20150405,28.83,0.86,48.88
20150406,28.24,0.3,47.3
20150407,28.69,0.72,52.28
20150408,29.1,0.81,52.24
20150409,28.97,0.0,35.98
20150410,29.16,0.0,30.85
20150411,30.59,0.0,26.3
20150412,29.04,2.1,48.88
20150413,26.64,6.5,63.89
20150414,27.33,0.0,50.2
20150415,28.83,0.0,47.75
20150416,30.56,0.04,44.15
20150417,29.46,6.79,47.34
20150418,28.09,18.09,59.8
20150419,29.02,9.07,54.24
20150420,30.94,0.01,54.3
20150421,31.52,1.3,47.12
20150422,30.85,10.58,47.74
20150423,31.08,0.95,49.87
20150424,29.38,3.37,60.29
20150425,25.36,4.69,70.97
20150426,26.79,0.19,52.51
20150427,27.96,1.31,55.09
20150428,28.64,10.98,59.59
20150429,27.54,11.36,67.57
20150430,29.51,0.33,52.39
20150501,31.22,0.91,49.0
20150502,31.24,2.67,55.57
20150503,31.53,4.82,54.69
20150504,31.86,0.04,37.04
20150505,32.72,0.0,39.81
20150506,32.19,0.02,41.71
20150507,31.74,3.26,51.95
20150508,29.45,2.59,64.38
20150509,30.29,1.77,62.18
20150510,31.1,2.97,61.1
20150511,29.71,6.43,69.96
20150512,30.48,12.15,66.05
20150513,32.21,1.14,51.73
20150514,32.74,4.09,51.12
20150515,33.84,1.31,43.37
20150516,33.04,2.24,48.44
20150517,32.1,5.79,53.77
20150518,31.5,8.84,58.05
20150519,31.14,11.12,63.79
20150520,30.99,11.7,64.53
20150521,33.28,1.53,51.84
20150522,33.2,2.49,52.47
20150523,32.99,2.02,49.13
20150524,32.19,7.81,58.93
20150525,32.68,3.01,60.46
20150526,32.19,10.6,63.31
20150527,31.07,12.4,67.08
20150528,31.68,3.56,66.62
20150529,32.3,5.14,65.05
20150530,31.28,25.49,73.82
20150531,31.85,2.03,66.77
20150601,31.79,6.4,67.3
20150602,32.11,4.91,64.48
20150603,30.79,2.73,70.31
20150604,32.29,1.38,62.68
20150605,32.47,5.48,59.78
20150606,33.06,3.26,60.06
20150607,34.0,1.22,57.65
20150608,32.92,2.71,62.62
20150609,34.31,0.96,56.34
20150610,32.54,16.71,68.36
20150611,30.75,26.92,78.53
20150612,31.52,11.44,70.98
20150613,30.9,1.19,68.59
20150614,29.59,4.22,72.59
20150615,30.2,2.52,74.6
20150616,29.94,7.97,75.83
20150617,30.94,2.97,70.63
20150618,30.63,13.77,73.69
20150619,30.41,13.26,74.67
20150620,30.92,3.56,74.1
20150621,31.02,1.29,74.9
20150622,29.99,11.45,81.2
20150623,29.9,14.85,82.52
20150624,29.44,13.86,83.75
20150625,29.51,7.46,80.58
20150626,30.58,18.4,77.2
20150627,28.61,23.71,87.8
20150628,28.33,5.76,84.04
20150629,29.6,2.53,76.4
20150630,29.83,11.95,80.29
20150701,29.73,14.36,82.97
20150702,30.26,6.85,81.27
20150703,30.47,6.43,80.13
20150704,30.91,6.22,79.17
20150705,30.31,19.02,83.94
20150706,29.46,12.06,86.16
20150707,29.06,7.63,88.21
20150708,30.18,5.47,80.25
20150709,28.43,4.67,88.31
20150710,27.9,16.74,89.84
20150711,29.21,6.68,84.1
20150712,30.01,1.02,81.35
20150713,30.56,0.56,79.41
20150714,30.54,5.38,83.12
20150715,29.29,16.53,91.29
20150716,27.99,8.33,88.74
20150717,28.93,1.22,81.47
20150718,29.68,1.11,79.22
20150719,28.32,2.63,84.92
20150720,27.28,2.16,91.23
20150721,27.73,10.21,86.78
20150722,28.32,10.32,88.21
20150723,28.52,13.36,86.7
20150724,28.27,10.62,87.32
20150725,29.36,0.87,82.72
20150726,30.07,1.26,80.67
20150727,28.54,3.75,86.72
20150728,29.75,0.15,78.56
20150729,29.79,0.51,82.81
20150730,30.06,1.57,79.79
20150731,28.19,2.54,82.73
20150801,26.71,9.21,88.84
20150802,28.26,2.59,84.69
20150803,28.44,4.46,84.05
20150804,28.83,3.6,81.77
20150805,29.48,5.7,82.44
20150806,29.47,10.37,82.44
20150807,29.07,2.99,84.47
20150808,28.77,4.64,85.73
20150809,28.93,7.21,82.95
20150810,29.67,13.87,84.39
20150811,30.5,11.94,79.52
