,T2M,Rain,Humidity
20150101,17.2,29.53,88.56
20150102,17.78,8.45,84.65
20150103,16.92,4.28,91.41
20150104,15.67,0.32,79.29
20150105,12.24,0.0,66.56
20150106,14.05,0.0,50.8
20150107,15.31,0.0,50.06
20150108,12.86,0.0,62.93
20150109,11.8,0.0,57.43
20150110,13.01,0.0,47.98
20150111,12.78,0.0,48.71
20150112,12.88,0.0,49.28
20150113,12.86,0.0,49.14
20150114,14.97,0.0,44.77
20150115,14.3,0.0,51.77
20150116,13.4,0.0,58.79
20150117,12.31,0.0,58.28
20150118,11.78,0.0,51.6
20150119,12.63,0.0,51.39
20150120,14.32,0.0,47.84
20150121,16.26,0.0,54.63
20150122,17.06,1.29,57.52
20150123,16.14,3.1,77.78
20150124,16.58,0.06,75.35
20150125,18.77,0.01,66.02
20150126,18.93,0.13,67.06
20150127,18.34,1.02,71.96
20150128,17.21,3.24,75.91
20150129,15.85,3.89,77.1
20150130,13.32,0.12,48.69
20150131,13.44,0.0,42.03
20150201,16.07,0.0,40.19
20150202,17.01,0.0,44.35
20150203,19.14,0.0,43.78
20150204,18.21,0.27,55.76
20150205,16.92,0.0,57.25
20150206,17.51,0.0,52.5
20150207,19.37,0.0,52.18
20150208,19.59,4.01,58.42
20150209,18.19,1.39,66.99
20150210,17.93,0.05,62.37
20150211,16.36,4.3,71.4
20150212,17.82,0.62,68.72
20150213,17.49,0.0,52.51
20150214,19.73,0.0,38.25
20150215,19.98,0.0,45.47
20150216,19.51,0.0,44.17
20150217,21.04,0.0,40.71
20150218,21.55,0.0,39.18
20150219,20.22,0.0,43.68
20150220,21.59,0.0,42.34
20150221,22.03,0.06,41.57
20150222,21.6,0.0,43.41
20150223,21.87,0.0,38.77
20150224,22.53,0.0,36.0
20150225,24.17,0.0,32.99
20150226,22.98,0.0,39.87
20150227,23.54,0.0,40.67
20150228,24.35,8.86,42.15
20150301,21.0,5.41,70.64
20150302,18.7,33.05,81.18
20150303,18.29,2.35,70.51
20150304,16.65,0.0,56.39
20150305,18.13,0.0,50.37
20150306,19.27,0.0,48.82
20150307,21.14,0.0,44.52
20150308,22.33,0.0,46.31
20150309,22.93,0.11,51.82
20150310,21.63,0.01,53.29
20150311,21.78,0.0,43.64
20150312,23.75,0.06,45.53
20150313,23.85,1.56,51.45
20150314,22.74,4.22,60.03
20150315,23.24,3.92,59.3
20150316,22.52,7.24,62.08
20150317,22.85,0.78,64.55
20150318,21.59,0.0,57.1
20150319,21.0,0.0,46.98
20150320,21.82,0.0,42.93
20150321,23.23,0.0,42.55
20150322,25.75,0.0,41.5
20150323,26.46,0.0,43.17
20150324,24.99,0.0,45.46
20150325,25.19,0.0,35.53
20150326,26.36,0.0,33.83
20150327,27.25,0.0,36.0
20150328,28.09,0.05,34.83
20150329,27.59,2.68,40.54
20150330,23.49,1.74,60.17
20150331,25.54,0.0,45.44
20150401,26.7,0.0,31.74
20150402,27.21,0.0,27.19
20150403,27.39,0.0,31.44
20150404,27.15,0.0,29.99
20150405,26.58,0.0,35.0
20150406,27.63,0.0,36.68
20150407,28.45,0.0,30.96
20150408,28.26,6.25,40.72
20150409,28.33,0.74,42.81
20150410,29.45,0.03,42.45
20150411,28.11,1.2,45.78
20150412,23.9,2.45,59.77
20150413,22.48,2.78,66.39
20150414,23.49,6.66,63.68
20150415,23.62,2.68,59.69
20150416,25.54,0.06,55.56
20150417,27.65,0.0,46.07
20150418,29.37,0.0,42.52
20150419,31.69,0.0,35.63
20150420,31.92,0.0,33.23
20150421,32.18,0.0,28.23
20150422,31.96,0.0,23.85
20150423,32.08,0.0,20.42
20150424,31.28,0.03,16.55
20150425,30.21,1.21,27.44
20150426,29.53,2.74,40.63
20150427,30.94,0.09,35.55
20150428,32.55,0.0,27.88
20150429,32.54,0.08,25.08
20150430,32.02,0.14,27.81
20150501,32.22,0.0,19.35
20150502,31.7,0.0,14.72
20150503,32.38,0.21,20.9
20150504,32.98,0.04,24.77
20150505,33.04,0.1,26.11
20150506,33.53,0.0,16.86
20150507,33.65,0.0,15.68
20150508,34.49,0.0,13.38
20150509,34.19,0.0,14.97
20150510,33.65,0.09,20.34
20150511,34.55,0.96,25.88
20150512,33.98,0.29,31.88
20150513,34.24,0.15,28.21
20150514,32.98,0.36,32.92
20150515,29.96,0.47,42.63
20150516,32.48,5.04,39.45
20150517,32.11,1.0,35.87
20150518,33.16,0.0,30.74
20150519,34.8,0.0,29.14
20150520,34.58,0.2,28.74
20150521,34.79,0.0,20.68
20150522,35.84,0.0,19.74
20150523,36.14,0.0,17.65
20150524,35.63,0.11,21.89
20150525,36.0,0.09,22.98
20150526,36.31,0.15,22.98
20150527,36.11,0.33,18.28
20150528,35.16,0.0,8.52
20150529,36.41,0.0,15.77
20150530,36.84,0.0,17.4
20150531,37.16,0.0,18.55
20150601,35.12,0.25,30.09
20150602,34.5,0.64,31.52
20150603,34.44,0.01,29.36
20150604,33.59,0.0,34.99
20150605,34.51,0.3,35.19
20150606,34.47,1.97,32.2
20150607,34.51,0.85,35.5
20150608,35.63,0.0,31.08
20150609,36.21,0.0,25.82
20150610,34.51,0.16,32.01
20150611,34.11,1.62,38.18
20150612,30.66,3.38,52.27
20150613,27.73,6.54,67.29
20150614,29.16,5.15,62.05
20150615,29.93,5.36,58.74
20150616,29.93,3.26,62.07
20150617,30.42,5.3,61.57
20150618,29.82,12.17,64.23
20150619,31.0,1.54,60.1
20150620,30.25,0.38,64.75
20150621,30.5,6.07,64.78
20150622,28.56,18.55,74.83
20150623,26.95,3.72,80.06
20150624,27.35,11.82,76.86
20150625,26.53,8.93,76.6
20150626,27.2,0.45,69.4
20150627,28.42,1.15,66.28
20150628,28.98,3.17,67.25
20150629,26.74,16.37,78.88
20150630,27.44,3.63,73.63
20150701,26.51,8.45,77.68
20150702,26.01,18.98,79.09
20150703,26.95,6.47,75.66
20150704,27.58,3.4,72.49
20150705,27.99,0.09,70.02
20150706,27.88,6.1,72.61
20150707,26.42,9.79,80.92
20150708,25.85,20.77,84.71
20150709,25.35,50.64,90.91
20150710,25.36,37.51,90.51
20150711,24.67,16.85,91.25
20150712,25.47,5.47,85.8
20150713,26.6,7.4,82.4
20150714,27.07,10.93,83.42
20150715,26.38,8.8,87.45
20150716,25.28,6.18,88.38
20150717,24.45,12.09,91.21
20150718,25.34,11.89,86.38
20150719,25.43,2.91,89.11
20150720,26.61,2.64,86.61
20150721,26.45,1.5,87.62
20150722,26.36,25.52,85.39
20150723,25.99,19.27,88.14
20150724,25.29,1.58,89.57
20150725,25.14,7.96,88.96
20150726,24.08,0.84,89.51
20150727,24.52,0.01,85.47
20150728,24.75,0.0,84.14
20150729,25.19,0.01,83.58
20150730,24.8,0.01,85.12
20150731,24.8,0.01,84.78
20150801,24.81,0.2,85.35
20150802,24.98,13.41,87.13
20150803,24.17,87.27,94.16
20150804,25.35,15.37,90.33
20150805,24.94,1.06,85.61
20150806,25.1,0.41,86.08
20150807,26.11,4.03,86.03
20150808,25.38,0.93,90.98
20150809,26.48,2.25,84.14
20150810,25.45,9.87,88.6
20150811,25.26,4.99,92.12
20150812,26.32,7.1,86.82
20150813,26.49,13.06,85.45
20150814,26.62,18.51,84.65
20150815,26.55,3.09,86.77
20150816,25.38,28.83,93.0
20150817,25.23,26.85,90.45
20150818,24.92,3.48,90.4
20150819,25.0,2.13,87.43
20150820,24.56,1.82,89.19
20150821,24.39,0.32,86.73
20150822,24.2,5.96,87.47
20150823,24.38,1.44,87.19
20150824,24.76,0.03,86.83
20150825,25.0,1.86,86.89
20150826,25.03,7.42,87.59
20150827,24.6,7.77,92.22
20150828,24.73,6.44,92.56
20150829,24.78,14.1,93.4
20150830,24.72,10.45,93.03
20150831,24.99,6.84,90.36
20150901,25.18,9.1,88.16
20150902,24.62,14.97,88.45
20150903,24.34,8.8,87.22
20150904,24.36,0.13,83.99
20150905,25.28,0.0,82.52
20150906,25.38,0.0,80.24
20150907,25.26,0.75,81.05
20150908,24.96,0.41,83.18
20150909,24.66,0.0,82.22
20150910,24.6,0.0,80.28
20150911,25.29,0.0,77.9
20150912,26.31,0.28,70.33
20150913,25.77,2.67,80.77
20150914,26.25,1.43,82.31
20150915,25.03,2.9,87.55
20150916,24.69,19.35,90.47
20150917,25.19,13.27,90.11
20150918,25.91,0.43,87.26
20150919,25.51,0.82,87.73
20150920,23.92,33.54,93.11
20150921,22.8,34.26,94.03
20150922,24.43,0.13,86.93
20150923,23.83,4.21,89.62
20150924,23.57,0.21,87.04
20150925,21.96,0.0,85.31
20150926,22.18,0.0,78.75
20150927,23.65,0.0,76.98
20150928,24.47,0.0,74.73
20150929,24.14,0.0,74.82
20150930,24.17,0.0,74.18
20151001,25.27,0.0,77.9
20151002,26.14,0.0,78.82
20151003,25.47,0.0,75.12
20151004,25.31,0.0,60.13
20151005,24.97,0.0,62.19
20151006,24.19,0.0,66.19
20151007,23.89,0.0,61.69
20151008,23.59,0.0,59.39
20151009,22.74,0.0,66.52
20151010,22.96,0.0,69.98
20151011,24.04,0.0,64.45
20151012,24.15,0.0,62.69
20151013,24.58,0.31,62.89
20151014,24.0,2.9,69.74
20151015,22.86,0.01,81.27
20151016,22.76,0.0,79.73
20151017,23.94,0.0,65.46
20151018,23.91,0.0,66.64
20151019,24.57,0.0,66.46
20151020,25.23,0.0,55.05
20151021,24.66,0.0,62.65
20151022,23.79,1.17,72.28
20151023,24.25,0.0,64.05
20151024,23.76,0.0,63.47
20151025,22.78,0.0,72.74
20151026,23.03,1.21,72.03
20151027,22.77,0.01,76.36
20151028,22.57,4.82,76.74
20151029,19.64,24.88,87.84
20151030,18.64,0.13,84.77
20151031,20.26,0.0,83.07
20151101,20.39,0.0,79.92
20151102,20.94,0.0,79.88
20151103,21.32,0.0,77.15
20151104,22.37,0.0,66.23
20151105,22.26,0.05,65.2
20151106,22.34,0.07,69.09
20151107,22.38,0.0,69.94
20151108,22.17,0.0,73.2
20151109,22.07,0.55,71.04
20151110,22.07,0.96,66.35
20151111,22.67,0.01,60.03
20151112,21.61,0.0,63.99
20151113,20.61,0.0,59.13
20151114,21.37,0.0,56.22
20151115,21.85,0.0,52.78
20151116,21.82,0.0,51.1
20151117,21.09,0.0,58.48
20151118,19.76,0.0,61.74
20151119,18.75,0.0,59.89
20151120,19.6,0.0,64.97
20151121,19.72,0.0,63.74
20151122,19.68,0.0,65.94
20151123,20.12,0.0,62.81
20151124,19.76,0.0,60.74
20151125,19.16,0.0,58.75
20151126,19.78,0.0,52.39
20151127,21.04,0.0,58.75
20151128,22.15,0.0,67.2
20151129,22.23,0.0,65.76
20151130,21.75,0.0,65.71
20151201,22.34,0.0,63.65
20151202,22.24,0.02,64.5
20151203,20.45,0.01,69.21
20151204,18.14,0.0,62.21
20151205,17.9,0.0,51.56
20151206,17.05,0.0,48.95
20151207,17.32,0.0,47.5
20151208,18.16,0.0,42.55
20151209,19.06,0.0,37.05
20151210,19.79,0.0,42.0
20151211,21.18,0.0,47.55
20151212,18.64,0.0,52.89
20151213,17.49,0.0,49.98
20151214,16.59,0.0,49.38
20151215,14.02,0.0,36.0
20151216,16.29,0.0,37.69
20151217,17.31,0.02,67.67
20151218,14.38,0.0,40.19
20151219,14.83,0.0,36.26
20151220,17.48,0.0,47.09
20151221,16.47,0.0,49.51
20151222,16.88,0.02,58.65
20151223,16.67,0.0,62.85
20151224,13.49,0.0,39.76
20151225,12.48,0.0,38.77
20151226,14.12,0.0,33.32
20151227,16.6,0.0,31.11
20151228,18.98,0.0,31.04
20151229,19.91,0.0,31.58
20151230,20.05,0.0,33.74
20151231,19.74,0.0,37.55
20160101,19.35,0.0,37.9
20160102,18.71,0.0,41.38
20160103,16.99,0.0,35.23
20160104,17.23,0.0,34.04
20160105,17.95,0.0,34.24
20160106,20.1,0.0,31.52
20160107,19.13,0.0,35.52
20160108,20.63,0.0,35.14
20160109,18.53,0.0,38.79
20160110,17.48,0.0,28.55
20160111,17.61,0.0,24.16
20160112,17.88,0.0,26.64
20160113,19.55,0.0,28.01
20160114,19.52,0.0,33.66
20160115,20.26,0.0,38.78
20160116,20.29,1.33,44.01
20160117,16.77,3.99,67.41
20160118,15.36,9.87,85.95
20160119,17.33,4.38,79.74
20160120,13.05,1.78,70.45
20160121,12.18,0.0,51.11
20160122,11.66,0.0,44.21
20160123,12.79,0.0,38.04
20160124,14.21,0.0,38.71
20160125,15.07,0.0,39.67
20160126,16.55,0.0,38.64
20160127,17.18,0.0,40.1
20160128,18.24,0.0,41.43
20160129,19.66,0.0,41.76
20160130,21.62,0.0,36.46
20160131,21.2,0.0,39.24
20160201,20.62,0.0,45.37
20160202,20.33,0.0,43.99
