,T2M,Rain,Humidity
20150101,15.47,0.0,71.84
20150102,17.95,0.0,77.82
20150103,18.17,2.83,83.58
20150104,17.31,8.02,90.84
20150105,14.54,0.75,85.57
20150106,13.55,0.0,79.08
20150107,13.68,0.0,78.89
20150108,13.53,0.23,78.71
20150109,13.33,0.44,77.77
20150110,13.2,0.0,78.74
20150111,13.19,0.0,76.9
20150112,13.21,0.0,79.12
20150113,14.29,0.0,73.94
20150114,15.13,0.0,74.16
20150115,15.6,0.0,74.77
20150116,15.49,0.18,70.8
20150117,15.78,0.4,70.21
20150118,13.44,0.79,82.9
20150119,13.67,0.01,77.13
20150120,14.18,0.0,76.47
20150121,13.84,0.0,79.99
20150122,15.25,0.0,76.48
20150123,14.68,0.0,79.3
20150124,13.98,0.0,74.15
20150125,13.41,0.0,73.69
20150126,14.01,0.0,65.5
20150127,14.8,0.0,65.96
20150128,14.85,0.0,79.6
20150129,14.98,0.0,74.03
20150130,13.3,0.44,81.0
20150131,12.05,0.0,70.39
20150201,13.06,0.0,60.96
20150202,14.31,0.0,61.71
20150203,16.0,0.0,60.45
20150204,14.5,0.0,72.04
20150205,14.48,0.0,69.21
20150206,13.78,0.0,61.59
20150207,13.85,0.0,56.32
20150208,14.83,0.0,60.33
20150209,14.81,0.0,67.57
20150210,15.54,0.0,70.85
20150211,14.81,0.0,66.19
20150212,14.35,0.0,61.1
20150213,13.51,0.0,67.58
20150214,14.22,0.08,70.01
20150215,14.68,0.01,67.76
20150216,15.62,0.0,67.01
20150217,16.63,0.06,67.47
20150218,16.13,8.2,69.61
20150219,14.79,1.41,78.96
20150220,16.41,0.01,76.44
20150221,16.45,4.22,78.16
20150222,16.69,1.51,78.43
20150223,18.03,0.0,73.02
20150224,18.0,0.0,72.8
20150225,18.49,0.01,73.99
20150226,18.09,4.39,82.3
20150227,18.37,0.38,80.65
20150228,19.19,0.0,77.6
20150301,20.87,0.0,68.66
20150302,20.3,0.01,75.18
20150303,18.5,0.07,70.76
20150304,16.57,3.12,76.46
20150305,15.94,0.09,73.64
20150306,15.4,0.01,55.57
20150307,15.9,0.07,60.99
20150308,17.29,0.0,57.54
20150309,19.29,0.0,53.98
20150310,18.18,0.0,54.35
20150311,18.07,0.0,47.85
20150312,19.15,0.0,46.24
20150313,18.32,0.0,50.98
20150314,18.75,0.0,59.92
20150315,20.13,0.0,62.12
20150316,20.23,0.0,59.26
20150317,19.56,0.0,66.59
20150318,19.4,0.0,66.45
20150319,18.73,0.01,62.68
20150320,18.82,0.0,48.82
20150321,20.57,0.0,51.27
20150322,21.39,0.0,48.9
20150323,22.29,0.0,52.33
20150324,21.7,0.0,63.35
20150325,20.92,0.49,71.64
20150326,21.49,0.63,69.13
20150327,20.57,11.72,74.3
20150328,19.84,3.04,80.73
20150329,21.46,0.21,73.86
20150330,21.0,6.27,77.42
20150331,19.52,1.6,84.38
20150401,20.52,8.14,77.89
20150402,20.4,23.23,83.79
20150403,21.37,16.45,82.14
20150404,21.39,35.7,85.67
20150405,20.48,18.73,85.39
20150406,20.0,12.4,82.6
20150407,21.24,0.06,72.7
20150408,21.01,4.9,80.73
20150409,20.64,3.36,82.29
20150410,20.86,3.71,79.82
20150411,20.93,3.88,77.54
20150412,21.19,0.07,77.57
20150413,21.21,0.18,78.88
20150414,22.41,0.0,71.48
20150415,22.37,0.0,71.68
20150416,21.69,0.02,74.52
20150417,21.2,0.81,75.24
20150418,20.48,32.45,84.13
20150419,21.38,22.98,81.54
20150420,21.84,11.75,78.21
20150421,21.82,29.72,90.45
20150422,22.59,16.62,88.44
20150423,22.71,20.71,87.55
20150424,21.04,7.38,87.27
20150425,20.37,3.77,82.79
20150426,19.59,0.97,85.77
20150427,20.52,0.45,80.61
20150428,21.06,8.78,78.88
20150429,20.72,8.77,83.89
20150430,21.28,8.16,82.17
20150501,21.79,11.52,83.46
20150502,22.33,10.47,85.24
20150503,22.48,8.45,85.58
20150504,22.7,4.59,82.37
20150505,22.08,7.73,82.04
20150506,23.0,4.33,81.84
20150507,23.23,8.17,79.72
20150508,21.5,0.7,85.51
20150509,23.24,1.94,75.0
20150510,23.05,25.35,85.31
20150511,22.5,1.53,87.88
20150512,21.93,2.55,89.14
20150513,23.2,11.06,83.21
20150514,23.66,37.59,86.49
20150515,24.12,12.84,87.01
20150516,22.66,22.09,92.3
20150517,21.75,5.6,89.45
20150518,22.68,8.85,85.13
20150519,24.05,0.02,80.7
20150520,24.67,0.0,81.16
20150521,24.88,8.71,83.67
20150522,24.79,11.32,82.77
20150523,24.48,17.95,85.21
20150524,23.96,18.18,88.15
20150525,23.55,22.62,87.28
20150526,23.5,13.4,84.34
20150527,23.11,23.11,89.15
20150528,24.13,23.67,87.16
20150529,24.32,24.53,86.74
20150530,24.52,32.3,88.32
20150531,24.09,24.34,88.89
20150601,23.86,15.13,91.29
20150602,24.4,9.88,88.35
20150603,24.48,17.11,89.74
20150604,24.3,3.57,90.73
20150605,24.35,1.27,88.54
20150606,24.57,8.46,88.54
20150607,24.34,16.1,90.29
20150608,24.89,13.87,88.54
20150609,24.68,34.21,88.87
20150610,24.25,96.34,91.21
20150611,23.68,47.53,93.4
20150612,23.07,25.34,92.32
20150613,23.07,32.26,90.5
20150614,23.62,7.82,90.09
20150615,23.42,13.33,91.66
20150616,23.16,20.02,91.6
20150617,23.72,5.6,89.58
20150618,23.51,12.4,89.56
20150619,25.51,1.46,82.56
20150620,24.71,3.78,89.66
20150621,24.1,8.29,90.47
20150622,24.4,14.85,89.09
20150623,24.78,15.58,89.35
20150624,25.36,7.36,89.64
20150625,26.13,8.52,88.4
20150626,24.3,15.48,94.18
20150627,24.31,14.42,90.26
20150628,24.21,5.3,87.7
20150629,24.41,1.26,86.93
20150630,24.48,2.78,86.99
20150701,24.8,4.2,87.49
20150702,25.08,6.87,86.75
20150703,24.57,8.57,91.37
20150704,25.06,10.53,88.9
20150705,24.68,9.87,91.2
20150706,25.59,14.14,89.62
20150707,23.95,5.68,94.87
20150708,24.13,6.23,91.4
20150709,23.53,5.56,93.1
20150710,24.33,12.21,87.3
20150711,24.0,9.75,90.29
20150712,24.65,7.04,88.11
20150713,25.88,30.2,87.89
20150714,25.6,43.98,91.83
20150715,24.1,33.19,94.87
20150716,23.9,13.3,95.68
20150717,23.92,10.91,89.26
20150718,23.12,7.7,92.41
20150719,22.72,26.58,92.47
20150720,23.49,17.97,88.9
20150721,24.88,12.59,86.62
20150722,23.21,14.32,95.29
20150723,23.36,19.83,93.96
20150724,23.55,35.42,93.95
20150725,23.49,4.56,89.75
20150726,23.56,0.26,88.19
20150727,23.96,1.2,86.04
20150728,23.94,0.54,86.97
20150729,24.22,0.55,88.53
20150730,23.37,2.77,89.86
20150731,22.38,26.6,94.76
20150801,23.53,9.24,90.05
20150802,23.71,1.6,87.68
20150803,23.13,6.98,89.36
20150804,23.67,20.66,90.65
20150805,23.37,1.96,91.46
20150806,24.49,6.81,87.7
20150807,24.89,8.67,90.7
20150808,24.76,20.05,88.45
20150809,25.74,10.36,87.09
20150810,24.14,17.78,89.61
20150811,24.95,5.28,87.22
20150812,25.57,16.2,86.57
20150813,25.04,10.92,87.31
20150814,24.62,13.11,90.33
20150815,24.33,6.59,92.76
20150816,24.4,3.62,90.37
20150817,24.23,16.72,90.65
20150818,23.69,29.24,93.05
20150819,24.3,35.06,93.96
20150820,24.13,30.68,95.39
20150821,23.6,8.28,94.13
20150822,24.58,6.58,87.6
20150823,23.27,4.91,94.41
20150824,23.95,9.7,91.54
20150825,24.21,4.06,92.24
20150826,24.27,1.98,92.84
20150827,23.94,27.66,94.19
20150828,23.59,8.33,90.53
20150829,23.51,24.87,94.21
20150830,23.77,42.92,94.3
20150831,23.5,76.28,96.8
20150901,23.39,19.33,93.9
20150902,23.58,17.22,91.23
20150903,22.98,27.53,93.43
20150904,22.69,21.51,93.36
20150905,23.47,3.31,91.16
20150906,24.23,0.59,87.41
20150907,23.67,3.11,90.74
20150908,23.9,15.62,89.35
20150909,24.37,2.06,85.41
20150910,24.19,9.76,90.02
20150911,24.37,14.59,88.99
20150912,25.11,5.02,86.9
20150913,24.66,5.59,91.62
20150914,23.39,32.13,95.59
20150915,23.75,10.12,89.86
20150916,24.22,0.13,87.77
20150917,24.96,0.0,86.49
20150918,24.66,0.9,90.69
20150919,23.81,7.97,92.79
20150920,22.04,15.7,94.08
20150921,23.13,18.62,93.25
20150922,23.78,26.46,94.34
20150923,23.87,37.97,92.71
20150924,22.99,14.26,95.36
20150925,23.54,1.75,89.72
20150926,23.11,0.0,83.91
20150927,23.27,0.0,77.61
20150928,24.0,0.0,78.93
20150929,24.38,0.0,84.28
20150930,25.28,0.0,82.76
20151001,24.31,1.82,89.67
20151002,24.32,6.51,88.33
20151003,23.91,3.0,86.58
20151004,23.43,0.0,86.29
20151005,22.96,5.85,89.1
20151006,23.11,6.57,85.06
20151007,23.65,3.62,84.9
20151008,22.43,7.07,94.12
20151009,22.9,5.7,92.14
20151010,22.19,13.85,85.78
20151011,21.43,7.0,88.31
20151012,20.53,0.48,85.94
20151013,20.14,1.5,86.97
20151014,20.11,2.31,88.53
20151015,20.65,1.01,86.52
20151016,21.3,1.31,84.91
20151017,21.73,0.25,82.85
20151018,22.48,0.0,78.97
20151019,22.35,0.0,83.0
20151020,21.73,0.0,87.83
20151021,22.04,0.0,85.39
20151022,21.4,4.61,87.0
20151023,20.3,2.17,86.38
20151024,20.4,0.04,83.26
20151025,20.81,0.0,82.19
20151026,20.89,0.0,76.09
20151027,20.74,0.0,74.59
20151028,20.2,0.0,80.49
20151029,20.18,0.0,86.53
20151030,19.91,0.01,83.82
20151031,18.94,2.05,93.33
20151101,19.74,2.02,84.89
20151102,19.73,0.23,85.94
20151103,19.62,4.07,88.84
20151104,18.91,4.91,89.17
20151105,18.35,0.54,84.79
20151106,19.21,0.02,77.36
20151107,19.14,0.0,74.18
20151108,17.79,0.0,87.89
20151109,18.26,0.0,83.68
20151110,18.5,0.0,82.35
20151111,17.54,0.0,85.54
20151112,19.02,0.0,82.89
20151113,18.3,0.0,85.77
20151114,17.93,0.0,84.35
20151115,18.49,0.0,85.91
20151116,17.24,0.0,86.14
20151117,17.61,0.0,83.78
20151118,17.58,0.0,84.84
20151119,16.17,0.0,85.66
20151120,16.64,0.0,86.54
20151121,17.5,0.0,82.54
20151122,18.22,0.0,78.48
20151123,18.52,0.0,69.75
20151124,17.59,0.0,67.89
20151125,18.26,0.0,73.13
20151126,17.74,0.0,84.55
20151127,16.73,0.0,87.82
20151128,16.79,0.0,84.04
20151129,17.61,0.0,82.84
20151130,17.84,0.0,84.64
20151201,17.85,0.0,87.61
20151202,17.3,0.0,87.65
20151203,16.57,16.61,90.82
20151204,16.62,3.25,89.43
20151205,16.03,0.0,87.62
20151206,15.69,0.0,86.68
20151207,15.78,0.68,85.04
20151208,15.62,0.85,84.78
20151209,16.61,0.0,80.84
20151210,14.91,0.0,88.83
20151211,14.1,0.01,88.18
20151212,14.2,0.45,88.44
20151213,15.54,0.44,91.16
20151214,13.55,0.06,86.6
20151215,12.4,0.01,79.43
20151216,12.53,0.0,78.53
20151217,12.31,0.0,76.16
20151218,10.69,0.17,85.96
20151219,11.12,0.01,81.19
20151220,11.84,0.0,81.9
20151221,12.02,0.0,69.92
20151222,11.41,0.0,74.88
20151223,12.23,0.0,66.88
20151224,12.76,0.0,69.39
20151225,12.33,0.0,70.48
20151226,11.55,0.0,78.99
20151227,12.8,0.0,73.79
20151228,13.06,0.0,79.15
20151229,14.31,0.0,83.34
20151230,15.37,0.0,83.11
20151231,14.61,0.0,83.65
20160101,14.61,0.0,77.03
20160102,14.49,0.0,75.6
20160103,13.41,0.0,84.09
20160104,14.06,0.0,79.18
20160105,13.37,0.0,81.29
20160106,13.51,0.11,76.99
20160107,14.53,0.07,79.64
20160108,12.96,0.11,78.68
20160109,12.29,2.13,83.79
20160110,14.08,0.04,74.04
20160111,12.9,0.0,74.34
20160112,12.51,0.0,80.65
20160113,12.27,0.0,81.44
20160114,12.15,0.0,82.49
20160115,12.85,0.04,75.35
20160116,12.08,0.01,78.21
20160117,12.89,0.0,72.11
20160118,13.11,0.0,76.64
20160119,13.58,1.4,74.05
20160120,14.95,7.26,73.77
20160121,13.04,1.77,90.07
20160122,12.59,0.62,86.01
20160123,12.79,0.0,75.86
20160124,13.12,0.0,66.39
20160125,11.8,0.37,74.48
20160126,10.45,0.47,66.18
20160127,10.62,2.73,72.98
20160128,11.29,0.07,70.76
20160129,12.59,0.13,76.69
